hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
נִֽינְוֵ֑ה,H5210,nî·nə·wêh;,of Nineveh,N‑proper‑fs,H5210,Nahum,1,1,8
סֵ֧פֶר,H5612,sê·p̄er,The book,N‑msc,H5612,Nahum,1,2,8
חֲז֛וֹן,H2377,ḥă·zō·wn,of the vision,N‑msc,H2377,Nahum,1,3,8
נַח֖וּם,H5151,na·ḥūm,of Nahum,N‑proper‑ms,H5151,Nahum,1,4,8
הָאֶלְקֹשִֽׁי׃,H512,hā·’el·qō·šî.,the Elkoshite,Art | N‑proper‑ms,H512,Nahum,1,5,8
קַנּ֤וֹא,H7072,qan·nō·w,jealous,Adj‑ms,H7072,Nahum,1,6,8
וְנֹקֵם֙,H5358,wə·nō·qêm,and avenges,Conj‑w | V‑Qal‑Prtcpl‑ms,H5358,Nahum,1,7,8
יְהוָ֔ה,H3069,"Yah·weh,",Yahweh,N‑proper‑ms,H3069,Nahum,1,8,8
נֹקֵ֥ם,H5358,nō·qêm,avenges,V‑Qal‑Prtcpl‑ms,H5358,Nahum,1,9,8
יְהוָ֖ה,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,Nahum,1,10,8
וּבַ֣עַל,H1167,ū·ḇa·‘al,and,Conj‑w | N‑msc,H1167,Nahum,1,11,8
חֵמָ֑ה,H2534,ḥê·māh;,[is] furious,N‑fs,H2534,Nahum,1,12,8
נֹקֵ֤ם,H5358,nō·qêm,will take vengeance,V‑Qal‑Prtcpl‑ms,H5358,Nahum,1,13,8
יְהוָה֙,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,Nahum,1,14,8
לְצָרָ֔יו,H6862,"lə·ṣā·rāw,",on His adversaries,Prep‑l | N‑mpc | 3ms,H6862,Nahum,1,15,8
וְנוֹטֵ֥ר,H5201,wə·nō·w·ṭêr,and reserves [wrath],Conj‑w | V‑Qal‑Prtcpl‑ms,H5201,Nahum,1,16,8
ה֖וּא,H1931,hū,He,Pro‑3ms,H1931,Nahum,1,17,8
לְאֹיְבָֽיו׃,H341,lə·’ō·yə·ḇāw.,for His enemies,Prep‑l | V‑Qal‑Prtcpl‑mpc | 3ms,H341,Nahum,1,18,8
אֶ֤רֶךְ,H750,’e·reḵ,slow,Adj‑msc,H750,Nahum,1,19,8
אַפַּ֙יִם֙,H639,’ap·pa·yim,to anger,N‑md,H639,Nahum,1,20,8
(וּגְדָל־),H1419,ū·ḡə·ḏāl-,and great in,Conj‑w | Adj‑msc,H1419,Nahum,1,21,8
כֹּ֔חַ,H1419,"kō·aḥ,",power,N‑ms,H1419,Nahum,1,22,8
וְנַקֵּ֖ה,H5352,wə·naq·qêh,and at all,Conj‑w | V‑Piel‑InfAbs,H5352,Nahum,1,23,8
לֹ֣א,H3808,lō,not,Adv‑NegPrt,H3808,Nahum,1,24,8
יְנַקֶּ֑ה,H5352,yə·naq·qeh;,will acquit [the wicked],V‑Piel‑Imperf‑3ms,H5352,Nahum,1,25,8
יְהוָ֗ה,H3068,Yah·weh,Yahweh has,N‑proper‑ms,H3068,Nahum,1,26,8
בְּסוּפָ֤ה,H5492,bə·sū·p̄āh,in the whirlwind,Prep‑b | N‑fs,H5492,Nahum,1,27,8
וּבִשְׂעָרָה֙,H8183,ū·ḇiś·‘ā·rāh,and in the storm,"Conj‑w, Prep‑b | N‑fs",H8183,Nahum,1,28,8
דַּרְכּ֔וֹ,H1870,"dar·kōw,",His way,N‑csc | 3ms,H1870,Nahum,1,29,8
וְעָנָ֖ן,H6051,wə·‘ā·nān,and the clouds [are],Conj‑w | N‑ms,H6051,Nahum,1,30,8
אֲבַ֥ק,H80,’ă·ḇaq,the dust,N‑msc,H80,Nahum,1,31,8
רַגְלָֽיו׃,H7272,raḡ·lāw.,of His feet,N‑fdc | 3ms,H7272,Nahum,1,32,8
בַּיָּם֙,H3220,bay·yām,the sea,"Prep‑b, Art | N‑ms",H3220,Nahum,1,33,8
וַֽיַּבְּשֵׁ֔הוּ,H3001,"way·yab·bə·šê·hū,",and makes it dry,Conj‑w | V‑Piel‑ConsecImperf‑3ms | 3ms,H3001,Nahum,1,34,8
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Nahum,1,35,8
הַנְּהָר֖וֹת,H5104,han·nə·hā·rō·wṯ,the rivers,Art | N‑mp,H5104,Nahum,1,36,8
הֶֽחֱרִ֑יב,H2717,he·ḥĕ·rîḇ;,Dries up,V‑Hifil‑Perf‑3ms,H2717,Nahum,1,37,8
אֻמְלַ֤ל,H536,’um·lal,wither,V‑Pual‑Perf‑3ms,H536,Nahum,1,38,8
בָּשָׁן֙,H1316,bā·šān,Bashan,N‑proper‑fs,H1316,Nahum,1,39,8
וְכַרְמֶ֔ל,H3760,"wə·ḵar·mel,",and Carmel,Conj‑w | N‑proper‑fs,H3760,Nahum,1,40,8
וּפֶ֥רַח,H6525,ū·p̄e·raḥ,and the flower,Conj‑w | N‑msc,H6525,Nahum,1,41,8
לְבָנ֖וֹן,H3844,lə·ḇā·nō·wn,of Lebanon,N‑proper‑fs,H3844,Nahum,1,42,8
אֻמְלָֽל׃,H536,’um·lāl.,wilts,V‑Pual‑Perf‑3ms,H536,Nahum,1,43,8
רָעֲשׁ֣וּ,H7493,rā·‘ă·šū,quake,V‑Qal‑Perf‑3cp,H7493,Nahum,1,44,8
מִמֶּ֔נּוּ,H4480,"mim·men·nū,",before Him,Prep | 3ms,H4480,Nahum,1,45,8
וְהַגְּבָע֖וֹת,H1389,wə·hag·gə·ḇā·‘ō·wṯ,and the hills,"Conj‑w, Art | N‑fp",H1389,Nahum,1,46,8
הִתְמֹגָ֑גוּ,H4127,hiṯ·mō·ḡā·ḡū;,melt,V‑Hitpael‑Perf‑3cp,H4127,Nahum,1,47,8
וַתִּשָּׂ֤א,H5375,wat·tiś·śā,and heaves,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H5375,Nahum,1,48,8
הָאָ֙רֶץ֙,H776,hā·’ā·reṣ,the earth,Art | N‑fs,H776,Nahum,1,49,8
מִפָּנָ֔יו,H6440,"mip·pā·nāw,",at His presence,Prep‑m | N‑cpc | 3ms,H6440,Nahum,1,50,8
וְתֵבֵ֖ל,H8398,wə·ṯê·ḇêl,and Yes the world,Conj‑w | N‑fs,H8398,Nahum,1,51,8
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Nahum,1,52,8
יֹ֥שְׁבֵי,H3427,yō·šə·ḇê,who dwell,V‑Qal‑Prtcpl‑mpc,H3427,Nahum,1,53,8
זַעְמוֹ֙,H2195,za‘·mōw,His indignation,N‑msc | 3ms,H2195,Nahum,1,54,8
מִ֣י,H4310,mî,who,Interrog,H4310,Nahum,1,55,8
יַֽעֲמ֔וֹד,H5975,"ya·‘ă·mō·wḏ,",can stand,V‑Qal‑Imperf‑3ms,H5975,Nahum,1,56,8
וּמִ֥י,H4310,ū·mî,and who,Conj‑w | Interrog,H4310,Nahum,1,57,8
יָק֖וּם,H6965,yā·qūm,can,V‑Qal‑Imperf‑3ms,H6965,Nahum,1,58,8
בַּחֲר֣וֹן,H2740,ba·ḥă·rō·wn,endure the fierceness,Prep‑b | N‑msc,H2740,Nahum,1,59,8
אַפּ֑וֹ,H639,’ap·pōw;,of His anger,N‑msc | 3ms,H639,Nahum,1,60,8
חֲמָתוֹ֙,H2534,ḥă·mā·ṯōw,His fury,N‑fsc | 3ms,H2534,Nahum,1,61,8
נִתְּכָ֣ה,H5413,nit·tə·ḵāh,is poured out,V‑Nifal‑Perf‑3fs,H5413,Nahum,1,62,8
כָאֵ֔שׁ,H784,"ḵā·’êš,",like fire,"Prep‑k, Art | N‑cs",H784,Nahum,1,63,8
וְהַצֻּרִ֖ים,H6697,wə·haṣ·ṣu·rîm,and the rocks,"Conj‑w, Art | N‑mp",H6697,Nahum,1,64,8
נִתְּצ֥וּ,H5422,nit·tə·ṣū,are thrown down,V‑Nifal‑Perf‑3cp,H5422,Nahum,1,65,8
מִמֶּֽנּוּ׃,H4480,mim·men·nū.,by Him,Prep | 3ms,H4480,Nahum,1,66,8
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh [is],N‑proper‑ms,H3068,Nahum,1,67,8
לְמָע֖וֹז,H4581,lə·mā·‘ō·wz,a stronghold,Prep‑l | N‑ms,H4581,Nahum,1,68,8
בְּי֣וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Nahum,1,69,8
צָרָ֑ה,H6869,ṣā·rāh;,of trouble,N‑fs,H6869,Nahum,1,70,8
וְיֹדֵ֖עַ,H3045,wə·yō·ḏê·a‘,and He knows,Conj‑w | V‑Qal‑Prtcpl‑ms,H3045,Nahum,1,71,8
חֹ֥סֵי,H2620,ḥō·sê,those who trust,V‑Qal‑Prtcpl‑mpc,H2620,Nahum,1,72,8
עֹבֵ֔ר,H5674,"‘ō·ḇêr,",an overflowing,V‑Qal‑Prtcpl‑ms,H5674,Nahum,1,73,8
כָּלָ֖ה,H3617,kā·lāh,an utter end,N‑fs,H3617,Nahum,1,74,8
יַעֲשֶׂ֣ה,H6213,ya·‘ă·śeh,of He will make,V‑Qal‑Imperf‑3ms,H6213,Nahum,1,75,8
מְקוֹמָ֑הּ,H4725,mə·qō·w·māh;,its place,N‑msc | 3fs,H4725,Nahum,1,76,8
וְאֹיְבָ֖יו,H341,wə·’ō·yə·ḇāw,and His enemies,Conj‑w | V‑Qal‑Prtcpl‑mpc | 3ms,H341,Nahum,1,77,8
יְרַדֶּף־,H7291,yə·rad·dep̄-,will pursue,V‑Piel‑Imperf‑3ms,H7291,Nahum,1,78,8
חֹֽשֶׁךְ׃,H2822,ḥō·šeḵ,darkness,N‑ms,H2822,Nahum,1,79,8
תְּחַשְּׁבוּן֙,H2803,tə·ḥaš·šə·ḇūn,do you conspire,V‑Piel‑Imperf‑2mp | Pn,H2803,Nahum,1,80,8
אֶל־,H413,’el-,against,Prep,H413,Nahum,1,81,8
יְהוָ֔ה,H3068,"Yah·weh,",Yahweh,N‑proper‑ms,H3068,Nahum,1,82,8
כָּלָ֖ה,H3617,kā·lāh,an utter end [of it],N‑fs,H3617,Nahum,1,83,8
ה֣וּא,H1931,hū,He,Pro‑3ms,H1931,Nahum,1,84,8
עֹשֶׂ֑ה,H6213,‘ō·śeh;,will make,V‑Qal‑Prtcpl‑ms,H6213,Nahum,1,85,8
לֹֽא־,H3808,lō-,not,Adv‑NegPrt,H3808,Nahum,1,86,8
תָק֥וּם,H6965,ṯā·qūm,will rise up,V‑Qal‑Imperf‑3fs,H6965,Nahum,1,87,8
פַּעֲמַ֖יִם,H6471,pa·‘ă·ma·yim,a second time,N‑fd,H6471,Nahum,1,88,8
צָרָֽה׃,H6869,ṣā·rāh.,Affliction,N‑fs,H6869,Nahum,1,89,8
עַד־,H5704,‘aḏ-,while,Prep,H5704,Nahum,1,90,8
סִירִ֣ים,H5518,sî·rîm,[like] thorns,N‑fp,H5518,Nahum,1,91,8
סְבֻכִ֔ים,H5440,"sə·ḇu·ḵîm,",tangled,V‑Qal‑QalPassPrtcpl‑mp,H5440,Nahum,1,92,8
וּכְסָבְאָ֖ם,H5435,ū·ḵə·sā·ḇə·’ām,and while drunken,"Conj‑w, Prep‑k | N‑msc | 3mp",H5435,Nahum,1,93,8
