hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
נַח֖וּם,H5151,na·ḥūm,of Nahum,N‑proper‑ms,H5151,Nahum,1,4,8
הָאֶלְקֹשִֽׁי׃,H512,hā·’el·qō·šî.,the Elkoshite,Art | N‑proper‑ms,H512,Nahum,1,5,8
קַנּ֤וֹא,H7072,qan·nō·w,jealous,Adj‑ms,H7072,Nahum,1,6,8
וְנוֹטֵ֥ר,H5201,wə·nō·w·ṭêr,and reserves [wrath],Conj‑w | V‑Qal‑Prtcpl‑ms,H5201,Nahum,1,16,8
וּבִשְׂעָרָה֙,H8183,ū·ḇiś·‘ā·rāh,and in the storm,"Conj‑w, Prep‑b | N‑fs",H8183,Nahum,1,28,8
נִתְּכָ֣ה,H5413,nit·tə·ḵāh,is poured out,V‑Nifal‑Perf‑3fs,H5413,Nahum,1,62,8
סְבֻכִ֔ים,H5440,"sə·ḇu·ḵîm,",tangled,V‑Qal‑QalPassPrtcpl‑mp,H5440,Nahum,1,92,8
בְּלִיָּֽעַל׃,H1100,bə·lî·yā·‘al.,wicked,N‑ms,H1100,Nahum,1,105,8
מֹטֵ֖הוּ,H4132,mō·ṭê·hū,his yoke,N‑msc | 3ms,H4132,Nahum,1,120,8
חָגִּ֧י,H2287,ḥāg·gî,keep,V‑Qal‑Imp‑fs,H2287,Nahum,1,145,8
מְתֻלָּעִ֔ים,H8529,"mə·ṯul·lā·‘îm,",in scarlet,V‑Pual‑Prtcpl‑mp,H8529,Nahum,2,187,8
פְּלָד֥וֹת,H6393,pə·lā·ḏō·wṯ,torches,N‑fp,H6393,Nahum,2,189,8
הָרְעָֽלוּ׃,H7477,hā·rə·‘ā·lū.,are brandished,V‑Hofal‑Perf‑3cp,H7477,Nahum,2,194,8
כַּבְּרָקִ֖ים,H1300,kab·bə·rā·qîm,like lightning,"Prep‑k, Art | N‑mp",H1300,Nahum,2,201,8
(בַּהֲלִֽיכָתָ֑ם),H1979,ba·hă·lî·ḵā·ṯām;,in their walk,Prep‑b | N‑fsc | 3mp,H1979,Nahum,2,205,8
וְאַמְהֹתֶ֗יהָ,H519,"wə·’am·hō·ṯe·hā,",and her maidservants,Conj‑w | N‑fpc | 3fs,H519,Nahum,2,216,8
מְתֹפְפֹ֖ת,H8608,mə·ṯō·p̄ə·p̄ōṯ,Beating,V‑Piel‑Prtcpl‑fp,H8608,Nahum,2,220,8
לַתְּכוּנָ֔ה,H8498,"lat·tə·ḵū·nāh,",of treasure,"Prep‑l, Art | N‑fs",H8498,Nahum,2,238,8
וּמְבוּקָ֖ה,H4003,ū·mə·ḇū·qāh,and desolate,Conj‑w | N‑fs,H4003,Nahum,2,243,8
וּפִ֣ק,H6375,ū·p̄iq,and shake,Conj‑w | N‑ms,H6375,Nahum,2,247,8
מְע֣וֹן,H4583,mə·‘ō·wn,the dwelling,N‑msc,H4583,Nahum,2,256,8
גּ֥וּר,H1482,gūr,[and] cub,N‑msc,H1482,Nahum,2,266,8
טֹרֵף֙,H2963,ṭō·rêp̄,tore in pieces,V‑Qal‑Prtcpl‑ms,H2963,Nahum,2,270,8
גֹֽרוֹתָ֔יו,H1484,"ḡō·rō·w·ṯāw,",his cubs,N‑mpc | 3ms,H1484,Nahum,2,272,8
וּמְחַנֵּ֖ק,H2614,ū·mə·ḥan·nêq,and Killed,Conj‑w | V‑Piel‑Prtcpl‑ms,H2614,Nahum,2,273,8
טְרֵפָֽה׃,H2966,ṭə·rê·p̄āh.,with flesh,N‑fs,H2966,Nahum,2,279,8
כַּ֤חַשׁ,H3585,ka·ḥaš,lies,N‑ms,H3585,Nahum,3,301,8
דֹּהֵ֔ר,H1725,"dō·hêr,",galloping,V‑Qal‑Prtcpl‑ms,H1725,Nahum,3,312,8
לַגְּוִיָּ֔ה,H1472,"lag·gə·wî·yāh,",corpses,"Prep‑l, Art | N‑fs",H1472,Nahum,3,326,8
חֵ֖ן,H2580,ḥên,seductive,N‑ms,H2580,Nahum,3,332,8
בַּעֲלַ֣ת,H1172,ba·‘ă·laṯ,the mistress,N‑fsc,H1172,Nahum,3,333,8
בִּזְנוּנֶ֔יהָ,H2183,"biz·nū·ne·hā,",through her harlotries,Prep‑b | N‑mpc | 3fs,H2183,Nahum,3,337,8
וּמִשְׁפָּח֖וֹת,H4940,ū·miš·pā·ḥō·wṯ,and families,Conj‑w | N‑fp,H4940,Nahum,3,338,8
מַעְרֵ֔ךְ,H4626,"ma‘·rêḵ,",your nakedness,N‑msc | 2fs,H4626,Nahum,3,350,8
כְּרֹֽאִי׃,H7210,kə·rō·’î.,a spectacle,Prep‑k | N‑ms,H7210,Nahum,3,357,8
מִנֹּ֣א,H4996,min·nō,than No,Prep‑m | N‑proper‑fs,H4996,Nahum,3,370,8
אָמ֔וֹן,H528,"’ā·mō·wn,",Amon,N‑proper‑fs,H528,Nahum,3,371,8
פּ֣וּט,H6316,pūṭ,Libya,N‑proper‑fs,H6316,Nahum,3,385,8
וְלוּבִ֔ים,H3864,"wə·lū·ḇîm,",and Lubim,Conj‑w | N‑proper‑fs,H3864,Nahum,3,386,8
