hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
לֶ֣חֶם,H1035,le·ḥem,Bethlehem,Prep | N‑proper‑fs,H1035,Ruth,1,9,10
אֱ‍ֽלִימֶ֡לֶךְ,H458,’ĕlî·me·leḵ,[was] Elimelech,N‑proper‑ms,H458,Ruth,1,19,10
נָעֳמִ֜י,H5281,nā·‘o·mî,[was] Naomi,N‑proper‑fs,H5281,Ruth,1,22,10
מַחְל֤וֹן,H4248,maḥ·lō·wn,[were] Mahlon,N‑proper‑ms,H4248,Ruth,1,26,10
וְכִלְיוֹן֙,H3630,wə·ḵil·yō·wn,and Chilion,Conj‑w | N‑proper‑ms,H3630,Ruth,1,27,10
אֶפְרָתִ֔ים,H673,"’ep̄·rā·ṯîm,",Ephrathites,N‑proper‑mp,H673,Ruth,1,28,10
מֹֽאֲבִיּ֔וֹת,H4125,"mō·’ă·ḇî·yō·wṯ,",of the Moabitesses,N‑proper‑fp,H4125,Ruth,1,44,10
עָרְפָּ֔ה,H6204,"‘ā·rə·pāh,",[was] Orpah,N‑proper‑fs,H6204,Ruth,1,47,10
ר֑וּת,H7327,rūṯ;,Ruth,N‑proper‑fs,H7327,Ruth,1,50,10
וַתִּשַּׁ֣ק,H5401,wat·tiš·šaq,And she kissed,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H5401,Ruth,1,117,10
זָקַ֖נְתִּי,H2204,zā·qan·tî,I am too old,V‑Qal‑Perf‑1cs,H2204,Ruth,1,139,10
תִקְוָ֔ה,H8615,"ṯiq·wāh,",hope,N‑fs,H8615,Ruth,1,145,10
הֲלָהֵן֙,H3860,hă·lā·hên,would,Conj,H3860,Ruth,1,157,10
תֵּֽעָגֵ֔נָה,H5702,"tê·‘ā·ḡê·nāh,",you restrain yourselves,V‑Nifal‑Imperf‑2fp,H5702,Ruth,1,158,10
לַחֲמוֹתָ֔הּ,H2545,"la·ḥă·mō·w·ṯāh,",her mother-in-law,Prep‑l | N‑fsc | 3fs,H2545,Ruth,1,177,10
דָּ֥בְקָה,H1692,dā·ḇə·qāh,clung,V‑Qal‑Perf‑3fs,H1692,Ruth,1,179,10
יְבִמְתֵּ֔ךְ,H2994,"yə·ḇim·têḵ,",your sister-in-law,N‑fsc | 2fs,H2994,Ruth,1,182,10
אֶקָּבֵ֑ר,H6912,’eq·qā·ḇêr;,will I be buried,V‑Nifal‑Imperf‑1cs,H6912,Ruth,1,211,10
יַפְרִ֖יד,H6504,yap̄·rîḏ,parts,V‑Hifil‑Imperf‑3ms,H6504,Ruth,1,219,10
וַתֵּהֹ֤ם,H1949,wat·tê·hōm,that was excited,Conj‑w | V‑Nifal‑ConsecImperf‑3fs,H1949,Ruth,1,237,10
מָרָ֔א,H4755,"mā·rā,",Mara,Adj‑fs,H4755,Ruth,1,249,10
בֹּֽעַז׃,H1162,bō·‘az.,[was] Boaz,N‑proper‑ms,H1162,Ruth,2,288,10
מִקְרֶ֔הָ,H4745,"miq·re·hā,",to come,N‑fsc | 3fs,H4745,Ruth,2,312,10
הַנַּעֲרָ֥ה,H5291,han·na·‘ă·rāh,young woman,Art | N‑fs,H5291,Ruth,2,335,10
בָֽעֳמָרִ֔ים,H6016,"ḇā·‘o·mā·rîm,",among the sheaves,Prep‑b | N‑mp,H6016,Ruth,2,353,10
מֽוֹלַדְתֵּ֔ךְ,H4138,"mō·w·laḏ·têḵ,",of your birth,N‑fsc | 2fs,H4138,Ruth,2,433,10
תְּמ֥וֹל,H8543,tə·mō·wl,heretofore,Adv,H8543,Ruth,2,440,10
שִׁלְשֽׁוֹם׃,H8032,šil·šō·wm.,before,Adv,H8032,Ruth,2,441,10
מַשְׂכֻּרְתֵּ֜ךְ,H4909,maś·kur·têḵ,a reward you,N‑fsc | 2fs,H4909,Ruth,2,445,10
הֲלֹם֙,H1988,hă·lōm,here,Adv,H1988,Ruth,2,476,10
וְטָבַ֥לְתְּ,H2881,wə·ṭā·ḇalt,and dip,Conj‑w | V‑Qal‑ConjPerf‑2fs,H2881,Ruth,2,480,10
פִּתֵּ֖ךְ,H6595,pit·têḵ,your piece of bread,N‑fsc | 2fs,H6595,Ruth,2,481,10
בַּחֹ֑מֶץ,H2558,ba·ḥō·meṣ;,in the vinegar,"Prep‑b, Art | N‑ms",H2558,Ruth,2,482,10
וַיִּצְבָּט־,H6642,way·yiṣ·bāṭ-,and he passed,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6642,Ruth,2,486,10
