hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּימֵי֙,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Ruth,1,1,10
שְׁפֹ֣ט,H8199,šə·p̄ōṭ,when ruled,V‑Qal‑Inf,H8199,Ruth,1,2,10
וַיְהִ֥י,H1961,way·hî,that there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Ruth,1,4,10
רָעָ֖ב,H7458,rā·‘āḇ,a famine,N‑ms,H7458,Ruth,1,5,10
בָּאָ֑רֶץ,H776,bā·’ā·reṣ;,in the land,"Prep‑b, Art | N‑fs",H776,Ruth,1,6,10
וַיֵּ֨לֶךְ,H1980,way·yê·leḵ,And went,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1980,Ruth,1,7,10
אִ֜ישׁ,H376,’îš,a certain man,N‑ms,H376,Ruth,1,8,10
לֶ֣חֶם,H1035,le·ḥem,Bethlehem,Prep | N‑proper‑fs,H1035,Ruth,1,9,10
יְהוּדָ֗ה,H3063,"yə·hū·ḏāh,",Judah,N‑proper‑ms,H3063,Ruth,1,10,10
לָגוּר֙,H1481,lā·ḡūr,to dwell,Prep‑l | V‑Qal‑Inf,H1481,Ruth,1,11,10
בִּשְׂדֵ֣י,H7704,biś·ḏê,in the country,Prep‑b | N‑mpc,H7704,Ruth,1,12,10
מוֹאָ֔ב,H4124,"mō·w·’āḇ,",of Moab,N‑proper‑fs,H4124,Ruth,1,13,10
ה֥וּא,H1931,hū,he,Pro‑3ms,H1931,Ruth,1,14,10
וְאִשְׁתּ֖וֹ,H802,wə·’iš·tōw,and his wife,Conj‑w | N‑fsc | 3ms,H802,Ruth,1,15,10
וּשְׁנֵ֥י,H8147,ū·šə·nê,and two,Conj‑w | Number‑mdc,H8147,Ruth,1,16,10
בָנָֽיו׃,H1121,ḇā·nāw.,his sons,N‑mpc | 3ms,H1121,Ruth,1,17,10
אֱ‍ֽלִימֶ֡לֶךְ,H458,’ĕlî·me·leḵ,[was] Elimelech,N‑proper‑ms,H458,Ruth,1,19,10
וְשֵׁם֩,H8034,wə·šêm,and the name,Conj‑w | N‑msc,H8034,Ruth,1,20,10
נָעֳמִ֜י,H5281,nā·‘o·mî,[was] Naomi,N‑proper‑fs,H5281,Ruth,1,22,10
מַחְל֤וֹן,H4248,maḥ·lō·wn,[were] Mahlon,N‑proper‑ms,H4248,Ruth,1,26,10
וְכִלְיוֹן֙,H3630,wə·ḵil·yō·wn,and Chilion,Conj‑w | N‑proper‑ms,H3630,Ruth,1,27,10
אֶפְרָתִ֔ים,H673,"’ep̄·rā·ṯîm,",Ephrathites,N‑proper‑mp,H673,Ruth,1,28,10
וַיָּבֹ֥אוּ,H935,way·yā·ḇō·’ū,and they went,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H935,Ruth,1,31,10
שָֽׁם׃,H8033,šām.,there,Adv,H8033,Ruth,1,35,10
וַתִּשָּׁאֵ֥ר,H7604,wat·tiš·šā·’êr,and was left,Conj‑w | V‑Nifal‑ConsecImperf‑3fs,H7604,Ruth,1,39,10
מֹֽאֲבִיּ֔וֹת,H4125,"mō·’ă·ḇî·yō·wṯ,",of the Moabitesses,N‑proper‑fp,H4125,Ruth,1,44,10
הָֽאַחַת֙,H259,hā·’a·ḥaṯ,of the one,Art | Number‑fs,H259,Ruth,1,46,10
עָרְפָּ֔ה,H6204,"‘ā·rə·pāh,",[was] Orpah,N‑proper‑fs,H6204,Ruth,1,47,10
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,Ruth,1,49,10
ר֑וּת,H7327,rūṯ;,Ruth,N‑proper‑fs,H7327,Ruth,1,50,10
וַיֵּ֥שְׁבוּ,H3427,way·yê·šə·ḇū,And they dwelt,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H3427,Ruth,1,51,10
כְּעֶ֥שֶׂר,H6235,kə·‘e·śer,about ten,Prep‑k | Number‑fsc,H6235,Ruth,1,53,10
שָׁנִֽים׃,H8141,šā·nîm.,years,N‑fp,H8141,Ruth,1,54,10
גַם־,H1571,ḡam-,also,Conj,H1571,Ruth,1,55,10
יְלָדֶ֖יהָ,H3206,yə·lā·ḏe·hā,her sons,N‑mpc | 3fs,H3206,Ruth,1,62,10
וְכַלֹּתֶ֔יהָ,H3618,"wə·ḵal·lō·ṯe·hā,",and with her daughters-in-law,Conj‑w | N‑fpc | 3fs,H3618,Ruth,1,65,10
וַתָּ֖שָׁב,H7725,wat·tā·šāḇ,that she might return,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H7725,Ruth,1,66,10
כִּ֤י,H3588,kî,for,Conj,H3588,Ruth,1,69,10
שָֽׁמְעָה֙,H8085,šā·mə·‘āh,she had heard,V‑Qal‑Perf‑3fs,H8085,Ruth,1,70,10
פָקַ֤ד,H6485,p̄ā·qaḏ,had attended to,V‑Qal‑Perf‑3ms,H6485,Ruth,1,74,10
יְהוָה֙,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,Ruth,1,75,10
אֶת־,H853,’eṯ-,-,DirObjM,H853,Ruth,1,76,10
עַמּ֔וֹ,H5971,"‘am·mōw,",His people,N‑msc | 3ms,H5971,Ruth,1,77,10
לָתֵ֥ת,H5414,lā·ṯêṯ,by giving,Prep‑l | V‑Qal‑Inf,H5414,Ruth,1,78,10
לָֽחֶם׃,H3899,lā·ḥem.,bread,N‑ms,H3899,Ruth,1,79,10
מִן־,H4480,min-,from,Prep,H4480,Ruth,1,80,10
הַמָּקוֹם֙,H4725,ham·mā·qō·wm,the place,Art | N‑ms,H4725,Ruth,1,81,10
אֲשֶׁ֣ר,H834,’ă·šer,where,Pro‑r,H834,Ruth,1,82,10
עִמָּ֑הּ,H5973,‘im·māh;,with her,Prep | 3fs,H5973,Ruth,1,87,10
בַדֶּ֔רֶךְ,H1870,"ḇad·de·reḵ,",on the way,"Prep‑b, Art | N‑cs",H1870,Ruth,1,89,10
אֶל־,H413,’el-,to,Prep,H413,Ruth,1,91,10
לְבֵ֣ית,H1004,lə·ḇêṯ,to house,Prep‑l | N‑msc,H1004,Ruth,1,100,10
אִמָּ֑הּ,H517,’im·māh;,Of her mother,N‑fsc | 3fs,H517,Ruth,1,101,10
(יַ֣עַשׂ),H6213,ya·‘aś,deal,V‑Qal‑Imperf.Jus‑3ms,H6213,Ruth,1,102,10
יְהוָ֤ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Ruth,1,103,10
חֶ֔סֶד,H2617,"ḥe·seḏ,",[with] loving faithfulness,N‑ms,H2617,Ruth,1,105,10
הַמֵּתִ֖ים,H4191,ham·mê·ṯîm,the dead,Art | V‑Qal‑Prtcpl‑mp,H4191,Ruth,1,109,10
וּמְצֶ֣אןָ,H4672,ū·mə·ṣe·nā,that may find,Conj‑w | V‑Qal‑Imp‑fp,H4672,Ruth,1,112,10
מְנוּחָ֔ה,H4496,"mə·nū·ḥāh,",rest,N‑fs,H4496,Ruth,1,113,10
וַתִּשַּׁ֣ק,H5401,wat·tiš·šaq,And she kissed,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H5401,Ruth,1,117,10
וַתִּשֶּׂ֥אנָה,H5375,wat·tiś·śe·nāh,and they lifted up,Conj‑w | V‑Qal‑ConsecImperf‑3fp,H5375,Ruth,1,118,10
קוֹלָ֖ן,H6963,qō·w·lān,their voices,N‑msc | 3fp,H6963,Ruth,1,119,10
וַתִּבְכֶּֽינָה׃,H1058,wat·tiḇ·ke·nāh.,and wept,Conj‑w | V‑Qal‑ConsecImperf‑3fp,H1058,Ruth,1,120,10
אִתָּ֥ךְ,H854,’it·tāḵ,with you,Prep | 2fs,H854,Ruth,1,122,10
בְנֹתַ֔י,H1323,"ḇə·nō·ṯay,",my daughters,N‑fpc | 1cs,H1323,Ruth,1,127,10
לָ֥מָּה,H4100,lām·māh,Why,Interrog,H4100,Ruth,1,128,10
הַֽעֽוֹד־,H5750,ha·‘ō·wḏ-,[Are] there still,Adv,H5750,Ruth,1,131,10
בְּֽמֵעַ֔י,H4578,"bə·mê·‘ay,",in my womb,Prep‑b | N‑mpc | 1cs,H4578,Ruth,1,133,10
זָקַ֖נְתִּי,H2204,zā·qan·tî,I am too old,V‑Qal‑Perf‑1cs,H2204,Ruth,1,139,10
אָמַ֙רְתִּי֙,H559,’ā·mar·tî,I should say,V‑Qal‑Perf‑1cs,H559,Ruth,1,143,10
יֶשׁ־,H3426,yeš-,have,Adv,H3426,Ruth,1,144,10
תִקְוָ֔ה,H8615,"ṯiq·wāh,",hope,N‑fs,H8615,Ruth,1,145,10
הַלַּ֙יְלָה֙,H3915,hal·lay·lāh,tonight,Art | N‑ms,H3915,Ruth,1,148,10
יָלַ֥דְתִּי,H3205,yā·laḏ·tî,should bear,V‑Qal‑Perf‑1cs,H3205,Ruth,1,151,10
