hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
עָמ֔וֹס,H5986,"‘ā·mō·ws,",of Amos,N‑proper‑ms,H5986,Amos,1,1,12
בַנֹּקְדִ֖ים,H5349,ḇan·nō·qə·ḏîm,among the sheepherders,"Prep‑b, Art | N‑mp",H5349,Amos,1,4,12
מִתְּק֑וֹעַ,H8620,mit·tə·qō·w·a‘;,of Tekoa,Prep‑m | N‑proper‑fs,H8620,Amos,1,5,12
יָרָבְעָ֤ם,H3379,yā·rā·ḇə·‘ām,of Jeroboam,N‑proper‑ms,H3379,Amos,1,15,12
יוֹאָשׁ֙,H3101,yō·w·’āš,of Joash,N‑proper‑ms,H3101,Amos,1,17,12
חֲזָאֵ֑ל,H2371,ḥă·zā·’êl;,of Hazael,N‑proper‑ms,H2371,Amos,1,53,12
הֲדָֽד׃,H1130,hă·ḏāḏ.,Ben-hadad,N‑proper‑ms,H1130,Amos,1,56,12
אָ֔וֶן,H206,"’ā·wen,",and the one who holds,Conj‑w | V‑Qal‑Prtcpl‑msc,H206,Amos,1,62,12
עֶ֑דֶן,H5730,‘e·ḏen;,Beth Eden,Prep | N‑proper‑fs,H5730,Amos,1,66,12
רַבָּ֔ה,H7237,"rab·bāh,",of Rabbah,N‑proper‑fs,H7237,Amos,1,181,12
הַקְּרִיּ֑וֹת,H7152,haq·qə·rî·yō·wṯ;,of Kerioth,Art | N‑proper‑fs,H7152,Amos,2,217,12
עֲנוּשִׁים֙,H6064,‘ă·nū·šîm,of the condemned,V‑Qal‑QalPassPrtcpl‑mp,H6064,Amos,2,303,12
הָֽאֱמֹרִי֙,H567,hā·’ĕ·mō·rî,the Amorite,Art | N‑proper‑ms,H567,Amos,2,309,12
כְּגֹ֤בַהּ,H1363,kə·ḡō·ḇah,like height [was],Prep‑k | N‑msc,H1363,Amos,2,312,12
לִנְזִרִ֑ים,H5139,lin·zi·rîm;,as Nazirites,Prep‑l | N‑mp,H5139,Amos,2,339,12
