hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בַּמְּדִינ֔וֹת,H4082,"bam·mə·ḏî·nō·wṯ,",among the provinces,"Prep‑b, Art | N‑fp",H4082,Lamentations,1,11,13
הַמְּצָרִֽים׃,H4712,ham·mə·ṣā·rîm.,dire straits,Art | N‑mp,H4712,Lamentations,1,42,13
שָׁל֔וּ,H7951,"šā·lū,",prosper,V‑Qal‑Perf‑3cp,H7951,Lamentations,1,60,13
מַחֲמֻדֶ֔יהָ,H4262,"ma·ḥă·mu·ḏe·hā,",her pleasant things,N‑mpc | 3fs,H4262,Lamentations,1,93,13
מִשְׁבַּתֶּֽהָ׃,H4868,miš·bat·te·hā.,her downfall,N‑fpc | 2ms,H4868,Lamentations,1,108,13
לְנִידָ֣ה,H5206,lə·nî·ḏāh,vile,Prep‑l | N‑fs,H5206,Lamentations,1,113,13
הִזִּיל֙וּהָ֙,H2107,hiz·zî·lū·hā,despise her,V‑Hifil‑Perf‑3cp | 3fs,H2107,Lamentations,1,117,13
עוֹלַ֖ל,H5953,‘ō·w·lal,has been brought,V‑Pual‑Perf‑3ms,H5953,Lamentations,1,182,13
רֶ֤שֶׁת,H7568,re·šeṯ,a net,N‑fs,H7568,Lamentations,1,194,13
שֹֽׁמֵמָ֔ה,H8076,"šō·mê·māh,",desolate,V‑Qal‑Prtcpl‑fs,H8076,Lamentations,1,199,13
יִשְׂתָּֽרְג֛וּ,H8276,yiś·tā·rə·ḡū,they were woven together,V‑Hitpael‑Imperf‑3mp,H8276,Lamentations,1,206,13
לְנִדָּ֖ה,H5079,lə·nid·dāh,an unclean thing,Prep‑l | N‑fs,H5079,Lamentations,1,263,13
רִמּ֔וּנִי,H7411,"rim·mū·nî,",[But] deceived me,V‑Piel‑Perf‑3cp | 1cs,H7411,Lamentations,1,282,13
גָּוָ֑עוּ,H1478,gā·wā·‘ū;,Breathed their last,V‑Qal‑Perf‑3cp,H1478,Lamentations,1,286,13
חֳמַרְמָ֔רוּ,H2560,"ḥo·mar·mā·rū,",is troubled,V‑Piel‑Perf‑3cp,H2560,Lamentations,1,297,13
יָעִ֨יב,H5743,yā·‘îḇ,has covered with a cloud,V‑Hifil‑Imperf‑3ms,H5743,Lamentations,2,341,13
שֻׂכּ֔וֹ,H7900,"śuk·kōw,",His tabernacle,N‑msc | 3ms,H7900,Lamentations,2,421,13
נִאֵ֣ר,H5010,ni·’êr,He has abandoned,V‑Piel‑Perf‑3ms,H5010,Lamentations,2,436,13
כְּבֵדִ֔י,H3516,"kə·ḇê·ḏî,",My bile,N‑msc | 1cs,H3516,Lamentations,2,503,13
וְתָפֵ֔ל,H8602,"wə·ṯā·p̄êl,",and deceptive visions,Conj‑w | Adj‑ms,H8602,Lamentations,2,545,13
וּמַדּוּחִֽים׃,H4065,ū·mad·dū·ḥîm.,and delusions,Conj‑w | N‑mp,H4065,Lamentations,2,555,13
וַיַּֽחַרְקוּ־,H2786,way·ya·ḥar·qū-,and gnash,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H2786,Lamentations,2,580,13
זָמָ֗ם,H2161,"zā·mām,",He purposed,V‑Qal‑Perf‑3ms,H2161,Lamentations,2,592,13
פוּגַת֙,H6314,p̄ū·ḡaṯ,relief,N‑fsc,H6314,Lamentations,2,621,13
אַשְׁמֻר֔וֹת,H821,"’aš·mu·rō·wṯ,",of the watches,N‑fp,H821,Lamentations,2,629,13
נֹ֖כַח,H5227,nō·ḵaḥ,before,Prep,H5227,Lamentations,2,633,13
טִפֻּחִ֔ים,H2949,"ṭip·pu·ḥîm,",they have cuddled,N‑mp,H2949,Lamentations,2,657,13
טָבַ֖חְתָּ,H2873,ṭā·ḇaḥ·tā,You have slaughtered,V‑Qal‑Perf‑2ms,H2873,Lamentations,2,675,13
וּתְלָאָֽה׃,H8513,ū·ṯə·lā·’āh.,and woe,Conj‑w | N‑fs,H8513,Lamentations,3,716,13
שָׂתַ֖ם,H5640,śā·ṯam,He shuts out,V‑Qal‑Perf‑3ms,H5640,Lamentations,3,728,13
וַֽיְפַשְּׁחֵ֖נִי,H6582,way·p̄aš·šə·ḥê·nî,and torn me in pieces,Conj‑w | V‑Piel‑ConsecImperf‑3ms | 1cs,H6582,Lamentations,3,739,13
כַּמַּטָּרָ֖א,H4307,kam·maṭ·ṭā·rā,as a target,"Prep‑k, Art | N‑fs",H4307,Lamentations,3,744,13
שְּׂחֹק֙,H7814,śə·ḥōq,the ridicule,N‑ms,H7814,Lamentations,3,749,13
בַמְּרוֹרִ֖ים,H4844,ḇam·mə·rō·w·rîm,with bitterness,"Prep‑b, Art | N‑mp",H4844,Lamentations,3,755,13
בֶּֽחָצָץ֙,H2687,be·ḥā·ṣāṣ,with gravel,"Prep‑b, Art | N‑ms",H2687,Lamentations,3,758,13
הִכְפִּישַׁ֖נִי,H3728,hiḵ·pî·ša·nî,and covered me,V‑Hifil‑Perf‑3ms | 1cs,H3728,Lamentations,3,760,13
וְתוֹחַלְתִּ֖י,H8431,wə·ṯō·w·ḥal·tî,and my hope,Conj‑w | N‑fsc | 1cs,H8431,Lamentations,3,768,13
(וְתָשׁ֥וֹחַ),H7743,wə·ṯā·šō·w·aḥ,and sinks,Conj‑w | V‑Qal‑ConjImperf‑3fs,H7743,Lamentations,3,775,13
יִזְנַ֛ח,H2186,yiz·naḥ,will cast off,V‑Qal‑Imperf‑3ms,H2186,Lamentations,3,829,13
יִּתְאוֹנֵן֙,H596,yiṯ·’ō·w·nên,should complain,V‑Hitpael‑Imperf‑3ms,H596,Lamentations,3,869,13
וְֽנַחְקֹ֔רָה,H2713,"wə·naḥ·qō·rāh,",and examine,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H2713,Lamentations,3,876,13
וּמָא֛וֹס,H3973,ū·mā·’ō·ws,and refuse,Conj‑w | N‑ms,H3973,Lamentations,3,899,13
הַשֵּׁ֥את,H7612,haš·šêṯ,Desolation,Art | N‑fs,H7612,Lamentations,3,909,13
הֲפֻגֽוֹת׃,H2014,hă·p̄u·ḡō·wṯ.,interruption,N‑fp,H2014,Lamentations,3,922,13
יַשְׁקִ֣יף,H8259,yaš·qîp̄,Looks down,V‑Hifil‑Imperf‑3ms,H8259,Lamentations,3,923,13
לְרַוְחָתִ֖י,H7309,lə·raw·ḥā·ṯî,from my sighing,Prep‑l | N‑fsc | 1cs,H7309,Lamentations,3,953,13
לְשַׁוְעָתִֽי׃,H7775,lə·šaw·‘ā·ṯî.,from my cry for [help],Prep‑l | N‑fsc | 1cs,H7775,Lamentations,3,954,13
עַוָּ֣תָתִ֔י,H5792,"‘aw·wā·ṯā·ṯî,",[how] I am wronged,N‑fsc | 1cs,H5792,Lamentations,3,966,13
נִקְמָתָ֔ם,H5360,"niq·mā·ṯām,",their vengeance,N‑fsc | 3mp,H5360,Lamentations,3,970,13
וְהֶגְיוֹנָ֔ם,H1902,"wə·heḡ·yō·w·nām,",and their whispering,Conj‑w | N‑msc | 3mp,H1902,Lamentations,3,979,13
וְקִֽימָתָם֙,H7012,wə·qî·mā·ṯām,and their rising up,Conj‑w | N‑fsc | 3mp,H7012,Lamentations,3,983,13
מַנְגִּינָתָֽם׃,H4485,man·gî·nā·ṯām.,their [taunting] song,N‑fsc | 3mp,H4485,Lamentations,3,986,13
