hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשְּׁמִינִ֔י,H8066,"haš·šə·mî·nî,",the eighth,Art | Number‑oms,H8066,Zechariah,1,1,14
בִּשְׁנַ֥ת,H8141,biš·naṯ,in the year,Prep‑b | N‑fsc,H8141,Zechariah,1,2,14
שְׁתַּ֖יִם,H8147,šə·ta·yim,second,Number‑fd,H8147,Zechariah,1,3,14
לְדָרְיָ֑וֶשׁ,H1867,lə·ḏā·rə·yā·weš;,of Darius,Prep‑l | N‑proper‑ms,H1867,Zechariah,1,4,14
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Zechariah,1,5,14
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Zechariah,1,6,14
יְהוָ֗ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Zechariah,1,7,14
אֶל־,H413,’el-,to,Prep,H413,Zechariah,1,8,14
זְכַרְיָה֙,H2148,zə·ḵar·yāh,Zechariah,N‑proper‑ms,H2148,Zechariah,1,9,14
בֶּן־,H1121,ben-,son,N‑msc,H1121,Zechariah,1,10,14
בֶּ֣רֶכְיָ֔ה,H1296,"be·reḵ·yāh,",of Berechiah,N‑proper‑ms,H1296,Zechariah,1,11,14
בֶּן־,H1121,ben-,son,N‑msc,H1121,Zechariah,1,12,14
עִדּ֥וֹ,H5714,‘id·dōw,of Iddo,N‑proper‑ms,H5714,Zechariah,1,13,14
הַנָּבִ֖יא,H5030,han·nā·ḇî,the prophet,Art | N‑ms,H5030,Zechariah,1,14,14
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Zechariah,1,15,14
יְהוָ֛ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,16,14
עַל־,H5921,‘al-,with,Prep,H5921,Zechariah,1,17,14
