hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשְּׁמִינִ֔י,H8066,"haš·šə·mî·nî,",the eighth,Art | Number‑oms,H8066,Zechariah,1,1,14
בֶּ֣רֶכְיָ֔ה,H1296,"be·reḵ·yāh,",of Berechiah,N‑proper‑ms,H1296,Zechariah,1,11,14
עִדּ֥וֹ,H5714,‘id·dōw,of Iddo,N‑proper‑ms,H5714,Zechariah,1,13,14
לְעַשְׁתֵּֽי־,H6249,lə·‘aš·tê-,of one,Prep‑l | Number‑csc,H6249,Zechariah,1,89,14
שְׁבָ֔ט,H7627,"šə·ḇāṭ,",Shebat,N‑proper‑fs,H7627,Zechariah,1,94,14
בַּמְּצֻלָ֑ה,H4699,bam·mə·ṣu·lāh;,in the hollow,"Prep‑b, Art | N‑fs",H4699,Zechariah,1,121,14
שְׂרֻקִּ֖ים,H8320,śə·ruq·qîm,sorrel,Adj‑mp,H8320,Zechariah,1,125,14
וּלְבָנִֽים׃,H3836,ū·lə·ḇā·nîm.,and white,Conj‑w | Adj‑mp,H3836,Zechariah,1,126,14
(וְקָ֥ו),H6961,wə·qāw,and a [surveyor's] line,Conj‑w | N‑ms,H6961,Zechariah,1,230,14
הַלָּ֖ז,H1975,hal·lāz,this,Pro‑ms,H1975,Zechariah,2,340,14
פְּרָזוֹת֙,H6519,pə·rā·zō·wṯ,[as] unwalled towns,N‑fp,H6519,Zechariah,2,342,14
בְּבָבַ֥ת,H892,bə·ḇā·ḇaṯ,the apple,Prep‑b | N‑fsc,H892,Zechariah,2,391,14
וְהַשָּׂטָ֛ן,H7854,wə·haś·śā·ṭān,and Satan,"Conj‑w, Art | N‑ms",H7854,Zechariah,3,458,14
לְשִׂטְנֽוֹ׃,H7853,lə·śiṭ·nōw.,to oppose him,Prep‑l | V‑Qal‑Inf | 3ms,H7853,Zechariah,3,462,14
צוֹאִ֑ים,H6674,ṣō·w·’îm;,filthy,Adj‑mp,H6674,Zechariah,3,481,14
מַחֲלָצֽוֹת׃,H4254,ma·ḥă·lā·ṣō·wṯ.,with rich robes,N‑fp,H4254,Zechariah,3,502,14
מַהְלְכִ֔ים,H4108,"mah·lə·ḵîm,",places to walk,N‑mp,H4108,Zechariah,3,542,14
פִּתֻּחָ֗הּ,H6603,"pit·tu·ḥāh,",its inscription,N‑msc | 3fs,H6603,Zechariah,3,577,14
מִשְּׁנָתֽוֹ׃,H8142,miš·šə·nā·ṯōw.,out of his sleep,Prep‑m | N‑fsc | 3ms,H8142,Zechariah,4,607,14
מְנוֹרַת֩,H4501,mə·nō·w·raṯ,a lampstand,N‑fsc,H4501,Zechariah,4,615,14
וְגֻלָּ֣הּ‪‬,H1543,wə·ḡul·lāh,and with a bowl,Conj‑w | N‑fs,H1543,Zechariah,4,618,14
מֽוּצָק֔וֹת,H4166,"mū·ṣā·qō·wṯ,",with pipes,N‑fp,H4166,Zechariah,4,626,14
הָרֹאשָׁ֔ה,H7222,"hā·rō·šāh,",the capstone,Art | N‑fs,H7222,Zechariah,4,687,14
תְּשֻׁא֕וֹת,H8663,tə·šu·’ō·wṯ,with shouts,N‑fpc,H8663,Zechariah,4,688,14
יִסְּד֛וּ,H3248,yis·sə·ḏū,have laid the foundation,V‑Piel‑Perf‑3cp,H3248,Zechariah,4,696,14
בַז֮,H937,ḇaz,has despised,V‑Qal‑Perf‑3ms,H937,Zechariah,4,708,14
צַנְתְּר֣וֹת,H6804,ṣan·tə·rō·wṯ,pipes,N‑mpc,H6804,Zechariah,4,747,14
מְגִלָּ֥ה,H4039,mə·ḡil·lāh,a scroll,N‑fs,H4039,Zechariah,5,774,14
כִּכַּ֥ר,H3603,kik·kar,a disc,N‑fsc,H3603,Zechariah,5,852,14
עֹפֶ֖רֶת,H5777,‘ō·p̄e·reṯ,lead,N‑fs,H5777,Zechariah,5,853,14
הַחֲסִידָ֑ה,H2624,ha·ḥă·sî·ḏāh;,of a stork,Art | N‑fs,H2624,Zechariah,5,885,14
מְכֻנָתָֽהּ׃,H4369,mə·ḵu·nā·ṯāh.,its base,N‑fsc | 3fs,H4369,Zechariah,5,910,14
שְׁחֹרִֽים׃,H7838,šə·ḥō·rîm.,black,Adj‑mp,H7838,Zechariah,6,930,14
הָרְבִעִ֔ית,H7243,"hā·rə·ḇi·‘îṯ,",the fourth,Art | Number‑ofs,H7243,Zechariah,6,935,14
בְּרֻדִּ֖ים,H1261,bə·rud·dîm,spotted,Adj‑mp,H1261,Zechariah,6,937,14
אֲמֻצִּֽים׃,H554,’ă·muṣ·ṣîm.,strong [steeds],Adj‑mp,H554,Zechariah,6,938,14
מֵחֶלְדַּ֕י,H2469,mê·ḥel·day,from Heldai,Prep‑m | N‑proper‑ms,H2469,Zechariah,6,1005,14
טוֹבִיָּ֖ה,H2900,ṭō·w·ḇî·yāh,Tobiah,N‑proper‑ms,H2900,Zechariah,6,1007,14
יְדַֽעְיָ֑ה,H3048,yə·ḏa‘·yāh;,Jedaiah,N‑proper‑ms,H3048,Zechariah,6,1009,14
לְחֵ֙לֶם֙,H2494,lə·ḥê·lem,for Helem,Prep‑l | N‑proper‑ms,H2494,Zechariah,6,1071,14
וּלְחֵ֖ן,H2581,ū·lə·ḥên,and Hen,"Conj‑w, Prep‑l | N‑proper‑ms",H2581,Zechariah,6,1074,14
בְּכִסְלֵֽו׃,H3691,bə·ḵis·lêw.,Chislev,Prep‑b | N‑proper‑fs,H3691,Zechariah,7,1109,14
מֶ֖לֶךְ,H7278,me·leḵ,with Regem-melech,Conj‑w | N‑proper‑ms,H7278,Zechariah,7,1112,14
הַחֲמִשִׁ֔י,H2549,"ha·ḥă·mi·šî,",the fifth,Art | Number‑oms,H2549,Zechariah,7,1129,14
הִנָּזֵ֕ר,H5144,hin·nā·zêr,and fast,V‑Nifal‑InfAbs,H5144,Zechariah,7,1130,14
וּבַשְּׁבִיעִ֗י,H7637,"ū·ḇaš·šə·ḇî·‘î,",and in the seventh [month],"Conj‑w, Prep‑b, Art | Number‑oms",H7637,Zechariah,7,1152,14
וּשְׁלֵוָ֔ה,H7961,"ū·šə·lê·wāh,",and prosperous,Conj‑w | Adj‑fs,H7961,Zechariah,7,1178,14
