hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Hosea,1,1,15
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Hosea,1,2,15
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Hosea,1,3,15
אֶל־,H413,’el-,to,Prep,H413,Hosea,1,4,15
הוֹשֵׁ֙עַ֙,H1954,hō·wō·šê·a‘,Hosea,N‑proper‑ms,H1954,Hosea,1,5,15
בֶּן־,H1121,ben-,son,N‑msc,H1121,Hosea,1,6,15
בְּאֵרִ֔י,H882,"bə·’ê·rî,",of Beeri,N‑proper‑ms,H882,Hosea,1,7,15
בִּימֵ֨י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Hosea,1,8,15
עֻזִּיָּ֥ה,H5818,‘uz·zî·yāh,of Uzziah,N‑proper‑ms,H5818,Hosea,1,9,15
יוֹתָ֛ם,H3147,yō·w·ṯām,Jotham,N‑proper‑ms,H3147,Hosea,1,10,15
אָחָ֥ז,H271,’ā·ḥāz,Ahaz,N‑proper‑ms,H271,Hosea,1,11,15
יְחִזְקִיָּ֖ה,H2396,yə·ḥiz·qî·yāh,[and] Hezekiah,N‑proper‑ms,H2396,Hosea,1,12,15
מַלְכֵ֣י,H4428,mal·ḵê,kings,N‑mpc,H4428,Hosea,1,13,15
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Hosea,1,14,15
וּבִימֵ֛י,H3117,ū·ḇî·mê,and in the days,"Conj‑w, Prep‑b | N‑mpc",H3117,Hosea,1,15,15
יָרָבְעָ֥ם,H3379,yā·rā·ḇə·‘ām,of Jeroboam,N‑proper‑ms,H3379,Hosea,1,16,15
בֶּן־,H1121,ben-,son,N‑msc,H1121,Hosea,1,17,15
יוֹאָ֖שׁ,H3101,yō·w·’āš,of Joash,N‑proper‑ms,H3101,Hosea,1,18,15
מֶ֥לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Hosea,1,19,15
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Hosea,1,20,15
דִּבֶּר־,H1696,dib·ber-,to speak,V‑Piel‑Perf‑3ms,H1696,Hosea,1,21,15
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,22,15
בְּהוֹשֵׁ֑עַ,H1954,bə·hō·wō·šê·a‘;,by Hosea,Prep‑b | N‑proper‑ms,H1954,Hosea,1,23,15
וַיֹּ֨אמֶר,H559,way·yō·mer,And said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,Hosea,1,24,15
יְהוָ֜ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,25,15
אֶל־,H413,’el-,to,Prep,H413,Hosea,1,26,15
הוֹשֵׁ֗עַ,H1954,"hō·wō·šê·a‘,",Hosea,N‑proper‑ms,H1954,Hosea,1,27,15
לֵ֣ךְ,H1980,lêḵ,go,V‑Qal‑Imp‑ms,H1980,Hosea,1,28,15
קַח־,H3947,qaḥ-,take,V‑Qal‑Imp‑ms,H3947,Hosea,1,29,15
אֵ֤שֶׁת,H802,’ê·šeṯ,a wife,N‑fsc,H802,Hosea,1,30,15
זְנוּנִים֙,H2183,zə·nū·nîm,of harlotry,N‑mp,H2183,Hosea,1,31,15
וְיַלְדֵ֣י,H3206,wə·yal·ḏê,and children,Conj‑w | N‑mpc,H3206,Hosea,1,32,15
זְנוּנִ֔ים,H2183,"zə·nū·nîm,",of harlotry,N‑mp,H2183,Hosea,1,33,15
כִּֽי־,H3588,kî-,for,Conj,H3588,Hosea,1,34,15
זָנֹ֤ה,H2181,zā·nōh,great,V‑Qal‑InfAbs,H2181,Hosea,1,35,15
תִזְנֶה֙,H2181,ṯiz·neh,has committed harlotry,V‑Qal‑Imperf‑3fs,H2181,Hosea,1,36,15
הָאָ֔רֶץ,H776,"hā·’ā·reṣ,",the land,Art | N‑fs,H776,Hosea,1,37,15
מֵֽאַחֲרֵ֖י,H310,mê·’a·ḥă·rê,[By departing] from,Prep‑m,H310,Hosea,1,38,15
יְהוָֽה׃,H3068,Yah·weh.,Yahweh,N‑proper‑ms,H3068,Hosea,1,39,15
וַיִּקַּ֔ח,H3947,"way·yiq·qaḥ,",and took,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3947,Hosea,1,40,15
אֶת־,H853,’eṯ-,-,DirObjM,H853,Hosea,1,41,15
גֹּ֖מֶר,H1586,gō·mer,Gomer,N‑proper‑fs,H1586,Hosea,1,42,15
בַּת־,H1323,baṯ-,the daughter,N‑fsc,H1323,Hosea,1,43,15
דִּבְלָ֑יִם,H1691,diḇ·lā·yim;,of Diblaim,N‑proper‑ms,H1691,Hosea,1,44,15
וַתַּ֥הַר,H2029,wat·ta·har,and she conceived,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H2029,Hosea,1,45,15
וַתֵּֽלֶד־,H3205,wat·tê·leḏ-,and bore,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H3205,Hosea,1,46,15
בֵּֽן׃,H1121,bên.,a son,N‑ms,H1121,Hosea,1,47,15
יְהוָה֙,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,48,15
אֵלָ֔יו,H413,"’ê·lāw,",to him,Prep | 3ms,H413,Hosea,1,49,15
קְרָ֥א,H7121,qə·rā,Call,V‑Qal‑Imp‑ms,H7121,Hosea,1,50,15
שְׁמ֖וֹ,H8034,šə·mōw,his name,N‑msc | 3ms,H8034,Hosea,1,51,15
יִזְרְעֶ֑אל,H3157,yiz·rə·‘el;,Jezreel,N‑proper‑ms,H3157,Hosea,1,52,15
כִּי־,H3588,kî-,for,Conj,H3588,Hosea,1,53,15
ע֣וֹד,H5750,‘ō·wḏ,yet,Adv,H5750,Hosea,1,54,15
מְעַ֗ט,H4592,"mə·‘aṭ,",in a little [while],Adj‑ms,H4592,Hosea,1,55,15
וּפָ֨קַדְתִּ֜י,H6485,ū·p̄ā·qaḏ·tî,and I will avenge,Conj‑w | V‑Qal‑ConjPerf‑1cs,H6485,Hosea,1,56,15
אֶת־,H853,’eṯ-,-,DirObjM,H853,Hosea,1,57,15
דְּמֵ֤י,H1818,də·mê,the bloodshed,N‑mpc,H1818,Hosea,1,58,15
יִזְרְעֶאל֙,H3157,yiz·rə·‘el,of Jezreel,N‑proper‑fs,H3157,Hosea,1,59,15
עַל־,H5921,‘al-,on,Prep,H5921,Hosea,1,60,15
בֵּ֣ית,H1004,bêṯ,the house,N‑msc,H1004,Hosea,1,61,15
יֵה֔וּא,H3058,"yê·hū,",of Jehu,N‑proper‑ms,H3058,Hosea,1,62,15
וְהִ֨שְׁבַּתִּ֔י,H7673,"wə·hiš·bat·tî,",and bring to an end,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H7673,Hosea,1,63,15
מַמְלְכ֖וּת,H4468,mam·lə·ḵūṯ,the kingdom,N‑fsc,H4468,Hosea,1,64,15
בֵּ֥ית,H1004,bêṯ,of the house,N‑msc,H1004,Hosea,1,65,15
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Hosea,1,66,15
בַּיּ֣וֹם,H3117,bay·yō·wm,in day,"Prep‑b, Art | N‑ms",H3117,Hosea,1,67,15
הַה֑וּא,H1931,ha·hū;,that,Art | Pro‑3ms,H1931,Hosea,1,68,15
