hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הוֹשֵׁ֙עַ֙,H1954,hō·wō·šê·a‘,Hosea,N‑proper‑ms,H1954,Hosea,1,5,15
בְּאֵרִ֔י,H882,"bə·’ê·rî,",of Beeri,N‑proper‑ms,H882,Hosea,1,7,15
גֹּ֖מֶר,H1586,gō·mer,Gomer,N‑proper‑fs,H1586,Hosea,1,42,15
דִּבְלָ֑יִם,H1691,diḇ·lā·yim;,of Diblaim,N‑proper‑ms,H1691,Hosea,1,44,15
יִזְרְעֶ֑אל,H3157,yiz·rə·‘el;,Jezreel,N‑proper‑ms,H3157,Hosea,1,52,15
יֵה֔וּא,H3058,"yê·hū,",of Jehu,N‑proper‑ms,H3058,Hosea,1,62,15
מַמְלְכ֖וּת,H4468,mam·lə·ḵūṯ,the kingdom,N‑fsc,H4468,Hosea,1,64,15
רֻחָ֑מָה,H3819,ru·ḥā·māh;,Lo-ruhamah,N‑proper‑fs,H3819,Hosea,1,81,15
עַמִּ֑י,H3818,‘am·mî;,for,Conj,H3818,Hosea,1,112,15
וְלַאֲחֽוֹתֵיכֶ֖ם,H269,wə·la·’ă·ḥō·w·ṯê·ḵem,and to your sisters,"Conj‑w, Prep‑l | N‑fpc | 2mp",H269,Hosea,2,160,15
וְנַאֲפוּפֶ֖יהָ,H5005,wə·na·’ă·p̄ū·p̄e·hā,and her adulteries,Conj‑w | N‑mpc | 3fs,H5005,Hosea,2,174,15
וְשִׁקּוּיָֽי׃,H8250,wə·šiq·qū·yāy.,and my drink,Conj‑w | N‑mpc | 1cs,H8250,Hosea,2,211,15
שָׂ֥ךְ,H7753,śāḵ,I will hedge up,V‑Qal‑Prtcpl‑ms,H7753,Hosea,2,213,15
נַבְלֻתָ֖הּ,H5040,naḇ·lu·ṯāh,her lewdness,N‑fsc | 3fs,H5040,Hosea,2,268,15
אֶתְנָ֥ה,H866,’eṯ·nāh,my wages,N‑fs,H866,Hosea,2,286,15
וְחֶלְיָתָ֔הּ,H2484,"wə·ḥel·yā·ṯāh,",and jewelry,Conj‑w | N‑fsc | 3fs,H2484,Hosea,2,305,15
מְפַתֶּ֔יהָ,H6601,"mə·p̄at·te·hā,",will allure her,V‑Piel‑Prtcpl‑msc | 3fs,H6601,Hosea,2,315,15
בַּעְלִֽי׃,H1180,ba‘·lî.,Me My Master,N‑msc | 1cs,H1180,Hosea,2,346,15
וְאֵרַשְׂתִּ֥יךְ,H781,wə·’ê·raś·tîḵ,and Yes I will betroth you,Conj‑w | V‑Piel‑ConjPerf‑1cs | 2fs2,H781,Hosea,2,375,15
אֲשִׁישֵׁ֥י,H809,’ă·šî·šê,the cakes [of the pagans],N‑fpc,H809,Hosea,3,440,15
וְלֵ֥תֶךְ,H3963,wə·lê·ṯeḵ,and one-half homers,Conj‑w | N‑msc,H3963,Hosea,3,447,15
אֵפ֖וֹד,H646,’ê·p̄ō·wḏ,ephod,N‑ms,H646,Hosea,3,475,15
וְלִבְנֶ֛ה,H3839,wə·liḇ·neh,and poplars,Conj‑w | N‑ms,H3839,Hosea,4,619,15
הַקְּדֵשׁ֖וֹת,H6948,haq·qə·ḏê·šō·wṯ,a ritual harlot,Art | Adj‑fp,H6948,Hosea,4,645,15
יִלָּבֵֽט׃,H3832,yil·lā·ḇêṭ.,will be trampled,V‑Nifal‑Imperf‑3ms,H3832,Hosea,4,650,15
אָ֔וֶן,H1007,"’ā·wen,",Beth Aven,N‑proper‑fs,H1007,Hosea,4,662,15
לְמִצְפָּ֔ה,H4709,"lə·miṣ·pāh,",to Mizpah,Prep‑l | N‑proper‑fs,H4709,Hosea,5,704,15
תָּבֽוֹר׃,H8396,tā·ḇō·wr.,Tabor,N‑proper‑fs,H8396,Hosea,5,708,15
שֵׂטִ֖ים,H7846,śê·ṭîm,the revolters,N‑mp,H7846,Hosea,5,709,15
חֲצֹצְרָ֖ה,H2689,ḥă·ṣō·ṣə·rāh,the trumpet,N‑fs,H2689,Hosea,5,771,15
הוֹאִ֔יל,H2974,"hō·w·’îl,",he willingly,V‑Hifil‑Perf‑3ms,H2974,Hosea,5,797,15
מְזֹר֔וֹ,H4205,"mə·zō·rōw,",his wound,N‑msc | 3ms,H4205,Hosea,5,811,15
יָרֵ֑ב,H3377,yā·rêḇ;,Jareb,N‑proper‑ms,H3377,Hosea,5,819,15
יִגְהֶ֥ה,H1455,yiḡ·heh,heal,V‑Qal‑Imperf‑3ms,H1455,Hosea,5,825,15
כַשַּׁ֙חַל֙,H7826,ḵaš·ša·ḥal,like a lion,"Prep‑k, Art | N‑ms",H7826,Hosea,5,829,15
י֥וֹרֶה,H3138,yō·w·reh,[and] former rain,V‑Hifil‑Imperf‑3ms,H3138,Hosea,6,877,15
כְּאָדָ֖ם,H121,kə·’ā·ḏām,like men,Prep‑k | N‑ms,H121,Hosea,6,906,15
שֶׁ֑כְמָה,H7927,šeḵ·māh;,to Shechem,N‑proper‑fs | 3fs,H7927,Hosea,6,922,15
(שַׁעֲרֽוּרִיָּ֑ה),H8186,ša·‘ă·rū·rî·yāh;,a horrible thing,Adj‑fs,H8186,Hosea,6,928,15
זְנ֣וּת,H2184,zə·nūṯ,the harlotry,N‑fs,H2184,Hosea,6,930,15
מִלּ֥וּשׁ,H3888,mil·lūš,after kneading,Prep‑m | V‑Qal‑Inf,H3888,Hosea,7,976,15
בָּצֵ֖ק,H1217,bā·ṣêq,the dough,N‑ms,H1217,Hosea,7,977,15
לֹצְצִֽים׃,H3945,lō·ṣə·ṣîm.,scoffers,V‑Piel‑Prtcpl‑mp,H3945,Hosea,7,988,15
יִתְבּוֹלָ֑ל,H1101,yiṯ·bō·w·lāl;,has mixed,V‑Hitpael‑Imperf‑3ms,H1101,Hosea,7,1015,15
