hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
קֹהֶ֣לֶת,H6953,qō·he·leṯ,of the Teacher,N‑ms,H6953,Ecclesiastes,1,1,16
יִּתְר֖וֹן,H3504,yiṯ·rō·wn,profit,N‑ms,H3504,Ecclesiastes,1,13,16
דָּר֔וֹם,H1864,"dā·rō·wm,",the south,N‑ms,H1864,Ecclesiastes,1,36,16
מָלֵ֑א,H4392,mā·lê;,full,Adj‑ms,H4392,Ecclesiastes,1,54,16
יְגֵעִ֔ים,H3023,"yə·ḡê·‘îm,",wearisome,Adj‑mp,H3023,Ecclesiastes,1,64,16
כְּבָר֙,H3528,kə·ḇār,already,Adv,H3528,Ecclesiastes,1,95,16
וְלָתוּר֙,H8446,wə·lā·ṯūr,and search out,"Conj‑w, Prep‑l | V‑Qal‑Inf",H8446,Ecclesiastes,1,122,16
עִנְיַ֣ן,H6045,‘in·yan,task,N‑msc,H6045,Ecclesiastes,1,131,16
וּרְע֥וּת,H7469,ū·rə·‘ūṯ,and grasping for,Conj‑w | N‑fsc,H7469,Ecclesiastes,1,147,16
לִתְקֹ֑ן,H8626,liṯ·qōn;,straight,Prep‑l | V‑Qal‑Inf,H8626,Ecclesiastes,1,151,16
וְחֶסְר֖וֹן,H2642,wə·ḥes·rō·wn,and what is lacking,Conj‑w | N‑ms,H2642,Ecclesiastes,1,152,16
הוֹלֵל֖וֹת,H1947,hō·w·lê·lō·wṯ,madness,N‑fp,H1947,Ecclesiastes,1,181,16
וְשִׂכְל֑וּת,H5531,wə·śiḵ·lūṯ;,and folly,Conj‑w | N‑fs,H5531,Ecclesiastes,1,182,16
רַעְי֥וֹן,H7475,ra‘·yō·wn,grasping for,N‑msc,H7475,Ecclesiastes,1,187,16
כָּ֑עַס,H3708,kā·‘as;,grief,N‑ms,H3708,Ecclesiastes,1,192,16
זֹּ֥ה,H2090,zōh,this,Pro‑fs,H2090,Ecclesiastes,2,213,16
וּפַרְדֵּסִ֑ים,H6508,ū·p̄ar·dê·sîm;,and orchards,Conj‑w | N‑mp,H6508,Ecclesiastes,2,246,16
שִׁדָּ֥ה,H7705,šid·dāh,many,N‑fs,H7705,Ecclesiastes,2,285,16
אָצַ֖לְתִּי,H680,’ā·ṣal·tî,I did keep,V‑Qal‑Perf‑1cs,H680,Ecclesiastes,2,299,16
וְהַכְּסִ֖יל,H3684,wə·hak·kə·sîl,but the fool,"Conj‑w, Art | N‑ms",H3684,Ecclesiastes,2,361,16
יוֹתֵ֑ר,H3148,yō·w·ṯêr;,more,N‑ms,H3148,Ecclesiastes,2,383,16
עָמֵ֖ל,H6001,‘ā·mêl,had toiled,N‑ms,H6001,Ecclesiastes,2,424,16
סָכָ֔ל,H5530,"sā·ḵāl,",a fool,N‑ms,H5530,Ecclesiastes,2,435,16
וְיִשְׁלַט֙,H7980,wə·yiš·laṭ,and yet he will rule,Conj‑w | V‑Qal‑ConjImperf‑3ms,H7980,Ecclesiastes,2,436,16
וּבְכִשְׁר֑וֹן,H3788,ū·ḇə·ḵiš·rō·wn;,and skill,"Conj‑w, Prep‑b | N‑ms",H3788,Ecclesiastes,2,461,16
זְמָ֑ן,H2165,zə·mān;,[there is] a season,N‑ms,H2165,Ecclesiastes,3,541,16
