hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
לִשְׁלֹמֹֽה׃,H8010,liš·lō·mōh.,[is] of Solomon,Prep‑l | N‑proper‑ms,H8010,Song of Songs,1,3,17
מִנְּשִׁיק֣וֹת,H5390,min·nə·šî·qō·wṯ,with the kisses,Prep‑m | N‑fpc,H5390,Song of Songs,1,4,17
וְֽנָאוָ֔ה,H5000,"wə·nā·wāh,",but lovely,Conj‑w | Adj‑fs,H5000,Song of Songs,1,32,17
שְׁחַרְחֹ֔רֶת,H7840,"šə·ḥar·ḥō·reṯ,",[am] dark,Adj‑fs,H7840,Song of Songs,1,41,17
שֶׁשֱּׁזָפַ֖תְנִי,H7805,šeš·šĕ·zā·p̄aṯ·nî,because has tanned me,Pro‑r | V‑Qal‑Perf‑3fs | 1cs,H7805,Song of Songs,1,42,17
בְּעִקְבֵ֣י,H6119,bə·‘iq·ḇê,in the footsteps,Prep‑b | N‑mpc,H6119,Song of Songs,1,72,17
גְּדִיֹּתַ֔יִךְ,H1429,"gə·ḏî·yō·ṯa·yiḵ,",your little goats,N‑fpc | 2fs,H1429,Song of Songs,1,76,17
רַעְיָתִֽי׃,H7474,ra‘·yā·ṯî.,my love,N‑fsc | 1cs,H7474,Song of Songs,1,83,17
בַּתֹּרִ֔ים,H8447,"bat·tō·rîm,",with ornaments,"Prep‑b, Art | N‑mp",H8447,Song of Songs,1,85,17
בַּחֲרוּזִֽים׃,H2737,ba·ḥă·rū·zîm.,with chains [of gold],"Prep‑b, Art | N‑mp",H2737,Song of Songs,1,87,17
נְקֻדּ֥וֹת,H5351,nə·qud·dō·wṯ,studs,N‑fpc,H5351,Song of Songs,1,91,17
בִּמְסִבּ֔וֹ,H4524,"bim·sib·bōw,",at his table,Prep‑b | N‑msc | 3ms,H4524,Song of Songs,1,94,17
נִרְדִּ֖י,H5373,nir·dî,My spikenard,N‑msc | 1cs,H5373,Song of Songs,1,95,17
הַמֹּ֤ר ׀,H4753,ham·mōr,of myrrh,Art | N‑ms,H4753,Song of Songs,1,98,17
גֶּֽדִי׃,H5872,ge·ḏî.,En Gedi,N‑proper‑fs,H5872,Song of Songs,1,106,17
נָעִ֔ים,H5273,"nā·‘îm,",pleasant,Adj‑ms,H5273,Song of Songs,1,116,17
(רַהִיטֵ֖נוּ),H7351,ra·hî·ṭê·nū,[And] our rafters of,N‑msc | 1cp,H7351,Song of Songs,1,122,17
בְּרוֹתִֽים׃,H1266,bə·rō·w·ṯîm.,fir,N‑mp,H1266,Song of Songs,1,123,17
וְדִגְל֥וֹ,H1714,wə·ḏiḡ·lōw,and his banner,Conj‑w | N‑msc | 3ms,H1714,Song of Songs,2,149,17
רַפְּד֖וּנִי,H7502,rap·pə·ḏū·nî,Refresh me,V‑Piel‑Imp‑mp | 1cs,H7502,Song of Songs,2,153,17
לְעֹ֣פֶר,H6082,lə·‘ō·p̄er,young,Prep‑l | N‑msc,H6082,Song of Songs,2,191,17
כָּתְלֵ֔נוּ,H3796,"kā·ṯə·lê·nū,",our wall,N‑msc | 1cp,H3796,Song of Songs,2,197,17
הַֽחֲרַכִּֽים׃,H2762,ha·ḥă·rak·kîm.,the lattice,Art | N‑mp,H2762,Song of Songs,2,203,17
(הַסְּתָ֖יו),H5638,has·sə·ṯāw,the winter,Art | N‑ms,H5638,Song of Songs,2,211,17
הַתּ֖וֹר,H8449,hat·tō·wr,of the turtledove,Art | N‑fs,H8449,Song of Songs,2,222,17
חָֽנְטָ֣ה,H2590,ḥā·nə·ṭāh,puts forth,V‑Qal‑Perf‑3fs,H2590,Song of Songs,2,225,17
פַגֶּ֔יהָ,H6291,"p̄ag·ge·hā,",her green figs,N‑mpc | 3fs,H6291,Song of Songs,2,226,17
סְמָדַ֖ר,H5563,sə·mā·ḏar,the tender grapes,N‑ms,H5563,Song of Songs,2,228,17
הַמַּדְרֵגָ֔ה,H4095,"ham·maḏ·rê·ḡāh,",of the cliff,Art | N‑fs,H4095,Song of Songs,2,239,17
עָרֵ֖ב,H6156,‘ā·rêḇ,[is] sweet,Adj‑ms,H6156,Song of Songs,2,248,17
הַצְּלָלִ֑ים,H6752,haṣ·ṣə·lā·lîm;,the shadows,Art | N‑mp,H6752,Song of Songs,2,264,17
בָֽתֶר׃,H1335,ḇā·ṯer.,of Bether,N‑ms,H1335,Song of Songs,2,274,17
אַבְקַ֥ת,H81,’aḇ·qaṯ,fragrant powders,N‑fsc,H81,Song of Songs,3,346,17
יְרֵכ֔וֹ,H3409,"yə·rê·ḵōw,",his thigh,N‑fsc | 3ms,H3409,Song of Songs,3,362,17
רְפִידָת֣וֹ,H7507,rə·p̄î·ḏā·ṯōw,Its support,N‑fsc | 3ms,H7507,Song of Songs,3,372,17
מֶרְכָּב֖וֹ,H4817,mer·kā·ḇōw,Its seat,N‑msc | 3ms,H4817,Song of Songs,3,374,17
אַרְגָּמָ֑ן,H713,’ar·gā·mān;,[of] purple,N‑ms,H713,Song of Songs,3,375,17
רָצ֣וּף,H7528,rā·ṣūp̄,paved,V‑Qal‑QalPassPrtcpl‑ms,H7528,Song of Songs,3,377,17
חֲתֻנָּת֔וֹ,H2861,"ḥă·ṯun·nā·ṯōw,",of his wedding,N‑fsc | 3ms,H2861,Song of Songs,3,390,17
הָֽעִזִּ֔ים,H5795,"hā·‘iz·zîm,",of goats,Art | N‑fp,H5795,Song of Songs,4,404,17
שֶׁגָּלְשׁ֖וּ,H1570,šeg·gā·lə·šū,Going down,Pro‑r | V‑Qal‑Perf‑3cp,H1570,Song of Songs,4,405,17
הַקְּצוּב֔וֹת,H7094,"haq·qə·ṣū·ḇō·wṯ,",shorn,Art | V‑Qal‑QalPassPrtcpl‑fp,H7094,Song of Songs,4,409,17
הָרַחְצָ֑ה,H7367,hā·raḥ·ṣāh;,the washing,Art | N‑fs,H7367,Song of Songs,4,412,17
