hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּימֵ֣י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Esther,1,1,18
אֲחַשְׁוֵר֑וֹשׁ,H325,’ă·ḥaš·wê·rō·wōš;,of Ahasuerus,N‑proper‑ms,H325,Esther,1,2,18
ה֣וּא,H1931,hū,he [was],Pro‑3ms,H1931,Esther,1,3,18
הַמֹּלֵךְ֙,H4427,ham·mō·lêḵ,who reigned over,Art | V‑Qal‑Prtcpl‑ms,H4427,Esther,1,5,18
מֵהֹ֣דּוּ,H1912,mê·hōd·dū,from India,Prep‑m | N‑proper‑fs,H1912,Esther,1,6,18
וְעַד־,H5704,wə·‘aḏ-,and to,Conj‑w | Prep,H5704,Esther,1,7,18
כּ֔וּשׁ,H3568,"kūš,",Ethiopia,N‑proper‑fs,H3568,Esther,1,8,18
שֶׁ֛בַע,H7651,še·ḇa‘,seven,Number‑fs,H7651,Esther,1,9,18
וְעֶשְׂרִ֥ים,H6242,wə·‘eś·rîm,and twenty,Conj‑w | Number‑cp,H6242,Esther,1,10,18
וּמֵאָ֖ה,H3967,ū·mê·’āh,and a hundred,Conj‑w | Number‑fs,H3967,Esther,1,11,18
מְדִינָֽה׃,H4082,mə·ḏî·nāh.,provinces,N‑fs,H4082,Esther,1,12,18
הָהֵ֑ם,H1992,hā·hêm;,those,Art | Pro‑3mp,H1992,Esther,1,13,18
כְּשֶׁ֣בֶת ׀,H7675,kə·še·ḇeṯ,when sat,Prep‑k | V‑Qal‑Inf,H7675,Esther,1,14,18
הַמֶּ֣לֶךְ,H4428,ham·me·leḵ,King,Art | N‑ms,H4428,Esther,1,15,18
עַ֚ל,H5921,‘al,on,Prep,H5921,Esther,1,17,18
כִּסֵּ֣א,H3678,kis·sê,the throne,N‑msc,H3678,Esther,1,18,18
מַלְכוּת֔וֹ,H4438,"mal·ḵū·ṯōw,",of his kingdom,N‑fsc | 3ms,H4438,Esther,1,19,18
אֲשֶׁ֖ר,H834,’ă·šer,which,Pro‑r,H834,Esther,1,20,18
