hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
קָרְבָּ֖ן,H7133,qār·bān,an offering,N‑ms,H7133,Leviticus,1,18,20
וְנִתַּ֥ח,H5408,wə·nit·taḥ,and cut,Conj‑w | V‑Piel‑ConjPerf‑3ms,H5408,Leviticus,1,75,20
לִנְתָחֶֽיהָ׃,H5409,lin·ṯā·ḥe·hā.,into its pieces,Prep‑l | N‑mpc | 3fs,H5409,Leviticus,1,77,20
הַפָּ֑דֶר,H6309,hap·pā·ḏer;,the fat,Art | N‑ms,H6309,Leviticus,1,96,20
אִשֵּׁ֥ה,H801,’iš·šêh,an offering made by fire,N‑msc,H801,Leviticus,1,114,20
נִיח֖וֹחַ,H5207,nî·ḥō·w·aḥ,a sweet,N‑ms,H5207,Leviticus,1,116,20
הַכְּשָׂבִ֛ים,H3775,hak·kə·śā·ḇîm,the sheep,Art | N‑mp,H3775,Leviticus,1,122,20
וּמָלַק֙,H4454,ū·mā·laq,and wring off,Conj‑w | V‑Qal‑ConjPerf‑3ms,H4454,Leviticus,1,195,20
מֻרְאָת֖וֹ,H4760,mur·’ā·ṯōw,its crop,N‑fsc | 3ms,H4760,Leviticus,1,206,20
בְּנֹצָתָ֑הּ,H5133,bə·nō·ṣā·ṯāh;,with its feathers,Prep‑b | N‑fsc | 3fs,H5133,Leviticus,1,207,20
סֹ֖לֶת,H5560,sō·leṯ,[of] fine flour,N‑fs,H5560,Leviticus,2,240,20
וְקָמַ֨ץ,H7061,wə·qā·maṣ,and one of whom shall take,Conj‑w | V‑Qal‑ConjPerf‑3ms,H7061,Leviticus,2,253,20
קֻמְצ֗וֹ,H7062,"qum·ṣōw,",his handful,N‑msc | 3ms,H7062,Leviticus,2,256,20
אַזְכָּרָתָהּ֙,H234,’az·kā·rā·ṯāh,[as] a memorial,N‑fsc | 3fs,H234,Leviticus,2,265,20
מַאֲפֵ֣ה,H3989,ma·’ă·p̄êh,baked in,N‑msc,H3989,Leviticus,2,282,20
חַלּ֤וֹת,H2471,ḥal·lō·wṯ,cakes,N‑fpc,H2471,Leviticus,2,285,20
מַצֹּת֙,H4682,maṣ·ṣōṯ,[it shall be] unleavened,N‑fp,H4682,Leviticus,2,286,20
וּרְקִיקֵ֥י,H7550,ū·rə·qî·qê,or wafers,Conj‑w | N‑mpc,H7550,Leviticus,2,289,20
הַֽמַּחֲבַ֖ת,H4227,ham·ma·ḥă·ḇaṯ,a pan,Art | N‑fs,H4227,Leviticus,2,295,20
מַרְחֶ֖שֶׁת,H4802,mar·ḥe·šeṯ,a covered pan,N‑fs,H4802,Leviticus,2,310,20
שְׂאֹר֙,H7603,śə·’ōr,leaven,N‑ms,H7603,Leviticus,2,355,20
אָבִ֞יב,H24,’ā·ḇîḇ,[green] heads of [grain],N‑ms,H24,Leviticus,2,393,20
קָל֤וּי,H7033,qā·lui,roasted,V‑Qal‑QalPassPrtcpl‑ms,H7033,Leviticus,2,394,20
גֶּ֣רֶשׂ,H1643,ge·reś,grain beaten,N‑msc,H1643,Leviticus,2,396,20
נְקֵבָ֔ה,H5347,"nə·qê·ḇāh,",female,N‑fs,H5347,Leviticus,3,430,20
הַיֹּתֶ֙רֶת֙,H3508,hay·yō·ṯe·reṯ,the fatty lobe,Art | N‑fs,H3508,Leviticus,3,477,20
הָאַלְיָ֣ה,H451,hā·’al·yāh,[and] the fatty tail,Art | N‑fs,H451,Leviticus,3,542,20
הֶעָצֶ֖ה,H6096,he·‘ā·ṣeh,the backbone,Art | N‑ms,H6096,Leviticus,3,545,20
מֽוֹשְׁבֹתֵיכֶ֑ם,H4186,mō·wō·šə·ḇō·ṯê·ḵem;,your dwellings,N‑mpc | 2mp,H4186,Leviticus,3,644,20
פָּרֹ֥כֶת,H6532,pā·rō·ḵeṯ,of the veil,N‑fsc,H6532,Leviticus,4,729,20
הַסַּמִּים֙,H5561,has·sam·mîm,sweet,Art | N‑mp,H5561,Leviticus,4,738,20
שֶׁ֣פֶךְ,H8211,še·p̄eḵ,are poured out,N‑msc,H8211,Leviticus,4,820,20
נָשִׂ֖יא,H5387,nā·śî,a ruler,N‑ms,H5387,Leviticus,4,952,20
שְׂעִירַ֤ת,H8166,śə·‘î·raṯ,a kid,N‑fsc,H8166,Leviticus,4,1041,20
שֶׁ֣רֶץ,H8318,še·reṣ,of creeping things,N‑ms,H8318,Leviticus,5,1185,20
כִּשְׂבָּ֛ה,H3776,kiś·bāh,a lamb,N‑fs,H3776,Leviticus,5,1243,20
מַ֔עַל,H4604,"ma·‘al,",a trespass,N‑ms,H4604,Leviticus,5,1375,20
בְּעֶרְכְּךָ֛,H6187,bə·‘er·kə·ḵā,with your valuation,Prep‑b | N‑msc | 2ms,H6187,Leviticus,5,1388,20
שָׁגָ֛ג,H7683,šā·ḡāḡ,he erred,V‑Qal‑Perf‑3ms,H7683,Leviticus,5,1442,20
בְּפִקָּד֗וֹן,H6487,"bə·p̄iq·qā·ḏō·wn,",about what was delivered to him for safekeeping,Prep‑b | N‑ms,H6487,Leviticus,6,1462,20
בִתְשׂ֤וּמֶת,H8667,ḇiṯ·śū·meṯ,about,Prep‑b | N‑fsc,H8667,Leviticus,6,1464,20
אֲבֵדָ֛ה,H9,’ă·ḇê·ḏāh,a lost thing,N‑fs,H9,Leviticus,6,1473,20
מוֹקְדָ֨ה,H4169,mō·wq·ḏāh,the hearth,N‑fs,H4169,Leviticus,6,1563,20
