hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֶל־,H413,’el-,to,Prep,H413,Leviticus,1,1,20
מֹשֶׁ֑ה,H4872,mō·šeh;,Moses,N‑proper‑ms,H4872,Leviticus,1,2,20
וַיְדַבֵּ֤ר,H1696,way·ḏab·bêr,and spoke,Conj‑w | V‑Piel‑ConsecImperf‑3ms,H1696,Leviticus,1,3,20
יְהוָה֙,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Leviticus,1,4,20
מֵאֹ֥הֶל,H168,mê·’ō·hel,from the tabernacle,Prep‑m | N‑msc,H168,Leviticus,1,6,20
מוֹעֵ֖ד,H4150,mō·w·‘êḏ,of meeting,N‑ms,H4150,Leviticus,1,7,20
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Leviticus,1,8,20
בְּנֵ֤י,H1121,bə·nê,the sons,N‑mpc,H1121,Leviticus,1,10,20
יִשְׂרָאֵל֙,H3478,yiś·rā·’êl,of Israel,N‑proper‑ms,H3478,Leviticus,1,11,20
אָדָ֗ם,H120,"’ā·ḏām,",any one,N‑ms,H120,Leviticus,1,14,20
כִּֽי־,H3588,kî-,when,Conj,H3588,Leviticus,1,15,20
יַקְרִ֥יב,H7126,yaq·rîḇ,brings,V‑Hifil‑Imperf‑3ms,H7126,Leviticus,1,16,20
מִכֶּ֛ם,H4480,mik·kem,of you,Prep | 2mp,H4480,Leviticus,1,17,20
קָרְבָּ֖ן,H7133,qār·bān,an offering,N‑ms,H7133,Leviticus,1,18,20
הַבְּהֵמָ֗ה,H929,"hab·bə·hê·māh,",the livestock,Art | N‑fs,H929,Leviticus,1,21,20
הַבָּקָר֙,H1241,hab·bā·qār,the herd,Art | N‑ms,H1241,Leviticus,1,23,20
הַצֹּ֔אן,H6629,"haṣ·ṣōn,",of the flock,Art | N‑cs,H6629,Leviticus,1,25,20
אֶת־,H853,’eṯ-,-,DirObjM,H853,Leviticus,1,27,20
עֹלָ֤ה,H5930,‘ō·lāh,[is] a burnt sacrifice,N‑fs,H5930,Leviticus,1,29,20
זָכָ֥ר,H2145,zā·ḵār,a male,N‑ms,H2145,Leviticus,1,33,20
תָּמִ֖ים,H8549,tā·mîm,without blemish,Adj‑ms,H8549,Leviticus,1,34,20
פֶּ֝תַח‪‬,H6607,pe·ṯaḥ,the door,N‑msc,H6607,Leviticus,1,37,20
לִרְצֹנ֖וֹ,H7522,lir·ṣō·nōw,of his own free will,Prep‑l | N‑msc | 3ms,H7522,Leviticus,1,42,20
לִפְנֵ֥י,H6440,lip̄·nê,before,Prep‑l | N‑cpc,H6440,Leviticus,1,43,20
יָד֔וֹ,H3027,"yā·ḏōw,",his hand,N‑fsc | 3ms,H3027,Leviticus,1,45,20
עַ֖ל,H5921,‘al,on,Prep,H5921,Leviticus,1,46,20
רֹ֣אשׁ,H7218,rōš,the head,N‑msc,H7218,Leviticus,1,47,20
וְנִרְצָ֥ה,H7521,wə·nir·ṣāh,and it will be accepted,Conj‑w | V‑Nifal‑ConjPerf‑3ms,H7521,Leviticus,1,49,20
לְכַפֵּ֥ר,H3722,lə·ḵap·pêr,to make atonement,Prep‑l | V‑Piel‑Inf,H3722,Leviticus,1,50,20
אַהֲרֹ֤ן,H175,’a·hă·rōn,of Aaron,N‑proper‑ms,H175,Leviticus,1,59,20
הַֽכֹּֽהֲנִים֙,H3548,hak·kō·hă·nîm,the priests,Art | N‑mp,H3548,Leviticus,1,60,20
הַדָּ֔ם,H1818,"had·dām,",the blood,Art | N‑ms,H1818,Leviticus,1,62,20
וְזָרְק֨וּ,H2236,wə·zā·rə·qū,and sprinkle,Conj‑w | V‑Qal‑ConjPerf‑3cp,H2236,Leviticus,1,63,20
הַמִּזְבֵּ֙חַ֙,H4196,ham·miz·bê·aḥ,the altar,Art | N‑ms,H4196,Leviticus,1,67,20
סָבִ֔יב,H5439,"sā·ḇîḇ,",all around,Adv,H5439,Leviticus,1,68,20
אֲשֶׁר־,H834,’ă·šer-,that,Pro‑r,H834,Leviticus,1,69,20
וְנִתַּ֥ח,H5408,wə·nit·taḥ,and cut,Conj‑w | V‑Piel‑ConjPerf‑3ms,H5408,Leviticus,1,75,20
לִנְתָחֶֽיהָ׃,H5409,lin·ṯā·ḥe·hā.,into its pieces,Prep‑l | N‑mpc | 3fs,H5409,Leviticus,1,77,20
אֵ֖שׁ,H784,’êš,fire,N‑cs,H784,Leviticus,1,81,20
וְעָרְכ֥וּ,H6186,wə·‘ā·rə·ḵū,and lay in order,Conj‑w | V‑Qal‑ConjPerf‑3cp,H6186,Leviticus,1,84,20
עֵצִ֖ים,H6086,‘ê·ṣîm,the wood,N‑mp,H6086,Leviticus,1,85,20
אֶת־,H854,’eṯ-,for,Prep,H854,Leviticus,1,93,20
הַפָּ֑דֶר,H6309,hap·pā·ḏer;,the fat,Art | N‑ms,H6309,Leviticus,1,96,20
וּכְרָעָ֖יו,H3767,ū·ḵə·rā·‘āw,and its legs,Conj‑w | N‑fpc | 3ms,H3767,Leviticus,1,105,20
יִרְחַ֣ץ,H7364,yir·ḥaṣ,he shall wash,V‑Qal‑Imperf‑3ms,H7364,Leviticus,1,106,20
בַּמָּ֑יִם,H4325,bam·mā·yim;,with water,"Prep‑b, Art | N‑mp",H4325,Leviticus,1,107,20
וְהִקְטִ֨יר,H6999,wə·hiq·ṭîr,and shall burn,Conj‑w | V‑Hifil‑ConjPerf‑3ms,H6999,Leviticus,1,108,20
הַכֹּל֙,H3605,hak·kōl,all,Art | N‑ms,H3605,Leviticus,1,111,20
אִשֵּׁ֥ה,H801,’iš·šêh,an offering made by fire,N‑msc,H801,Leviticus,1,114,20
רֵֽיחַ־,H7381,rê·aḥ-,aroma,N‑msc,H7381,Leviticus,1,115,20
נִיח֖וֹחַ,H5207,nî·ḥō·w·aḥ,a sweet,N‑ms,H5207,Leviticus,1,116,20
הַכְּשָׂבִ֛ים,H3775,hak·kə·śā·ḇîm,the sheep,Art | N‑mp,H3775,Leviticus,1,122,20
א֥וֹ,H176,’ōw,or,Conj,H176,Leviticus,1,123,20
הָעִזִּ֖ים,H5795,hā·‘iz·zîm,the goats,Art | N‑fp,H5795,Leviticus,1,125,20
יֶ֧רֶךְ,H3409,ye·reḵ,the side,N‑fsc,H3409,Leviticus,1,132,20
צָפֹ֖נָה,H6828,ṣā·p̄ō·nāh,north,N‑fs | 3fs,H6828,Leviticus,1,134,20
יְהוָ֑ה,H3069,Yah·weh;,Yahweh,N‑proper‑ms,H3069,Leviticus,1,136,20
ה֗וּא,H1931,"hū,",it,Pro‑3ms,H1931,Leviticus,1,173,20
הָע֛וֹף,H5775,hā·‘ō·wp̄,birds,Art | N‑ms,H5775,Leviticus,1,179,20
הַתֹּרִ֗ים,H8449,"hat·tō·rîm,",turtledoves,Art | N‑fp,H8449,Leviticus,1,185,20
הַיּוֹנָ֖ה,H3123,hay·yō·w·nāh,pigeons,Art | N‑fs,H3123,Leviticus,1,189,20
וּמָלַק֙,H4454,ū·mā·laq,and wring off,Conj‑w | V‑Qal‑ConjPerf‑3ms,H4454,Leviticus,1,195,20
וְנִמְצָ֣ה,H4680,wə·nim·ṣāh,and shall be drained out,Conj‑w | V‑Nifal‑ConjPerf‑3ms,H4680,Leviticus,1,200,20
קִ֥יר,H7023,qîr,the side,N‑msc,H7023,Leviticus,1,203,20
מֻרְאָת֖וֹ,H4760,mur·’ā·ṯōw,its crop,N‑fsc | 3ms,H4760,Leviticus,1,206,20
בְּנֹצָתָ֑הּ,H5133,bə·nō·ṣā·ṯāh;,with its feathers,Prep‑b | N‑fsc | 3fs,H5133,Leviticus,1,207,20
וְהִשְׁלִ֨יךְ,H7993,wə·hiš·lîḵ,and cast,Conj‑w | V‑Hifil‑ConjPerf‑3ms,H7993,Leviticus,1,208,20
אֵ֤צֶל,H681,’ê·ṣel,beside,Prep,H681,Leviticus,1,210,20
קֵ֔דְמָה,H6924,"qê·ḏə·māh,",on the east side,Adv | 3fs,H6924,Leviticus,1,212,20
מְק֖וֹם,H4725,mə·qō·wm,the place for,N‑msc,H4725,Leviticus,1,214,20
הַדָּֽשֶׁן׃,H1880,had·dā·šen.,ashes,Art | N‑ms,H1880,Leviticus,1,215,20
בִכְנָפָיו֮,H3671,ḇiḵ·nā·p̄āw,at its wings,Prep‑b | N‑fpc | 3ms,H3671,Leviticus,1,217,20
לֹ֣א,H3808,lō,not,Adv‑NegPrt,H3808,Leviticus,1,218,20
יַבְדִּיל֒,H914,yaḇ·dîl,[but] shall divide [it] completely,V‑Hifil‑Imperf‑3ms,H914,Leviticus,1,219,20
מִנְחָה֙,H4503,min·ḥāh,a grain,N‑fs,H4503,Leviticus,2,238,20
סֹ֖לֶת,H5560,sō·leṯ,[of] fine flour,N‑fs,H5560,Leviticus,2,240,20
יִהְיֶ֣ה,H1961,yih·yeh,shall be,V‑Qal‑Imperf‑3ms,H1961,Leviticus,2,241,20
וְיָצַ֤ק,H3332,wə·yā·ṣaq,And he shall pour,Conj‑w | V‑Qal‑ConjPerf‑3ms,H3332,Leviticus,2,243,20
שֶׁ֔מֶן,H8081,"še·men,",oil,N‑ms,H8081,Leviticus,2,245,20
וְנָתַ֥ן,H5414,wə·nā·ṯan,and put,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5414,Leviticus,2,246,20
