hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
ס֜וּף,H5489,sūp̄,Suph,N‑proper‑fs,H5489,Dueteronomy,1,13,21
תֹּ֛פֶל,H8603,tō·p̄el,Tophel,N‑proper‑fs,H8603,Dueteronomy,1,17,21
וְלָבָ֥ן,H3837,wə·lā·ḇān,and Laban,Conj‑w | N‑proper‑fs,H3837,Dueteronomy,1,18,21
וַחֲצֵרֹ֖ת,H2698,wa·ḥă·ṣê·rōṯ,and Hazeroth,Conj‑w | N‑proper‑fs,H2698,Dueteronomy,1,19,21
זָהָֽב׃,H1774,zā·hāḇ.,Dizahab,Conj‑w | N‑proper‑fs,H1774,Dueteronomy,1,20,21
בַּרְנֵֽעַ׃,H6947,bar·nê·a‘.,Kadesh Barnea,N‑proper‑fs,H6947,Dueteronomy,1,28,21
סִיחֹן֙,H5511,sî·ḥōn,Sihon,N‑proper‑ms,H5511,Dueteronomy,1,49,21
ע֚וֹג,H5747,‘ō·wḡ,Og,N‑proper‑ms,H5747,Dueteronomy,1,56,21
בְּעַשְׁתָּרֹ֖ת,H6252,bə·‘aš·tā·rōṯ,at Ashtaroth,Prep‑b | N‑proper‑fs,H6252,Dueteronomy,1,61,21
בְּאֶדְרֶֽעִי׃,H154,bə·’eḏ·re·‘î.,in Edrei,Prep‑b | N‑proper‑fs,H154,Dueteronomy,1,62,21
וּבְח֣וֹף,H2348,ū·ḇə·ḥō·wp̄,and on,"Conj‑w, Prep‑b | N‑msc",H2348,Dueteronomy,1,93,21
פְּרָֽת׃,H6578,pə·rāṯ.,Euphrates,N‑proper‑fs,H6578,Dueteronomy,1,102,21
וְיַחְפְּרוּ־,H2658,wə·yaḥ·pə·rū-,and let them search out,Conj‑w | V‑Qal‑ConjImperf‑3mp,H2658,Dueteronomy,1,285,21
אֶשְׁכֹּ֑ל,H812,’eš·kōl;,of Eshcol,N‑proper‑fs,H812,Dueteronomy,1,315,21
עֲנָקִ֖ים,H6062,‘ă·nā·qîm,of Anak,N‑proper‑ms,H6062,Dueteronomy,1,370,21
כָּלֵ֤ב,H3612,kā·lêḇ,Caleb,N‑proper‑ms,H3612,Dueteronomy,1,449,21
יְפֻנֶּה֙,H3312,yə·p̄un·neh,of Jephunneh,N‑proper‑ms,H3312,Dueteronomy,1,451,21
נוּן֙,H5126,nūn,of Nun,N‑proper‑ms,H5126,Dueteronomy,1,475,21
וַתָּהִ֖ינוּ,H1951,wat·tā·hî·nū,and you were ready,Conj‑w | V‑Hifil‑ConsecImperf‑2mp,H1951,Dueteronomy,1,528,21
וַתָּזִ֖דוּ,H2102,wat·tā·zi·ḏū,and presumptuously,Conj‑w | V‑Hifil‑ConsecImperf‑2mp,H2102,Dueteronomy,1,552,21
חָרְמָֽה׃,H2767,ḥā·rə·māh.,Hormah,N‑proper‑fs,H2767,Dueteronomy,1,569,21
בְקָדֵ֖שׁ,H6946,ḇə·qā·ḏêš,in Kadesh,Prep‑b | N‑proper‑fs,H6946,Dueteronomy,1,580,21
מִדְרַ֣ךְ,H4096,miḏ·raḵ,a footprint,N‑msc,H4096,Dueteronomy,2,631,21
יְרֻשָּׁ֣ה,H3425,yə·ruš·šāh,[as] a possession,N‑fs,H3425,Dueteronomy,2,635,21
תִּכְר֧וּ,H3739,tiḵ·rū,you shall buy,V‑Qal‑Imperf‑2mp,H3739,Dueteronomy,2,647,21
מֵאֵילַ֖ת,H359,mê·’ê·laṯ,away from Elath,Prep‑m | N‑proper‑fs,H359,Dueteronomy,2,680,21
גָּ֑בֶר,H6100,gā·ḇer;,Ezion Geber,"Conj‑w, Prep | N‑proper‑fs",H6100,Dueteronomy,2,681,21
ל֔וֹט,H3876,"lō·wṭ,",of Lot,N‑proper‑ms,H3876,Dueteronomy,2,703,21
אֵמִֽים׃,H368,’ê·mîm.,Emites,N‑proper‑mp,H368,Dueteronomy,2,721,21
הַחֹרִים֮,H2752,ha·ḥō·rîm,the Horites,Art | N‑proper‑mp,H2752,Dueteronomy,2,723,21
זָ֑רֶד,H2218,zā·reḏ;,of Zered,N‑proper‑fs,H2218,Dueteronomy,2,744,21
וְהָֽעַמֹּנִ֔ים,H5984,"wə·hā·‘am·mō·nîm,",but the Ammonites,"Conj‑w, Art | N‑proper‑mp",H5984,Dueteronomy,2,823,21
זַמְזֻמִּֽים׃,H2157,zam·zum·mîm.,Zamzummites,N‑proper‑mp,H2157,Dueteronomy,2,825,21
בַּחֲצֵרִ֖ים,H2699,ba·ḥă·ṣê·rîm,in villages,Prep‑b | N‑cp,H2699,Dueteronomy,2,853,21
כַּפְתֹּרִים֙,H3732,kap̄·tō·rîm,the Caphtorites,N‑proper‑mp,H3732,Dueteronomy,2,856,21
קְדֵמ֔וֹת,H6932,"qə·ḏê·mō·wṯ,",of Kedemoth,N‑proper‑fs,H6932,Dueteronomy,2,900,21
יַבֹּק֙,H2999,yab·bōq,Jabbok,N‑proper‑fs,H2999,Dueteronomy,2,1048,21
אַרְגֹּ֔ב,H709,"’ar·gōḇ,",of Argob,N‑proper‑fs,H709,Dueteronomy,3,1124,21
שִׂרְיֹ֑ן,H8303,śir·yōn;,Sirion,N‑proper‑fs,H8303,Dueteronomy,3,1174,21
סַלְכָ֖ה,H5548,sal·ḵāh,Salcah,N‑proper‑fs,H5548,Dueteronomy,3,1185,21
לָרֻֽאוּבֵנִ֖י‪‬,H7206,lā·ru·’ū·ḇê·nî,to the Reubenite,Prep‑l | N‑proper‑ms,H7206,Dueteronomy,3,1230,21
וְלַגָּדִֽי׃,H1425,wə·lag·gā·ḏî.,and the Gadite,"Conj‑w, Prep‑l, Art | N‑proper‑ms",H1425,Dueteronomy,3,1231,21
הַגְּשׁוּרִ֖י,H1651,hag·gə·šū·rî,of the Geshurite,Art | N‑proper‑ms,H1651,Dueteronomy,3,1259,21
וְהַמַּֽעֲכָתִ֑י,H4602,wə·ham·ma·‘ă·ḵā·ṯî;,and the Maachathite,"Conj‑w, Art | N‑proper‑ms",H4602,Dueteronomy,3,1260,21
יָאִ֔יר,H2334,"yā·’îr,",Jair,N‑proper‑ms,H2334,Dueteronomy,3,1267,21
מִכִּנֶּ֗רֶת,H3672,"mik·kin·ne·reṯ,",from Chinnereth,Prep‑m | N‑proper‑fs,H3672,Dueteronomy,3,1292,21
אַשְׁדֹּ֥ת,H794,’aš·dōṯ,the slopes,N‑cpc,H794,Dueteronomy,3,1299,21
הַפִּסְגָּ֖ה,H6449,hap·pis·gāh,of Pisgah,Art | N‑proper‑fs,H6449,Dueteronomy,3,1300,21
פְּעֽוֹר׃,H1047,pə·‘ō·wr.,Beth Peor,N‑proper‑fs,H1047,Dueteronomy,3,1473,21
וּתְמוּנָ֛ה,H8544,ū·ṯə·mū·nāh,but form,Conj‑w | N‑fs,H8544,Dueteronomy,4,1672,21
סָ֑מֶל,H5566,sā·mel;,figure,N‑ms,H5566,Dueteronomy,4,1725,21
קַנָּֽא׃,H7067,qan·nā.,jealous,Adj‑ms,H7067,Dueteronomy,4,1845,21
בְּמַסֹּת֩,H4531,bə·mas·sōṯ,by trials,Prep‑b | N‑fp,H4531,Dueteronomy,4,1998,21
בֶּ֧צֶר,H1221,be·ṣer,Bezer,N‑proper‑fs,H1221,Dueteronomy,4,2129,21
רָאמֹ֤ת,H7216,rā·mōṯ,Ramoth,N‑proper‑fs,H7216,Dueteronomy,4,2135,21
גּוֹלָ֥ן,H1474,gō·w·lān,Golan,N‑proper‑fs,H1474,Dueteronomy,4,2139,21
לַֽמְנַשִּֽׁי׃,H4520,lam·naš·šî.,for the Manassites,Prep‑l | N‑proper‑ms,H4520,Dueteronomy,4,2141,21
הָֽעֵדֹ֔ת,H5713,"hā·‘ê·ḏōṯ,",the testimonies,Art | N‑fp,H5713,Dueteronomy,4,2149,21
שִׂיאֹ֖ן,H7865,śî·’ōn,Sion,N‑proper‑fs,H7865,Dueteronomy,4,2200,21
שִׁלֵּשִׁ֥ים,H8029,šil·lê·šîm,the third,N‑mp,H8029,Dueteronomy,5,2321,21
רִבֵּעִ֖ים,H7256,rib·bê·‘îm,fourth [generations],N‑mp,H7256,Dueteronomy,5,2323,21
לְטֹטָפֹ֖ת,H2903,lə·ṭō·ṭā·p̄ōṯ,as frontlets,Prep‑l | N‑fp,H2903,Dueteronomy,6,2729,21
בַּמַּסָּֽה׃,H4532,bam·mas·sāh.,in Massah,"Prep‑b, Art | N‑proper‑fs",H4532,Dueteronomy,6,2818,21
וְנָשַׁ֣ל,H5394,wə·nā·šal,and has cast out,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5394,Dueteronomy,7,2933,21
הַֽחִתִּי֩,H2850,ha·ḥit·tî,the Hittite,Art | N‑proper‑ms,H2850,Dueteronomy,7,2937,21
וְהַגִּרְגָּשִׁ֨י,H1622,wə·hag·gir·gā·šî,and the Girgashite,"Conj‑w, Art | N‑proper‑ms",H1622,Dueteronomy,7,2938,21
וְהַפְּרִזִּ֗י,H6522,"wə·hap·pə·riz·zî,",and the Perizzite,"Conj‑w, Art | N‑proper‑ms",H6522,Dueteronomy,7,2941,21
וְהַֽחִוִּי֙,H2340,wə·ha·ḥiw·wî,and the Hivite,"Conj‑w, Art | N‑proper‑ms",H2340,Dueteronomy,7,2942,21
תִתְחַתֵּ֖ן,H2859,ṯiṯ·ḥat·tên,shall you make marriages,V‑Hitpael‑Imperf‑2ms,H2859,Dueteronomy,7,2961,21
שְׁגַר־,H7698,šə·ḡar-,the increase,N‑msc,H7698,Dueteronomy,7,3108,21
וְעַשְׁתְּרֹ֣ת,H6251,wə·‘aš·tə·rōṯ,and the offspring,Conj‑w | N‑fpc,H6251,Dueteronomy,7,3110,21
מַדְוֵי֩,H4064,maḏ·wê,diseases,N‑mpc,H4064,Dueteronomy,7,3131,21
הַצִּרְעָ֔ה,H6880,"haṣ·ṣir·‘āh,",the hornet,Art | N‑fs,H6880,Dueteronomy,7,3205,21
הַמָּן֙,H4478,ham·mān,with manna,Art | N‑ms,H4478,Dueteronomy,8,3335,21
בָצֵ֑קָה,H1216,ḇā·ṣê·qāh;,did swell,V‑Qal‑Perf‑3fs,H1216,Dueteronomy,8,3364,21
בְמִסְכֵּנֻת֙,H4544,ḇə·mis·kê·nuṯ,scarcity,Prep‑b | N‑fs,H4544,Dueteronomy,8,3412,21
וְעַקְרָ֔ב,H6137,"wə·‘aq·rāḇ,",and scorpions,Conj‑w | N‑ms,H6137,Dueteronomy,8,3478,21
וְעֹ֣צֶם,H6108,wə·‘ō·ṣem,and the might,Conj‑w | N‑msc,H6108,Dueteronomy,8,3501,21
עֲנָֽק׃,H6061,‘ă·nāq.,Anak,N‑proper‑ms,H6061,Dueteronomy,9,3583,21
יָגֹ֗רְתִּי,H3025,"yā·ḡō·rə·tî,",I was afraid,V‑Qal‑Perf‑1cs,H3025,Dueteronomy,9,3859,21
הַֽתַּאֲוָ֑ה,H6914,hat·ta·’ă·wāh;,Kibroth Hattaavah,"Conj‑w, Prep | N‑proper‑fs",H6914,Dueteronomy,9,3911,21
קְשִׁי֙,H7190,qə·šî,the stubbornness,N‑msc,H7190,Dueteronomy,9,3981,21
כַּמִּכְתָּ֣ב,H4385,kam·miḵ·tāḇ,according to the writing,"Prep‑k, Art | N‑ms",H4385,Dueteronomy,10,4057,21
יַעֲקָ֖ן,H885,ya·‘ă·qān,Beeroth Bene-jaakan,Prep | N‑proper‑fs,H885,Dueteronomy,10,4090,21
מוֹסֵרָ֑ה,H4149,mō·w·sê·rāh;,to Moserah,N‑proper‑fs,H4149,Dueteronomy,10,4091,21
