hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מוֹאָב֙,H4124,mō·w·’āḇ,Moab,N‑proper‑fs,H4124,2 Kings,1,1,22
בְּיִשְׂרָאֵ֔ל,H3478,"bə·yiś·rā·’êl,",against Israel,Prep‑b | N‑proper‑ms,H3478,2 Kings,1,2,22
אַחֲרֵ֖י,H310,’a·ḥă·rê,after,Prep,H310,2 Kings,1,3,22
מ֥וֹת,H4194,mō·wṯ,the death,N‑msc,H4194,2 Kings,1,4,22
אַחְאָֽב׃,H256,’aḥ·’āḇ.,of Ahab,N‑proper‑ms,H256,2 Kings,1,5,22
אֲחַזְיָ֜ה,H274,’ă·ḥaz·yāh,Ahaziah,N‑proper‑ms,H274,2 Kings,1,6,22
בְּעַ֣ד,H1157,bə·‘aḏ,through,Prep,H1157,2 Kings,1,7,22
הַשְּׂבָכָ֗ה,H7639,"haś·śə·ḇā·ḵāh,",the lattice,Art | N‑fs,H7639,2 Kings,1,8,22
בַּעֲלִיָּת֛וֹ,H5944,ba·‘ă·lî·yā·ṯōw,of his upper room,Prep‑b | N‑fsc | 3ms,H5944,2 Kings,1,9,22
אֲשֶׁ֥ר,H834,’ă·šer,that [was],Pro‑r,H834,2 Kings,1,10,22
בְּשֹׁמְר֖וֹן,H8111,bə·šō·mə·rō·wn,in Samaria,Prep‑b | N‑proper‑fs,H8111,2 Kings,1,11,22
וַיָּ֑חַל,H2470,way·yā·ḥal;,and was injured,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H2470,2 Kings,1,12,22
וַיִּשְׁלַ֣ח,H7971,way·yiš·laḥ,so he sent,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H7971,2 Kings,1,13,22
מַלְאָכִ֔ים,H4397,"mal·’ā·ḵîm,",messengers,N‑mp,H4397,2 Kings,1,14,22
וַיֹּ֤אמֶר,H559,way·yō·mer,and said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,2 Kings,1,15,22
אֲלֵהֶם֙,H413,’ă·lê·hem,to them,Prep | 3mp,H413,2 Kings,1,16,22
לְכ֣וּ,H1980,lə·ḵū,go,V‑Qal‑Imp‑mp,H1980,2 Kings,1,17,22
דִרְשׁ֗וּ,H1875,"ḏir·šū,",inquire,V‑Qal‑Imp‑mp,H1875,2 Kings,1,18,22
זְבוּב֙,H1176,zə·ḇūḇ,Baal-Zebub,Prep | N‑proper‑ms,H1176,2 Kings,1,19,22
אֱלֹהֵ֣י,H430,’ĕ·lō·hê,the god,N‑mpc,H430,2 Kings,1,20,22
עֶקְר֔וֹן,H6138,"‘eq·rō·wn,",of Ekron,N‑proper‑fs,H6138,2 Kings,1,21,22
אִם־,H518,’im-,whether,Conj,H518,2 Kings,1,22,22
אֶחְיֶ֖ה,H2421,’eḥ·yeh,I shall recover,V‑Qal‑Imperf‑1cs,H2421,2 Kings,1,23,22
מֵחֳלִ֥י,H2483,mê·ḥo·lî,from injury,Prep‑m | N‑ms,H2483,2 Kings,1,24,22
זֶֽה׃,H2088,zeh.,this,Pro‑ms,H2088,2 Kings,1,25,22
יְהוָ֗ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,2 Kings,1,26,22
דִּבֶּר֙,H1696,dib·ber,said,V‑Piel‑Perf‑3ms,H1696,2 Kings,1,27,22
אֶל־,H413,’el-,to,Prep,H413,2 Kings,1,28,22
אֵלִיָּ֣ה,H452,’ê·lî·yāh,Elijah,N‑proper‑ms,H452,2 Kings,1,29,22
