hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
צוֹפִ֖ים,H7436,ṣō·w·p̄îm,Zophim,N‑proper‑fs,H7436,1 Samuel,1,4,23
אֶ֠לְקָנָה,H511,’el·qā·nāh,Elkanah,N‑proper‑ms,H511,1 Samuel,1,8,23
יְרֹחָ֧ם,H3395,yə·rō·ḥām,of Jeroham,N‑proper‑ms,H3395,1 Samuel,1,10,23
אֱלִיה֛וּא,H453,’ĕ·lî·hū,of Elihu,N‑proper‑ms,H453,1 Samuel,1,12,23
תֹּ֥חוּ,H8459,tō·ḥū,of Tohu,N‑proper‑ms,H8459,1 Samuel,1,14,23
צ֖וּף,H6689,ṣūp̄,of Zuph,N‑proper‑ms,H6689,1 Samuel,1,16,23
חַנָּ֔ה,H2584,"ḥan·nāh,",[was] Hannah,N‑proper‑fs,H2584,1 Samuel,1,22,23
פְּנִנָּ֑ה,H6444,pə·nin·nāh;,Peninnah,N‑proper‑fs,H6444,1 Samuel,1,25,23
בְּשִׁלֹ֑ה,H7887,bə·ši·lōh;,in Shiloh,Prep‑b | N‑proper‑fs,H7887,1 Samuel,1,41,23
עֵלִ֗י,H5941,"‘ê·lî,",of Eli,N‑proper‑ms,H5941,1 Samuel,1,45,23
חָפְנִי֙,H2652,ḥā·p̄ə·nî,Hophni,N‑proper‑ms,H2652,1 Samuel,1,46,23
וּפִ֣נְחָ֔ס,H6372,"ū·p̄in·ḥās,",and Phinehas,Conj‑w | N‑proper‑ms,H6372,1 Samuel,1,47,23
הַרְּעִמָ֑הּ,H7481,har·rə·‘i·māh;,make her miserable,V‑Hifil‑Inf | 3fs,H7481,1 Samuel,1,75,23
וּמוֹרָ֖ה,H4177,ū·mō·w·rāh,and razor,Conj‑w | N‑ms,H4177,1 Samuel,1,154,23
לִתְקֻפ֣וֹת,H8622,liṯ·qu·p̄ō·wṯ,in process,Prep‑l | N‑fpc,H8622,1 Samuel,1,260,23
שְׁמוּאֵ֔ל,H8050,"šə·mū·’êl,",Samuel,N‑proper‑ms,H8050,1 Samuel,1,269,23
בִּ֣י,H994,bî,Oh,Prep | 1cs,H994,1 Samuel,1,346,23
עָתָ֖ק,H6277,‘ā·ṯāq,no arrogance,N‑ms,H6277,1 Samuel,2,410,23
מְצֻ֣קֵי,H4690,mə·ṣu·qê,the pillars,N‑mpc,H4690,1 Samuel,2,458,23
וְהַמַּזְלֵ֛ג,H4207,wə·ham·maz·lêḡ,and with a fleshhook,"Conj‑w, Art | N‑ms",H4207,1 Samuel,2,520,23
בַפָּר֔וּר,H6517,"ḇap·pā·rūr,",pot,"Prep‑b, Art | N‑ms",H6517,1 Samuel,2,530,23
וְגָדֵ֖ל,H1432,wə·ḡā·ḏêl,and grew in stature,Conj‑w | V‑Qal‑Prtcpl‑ms,H1432,1 Samuel,2,717,23
חָלִ֣ילָה,H2486,ḥā·lî·lāh,Far be it,Interjection | 3fs,H2486,1 Samuel,2,796,23
וְלַאֲדִ֣יב,H109,wə·la·’ă·ḏîḇ,and grieve,"Conj‑w, Prep‑l | V‑Hifil‑Inf",H109,1 Samuel,2,834,23
לַאֲג֥וֹרַת,H95,la·’ă·ḡō·w·raṯ,for a piece,Prep‑l | N‑fsc,H95,1 Samuel,2,874,23
הַכְּהֻנּ֖וֹת,H3550,hak·kə·hun·nō·wṯ,of the priestly positions,Art | N‑fp,H3550,1 Samuel,2,883,23
הַמַּרְאָ֖ה,H4759,ham·mar·’āh,the vision,Art | N‑fs,H4759,1 Samuel,3,1085,23
הָעֵ֔זֶר,H72,"hā·‘ê·zer,",Ebenezer,Art | N‑proper‑fs,H72,1 Samuel,4,1173,23
