hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בְּצַלְאֵל֙,H1212,bə·ṣal·’êl,Bezalel,N‑proper‑ms,H1212,2 Chronicles,1,57,25
ח֔וּר,H2354,"ḥūr,",of Hur,N‑proper‑ms,H2354,2 Chronicles,1,61,25
חוּרָ֥ם,H2361,ḥū·rām,Hiram,N‑proper‑ms,H2361,2 Chronicles,2,275,25
וּבָֽאַרְגְּוָן֙,H710,ū·ḇā·’ar·gə·wān,and in purple,"Conj‑w, Prep‑b, Art | N‑ms",H710,2 Chronicles,2,350,25
וְכַרְמִ֣יל,H3758,wə·ḵar·mîl,and crimson,Conj‑w | N‑ms,H3758,2 Chronicles,2,351,25
וְאַלְגּוּמִּים֮,H418,wə·’al·gūm·mîm,and algum [logs],Conj‑w | N‑mp,H418,2 Chronicles,2,369,25
צָרְכֶּ֔ךָ,H6878,"ṣā·rə·ke·ḵā,",you need,N‑msc | 2ms,H6878,2 Chronicles,2,509,25
רַפְסֹד֖וֹת,H7513,rap̄·sō·ḏō·wṯ,in rafts,N‑fp,H7513,2 Chronicles,2,511,25
הַסְּפָ֔ר,H5610,"has·sə·p̄ār,",the census,Art | N‑ms,H5610,2 Chronicles,2,527,25
הַמּ֣וֹרִיָּ֔ה,H4179,"ham·mō·w·rî·yāh,",Moriah,Art | N‑proper‑fs,H4179,2 Chronicles,3,563,25
אָרְנָ֥ן,H771,’ā·rə·nān,of Ornan,N‑proper‑ms,H771,2 Chronicles,3,573,25
פַּרְוָֽיִם׃,H6516,par·wā·yim.,Parvaim,N‑proper‑fs,H6516,2 Chronicles,3,633,25
צַעֲצֻעִ֑ים,H6816,ṣa·‘ă·ṣu·‘îm;,fashioned,N‑mp,H6816,2 Chronicles,3,678,25
וְהַצֶּ֥פֶת,H6858,wə·haṣ·ṣe·p̄eṯ,and the capital,"Conj‑w, Art | N‑ms",H6858,2 Chronicles,3,744,25
וְהָעֲזָרָ֖ה,H5835,wə·hā·‘ă·zā·rāh,and the court,"Conj‑w, Art | N‑fs",H5835,2 Chronicles,4,898,25
מִכְל֥וֹת,H4357,miḵ·lō·wṯ,purest,N‑fpc,H4357,2 Chronicles,4,1045,25
לְמַחְלְקֽוֹת׃,H4256,lə·maḥ·lə·qō·wṯ.,to their divisions,Prep‑l | N‑fp,H4256,2 Chronicles,5,1232,25
לִֽ֠ידֻתוּן,H3038,lî·ḏu·ṯūn,and Jeduthun,Prep‑l | N‑proper‑ms,H3038,2 Chronicles,5,1237,25
בִּמְצִלְתַּ֙יִם֙,H4700,bim·ṣil·ta·yim,having cymbals,Prep‑b | N‑cd,H4700,2 Chronicles,5,1242,25
(מַחְצְרִ֖ים),H2690,maḥ·ṣə·rîm,sounding,V‑Hifil‑Prtcpl‑mp,H2690,2 Chronicles,5,1252,25
קַשֻּׁב֑וֹת,H7183,qaš·šu·ḇō·wṯ;,[let be] attentive,Adj‑fp,H7183,2 Chronicles,6,1951,25
חֲנֻכַּ֣ת,H2598,ḥă·nuk·kaṯ,the dedication,N‑fsc,H2598,2 Chronicles,7,2129,25
צוֹבָ֔ה,H2578,"ṣō·w·ḇāh,",to Hamath Zobah,N‑proper‑fs,H2578,2 Chronicles,8,2370,25
וְכֶ֨בֶשׁ,H3534,wə·ḵe·ḇeš,and with a footstool,Conj‑w | N‑ms,H3534,2 Chronicles,9,2877,25
נְבוּאַ֞ת,H5016,nə·ḇū·’aṯ,the prophecy,N‑fsc,H5016,2 Chronicles,9,3034,25
וּבַחֲזוֹת֙,H2378,ū·ḇa·ḥă·zō·wṯ,and in the visions,"Conj‑w, Prep‑b | N‑fsc",H2378,2 Chronicles,9,3037,25
(יֶעְדּ֣וֹ),H3260,ye‘·dōw,Iddo,N‑proper‑ms,H3260,2 Chronicles,9,3038,25
נְסִבָּה֙,H5252,nə·sib·bāh,the turn [of events],N‑fs,H5252,2 Chronicles,10,3272,25
הֲדֹרָם֙,H1913,hă·ḏō·rām,Hadoram,N‑proper‑ms,H1913,2 Chronicles,10,3328,25
