hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בְּסִבְלֹתָ֑ם,H5450,bə·siḇ·lō·ṯām;,with their burdens,Prep‑b | N‑fpc | 3mp,H5450,Exodus,1,84,27
פִּתֹ֖ם,H6619,pi·ṯōm,Pithom,N‑proper‑fs,H6619,Exodus,1,90,27
רַעַמְסֵֽס׃,H7486,ra·‘am·sês.,Raamses,N‑proper‑fs,H7486,Exodus,1,92,27
שִׁפְרָ֔ה,H8236,"šip̄·rāh,",[was] Shiphrah,N‑proper‑fs,H8236,Exodus,1,130,27
פּוּעָֽה׃,H6326,pū·‘āh.,Puah,N‑proper‑fs,H6326,Exodus,1,133,27
הָאָבְנָ֑יִם,H70,hā·’ā·ḇə·nā·yim;,the birthstools,Art | N‑md,H70,Exodus,1,139,27
חָי֣וֹת,H2422,ḥā·yō·wṯ,[are] lively,Adj‑fp,H2422,Exodus,1,182,27
הַיִּלּ֗וֹד,H3209,"hay·yil·lō·wḏ,",who is born,Art | Adj‑ms,H3209,Exodus,1,208,27
תֵּ֣בַת,H8392,tê·ḇaṯ,an ark,N‑fsc,H8392,Exodus,2,236,27
בַחֵמָ֖ר,H2564,ḇa·ḥê·mār,with asphalt,"Prep‑b, Art | N‑ms",H2564,Exodus,2,239,27
וַתְּנִיקֵֽהוּ׃,H5134,wat·tə·nî·qê·hū.,and nursed him,Conj‑w | V‑Hifil‑ConsecImperf‑3fs | 3ms,H5134,Exodus,2,321,27
מְשִׁיתִֽהוּ׃,H4871,mə·šî·ṯi·hū.,I drew him,V‑Qal‑Perf‑1cs | 3ms,H4871,Exodus,2,335,27
רְעוּאֵ֖ל,H7467,rə·‘ū·’êl,Reuel,N‑proper‑ms,H7467,Exodus,2,432,27
צִפֹּרָ֥ה,H6855,ṣip·pō·rāh,Zipporah,N‑proper‑fs,H6855,Exodus,2,467,27
יִתְר֥וֹ,H3503,yiṯ·rōw,of Jethro,N‑proper‑ms,H3503,Exodus,3,522,27
בְּלַבַּת־,H3827,bə·lab·baṯ-,in a flame,Prep‑b | N‑fsc,H3827,Exodus,3,539,27
בַּיַּבָּֽשֶׁת׃,H3006,bay·yab·bā·šeṯ.,on the dry [land],"Prep‑b, Art | N‑fs",H3006,Exodus,4,1004,27
פִקֵּ֖חַ,H6493,p̄iq·qê·aḥ,the seeing,Adj‑ms,H6493,Exodus,4,1042,27
צֹ֗ר,H6864,"ṣōr,",a sharp stone,N‑ms,H6864,Exodus,4,1220,27
לַמּוּלֹֽת׃,H4139,lam·mū·lōṯ.,because of the circumcision,"Prep‑l, Art | N‑fp",H4139,Exodus,4,1237,27
וְתֹ֥כֶן,H8506,wə·ṯō·ḵen,and yet the quota,Conj‑w | N‑msc,H8506,Exodus,5,1520,27
מְגֻרֵיהֶ֖ם,H4033,mə·ḡu·rê·hem,of their sojourning,N‑mpc | 3mp,H4033,Exodus,6,1631,27
מִקֹּ֣צֶר,H7115,miq·qō·ṣer,because of anguish,Prep‑m | N‑msc,H7115,Exodus,6,1706,27
חֲנ֤וֹךְ,H2585,ḥă·nō·wḵ,Hanoch,N‑proper‑ms,H2585,Exodus,6,1766,27
וּפַלּוּא֙,H6396,ū·p̄al·lū,and Pallu,Conj‑w | N‑proper‑ms,H6396,Exodus,6,1767,27
וְכַרְמִ֔י,H3756,"wə·ḵar·mî,",and Carmi,Conj‑w | N‑proper‑ms,H3756,Exodus,6,1769,27
יְמוּאֵ֨ל,H3223,yə·mū·’êl,Jemuel,N‑proper‑ms,H3223,Exodus,6,1774,27
וְיָמִ֤ין,H3226,wə·yā·mîn,and Jamin,Conj‑w | N‑proper‑ms,H3226,Exodus,6,1775,27
וְאֹ֙הַד֙,H161,wə·’ō·haḏ,and Ohad,Conj‑w | N‑proper‑ms,H161,Exodus,6,1776,27
וְצֹ֔חַר,H6714,"wə·ṣō·ḥar,",and Zohar,Conj‑w | N‑proper‑ms,H6714,Exodus,6,1778,27
גֵּרְשׁ֕וֹן,H1648,gê·rə·šō·wn,Gershon,N‑proper‑ms,H1648,Exodus,6,1789,27
וּקְהָ֖ת,H6955,ū·qə·hāṯ,and Kohath,Conj‑w | N‑proper‑ms,H6955,Exodus,6,1790,27
לִבְנִ֥י,H3845,liḇ·nî,Libni,N‑proper‑ms,H3845,Exodus,6,1800,27
עַמְרָ֣ם,H6019,‘am·rām,Amram,N‑proper‑ms,H6019,Exodus,6,1804,27
וְיִצְהָ֔ר,H3324,"wə·yiṣ·hār,",and Izhar,Conj‑w | N‑proper‑ms,H3324,Exodus,6,1805,27
מַחְלִ֣י,H4249,maḥ·lî,Mahli,N‑proper‑ms,H4249,Exodus,6,1816,27
וּמוּשִׁ֑י,H4187,ū·mū·šî;,and Mushi,Conj‑w | N‑proper‑ms,H4187,Exodus,6,1817,27
יוֹכֶ֤בֶד,H3115,yō·w·ḵe·ḇeḏ,Jochebed,N‑proper‑fs,H3115,Exodus,6,1824,27
קֹ֥רַח,H7141,qō·raḥ,Korah,N‑proper‑ms,H7141,Exodus,6,1840,27
וָנֶ֖פֶג,H5298,wā·ne·p̄eḡ,and Nepheg,Conj‑w | N‑proper‑ms,H5298,Exodus,6,1841,27
וְסִתְרִֽי׃,H5644,wə·siṯ·rî.,and Zithri,Conj‑w | N‑proper‑ms,H5644,Exodus,6,1846,27
אֱלִישֶׁ֧בַע,H472,’ĕ·lî·še·ḇa‘,Elisheba,N‑proper‑fs,H472,Exodus,6,1849,27
אַסִּ֥יר,H617,’as·sîr,Assir,N‑proper‑ms,H617,Exodus,6,1865,27
וַאֲבִיאָסָ֑ף,H23,wa·’ă·ḇî·’ā·sāp̄;,and Abiasaph,Conj‑w | N‑proper‑ms,H23,Exodus,6,1867,27
פּֽוּטִיאֵל֙,H6317,pū·ṭî·’êl,of Putiel,N‑proper‑fs,H6317,Exodus,6,1875,27
חַרְטֻמֵּ֥י,H2748,ḥar·ṭum·mê,the magicians,N‑mpc,H2748,Exodus,7,2083,27
בְּלַהֲטֵיהֶ֖ם,H3858,bə·la·hă·ṭê·hem,with their enchantments,Prep‑b | N‑mpc | 3mp,H3858,Exodus,7,2085,27
מָאֵ֥ן,H3986,mā·’ên,refuse,Adj‑ms,H3986,Exodus,8,2305,27
בַּֽצְפַרְדְּעִֽים׃,H6854,baṣ·p̄ar·də·‘îm.,with frogs,"Prep‑b, Art | N‑fp",H6854,Exodus,8,2314,27
לְכִנִּ֖ם,H3654,lə·ḵin·nim,lice,Prep‑l | N‑mp,H3654,Exodus,8,2482,27
הֶעָרֹ֑ב,H6157,he·‘ā·rōḇ;,swarms [of flies],Art | N‑ms,H6157,Exodus,8,2565,27
גֹּ֗שֶׁן,H1657,"gō·šen,",of Goshen,N‑proper‑fs,H1657,Exodus,8,2580,27
פִּ֖יחַ,H6368,pî·aḥ,of ashes from,N‑msc,H6368,Exodus,9,2823,27
כִּבְשָׁ֑ן,H3536,kiḇ·šān;,a furnace,N‑ms,H3536,Exodus,9,2824,27
אֲבַעְבֻּעֹ֖ת,H76,’ă·ḇa‘·bu·‘ōṯ,in sores,N‑fp,H76,Exodus,9,2842,27
גִּבְעֹֽל׃,H1392,giḇ·‘ōl.,[was] in bud,N‑ms,H1392,Exodus,9,3162,27
אֲפִילֹ֖ת,H648,’ă·p̄î·lōṯ,[are] late crops,Adj‑fp,H648,Exodus,9,3167,27
כַּחֲצֹ֣ת,H2676,ka·ḥă·ṣōṯ,About,Prep‑k | N‑fsc,H2676,Exodus,11,3727,27
יַפְלֶ֣ה,H6395,yap̄·leh,does make a difference,V‑Hifil‑Imperf‑3ms,H6395,Exodus,11,3774,27
תָּכֹ֖סּוּ,H3699,tā·ḵōs·sū,you shall make your count,V‑Qal‑Imperf‑2mp,H3699,Exodus,12,3876,27
הַמַּשְׁק֑וֹף,H4947,ham·maš·qō·wp̄;,the lintel,Art | N‑ms,H4947,Exodus,12,3911,27
נָ֔א,H4995,"nā,",raw,Adj‑ms,H4995,Exodus,12,3929,27
וּבָשֵׁ֥ל,H1311,ū·ḇā·šêl,nor boiled,Conj‑w | Adj‑ms,H1311,Exodus,12,3930,27
שִׁמֻּרִ֥ים,H8107,šim·mu·rîm,of solemn observance,N‑mp,H8107,Exodus,12,4405,27
פֶּ֤טֶר,H6363,pe·ṭer,opens,N‑msc,H6363,Exodus,13,4514,27
בְאֵתָ֔ם,H864,"ḇə·’ê·ṯām,",in Etham,Prep‑b | N‑proper‑fs,H864,Exodus,13,4774,27
הַחִירֹ֔ת,H6367,"ha·ḥî·rōṯ,",Pi Hahiroth,N‑proper‑fs,H6367,Exodus,14,4810,27
מִגְדֹּ֖ל,H4024,miḡ·dōl,Migdol,N‑proper‑fs,H4024,Exodus,14,4812,27
צְפֹ֔ן,H1189,"ṣə·p̄ōn,",Baal Zephon,N‑proper‑fs,H1189,Exodus,14,4816,27
נִכְח֥וֹ,H5226,niḵ·ḥōw,before it,Prep | 3ms,H5226,Exodus,14,4817,27
בִּכְבֵדֻ֑ת,H3517,biḵ·ḇê·ḏuṯ;,with difficulty,Prep‑b | N‑fs,H3517,Exodus,14,5130,27
גָאֹ֣ה,H1342,ḡā·’ōh,gloriously,V‑Qal‑InfAbs,H1342,Exodus,15,5244,27
תִּרְעַ֥ץ,H7492,tir·‘aṣ,has dashed in pieces,V‑Qal‑Imperf‑3fs,H7492,Exodus,15,5283,27
נֶ֣עֶרְמוּ,H6192,ne·‘er·mū,were gathered together,V‑Nifal‑Perf‑3cp,H6192,Exodus,15,5293,27
צָֽלֲלוּ֙,H6749,ṣā·lă·lū,they sank,V‑Qal‑Perf‑3cp,H6749,Exodus,15,5317,27
מָרָ֔תָה,H4785,"mā·rā·ṯāh,",to Marah,N‑proper‑fs | 3fs,H4785,Exodus,15,5448,27
אֵילִ֔מָה,H362,"’ê·li·māh,",to Elim,N‑proper‑fs | 3fs,H362,Exodus,15,5510,27
סִ֔ין,H5512,"sîn,",of Sin,N‑proper‑fs,H5512,Exodus,16,5530,27
תְּלֻנֹּתֵיכֶ֖ם,H8519,tə·lun·nō·ṯê·ḵem,your complaints,N‑fpc | 2mp,H8519,Exodus,16,5636,27
וְנַ֣חְנוּ,H5168,wə·naḥ·nū,but [are] we,Conj‑w | Pro‑1cp,H5168,Exodus,16,5639,27
הַשְּׂלָ֔ו,H7958,"haś·śə·lāw,",the quails,Art | N‑fs,H7958,Exodus,16,5725,27
מְחֻסְפָּ֔ס,H2636,"mə·ḥus·pās,",round substance,V‑Pual‑Prtcpl‑ms,H2636,Exodus,16,5742,27
כַּכְּפֹ֖ר,H3713,kak·kə·p̄ōr,as frost,"Prep‑k, Art | N‑ms",H3713,Exodus,16,5744,27
גַּד֙,H1407,gaḏ,coriander,N‑ms,H1407,Exodus,16,5950,27
כְּצַפִּיחִ֥ת,H6838,kə·ṣap·pî·ḥiṯ,[was] like wafers,Prep‑k | N‑fs,H6838,Exodus,16,5953,27
צִנְצֶ֣נֶת,H6803,ṣin·ṣe·neṯ,pot,N‑fsc,H6803,Exodus,16,5982,27
בִּרְפִידִ֔ים,H7508,"bir·p̄î·ḏîm,",in Rephidim,Prep‑b | N‑proper‑fs,H7508,Exodus,17,6038,27
כֵּ֣ס,H3676,kês,has sworn,N‑msc,H3676,Exodus,17,6245,27
וְחָזֵ֣ק,H2390,wə·ḥā·zêq,and became strong,Conj‑w | Adj‑ms,H2390,Exodus,19,6895,27
וְרָצַ֨ע,H7527,wə·rā·ṣa‘,and shall pierce,Conj‑w | V‑Qal‑ConjPerf‑3ms,H7527,Exodus,21,7318,27
וְעֹנָתָ֖הּ,H5772,wə·‘ō·nā·ṯāh,and her marriage rights,Conj‑w | N‑fsc | 3fs,H5772,Exodus,21,7356,27
אָס֑וֹן,H611,’ā·sō·wn;,harm,N‑ms,H611,Exodus,21,7462,27
כְּוִיָּ֔ה,H3555,"kə·wî·yāh,",burn,N‑fs,H3555,Exodus,21,7490,27
נַגָּ֨ח,H5056,nag·gāḥ,tended to thrust with its horn,Adj‑ms,H5056,Exodus,21,7540,27
פִּדְיֹ֣ן,H6306,piḏ·yōn,to redeem,N‑msc,H6306,Exodus,21,7561,27
בַּמַּחְתֶּ֛רֶת,H4290,bam·maḥ·te·reṯ,breaking in,"Prep‑b, Art | N‑fs",H4290,Exodus,22,7661,27
בִּגְנֵבָתֽוֹ׃,H1591,biḡ·nê·ḇā·ṯōw.,for his theft,Prep‑b | N‑fsc | 3ms,H1591,Exodus,22,7677,27
(בְּעִיר֔וֹ),H1165,"bə·‘î·rōw,",his animal,N‑msc | 3ms,H1165,Exodus,22,7697,27
הַבְּעֵרָֽה׃,H1200,hab·bə·‘ê·rāh.,the fire,Art | N‑fs,H1200,Exodus,22,7720,27
מָהֹ֛ר,H4117,mā·hōr,surely,V‑Qal‑InfAbs,H4117,Exodus,22,7855,27
וְדִמְעֲךָ֖,H1831,wə·ḏim·‘ă·ḵā,and your juices,Conj‑w | N‑msc | 2ms,H1831,Exodus,22,7955,27
וְיִנָּפֵ֥שׁ,H5314,wə·yin·nā·p̄êš,and may be refreshed,Conj‑w | V‑Nifal‑ConjImperf‑3ms,H5314,Exodus,23,8092,27
הָֽאָסִף֙,H614,hā·’ā·sip̄,of Ingathering,Art | N‑ms,H614,Exodus,23,8138,27
אֹ֣יְבֶ֔יךָ,H340,"’ō·yə·ḇe·ḵā,",to your enemies,V‑Qal‑Prtcpl‑mpc | 2ms,H340,Exodus,23,8210,27
לִבְנַ֣ת,H3840,liḇ·naṯ,of paved,N‑fsc,H3840,Exodus,24,8467,27
לָטֹֽהַר׃,H2892,lā·ṭō·har.,in [its] clarity,Prep‑l | N‑ms,H2892,Exodus,24,8471,27
תְּחָשִׁ֖ים,H8476,tə·ḥā·šîm,badger,N‑mp,H8476,Exodus,25,8603,27
שֹׁ֕הַם,H7718,šō·ham,onyx,N‑ms,H7718,Exodus,25,8612,27
זֵ֥ר,H2213,zêr,a molding,N‑msc,H2213,Exodus,25,8653,27
מִקְשָׁה֙,H4749,miq·šāh,of hammered work,N‑fs,H4749,Exodus,25,8713,27
טֹ֖פַח,H2948,ṭō·p̄aḥ,of a handbreadth,N‑ms,H2948,Exodus,25,8803,27
קְּעָרֹתָ֜יו,H7086,qə·‘ā·rō·ṯāw,its dishes,N‑fpc | 3ms,H7086,Exodus,25,8840,27
וּקְשׂוֹתָיו֙,H7184,ū·qə·śō·w·ṯāw,and its pitchers,Conj‑w | N‑fpc | 3ms,H7184,Exodus,25,8842,27
וּמְנַקִּיֹּתָ֔יו,H4518,"ū·mə·naq·qî·yō·ṯāw,",and,Conj‑w | N‑fpc | 3ms,H4518,Exodus,25,8843,27
גְּבִיעֶ֛יהָ,H1375,gə·ḇî·‘e·hā,its bowls,N‑mpc | 3fs,H1375,Exodus,25,8865,27
מְֽשֻׁקָּדִ֞ים,H8246,mə·šuq·qā·ḏîm,[shall be] made like almond [blossoms],N‑mp,H8246,Exodus,25,8884,27
מָשְׁזָ֗ר,H7806,"mā·šə·zār,",fine woven,V‑Hofal‑Prtcpl‑ms,H7806,Exodus,26,8966,27
לֻֽלְאֹ֣ת,H3924,lul·’ōṯ,loops,N‑fpc,H3924,Exodus,26,9002,27
בַּחֹבָ֑רֶת,H2279,ba·ḥō·ḇā·reṯ;,of the [one] set,"Prep‑b, Art | N‑fs",H2279,Exodus,26,9009,27
הַקִּ֣יצוֹנָ֔ה,H7020,"haq·qî·ṣō·w·nāh,",[the outer,Art | Adj‑fs,H7020,Exodus,26,9014,27
