hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אַֽחֲרֵי֙,H310,’a·ḥă·rê,after,Prep,H310,2 Samuel,1,1,28
מ֣וֹת,H4191,mō·wṯ,the death,N‑msc,H4191,2 Samuel,1,2,28
שָׁא֔וּל,H7586,"šā·’ūl,",of Saul,N‑proper‑ms,H7586,2 Samuel,1,3,28
וְדָוִ֣ד,H1732,wə·ḏā·wiḏ,then David,Conj‑w | N‑proper‑ms,H1732,2 Samuel,1,4,28
שָׁ֔ב,H7725,"šāḇ,",returned,V‑Qal‑Perf‑3ms,H7725,2 Samuel,1,5,28
מֵהַכּ֖וֹת,H5221,mê·hak·kō·wṯ,from the slaughter,Prep‑m | V‑Hifil‑Inf,H5221,2 Samuel,1,6,28
אֶת־,H853,’eṯ-,of,DirObjM,H853,2 Samuel,1,7,28
הָעֲמָלֵ֑ק,H6002,hā·‘ă·mā·lêq;,the Amalekites,Art | N‑proper‑ms,H6002,2 Samuel,1,8,28
וַיֵּ֧שֶׁב,H3427,way·yê·šeḇ,and stayed,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3427,2 Samuel,1,9,28
בְּצִקְלָ֖ג,H6860,bə·ṣiq·lāḡ,in Ziklag,Prep‑b | N‑proper‑fs,H6860,2 Samuel,1,11,28
יָמִ֥ים,H3117,yā·mîm,days,N‑mp,H3117,2 Samuel,1,12,28
שְׁנָֽיִם׃,H8147,šə·nā·yim.,two,Number‑md,H8147,2 Samuel,1,13,28
הַשְּׁלִישִׁ֗י,H7992,"haš·šə·lî·šî,",third,Art | Number‑oms,H7992,2 Samuel,1,15,28
וְהִנֵּה֩,H2009,wə·hin·nêh,that behold,Conj‑w | Interjection,H2009,2 Samuel,1,16,28
אִ֨ישׁ,H376,’îš,a man,N‑ms,H376,2 Samuel,1,17,28
בָּ֤א,H935,bā,came,V‑Qal‑Prtcpl‑ms,H935,2 Samuel,1,18,28
מִן־,H4480,min-,from,Prep,H4480,2 Samuel,1,19,28
הַֽמַּחֲנֶה֙,H4264,ham·ma·ḥă·neh,camp,Art | N‑cs,H4264,2 Samuel,1,20,28
מֵעִ֣ם,H5973,mê·‘im,of,Prep‑m,H5973,2 Samuel,1,21,28
וּבְגָדָ֣יו,H899,ū·ḇə·ḡā·ḏāw,and with his clothes,Conj‑w | N‑mpc | 3ms,H899,2 Samuel,1,23,28
קְרֻעִ֔ים,H7167,"qə·ru·‘îm,",torn,V‑Qal‑QalPassPrtcpl‑mp,H7167,2 Samuel,1,24,28
וַאֲדָמָ֖ה,H127,wa·’ă·ḏā·māh,and dust,Conj‑w | N‑fs,H127,2 Samuel,1,25,28
עַל־,H5921,‘al-,on,Prep,H5921,2 Samuel,1,26,28
רֹאשׁ֑וֹ,H7218,rō·šōw;,his head,N‑msc | 3ms,H7218,2 Samuel,1,27,28
וַיְהִי֙,H1961,way·hî,So it was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,2 Samuel,1,28,28
אֶל־,H413,’el-,to,Prep,H413,2 Samuel,1,30,28
וַיִּפֹּ֥ל,H5307,way·yip·pōl,that he fell,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5307,2 Samuel,1,32,28
אַ֖רְצָה,H776,’ar·ṣāh,to the ground,N‑fs | 3fs,H776,2 Samuel,1,33,28
וַיִּשְׁתָּֽחוּ׃,H7812,way·yiš·tā·ḥū.,and prostrated himself,Conj‑w | V‑Hitpael‑ConsecImperf‑3ms,H7812,2 Samuel,1,34,28
אֵ֥י,H335,’ê,from where,Interrog,H335,2 Samuel,1,36,28
מִזֶּ֖ה,H2088,miz·zeh,he,Pro‑ms,H2088,2 Samuel,1,37,28
וַיֹּ֣אמֶר,H559,way·yō·mer,so he said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,2 Samuel,1,39,28
יִשְׂרָאֵ֖ל,H3478,yiś·rā·’êl,of Israel,N‑proper‑ms,H3478,2 Samuel,1,42,28
נִמְלָֽטְתִּי׃,H4422,nim·lā·ṭə·tî.,I have escaped,V‑Nifal‑Perf‑1cs,H4422,2 Samuel,1,43,28
מֶה־,H4100,meh-,what,Interrog,H4100,2 Samuel,1,46,28
הַדָּבָ֖ר,H1697,had·dā·ḇār,the report,Art | N‑ms,H1697,2 Samuel,1,48,28
הַגֶּד־,H5046,hag·geḏ-,tell,V‑Hifil‑Imp‑ms,H5046,2 Samuel,1,49,28
נָ֣א,H4994,nā,please,Interjection,H4994,2 Samuel,1,50,28
אֲשֶׁר־,H834,’ă·šer-,that,Pro‑r,H834,2 Samuel,1,52,28
נָ֨ס,H5127,nās,have fled,V‑Qal‑Perf‑3ms,H5127,2 Samuel,1,53,28
הָעָ֜ם,H5971,hā·‘ām,the people,Art | N‑ms,H5971,2 Samuel,1,54,28
