hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
כְּלוּלֹתָ֑יִךְ,H3623,kə·lū·lō·ṯā·yiḵ;,of your betrothal,N‑fpc | 2fs,H3623,Jeremiah,2,262,29
בְּל֥וֹא,H1094,bə·lō·w,for not,Prep‑b | Adv‑NegPrt,H1094,Jeremiah,2,386,29
(וְתַחְפַּנְחֵ֑ס),H8471,wə·ṯaḥ·pan·ḥês;,and Tahpanhes,Conj‑w | N‑proper‑fs,H8471,Jeremiah,2,434,29
פַחְדָּתִי֙,H6345,p̄aḥ·dā·ṯî,the fear of Me,N‑fsc | 1cs,H6345,Jeremiah,2,471,29
סוּרֵ֖י,H5494,sū·rê,Into the degenerate plant,Adj‑mpc,H5494,Jeremiah,2,504,29
נִכְתָּ֤ם,H3799,niḵ·tām,[Yet] is marked,V‑Nifal‑Prtcpl‑ms,H3799,Jeremiah,2,512,29
בִּכְרָ֥ה,H1072,biḵ·rāh,[You are] a dromedary,N‑fs,H1072,Jeremiah,2,531,29
מְשָׂרֶ֥כֶת,H8308,mə·śā·re·ḵeṯ,breaking loose,V‑Piel‑Prtcpl‑fs,H8308,Jeremiah,2,533,29
מִצִּמְאָ֑ה,H6773,miṣ·ṣim·’āh;,from thirst,Prep‑m | N‑fs,H6773,Jeremiah,2,553,29
מַאְפֵּ֖לְיָ֑ה,H3991,ma’·pê·lə·yāh;,of darkness,N‑fs,H3991,Jeremiah,2,631,29
מִֽסֻּבְּכ֔וֹ,H5441,"mis·sub·bə·ḵōw,",from his thicket,Prep‑m | N‑msc | 3ms,H5441,Jeremiah,4,1162,29
וּבַכֵּפִ֖ים,H3710,ū·ḇak·kê·p̄îm,and on the rocks,"Conj‑w, Prep‑b, Art | N‑mp",H3710,Jeremiah,4,1419,29
עֹגְבִ֖ים,H5689,‘ō·ḡə·ḇîm,[Your] lovers,V‑Qal‑Prtcpl‑mp,H5689,Jeremiah,4,1446,29
תִּתְיַפֵּ֖חַ,H3306,tiṯ·yap·pê·aḥ,bewailing herself,V‑Hitpael‑Imperf‑3fs,H3306,Jeremiah,4,1457,29
