hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
חֶ֣רֶשׁ,H2791,ḥe·reš,secretly,N‑ms,H2791,Joshua,2,297,30
רָחָ֖ב,H7343,rā·ḥāḇ,Rahab,N‑proper‑fs,H7343,Joshua,2,311,30
מֵעֲב֥וּר,H5669,mê·‘ă·ḇūr,of the produce,Prep‑m | N‑msc,H5669,Joshua,5,1468,30
עָכָ֣ן,H5912,‘ā·ḵān,Achan,N‑proper‑ms,H5912,Joshua,7,2000,30
זַבְדִּ֨י,H2067,zaḇ·dî,of Zabdi,N‑proper‑ms,H2067,Joshua,7,2004,30
הַשְּׁבָרִ֔ים,H7671,"haš·šə·ḇā·rîm,",Shebarim,Art | N‑proper‑fs,H7671,Joshua,7,2084,30
הַזַּרְחִ֑י,H2227,haz·zar·ḥî;,of the Zerahites,Art | N‑proper‑ms,H2227,Joshua,7,2285,30
אָמְנָ֗ה,H546,"’ā·mə·nāh,",indeed,Adv,H546,Joshua,7,2329,30
וַיִּצְטַיָּ֑רוּ,H6737,way·yiṣ·ṭay·yā·rū;,and pretended to be ambassadors,Conj‑w | V‑Hitpael‑ConsecImperf‑3mp,H6737,Joshua,9,3070,30
בָּלִים֙,H1087,bā·lîm,old,Adj‑mp,H1087,Joshua,9,3073,30
וּמְטֻלָּאוֹת֙,H2921,ū·mə·ṭul·lā·’ō·wṯ,and patched,Conj‑w | V‑Pual‑Prtcpl‑fp,H2921,Joshua,9,3081,30
חָ֞ם,H2525,ḥām,hot,Adj‑ms,H2525,Joshua,9,3186,30
וְהַכְּפִירָ֔ה,H3716,"wə·hak·kə·p̄î·rāh,",and Chephirah,"Conj‑w, Art | N‑proper‑fs",H3716,Joshua,9,3252,30
צֶ֜דֶק,H139,ṣe·ḏeq,Adoni-Zedek,N‑proper‑ms,H139,Joshua,10,3401,30
הוֹהָ֣ם,H1944,hō·w·hām,Hoham,N‑proper‑ms,H1944,Joshua,10,3446,30
פִּרְאָ֨ם,H6502,pir·’ām,Piram,N‑proper‑ms,H6502,Joshua,10,3450,30
יַרְמ֜וּת,H3412,yar·mūṯ,of Jarmuth,N‑proper‑ms,H3412,Joshua,10,3452,30
מַקֵּדָֽה׃,H4719,maq·qê·ḏāh.,Makkedah,N‑proper‑fs,H4719,Joshua,10,3569,30
שָׂרְד֣וּ,H8277,śā·rə·ḏū,who escaped,V‑Qal‑Perf‑3cp,H8277,Joshua,10,3711,30
