hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הָיָ֥ה,H1961,hā·yāh,there was,V‑Qal‑Perf‑3ms,H1961,Job,1,1,32
בְאֶֽרֶץ־,H776,ḇə·’e·reṣ-,in the land,Prep‑b | N‑fsc,H776,Job,1,2,32
ע֖וּץ,H5780,‘ūṣ,of Uz,N‑proper‑fs,H5780,Job,1,3,32
אִיּ֣וֹב,H347,’î·yō·wḇ,Job,N‑proper‑ms,H347,Job,1,4,32
שְׁמ֑וֹ,H8034,šə·mōw;,[was] his name,N‑msc | 3ms,H8034,Job,1,5,32
וְהָיָ֣ה ׀,H1961,wə·hā·yāh,and was,Conj‑w | V‑Qal‑ConjPerf‑3ms,H1961,Job,1,6,32
הָאִ֣ישׁ,H376,hā·’îš,man,Art | N‑ms,H376,Job,1,7,32
הַה֗וּא,H1931,"ha·hū,",that,Art | Pro‑3ms,H1931,Job,1,8,32
תָּ֧ם,H8535,tām,blameless,Adj‑ms,H8535,Job,1,9,32
וְיָשָׁ֛ר,H3477,wə·yā·šār,and upright,Conj‑w | Adj‑ms,H3477,Job,1,10,32
וִירֵ֥א,H3373,wî·rê,and one who feared,Conj‑w | Adj‑msc,H3373,Job,1,11,32
אֱלֹהִ֖ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Job,1,12,32
וְסָ֥ר,H5493,wə·sār,and shunned,Conj‑w | V‑Qal‑Prtcpl‑ms,H5493,Job,1,13,32
מֵרָֽע׃,H7451,mê·rā‘.,evil,Prep‑m | Adj‑ms,H7451,Job,1,14,32
שִׁבְעָ֥ה,H7651,šiḇ·‘āh,seven,Number‑ms,H7651,Job,1,15,32
בָנִ֖ים,H1121,ḇā·nîm,sons,N‑mp,H1121,Job,1,16,32
וְשָׁל֥וֹשׁ,H7969,wə·šā·lō·wōš,and three,Conj‑w | Number‑fs,H7969,Job,1,17,32
בָּנֽוֹת׃,H1323,bā·nō·wṯ.,daughters,N‑fp,H1323,Job,1,18,32
מִ֠קְנֵהוּ,H4735,miq·nê·hū,his possessions,N‑msc | 3ms,H4735,Job,1,19,32
שִֽׁבְעַ֨ת,H7651,šiḇ·‘aṯ,seven,Number‑msc,H7651,Job,1,20,32
אַלְפֵי־,H505,’al·p̄ê-,thousand,Number‑mpc,H505,Job,1,21,32
צֹ֜אן,H6629,ṣōn,sheep,N‑cs,H6629,Job,1,22,32
וּשְׁלֹ֧שֶׁת,H7969,ū·šə·lō·šeṯ,and three,Conj‑w | Number‑msc,H7969,Job,1,23,32
אַלְפֵ֣י,H505,’al·p̄ê,thousand,Number‑mpc,H505,Job,1,24,32
גְמַלִּ֗ים,H1581,"ḡə·mal·lîm,",camels,N‑mp,H1581,Job,1,25,32
וַחֲמֵ֨שׁ,H2568,wa·ḥă·mêš,and five,Conj‑w | Number‑fsc,H2568,Job,1,26,32
מֵא֤וֹת,H3967,mê·’ō·wṯ,hundred,Number‑fp,H3967,Job,1,27,32
צֶֽמֶד־,H6776,ṣe·meḏ-,yoke,N‑msc,H6776,Job,1,28,32
בָּקָר֙,H1241,bā·qār,of oxen,N‑ms,H1241,Job,1,29,32
וַחֲמֵ֣שׁ,H2568,wa·ḥă·mêš,and five,Conj‑w | Number‑fsc,H2568,Job,1,30,32
מֵא֣וֹת,H3967,mê·’ō·wṯ,hundred,Number‑fp,H3967,Job,1,31,32
אֲתוֹנ֔וֹת,H860,"’ă·ṯō·w·nō·wṯ,",female donkeys,N‑fp,H860,Job,1,32,32
וַעֲבֻדָּ֖ה,H5657,wa·‘ă·ḇud·dāh,and a household,Conj‑w | N‑fs,H5657,Job,1,33,32
רַבָּ֣ה,H7227,rab·bāh,large,Adj‑fs,H7227,Job,1,34,32
מְאֹ֑ד,H3966,mə·’ōḏ;,very,Adv,H3966,Job,1,35,32
וַיְהִי֙,H1961,way·hî,so that was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Job,1,36,32
הָאִ֣ישׁ,H376,hā·’îš,man,Art | N‑ms,H376,Job,1,37,32
הַה֔וּא,H1931,"ha·hū,",that,Art | Pro‑3ms,H1931,Job,1,38,32
גָּד֖וֹל,H1419,gā·ḏō·wl,the greatest,Adj‑ms,H1419,Job,1,39,32
מִכָּל־,H3605,mik·kāl,of all,Prep‑m | N‑msc,H3605,Job,1,40,32
בְּנֵי־,H1121,bə·nê-,the sons,N‑mpc,H1121,Job,1,41,32
קֶֽדֶם׃,H6924,qe·ḏem.,of the East,N‑ms,H6924,Job,1,42,32
בָנָיו֙,H1121,ḇā·nāw,his sons,N‑mpc | 3ms,H1121,Job,1,43,32
וְעָשׂ֣וּ,H6213,wə·‘ā·śū,and,Conj‑w | V‑Qal‑ConjPerf‑3cp,H6213,Job,1,44,32
מִשְׁתֶּ֔ה,H4960,"miš·teh,",feast,N‑ms,H4960,Job,1,45,32
בֵּ֖ית,H1004,bêṯ,[in their] houses,N‑msc,H1004,Job,1,46,32
אִ֣ישׁ,H376,’îš,each,N‑ms,H376,Job,1,47,32
יוֹמ֑וֹ,H3117,yō·w·mōw;,on his [appointed] day,N‑msc | 3ms,H3117,Job,1,48,32
וְשָׁלְח֗וּ,H7971,"wə·šā·lə·ḥū,",and would send,Conj‑w | V‑Qal‑ConjPerf‑3cp,H7971,Job,1,49,32
וְקָרְאוּ֙,H7121,wə·qā·rə·’ū,and invite,Conj‑w | V‑Qal‑ConjPerf‑3cp,H7121,Job,1,50,32
