hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אִיּ֣וֹב,H347,’î·yō·wḇ,Job,N‑proper‑ms,H347,Job,1,4,32
וַעֲבֻדָּ֖ה,H5657,wa·‘ă·ḇud·dāh,and a household,Conj‑w | N‑fs,H5657,Job,1,33,32
בְּתֻמָּת֔וֹ,H8538,"bə·ṯum·mā·ṯōw,",to his integrity,Prep‑b | N‑fsc | 3ms,H8538,Job,2,364,32
לְהִתְגָּרֵ֖ד,H1623,lə·hiṯ·gā·rêḏ,to scrape himself,Prep‑l | V‑Hitpael‑Inf,H1623,Job,2,417,32
אֱלִיפַ֤ז,H464,’ĕ·lî·p̄az,Eliphaz,N‑proper‑ms,H464,Job,2,462,32
הַתֵּימָנִי֙,H8489,hat·tê·mā·nî,the Temanite,Art | N‑proper‑ms,H8489,Job,2,463,32
וּבִלְדַּ֣ד,H1085,ū·ḇil·daḏ,and Bildad,Conj‑w | N‑proper‑ms,H1085,Job,2,464,32
הַשּׁוּחִ֔י,H7747,"haš·šū·ḥî,",the Shuhite,Art | N‑proper‑ms,H7747,Job,2,465,32
וְצוֹפַ֖ר,H6691,wə·ṣō·w·p̄ar,and Zophar,Conj‑w | N‑proper‑ms,H6691,Job,2,466,32
הַנַּֽעֲמָתִ֑י,H5284,han·na·‘ă·mā·ṯî;,the Naamathite,Art | N‑proper‑ms,H5284,Job,2,467,32
נְהָרָֽה׃,H5105,nə·hā·rāh.,the light,N‑fs,H5105,Job,3,531,32
עֲנָנָ֑ה,H6053,‘ă·nā·nāh;,a cloud,N‑fs,H6053,Job,3,536,32
כִּֽמְרִ֥ירֵי,H3650,kim·rî·rê,the blackness,N‑mpc,H3650,Job,3,538,32
יִ֭חַדְּ,H2302,yi·ḥad,May it rejoice,V‑Qal‑Imperf.Jus‑3ms,H2302,Job,3,544,32
רְנָנָ֣ה,H7445,rə·nā·nāh,joyful shout,N‑fs,H7445,Job,3,557,32
יְגִ֣יעֵי,H3019,yə·ḡî·‘ê,the weary,Adj‑mpc,H3019,Job,3,622,32
כִּסְלָתֶ֑ךָ,H3690,kis·lā·ṯe·ḵā;,your confidence,N‑fsc | 2ms,H3690,Job,4,706,32
נִתָּֽעוּ׃,H5421,nit·tā·‘ū.,are broken,V‑Nifal‑Perf‑3cp,H5421,Job,4,734,32
שֵׁ֣מֶץ,H8102,šê·meṣ,a whisper,N‑ms,H8102,Job,4,745,32
וּרְעָדָ֑ה,H7460,ū·rə·‘ā·ḏāh;,and trembling,Conj‑w | N‑fs,H7460,Job,4,754,32
תְּ֝סַמֵּ֗ר,H5568,"tə·sam·mêr,",stood up,V‑Piel‑Imperf‑3fs,H5568,Job,4,761,32
תָּהֳלָֽה׃,H8417,tā·ho·lāh.,with error,N‑fs,H8417,Job,4,784,32
מִצִּנִּ֥ים,H6791,miṣ·ṣin·nîm,from the thorns,Prep‑m | N‑mp,H6791,Job,5,834,32
צַמִּ֣ים,H6782,ṣam·mîm,a snare,N‑ms,H6782,Job,5,837,32
בְּעָרְמָ֑ם,H6193,bə·‘ā·rə·mām;,in their own craftiness,Prep‑b | V‑Qal‑Inf | 3mp,H6193,Job,5,890,32
וּלְכָפָ֣ן,H3720,ū·lə·ḵā·p̄ān,and famine,"Conj‑w, Prep‑l | N‑ms",H3720,Job,5,941,32
בְכֶ֣לַח,H3624,ḇə·ḵe·laḥ,at a full age,Prep‑b | N‑ms,H3624,Job,5,967,32
(וְ֝הַוָּתִ֗י),H1962,"wə·haw·wā·ṯî,",my calamity,Conj‑w | N‑fsc | 1cs,H1962,Job,6,985,32
בִּעוּתֵ֖י,H1161,bi·‘ū·ṯê,the terrors,N‑mpc,H1161,Job,6,1004,32
חַלָּמֽוּת׃,H2495,ḥal·lā·mūṯ.,of an egg,N‑fs,H2495,Job,6,1022,32
כִּדְוֵ֥י,H1741,kiḏ·wê,as loathsome,Prep‑k | N‑msc,H1741,Job,6,1026,32
