hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
רָגְשׁ֣וּ,H7283,rā·ḡə·šū,do rage,V‑Qal‑Perf‑3cp,H7283,Psalms,2,62,33
מִזְמ֥וֹר,H4210,miz·mō·wr,a Psalm,N‑ms,H4210,Psalms,4,202,33
הַנְּחִיל֗וֹת,H5155,"han·nə·ḥî·lō·wṯ,",flutes,Art | N‑fp,H5155,Psalms,5,269,33
הֲגִֽיגִי׃,H1901,hă·ḡî·ḡî.,my meditation,N‑msc | 1cs,H1901,Psalms,5,276,33
שַׁוְעִ֗י,H7773,"šaw·‘î,",of my cry,N‑msc | 1cs,H7773,Psalms,5,278,33
שׁוֹרְרָ֑י,H8324,šō·wr·rāy;,of my enemies,N‑mpc | 1cs,H8324,Psalms,5,325,33
הַשְּׁמִינִ֗ית,H8067,"haš·šə·mî·nîṯ,",an eight-stringed harp,Art | N‑fs,H8067,Psalms,6,365,33
הַגִּתִּ֗ית,H1665,"hag·git·tîṯ,",the instrument of Gath,Art | N‑fs,H1665,Psalms,8,560,33
לַבֵּ֗ן,H4192,"lab·bên,",to [the tune of] Death of the Son,Adv,H4192,Psalms,9,627,33
שְׁכֵחֵ֥י,H7913,šə·ḵê·ḥê,that forget,Adj‑mpc,H7913,Psalms,9,742,33
וָתֹ֑ךְ,H8496,wā·ṯōḵ;,and oppression,Conj‑w | N‑ms,H8496,Psalms,10,818,33
לְֽחֵלְכָ֥ה,H2489,lə·ḥê·lə·ḵāh,on the helpless,Prep‑l | N‑fs,H2489,Psalms,10,829,33
(יִדְכֶּ֥ה),H1794,yiḏ·keh,So he crouches,V‑Qal‑Imperf‑3ms,H1794,Psalms,10,841,33
גָמַ֣ר,H1584,ḡā·mar,ceases,V‑Qal‑Perf‑3ms,H1584,Psalms,12,980,33
פַ֥סּוּ,H6461,p̄as·sū,disappear,V‑Qal‑Perf‑3cp,H6461,Psalms,12,983,33
