hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הָאִ֗ישׁ,H376,"hā·’îš,",the man,Art | N‑ms,H376,Psalms,1,1,33
אֲשֶׁ֤ר ׀,H834,’ă·šer,who,Pro‑r,H834,Psalms,1,2,33
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Psalms,1,3,33
הָלַךְ֮,H1980,hā·laḵ,does walk,V‑Qal‑Perf‑3ms,H1980,Psalms,1,4,33
בַּעֲצַ֪ת,H6098,ba·‘ă·ṣaṯ,in the counsel,Prep‑b | N‑fsc,H6098,Psalms,1,5,33
רְשָׁ֫עִ֥ים,H7563,rə·šā·‘îm,of the ungodly,Adj‑mp,H7563,Psalms,1,6,33
וּבְדֶ֣רֶךְ,H1870,ū·ḇə·ḏe·reḵ,and in the path,"Conj‑w, Prep‑b | N‑csc",H1870,Psalms,1,7,33
חַ֭טָּאִים,H2400,ḥaṭ·ṭā·’îm,of the sinful,Adj‑mp,H2400,Psalms,1,8,33
עָמָ֑ד,H5975,‘ā·māḏ;,stands,V‑Qal‑Perf‑3ms,H5975,Psalms,1,10,33
וּבְמוֹשַׁ֥ב,H4186,ū·ḇə·mō·wō·šaḇ,and in the seat,"Conj‑w, Prep‑b | N‑msc",H4186,Psalms,1,11,33
לֵ֝צִ֗ים,H3887,"lê·ṣîm,",of the scornful,V‑Qal‑Prtcpl‑mp,H3887,Psalms,1,12,33
יָשָֽׁב׃,H3427,yā·šāḇ.,sits,V‑Qal‑Perf‑3ms,H3427,Psalms,1,14,33
אִ֥ם,H518,’im,but,Conj,H518,Psalms,1,15,33
בְּתוֹרַ֥ת,H8451,bə·ṯō·w·raṯ,in the law,Prep‑b | N‑fsc,H8451,Psalms,1,16,33
יְהוָ֗ה,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Psalms,1,17,33
חֶ֫פְצ֥וֹ,H2656,ḥep̄·ṣōw,his delight [is],N‑msc | 3ms,H2656,Psalms,1,18,33
יֶהְגֶּ֗ה,H1897,"yeh·geh,",he meditates,V‑Qal‑Imperf‑3ms,H1897,Psalms,1,20,33
יוֹמָ֥ם,H3119,yō·w·mām,day,Adv,H3119,Psalms,1,21,33
וָלָֽיְלָה׃,H3915,wā·lā·yə·lāh.,and night,Conj‑w | N‑ms,H3915,Psalms,1,22,33
כְּעֵץ֮,H6086,kə·‘êṣ,like a tree,Prep‑k | N‑ms,H6086,Psalms,1,23,33
שָׁת֪וּל,H8362,šā·ṯūl,Planted,V‑Qal‑QalPassPrtcpl‑ms,H8362,Psalms,1,24,33
עַֽל־,H5921,‘al-,by,Prep,H5921,Psalms,1,25,33
פַּלְגֵ֫י,H6388,pal·ḡê,the rivers,N‑mpc,H6388,Psalms,1,26,33
מָ֥יִם,H4325,mā·yim,of water,N‑mp,H4325,Psalms,1,27,33
פִּרְי֨וֹ ׀,H6529,pir·yōw,its fruit,N‑msc | 3ms,H6529,Psalms,1,29,33
יִתֵּ֬ן,H5414,yit·tên,brings forth,V‑Qal‑Imperf‑3ms,H5414,Psalms,1,30,33
בְּעִתּ֗וֹ,H6256,"bə·‘it·tōw,",in its season,Prep‑b | N‑csc | 3ms,H6256,Psalms,1,31,33
וְעָלֵ֥הוּ,H5929,wə·‘ā·lê·hū,and Whose leaf,Conj‑w | N‑msc | 3ms,H5929,Psalms,1,32,33
יִבּ֑וֹל,H5034,yib·bō·wl;,shall wither,V‑Qal‑Imperf‑3ms,H5034,Psalms,1,34,33
וְכֹ֖ל,H3605,wə·ḵōl,and,Conj‑w | N‑ms,H3605,Psalms,1,35,33
יַעֲשֶׂ֣ה,H6213,ya·‘ă·śeh,he does,V‑Qal‑Imperf‑3ms,H6213,Psalms,1,37,33
יַצְלִֽיחַ׃,H6743,yaṣ·lî·aḥ.,shall prosper,V‑Hifil‑Imperf‑3ms,H6743,Psalms,1,38,33
כֵ֥ן,H3651,ḵên,so,Adv,H3651,Psalms,1,39,33
כִּ֥י,H3588,kî,for,Conj,H3588,Psalms,1,41,33
כַּ֝מֹּ֗ץ,H4671,"kam·mōṣ,",[are] like the chaff,"Prep‑k, Art | N‑ms",H4671,Psalms,1,43,33
תִּדְּפֶ֥נּוּ,H5086,tid·də·p̄en·nū,drives away,V‑Qal‑Imperf‑3fs | 3mse,H5086,Psalms,1,45,33
רֽוּחַ׃,H7307,rū·aḥ.,the wind,N‑cs,H7307,Psalms,1,46,33
יָקֻ֣מוּ,H6965,yā·qu·mū,shall stand,V‑Qal‑Imperf‑3mp,H6965,Psalms,1,49,33
בַּמִּשְׁפָּ֑ט,H4941,bam·miš·pāṭ;,in the judgment,"Prep‑b, Art | N‑ms",H4941,Psalms,1,51,33
בַּעֲדַ֥ת,H5712,ba·‘ă·ḏaṯ,in the congregation,Prep‑b | N‑fsc,H5712,Psalms,1,53,33
צַדִּיקִֽים׃,H6662,ṣad·dî·qîm.,of the righteous,Adj‑mp,H6662,Psalms,1,54,33
יוֹדֵ֣עַ,H3045,yō·w·ḏê·a‘,knows,V‑Qal‑Prtcpl‑ms,H3045,Psalms,1,55,33
יְ֭הוָה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Psalms,1,56,33
תֹּאבֵֽד׃,H6,tō·ḇêḏ.,shall perish,V‑Qal‑Imperf‑3fs,H6,Psalms,1,61,33
רָגְשׁ֣וּ,H7283,rā·ḡə·šū,do rage,V‑Qal‑Perf‑3cp,H7283,Psalms,2,62,33
גוֹיִ֑ם,H1471,ḡō·w·yim;,the nations,N‑mp,H1471,Psalms,2,63,33
וּ֝לְאֻמִּ֗ים,H3816,"ū·lə·’um·mîm,",and the people,Conj‑w | N‑mp,H3816,Psalms,2,64,33
רִֽיק׃,H7385,rîq.,a vain thing,N‑ms,H7385,Psalms,2,66,33
מַלְכֵי־,H4428,mal·ḵê-,the kings,N‑mpc,H4428,Psalms,2,67,33
אֶ֗רֶץ,H776,"’e·reṣ,",of the earth,N‑fs,H776,Psalms,2,68,33
וְרוֹזְנִ֥ים,H7336,wə·rō·wz·nîm,and the rulers,Conj‑w | V‑Qal‑Prtcpl‑mp,H7336,Psalms,2,69,33
נֽוֹסְדוּ־,H3245,nō·ws·ḏū-,take counsel,V‑Nifal‑Perf‑3cp,H3245,Psalms,2,70,33
יָ֑חַד,H3162,yā·ḥaḏ;,together,Adv,H3162,Psalms,2,71,33
מְשִׁיחֽוֹ׃,H4899,mə·šî·ḥōw.,His Anointed [saying],Adj‑msc | 3ms,H4899,Psalms,2,75,33
אֶת־,H853,’eṯ-,-,DirObjM,H853,Psalms,2,76,33
מֽוֹסְרוֹתֵ֑ימוֹ,H4147,mō·ws·rō·w·ṯê·mōw;,their bonds,N‑fpc | 3mp,H4147,Psalms,2,77,33
וְנַשְׁלִ֖יכָה,H7993,wə·naš·lî·ḵāh,and cast away,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cp,H7993,Psalms,2,78,33
מִמֶּ֣נּוּ,H4480,mim·men·nū,from us,Prep | 1cp,H4480,Psalms,2,79,33
עֲבֹתֵֽימוֹ׃,H5688,‘ă·ḇō·ṯê·mōw.,their cords,N‑cpc | 3mp,H5688,Psalms,2,80,33
בַּשָּׁמַ֣יִם,H8064,baš·šā·ma·yim,in the heavens,"Prep‑b, Art | N‑mp",H8064,Psalms,2,81,33
יִשְׂחָ֑ק,H7832,yiś·ḥāq;,shall laugh,V‑Qal‑Imperf‑3ms,H7832,Psalms,2,82,33
אֲ֝דֹנָ֗י,H136,"’ă·ḏō·nāy,",Yahweh,N‑proper‑ms,H136,Psalms,2,83,33
יִלְעַג־,H3932,yil·‘aḡ-,shall hold in derision,V‑Qal‑Imperf‑3ms,H3932,Psalms,2,84,33
יְדַבֵּ֣ר,H1696,yə·ḏab·bêr,He shall speak,V‑Piel‑Imperf‑3ms,H1696,Psalms,2,85,33
אֵלֵ֣ימוֹ,H413,’ê·lê·mōw,to them,Prep | 3mp,H413,Psalms,2,86,33
בְאַפּ֑וֹ,H639,ḇə·’ap·pōw;,in His wrath,Prep‑b | N‑msc | 3ms,H639,Psalms,2,87,33
וּֽבַחֲרוֹנ֥וֹ,H2740,ū·ḇa·ḥă·rō·w·nōw,and in His deep displeasure,"Conj‑w, Prep‑b | N‑msc | 3ms",H2740,Psalms,2,88,33
יְבַהֲלֵֽמוֹ׃,H926,yə·ḇa·hă·lê·mōw.,distress them,V‑Piel‑Imperf‑3ms | 3mp,H926,Psalms,2,89,33
נָסַ֣כְתִּי,H5258,nā·saḵ·tî,have set,V‑Qal‑Perf‑1cs,H5258,Psalms,2,90,33
צִ֝יּ֗וֹן,H6726,"ṣî·yō·wn,",Zion,N‑proper‑fs,H6726,Psalms,2,93,33
הַר־,H2022,har-,hill,N‑msc,H2022,Psalms,2,94,33
קָדְשִֽׁי׃,H6944,qāḏ·šî,of My holy,N‑msc | 1cs,H6944,Psalms,2,95,33
חֹ֥ק,H2706,ḥōq,the decree,N‑ms,H2706,Psalms,2,97,33
אָמַ֘ר,H559,’ā·mar,has said,V‑Qal‑Perf‑3ms,H559,Psalms,2,99,33
בְּנִ֥י,H1121,bə·nî,My Son,N‑msc | 1cs,H1121,Psalms,2,101,33
אַ֑תָּה,H859,’at·tāh;,You [are],Pro‑2ms,H859,Psalms,2,102,33
אֲ֝נִ֗י,H589,"’ă·nî,",I,Pro‑1cs,H589,Psalms,2,103,33
