hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּשְׁלֹשִׁ֣ים,H7970,biš·lō·šîm,In the thirtieth,Prep‑b | Number‑cp,H7970,Ezekiel,1,1,34
שָׁנָ֗ה,H8141,"šā·nāh,",year,N‑fs,H8141,Ezekiel,1,2,34
בָּֽרְבִיעִי֙,H7243,bā·rə·ḇî·‘î,in the fourth [month],"Prep‑b, Art | Number‑oms",H7243,Ezekiel,1,3,34
בַּחֲמִשָּׁ֣ה,H2568,ba·ḥă·miš·šāh,on [day] five,"Prep‑b, Art | Number‑ms",H2568,Ezekiel,1,4,34
לַחֹ֔דֶשׁ,H2320,"la·ḥō·ḏeš,",of the month,"Prep‑l, Art | N‑ms",H2320,Ezekiel,1,5,34
וַאֲנִ֥י,H589,wa·’ă·nî,and as I [was],Conj‑w | Pro‑1cs,H589,Ezekiel,1,6,34
בְתֽוֹךְ־,H8432,ḇə·ṯō·wḵ-,among,Prep‑b | N‑msc,H8432,Ezekiel,1,7,34
הַגּוֹלָ֖ה,H1473,hag·gō·w·lāh,the captives,Art | N‑fs,H1473,Ezekiel,1,8,34
עַל־,H5921,‘al-,by,Prep,H5921,Ezekiel,1,9,34
נְהַר־,H5104,nə·har-,the River,N‑msc,H5104,Ezekiel,1,10,34
כְּבָ֑ר,H3529,kə·ḇār;,Chebar,N‑proper‑fs,H3529,Ezekiel,1,11,34
נִפְתְּחוּ֙,H6605,nip̄·tə·ḥū,[that] were opened,V‑Nifal‑Perf‑3cp,H6605,Ezekiel,1,12,34
הַשָּׁמַ֔יִם,H8064,"haš·šā·ma·yim,",the heavens,Art | N‑mp,H8064,Ezekiel,1,13,34
וָאֶרְאֶ֖ה,H7200,wā·’er·’eh,and I saw,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H7200,Ezekiel,1,14,34
מַרְא֥וֹת,H4759,mar·’ō·wṯ,visions,N‑fpc,H4759,Ezekiel,1,15,34
אֱלֹהִֽים׃,H430,’ĕ·lō·hîm.,of God,N‑mp,H430,Ezekiel,1,16,34
לַחֹ֑דֶשׁ,H2320,la·ḥō·ḏeš;,of the month,"Prep‑l, Art | N‑ms",H2320,Ezekiel,1,17,34
הִ֚יא,H1931,hî,that [was],Pro‑3fs,H1931,Ezekiel,1,18,34
הַשָּׁנָ֣ה,H8141,haš·šā·nāh,in the year,Art | N‑fs,H8141,Ezekiel,1,19,34
הַחֲמִישִׁ֔ית,H2549,"ha·ḥă·mî·šîṯ,",fifth,Art | Number‑ofs,H2549,Ezekiel,1,20,34
לְגָל֖וּת,H1546,lə·ḡā·lūṯ,of captivity,Prep‑l | N‑fsc,H1546,Ezekiel,1,21,34
הַמֶּ֥לֶךְ,H4428,ham·me·leḵ,King,Art | N‑ms,H4428,Ezekiel,1,22,34
יוֹיָכִֽין׃,H3112,yō·w·yā·ḵîn.,of Jehoiachin,N‑proper‑ms,H3112,Ezekiel,1,23,34
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Ezekiel,1,24,34
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Ezekiel,1,25,34
יְ֠הוָה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezekiel,1,26,34
אֶל־,H413,’el-,to,Prep,H413,Ezekiel,1,27,34
יְחֶזְקֵ֨אל,H3168,yə·ḥez·qêl,Ezekiel,N‑proper‑ms,H3168,Ezekiel,1,28,34
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Ezekiel,1,29,34
בּוּזִ֧י,H941,bū·zî,of Buzi,N‑proper‑ms,H941,Ezekiel,1,30,34
הַכֹּהֵ֛ן,H3548,hak·kō·hên,the priest,Art | N‑ms,H3548,Ezekiel,1,31,34
בְּאֶ֥רֶץ,H776,bə·’e·reṣ,in the land,Prep‑b | N‑fsc,H776,Ezekiel,1,32,34
כַּשְׂדִּ֖ים,H3778,kaś·dîm,of the Chaldeans,N‑proper‑mp,H3778,Ezekiel,1,33,34
עַל־,H5921,‘al-,by,Prep,H5921,Ezekiel,1,34,34
נְהַר־,H5104,nə·har-,the River,N‑msc,H5104,Ezekiel,1,35,34
כְּבָ֑ר,H3529,kə·ḇār;,Chebar,N‑proper‑fs,H3529,Ezekiel,1,36,34
וַתְּהִ֥י,H1961,wat·tə·hî,and was,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H1961,Ezekiel,1,37,34
עָלָ֛יו,H5921,‘ā·lāw,upon him,Prep | 3ms,H5921,Ezekiel,1,38,34
שָׁ֖ם,H8033,šām,there,Adv,H8033,Ezekiel,1,39,34
יַד־,H3027,yaḏ-,the hand,N‑fsc,H3027,Ezekiel,1,40,34
יְהוָֽה׃,H3068,Yah·weh.,of Yahweh,N‑proper‑ms,H3068,Ezekiel,1,41,34
וְהִנֵּה֩,H2009,wə·hin·nêh,and behold,Conj‑w | Interjection,H2009,Ezekiel,1,42,34
ר֨וּחַ,H7307,rū·aḥ,wind,N‑csc,H7307,Ezekiel,1,43,34
סְעָרָ֜ה,H5591,sə·‘ā·rāh,a whirlwind,N‑fs,H5591,Ezekiel,1,44,34
בָּאָ֣ה,H935,bā·’āh,was coming,V‑Qal‑Prtcpl‑fs,H935,Ezekiel,1,45,34
מִן־,H4480,min-,out,Prep,H4480,Ezekiel,1,46,34
הַצָּפ֗וֹן,H6828,"haṣ·ṣā·p̄ō·wn,",of the north,Art | N‑fs,H6828,Ezekiel,1,47,34
עָנָ֤ן,H6051,‘ā·nān,a cloud,N‑ms,H6051,Ezekiel,1,48,34
גָּדוֹל֙,H1419,gā·ḏō·wl,great,Adj‑ms,H1419,Ezekiel,1,49,34
וְאֵ֣שׁ,H784,wə·’êš,and with [raging] fire,Conj‑w | N‑cs,H784,Ezekiel,1,50,34
מִתְלַקַּ֔חַת,H3947,"miṯ·laq·qa·ḥaṯ,",engulfing itself,V‑Hitpael‑Prtcpl‑fs,H3947,Ezekiel,1,51,34
וְנֹ֥גַֽהּ,H5051,wə·nō·ḡah,and brightness [was],Conj‑w | N‑fs,H5051,Ezekiel,1,52,34
סָבִ֑יב,H5439,sā·ḇîḇ;,all around,Adv,H5439,Ezekiel,1,53,34
וּמִ֨תּוֹכָ֔הּ,H8432,"ū·mit·tō·w·ḵāh,",and radiating out of its midst,"Conj‑w, Prep‑m | N‑msc | 3fs",H8432,Ezekiel,1,54,34
כְּעֵ֥ין,H5869,kə·‘ên,like the color,Prep‑k | N‑csc,H5869,Ezekiel,1,55,34
הַחַשְׁמַ֖ל,H2830,ha·ḥaš·mal,of amber,Art | N‑ms,H2830,Ezekiel,1,56,34
מִתּ֥וֹךְ,H8432,mit·tō·wḵ,out of the midst,Prep‑m | N‑msc,H8432,Ezekiel,1,57,34
הָאֵֽשׁ׃,H784,hā·’êš.,of the fire,Art | N‑cs,H784,Ezekiel,1,58,34
דְּמ֖וּת,H1823,də·mūṯ,[came] the likeness,N‑fsc,H1823,Ezekiel,1,59,34
אַרְבַּ֣ע,H702,’ar·ba‘,of four,Number‑fs,H702,Ezekiel,1,60,34
חַיּ֑וֹת,H2416,ḥay·yō·wṯ;,living creatures,N‑fp,H2416,Ezekiel,1,61,34
וְזֶה֙,H2088,wə·zeh,And this [was],Conj‑w | Pro‑ms,H2088,Ezekiel,1,62,34
מַרְאֵֽיהֶ֔ן,H4758,"mar·’ê·hen,",their appearance,N‑mpc | 3fp,H4758,Ezekiel,1,63,34
דְּמ֥וּת,H1823,də·mūṯ,the likeness,N‑fsc,H1823,Ezekiel,1,64,34
אָדָ֖ם,H120,’ā·ḏām,of a man,N‑ms,H120,Ezekiel,1,65,34
לָהֵֽנָּה׃,H2007,lā·hên·nāh.,had they,Prep‑l | Pro‑3fp,H2007,Ezekiel,1,66,34
פָנִ֖ים,H6440,p̄ā·nîm,faces,N‑mp,H6440,Ezekiel,1,67,34
לְאֶחָ֑ת,H259,lə·’e·ḥāṯ;,had [Each] one,Prep‑l | Number‑fs,H259,Ezekiel,1,68,34
וְאַרְבַּ֥ע,H702,wə·’ar·ba‘,and four,Conj‑w | Number‑fs,H702,Ezekiel,1,69,34
כְּנָפַ֖יִם,H3671,kə·nā·p̄a·yim,wings,N‑fd,H3671,Ezekiel,1,70,34
לְאַחַ֥ת,H259,lə·’a·ḥaṯ,had [each] one,Prep‑l | Number‑fs,H259,Ezekiel,1,71,34
רֶ֣גֶל,H7272,re·ḡel,feet,N‑fs,H7272,Ezekiel,1,72,34
יְשָׁרָ֑ה,H3477,yə·šā·rāh;,straight,Adj‑fs,H3477,Ezekiel,1,73,34
וְכַ֣ף,H3709,wə·ḵap̄,and the soles,Conj‑w | N‑fsc,H3709,Ezekiel,1,74,34
רַגְלֵיהֶ֗ם,H7272,"raḡ·lê·hem,",of their feet,N‑fdc | 3mp,H7272,Ezekiel,1,75,34
כְּכַף֙,H3709,kə·ḵap̄,[were] like the soles,Prep‑k | N‑fsc,H3709,Ezekiel,1,76,34
רֶ֣גֶל,H7272,re·ḡel,of feet,N‑fsc,H7272,Ezekiel,1,77,34
עֵ֔גֶל,H5695,"‘ê·ḡel,",calves',N‑ms,H5695,Ezekiel,1,78,34
וְנֹ֣צְצִ֔ים,H5340,"wə·nō·ṣə·ṣîm,",and they sparkled,Conj‑w | V‑Qal‑Prtcpl‑mp,H5340,Ezekiel,1,79,34
כְּעֵ֖ין,H5869,kə·‘ên,like the color,Prep‑k | N‑csc,H5869,Ezekiel,1,80,34
נְחֹ֥שֶׁת,H5178,nə·ḥō·šeṯ,of bronze,N‑fs,H5178,Ezekiel,1,81,34
קָלָֽל׃,H7044,qā·lāl.,burnished,Adj‑ms,H7044,Ezekiel,1,82,34
(וִידֵ֣י),H3027,wî·ḏê,The hands of,Conj‑w | N‑fdc,H3027,Ezekiel,1,83,34
אָדָ֗ם,H120,"’ā·ḏām,",a man,N‑ms,H120,Ezekiel,1,84,34
מִתַּ֙חַת֙,H8478,mit·ta·ḥaṯ,[were] under,Prep‑m,H8478,Ezekiel,1,85,34
כַּנְפֵיהֶ֔ם,H3671,"kan·p̄ê·hem,",their wings,N‑fpc | 3mp,H3671,Ezekiel,1,86,34
עַ֖ל,H5921,‘al,on,Prep,H5921,Ezekiel,1,87,34
אַרְבַּ֣עַת,H702,’ar·ba·‘aṯ,four,Number‑msc,H702,Ezekiel,1,88,34
רִבְעֵיהֶ֑ם,H7253,riḇ·‘ê·hem;,their sides,N‑mpc | 3mp,H7253,Ezekiel,1,89,34
וּפְנֵיהֶ֥ם,H6440,ū·p̄ə·nê·hem,and faces,Conj‑w | N‑mpc | 3mp,H6440,Ezekiel,1,90,34
וְכַנְפֵיהֶ֖ם,H3671,wə·ḵan·p̄ê·hem,and wings,Conj‑w | N‑fpc | 3mp,H3671,Ezekiel,1,91,34
לְאַרְבַּעְתָּֽם׃,H702,lə·’ar·ba‘·tām.,had the four,Prep‑l | Number‑msc | 3mp,H702,Ezekiel,1,92,34
אִשָּׁ֥ה,H802,’iš·šāh,one,N‑fs,H802,Ezekiel,1,93,34
אֶל־,H413,’el-,unto,Prep,H413,Ezekiel,1,94,34
אֲחוֹתָ֖הּ,H269,’ă·ḥō·w·ṯāh,another,N‑fsc | 3fs,H269,Ezekiel,1,95,34
כַּנְפֵיהֶ֑ם,H3671,kan·p̄ê·hem;,their wings,N‑fpc | 3mp,H3671,Ezekiel,1,96,34
לֹא־,H3808,lō-,not,Adv‑NegPrt,H3808,Ezekiel,1,97,34
יִסַּ֣בּוּ,H5437,yis·sab·bū,[The creatures] did turn,V‑Nifal‑Imperf‑3mp,H5437,Ezekiel,1,98,34
בְלֶכְתָּ֔ן,H1980,"ḇə·leḵ·tān,",when they went,Prep‑b | V‑Qal‑Inf | 3fp,H1980,Ezekiel,1,99,34
אִ֛ישׁ,H376,’îš,one each,N‑ms,H376,Ezekiel,1,100,34
אֶל־,H413,’el-,to,Prep,H413,Ezekiel,1,101,34
עֵ֥בֶר,H5676,‘ê·ḇer,straight,N‑msc,H5676,Ezekiel,1,102,34
פָּנָ֖יו,H6440,pā·nāw,forward,N‑cpc | 3ms,H6440,Ezekiel,1,103,34
יֵלֵֽכוּ׃,H1980,yê·lê·ḵū.,but went,V‑Qal‑Imperf‑3mp,H1980,Ezekiel,1,104,34
פְּנֵיהֶם֮,H6440,pə·nê·hem,of their faces,N‑mpc | 3mp,H6440,Ezekiel,1,105,34
פְּנֵ֣י,H6440,pə·nê,[each] had the face,N‑cpc,H6440,Ezekiel,1,106,34
אָדָם֒,H120,’ā·ḏām,of a man,N‑ms,H120,Ezekiel,1,107,34
וּפְנֵ֨י,H6440,ū·p̄ə·nê,and the face,Conj‑w | N‑cpc,H6440,Ezekiel,1,108,34
אַרְיֵ֤ה,H738,’ar·yêh,of a lion,N‑ms,H738,Ezekiel,1,109,34
אֶל־,H413,’el-,on,Prep,H413,Ezekiel,1,110,34
הַיָּמִין֙,H3225,hay·yā·mîn,the right side,Art | N‑fs,H3225,Ezekiel,1,111,34
לְאַרְבַּעְתָּ֔ם,H702,"lə·’ar·ba‘·tām,",had the four,Prep‑l | Number‑msc | 3mp,H702,Ezekiel,1,112,34
וּפְנֵי־,H6440,ū·p̄ə·nê-,and the face,Conj‑w | N‑mpc,H6440,Ezekiel,1,113,34
שׁ֥וֹר,H7794,šō·wr,of an ox,N‑ms,H7794,Ezekiel,1,114,34
מֵֽהַשְּׂמֹ֖אול,H8040,mê·haś·śə·mō·wl,on the left side,"Prep‑m, Art | N‑ms",H8040,Ezekiel,1,115,34
לְאַרְבַּעְתָּ֑ן,H702,lə·’ar·ba‘·tān;,had the four,Prep‑l | Number‑msc | 3fp,H702,Ezekiel,1,116,34
וּפְנֵי־,H6440,ū·p̄ə·nê-,and the face,Conj‑w | N‑mpc,H6440,Ezekiel,1,117,34
נֶ֖שֶׁר,H5404,ne·šer,of an eagle,N‑ms,H5404,Ezekiel,1,118,34
לְאַרְבַּעְתָּֽן׃,H702,lə·’ar·ba‘·tān.,had the four,Prep‑l | Number‑msc | 3fp,H702,Ezekiel,1,119,34
וְכַנְפֵיהֶ֥ם,H3671,wə·ḵan·p̄ê·hem,And their wings,Conj‑w | N‑fpc | 3mp,H3671,Ezekiel,1,120,34
פְּרֻד֖וֹת,H6504,pə·ru·ḏō·wṯ,stretched,V‑Qal‑QalPassPrtcpl‑fp,H6504,Ezekiel,1,121,34
מִלְמָ֑עְלָה,H4605,mil·mā·‘ə·lāh;,upward,"Prep‑m, Prep‑l | Adv | 3fs",H4605,Ezekiel,1,122,34
לְאִ֗ישׁ,H376,"lə·’îš,",of each one,Prep‑l | N‑ms,H376,Ezekiel,1,123,34
שְׁ֚תַּיִם,H8147,ta·yim,two [wings],Number‑fd,H8147,Ezekiel,1,124,34
חֹבְר֣וֹת,H2266,ḥō·ḇə·rō·wṯ,touched,V‑Qal‑Prtcpl‑fp,H2266,Ezekiel,1,125,34
אִ֔ישׁ,H376,"’îš,",one another,N‑ms,H376,Ezekiel,1,126,34
וּשְׁתַּ֣יִם,H8147,ū·šə·ta·yim,and two,Conj‑w | Number‑fd,H8147,Ezekiel,1,127,34
מְכַסּ֔וֹת,H3680,"mə·ḵas·sō·wṯ,",covered,V‑Piel‑Prtcpl‑fp,H3680,Ezekiel,1,128,34
אֵ֖ת,H853,’êṯ,-,DirObjM,H853,Ezekiel,1,129,34
גְּוִיֹתֵיהֶֽנָה׃‪‬,H1472,gə·wi·yō·ṯê·he·nāh,their bodies,N‑fpc | 3fp,H1472,Ezekiel,1,130,34
אֶל־,H413,’el-,straight,Prep,H413,Ezekiel,1,131,34
עֵ֥בֶר,H5676,‘ê·ḇer,straight,N‑msc,H5676,Ezekiel,1,132,34
פָּנָ֖יו,H6440,pā·nāw,forward,N‑cpc | 3ms,H6440,Ezekiel,1,133,34
יֵלֵ֑כוּ,H1980,yê·lê·ḵū;,went,V‑Qal‑Imperf‑3mp,H1980,Ezekiel,1,134,34
אֶ֣ל,H413,’el,wherever,Prep,H413,Ezekiel,1,135,34
אֲשֶׁר֩,H834,’ă·šer,wherever,Pro‑r,H834,Ezekiel,1,136,34
יִֽהְיֶה־,H1961,yih·yeh-,wanted,V‑Qal‑Imperf‑3ms,H1961,Ezekiel,1,137,34
שָׁ֨מָּה,H8033,šām·māh,there,Adv | 3fs,H8033,Ezekiel,1,138,34
הָר֤וּחַ,H7307,hā·rū·aḥ,the spirit,Art | N‑cs,H7307,Ezekiel,1,139,34
לָלֶ֙כֶת֙,H1980,lā·le·ḵeṯ,to go,Prep‑l | V‑Qal‑Inf,H1980,Ezekiel,1,140,34
יֵלֵ֔כוּ,H1980,"yê·lê·ḵū,",they went,V‑Qal‑Imperf‑3mp,H1980,Ezekiel,1,141,34
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Ezekiel,1,142,34
יִסַּ֖בּוּ,H5437,yis·sab·bū,and they did turn,V‑Nifal‑Imperf‑3mp,H5437,Ezekiel,1,143,34
בְּלֶכְתָּֽן׃,H1980,bə·leḵ·tān.,when they went,Prep‑b | V‑Qal‑Inf | 3fp,H1980,Ezekiel,1,144,34
הַחַיּ֜וֹת,H2416,ha·ḥay·yō·wṯ,of the living creatures,Art | N‑fp,H2416,Ezekiel,1,145,34
מַרְאֵיהֶ֣ם,H4758,mar·’ê·hem,their appearance,N‑mpc | 3mp,H4758,Ezekiel,1,146,34
כְּגַחֲלֵי־,H1513,kə·ḡa·ḥă·lê-,like coals,Prep‑k | N‑mpc,H1513,Ezekiel,1,147,34
אֵ֗שׁ,H784,"’êš,",of fire,N‑cs,H784,Ezekiel,1,148,34
בֹּֽעֲרוֹת֙,H1197,bō·‘ă·rō·wṯ,burning,V‑Qal‑Prtcpl‑fp,H1197,Ezekiel,1,149,34
כְּמַרְאֵ֣ה,H4758,kə·mar·’êh,like the appearance,Prep‑k | N‑msc,H4758,Ezekiel,1,150,34
הַלַּפִּדִ֔ים,H3940,"hal·lap·pi·ḏîm,",of torches,Art | N‑mp,H3940,Ezekiel,1,151,34
הִ֕יא,H1931,hî,was,Pro‑3fs,H1931,Ezekiel,1,152,34
מִתְהַלֶּ֖כֶת,H1980,miṯ·hal·le·ḵeṯ,going back and forth,V‑Hitpael‑Prtcpl‑fs,H1980,Ezekiel,1,153,34
בֵּ֣ין,H996,bên,among,Prep,H996,Ezekiel,1,154,34
הַחַיּ֑וֹת,H2416,ha·ḥay·yō·wṯ;,the living creatures,Art | N‑fp,H2416,Ezekiel,1,155,34
וְנֹ֣גַהּ,H5051,wə·nō·ḡah,and bright,Conj‑w | N‑fs,H5051,Ezekiel,1,156,34
לָאֵ֔שׁ,H784,"lā·’êš,",the fire was,"Prep‑l, Art | N‑cs",H784,Ezekiel,1,157,34
וּמִן־,H4480,ū·min-,and out,Conj‑w | Prep,H4480,Ezekiel,1,158,34
הָאֵ֖שׁ,H784,hā·’êš,of the fire,Art | N‑cs,H784,Ezekiel,1,159,34
יוֹצֵ֥א,H3318,yō·w·ṣê,went,V‑Qal‑Prtcpl‑ms,H3318,Ezekiel,1,160,34
בָרָֽק׃,H1300,ḇā·rāq.,lightning,N‑ms,H1300,Ezekiel,1,161,34
רָצ֣וֹא,H7519,rā·ṣō·w,ran back,V‑Qal‑InfAbs,H7519,Ezekiel,1,162,34
וָשׁ֑וֹב,H7725,wā·šō·wḇ;,and forth,Conj‑w | V‑Qal‑InfAbs,H7725,Ezekiel,1,163,34
כְּמַרְאֵ֖ה,H4758,kə·mar·’êh,like in appearance,Prep‑k | N‑msc,H4758,Ezekiel,1,164,34
הַבָּזָֽק׃,H965,hab·bā·zāq.,a [flash] of lightning,Art | N‑ms,H965,Ezekiel,1,165,34
הַחַיּ֑וֹת,H2416,ha·ḥay·yō·wṯ;,the living creatures,Art | N‑fp,H2416,Ezekiel,1,166,34
וְהִנֵּה֩,H2009,wə·hin·nêh,and behold,Conj‑w | Interjection,H2009,Ezekiel,1,167,34
אוֹפַ֨ן,H212,’ō·w·p̄an,wheel [was],N‑ms,H212,Ezekiel,1,168,34
אֶחָ֥ד,H259,’e·ḥāḏ,a,Number‑ms,H259,Ezekiel,1,169,34
בָּאָ֛רֶץ,H776,bā·’ā·reṣ,on the earth,"Prep‑b, Art | N‑fs",H776,Ezekiel,1,170,34
אֵ֥צֶל,H681,’ê·ṣel,beside,Prep,H681,Ezekiel,1,171,34
הַחַיּ֖וֹת,H2416,ha·ḥay·yō·wṯ,each living creature,Art | N‑fp,H2416,Ezekiel,1,172,34
לְאַרְבַּ֥עַת,H702,lə·’ar·ba·‘aṯ,with four,Prep‑l | Number‑msc,H702,Ezekiel,1,173,34
פָּנָֽיו׃,H6440,pā·nāw.,its faces,N‑cpc | 3ms,H6440,Ezekiel,1,174,34
הָאוֹפַנִּ֤ים,H212,hā·’ō·w·p̄an·nîm,of the wheels,Art | N‑mp,H212,Ezekiel,1,175,34
