hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּשְׁלֹשִׁ֣ים,H7970,biš·lō·šîm,In the thirtieth,Prep‑b | Number‑cp,H7970,Ezekiel,1,1,34
שָׁנָ֗ה,H8141,"šā·nāh,",year,N‑fs,H8141,Ezekiel,1,2,34
בָּֽרְבִיעִי֙,H7243,bā·rə·ḇî·‘î,in the fourth [month],"Prep‑b, Art | Number‑oms",H7243,Ezekiel,1,3,34
בַּחֲמִשָּׁ֣ה,H2568,ba·ḥă·miš·šāh,on [day] five,"Prep‑b, Art | Number‑ms",H2568,Ezekiel,1,4,34
לַחֹ֔דֶשׁ,H2320,"la·ḥō·ḏeš,",of the month,"Prep‑l, Art | N‑ms",H2320,Ezekiel,1,5,34
וַאֲנִ֥י,H589,wa·’ă·nî,and as I [was],Conj‑w | Pro‑1cs,H589,Ezekiel,1,6,34
בְתֽוֹךְ־,H8432,ḇə·ṯō·wḵ-,among,Prep‑b | N‑msc,H8432,Ezekiel,1,7,34
הַגּוֹלָ֖ה,H1473,hag·gō·w·lāh,the captives,Art | N‑fs,H1473,Ezekiel,1,8,34
עַל־,H5921,‘al-,by,Prep,H5921,Ezekiel,1,9,34
נְהַר־,H5104,nə·har-,the River,N‑msc,H5104,Ezekiel,1,10,34
כְּבָ֑ר,H3529,kə·ḇār;,Chebar,N‑proper‑fs,H3529,Ezekiel,1,11,34
נִפְתְּחוּ֙,H6605,nip̄·tə·ḥū,[that] were opened,V‑Nifal‑Perf‑3cp,H6605,Ezekiel,1,12,34
הַשָּׁמַ֔יִם,H8064,"haš·šā·ma·yim,",the heavens,Art | N‑mp,H8064,Ezekiel,1,13,34
וָאֶרְאֶ֖ה,H7200,wā·’er·’eh,and I saw,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H7200,Ezekiel,1,14,34
מַרְא֥וֹת,H4759,mar·’ō·wṯ,visions,N‑fpc,H4759,Ezekiel,1,15,34
אֱלֹהִֽים׃,H430,’ĕ·lō·hîm.,of God,N‑mp,H430,Ezekiel,1,16,34
הִ֚יא,H1931,hî,that [was],Pro‑3fs,H1931,Ezekiel,1,18,34
הַחֲמִישִׁ֔ית,H2549,"ha·ḥă·mî·šîṯ,",fifth,Art | Number‑ofs,H2549,Ezekiel,1,20,34
לְגָל֖וּת,H1546,lə·ḡā·lūṯ,of captivity,Prep‑l | N‑fsc,H1546,Ezekiel,1,21,34
הַמֶּ֥לֶךְ,H4428,ham·me·leḵ,King,Art | N‑ms,H4428,Ezekiel,1,22,34
יוֹיָכִֽין׃,H3112,yō·w·yā·ḵîn.,of Jehoiachin,N‑proper‑ms,H3112,Ezekiel,1,23,34
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Ezekiel,1,24,34
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Ezekiel,1,25,34
יְ֠הוָה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezekiel,1,26,34
אֶל־,H413,’el-,to,Prep,H413,Ezekiel,1,27,34
יְחֶזְקֵ֨אל,H3168,yə·ḥez·qêl,Ezekiel,N‑proper‑ms,H3168,Ezekiel,1,28,34
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Ezekiel,1,29,34
בּוּזִ֧י,H941,bū·zî,of Buzi,N‑proper‑ms,H941,Ezekiel,1,30,34
הַכֹּהֵ֛ן,H3548,hak·kō·hên,the priest,Art | N‑ms,H3548,Ezekiel,1,31,34
בְּאֶ֥רֶץ,H776,bə·’e·reṣ,in the land,Prep‑b | N‑fsc,H776,Ezekiel,1,32,34
כַּשְׂדִּ֖ים,H3778,kaś·dîm,of the Chaldeans,N‑proper‑mp,H3778,Ezekiel,1,33,34
שָׁ֖ם,H8033,šām,there,Adv,H8033,Ezekiel,1,39,34
יַד־,H3027,yaḏ-,the hand,N‑fsc,H3027,Ezekiel,1,40,34
וְהִנֵּה֩,H2009,wə·hin·nêh,and behold,Conj‑w | Interjection,H2009,Ezekiel,1,42,34
ר֨וּחַ,H7307,rū·aḥ,wind,N‑csc,H7307,Ezekiel,1,43,34
סְעָרָ֜ה,H5591,sə·‘ā·rāh,a whirlwind,N‑fs,H5591,Ezekiel,1,44,34
בָּאָ֣ה,H935,bā·’āh,was coming,V‑Qal‑Prtcpl‑fs,H935,Ezekiel,1,45,34
מִן־,H4480,min-,out,Prep,H4480,Ezekiel,1,46,34
הַצָּפ֗וֹן,H6828,"haṣ·ṣā·p̄ō·wn,",of the north,Art | N‑fs,H6828,Ezekiel,1,47,34
עָנָ֤ן,H6051,‘ā·nān,a cloud,N‑ms,H6051,Ezekiel,1,48,34
גָּדוֹל֙,H1419,gā·ḏō·wl,great,Adj‑ms,H1419,Ezekiel,1,49,34
וְאֵ֣שׁ,H784,wə·’êš,and with [raging] fire,Conj‑w | N‑cs,H784,Ezekiel,1,50,34
מִתְלַקַּ֔חַת,H3947,"miṯ·laq·qa·ḥaṯ,",engulfing itself,V‑Hitpael‑Prtcpl‑fs,H3947,Ezekiel,1,51,34
וְנֹ֥גַֽהּ,H5051,wə·nō·ḡah,and brightness [was],Conj‑w | N‑fs,H5051,Ezekiel,1,52,34
סָבִ֑יב,H5439,sā·ḇîḇ;,all around,Adv,H5439,Ezekiel,1,53,34
כְּעֵ֥ין,H5869,kə·‘ên,like the color,Prep‑k | N‑csc,H5869,Ezekiel,1,55,34
הַחַשְׁמַ֖ל,H2830,ha·ḥaš·mal,of amber,Art | N‑ms,H2830,Ezekiel,1,56,34
דְּמ֖וּת,H1823,də·mūṯ,[came] the likeness,N‑fsc,H1823,Ezekiel,1,59,34
אַרְבַּ֣ע,H702,’ar·ba‘,of four,Number‑fs,H702,Ezekiel,1,60,34
חַיּ֑וֹת,H2416,ḥay·yō·wṯ;,living creatures,N‑fp,H2416,Ezekiel,1,61,34
וְזֶה֙,H2088,wə·zeh,And this [was],Conj‑w | Pro‑ms,H2088,Ezekiel,1,62,34
מַרְאֵֽיהֶ֔ן,H4758,"mar·’ê·hen,",their appearance,N‑mpc | 3fp,H4758,Ezekiel,1,63,34
אָדָ֖ם,H120,’ā·ḏām,of a man,N‑ms,H120,Ezekiel,1,65,34
לָהֵֽנָּה׃,H2007,lā·hên·nāh.,had they,Prep‑l | Pro‑3fp,H2007,Ezekiel,1,66,34
פָנִ֖ים,H6440,p̄ā·nîm,faces,N‑mp,H6440,Ezekiel,1,67,34
לְאֶחָ֑ת,H259,lə·’e·ḥāṯ;,had [Each] one,Prep‑l | Number‑fs,H259,Ezekiel,1,68,34
כְּנָפַ֖יִם,H3671,kə·nā·p̄a·yim,wings,N‑fd,H3671,Ezekiel,1,70,34
רֶ֣גֶל,H7272,re·ḡel,feet,N‑fs,H7272,Ezekiel,1,72,34
יְשָׁרָ֑ה,H3477,yə·šā·rāh;,straight,Adj‑fs,H3477,Ezekiel,1,73,34
וְכַ֣ף,H3709,wə·ḵap̄,and the soles,Conj‑w | N‑fsc,H3709,Ezekiel,1,74,34
עֵ֔גֶל,H5695,"‘ê·ḡel,",calves',N‑ms,H5695,Ezekiel,1,78,34
וְנֹ֣צְצִ֔ים,H5340,"wə·nō·ṣə·ṣîm,",and they sparkled,Conj‑w | V‑Qal‑Prtcpl‑mp,H5340,Ezekiel,1,79,34
נְחֹ֥שֶׁת,H5178,nə·ḥō·šeṯ,of bronze,N‑fs,H5178,Ezekiel,1,81,34
קָלָֽל׃,H7044,qā·lāl.,burnished,Adj‑ms,H7044,Ezekiel,1,82,34
מִתַּ֙חַת֙,H8478,mit·ta·ḥaṯ,[were] under,Prep‑m,H8478,Ezekiel,1,85,34
רִבְעֵיהֶ֑ם,H7253,riḇ·‘ê·hem;,their sides,N‑mpc | 3mp,H7253,Ezekiel,1,89,34
אִשָּׁ֥ה,H802,’iš·šāh,one,N‑fs,H802,Ezekiel,1,93,34
אֲחוֹתָ֖הּ,H269,’ă·ḥō·w·ṯāh,another,N‑fsc | 3fs,H269,Ezekiel,1,95,34
לֹא־,H3808,lō-,not,Adv‑NegPrt,H3808,Ezekiel,1,97,34
יִסַּ֣בּוּ,H5437,yis·sab·bū,[The creatures] did turn,V‑Nifal‑Imperf‑3mp,H5437,Ezekiel,1,98,34
בְלֶכְתָּ֔ן,H1980,"ḇə·leḵ·tān,",when they went,Prep‑b | V‑Qal‑Inf | 3fp,H1980,Ezekiel,1,99,34
אִ֛ישׁ,H376,’îš,one each,N‑ms,H376,Ezekiel,1,100,34
עֵ֥בֶר,H5676,‘ê·ḇer,straight,N‑msc,H5676,Ezekiel,1,102,34
אַרְיֵ֤ה,H738,’ar·yêh,of a lion,N‑ms,H738,Ezekiel,1,109,34
הַיָּמִין֙,H3225,hay·yā·mîn,the right side,Art | N‑fs,H3225,Ezekiel,1,111,34
שׁ֥וֹר,H7794,šō·wr,of an ox,N‑ms,H7794,Ezekiel,1,114,34
מֵֽהַשְּׂמֹ֖אול,H8040,mê·haś·śə·mō·wl,on the left side,"Prep‑m, Art | N‑ms",H8040,Ezekiel,1,115,34
נֶ֖שֶׁר,H5404,ne·šer,of an eagle,N‑ms,H5404,Ezekiel,1,118,34
פְּרֻד֖וֹת,H6504,pə·ru·ḏō·wṯ,stretched,V‑Qal‑QalPassPrtcpl‑fp,H6504,Ezekiel,1,121,34
מִלְמָ֑עְלָה,H4605,mil·mā·‘ə·lāh;,upward,"Prep‑m, Prep‑l | Adv | 3fs",H4605,Ezekiel,1,122,34
שְׁ֚תַּיִם,H8147,ta·yim,two [wings],Number‑fd,H8147,Ezekiel,1,124,34
חֹבְר֣וֹת,H2266,ḥō·ḇə·rō·wṯ,touched,V‑Qal‑Prtcpl‑fp,H2266,Ezekiel,1,125,34
מְכַסּ֔וֹת,H3680,"mə·ḵas·sō·wṯ,",covered,V‑Piel‑Prtcpl‑fp,H3680,Ezekiel,1,128,34
אֵ֖ת,H853,’êṯ,-,DirObjM,H853,Ezekiel,1,129,34
גְּוִיֹתֵיהֶֽנָה׃‪‬,H1472,gə·wi·yō·ṯê·he·nāh,their bodies,N‑fpc | 3fp,H1472,Ezekiel,1,130,34
אֲשֶׁר֩,H834,’ă·šer,wherever,Pro‑r,H834,Ezekiel,1,136,34
כְּגַחֲלֵי־,H1513,kə·ḡa·ḥă·lê-,like coals,Prep‑k | N‑mpc,H1513,Ezekiel,1,147,34
בֹּֽעֲרוֹת֙,H1197,bō·‘ă·rō·wṯ,burning,V‑Qal‑Prtcpl‑fp,H1197,Ezekiel,1,149,34
הַלַּפִּדִ֔ים,H3940,"hal·lap·pi·ḏîm,",of torches,Art | N‑mp,H3940,Ezekiel,1,151,34
בֵּ֣ין,H996,bên,among,Prep,H996,Ezekiel,1,154,34
יוֹצֵ֥א,H3318,yō·w·ṣê,went,V‑Qal‑Prtcpl‑ms,H3318,Ezekiel,1,160,34
בָרָֽק׃,H1300,ḇā·rāq.,lightning,N‑ms,H1300,Ezekiel,1,161,34
רָצ֣וֹא,H7519,rā·ṣō·w,ran back,V‑Qal‑InfAbs,H7519,Ezekiel,1,162,34
וָשׁ֑וֹב,H7725,wā·šō·wḇ;,and forth,Conj‑w | V‑Qal‑InfAbs,H7725,Ezekiel,1,163,34
הַבָּזָֽק׃,H965,hab·bā·zāq.,a [flash] of lightning,Art | N‑ms,H965,Ezekiel,1,165,34
אוֹפַ֨ן,H212,’ō·w·p̄an,wheel [was],N‑ms,H212,Ezekiel,1,168,34
אֵ֥צֶל,H681,’ê·ṣel,beside,Prep,H681,Ezekiel,1,171,34
וּמַעֲשֵׂיהֶם֙,H4639,ū·ma·‘ă·śê·hem,and their workings [was],Conj‑w | N‑mpc | 3mp,H4639,Ezekiel,1,176,34
תַּרְשִׁ֔ישׁ,H8658,"tar·šîš,",of beryl,N‑ms,H8658,Ezekiel,1,178,34
וְגֹ֥בַהּ,H1363,wə·ḡō·ḇah,so high,Conj‑w | N‑ms,H1363,Ezekiel,1,196,34
לָהֶ֖ם,H1992,lā·hem,they were,Prep‑l | Pro‑3mp,H1992,Ezekiel,1,197,34
וְיִרְאָ֣ה,H3374,wə·yir·’āh,and were awesome,Conj‑w | N‑fs,H3374,Ezekiel,1,198,34
וְגַבֹּתָ֗ם,H1354,"wə·ḡab·bō·ṯām,",and their rims [were],Conj‑w | N‑cpc | 3mp,H1354,Ezekiel,1,200,34
מְלֵאֹ֥ת,H4392,mə·lê·’ōṯ,full,Adj‑fpc,H4392,Ezekiel,1,201,34
וּבְהִנָּשֵׂ֤א,H5375,ū·ḇə·hin·nā·śê,and when were lifted up,"Conj‑w, Prep‑b | V‑Nifal‑Inf",H5375,Ezekiel,1,209,34
לְעֻמָּתָ֔ם,H5980,"lə·‘um·mā·ṯām,",together with them,Prep‑l | 3mp,H5980,Ezekiel,1,226,34
כִּ֛י,H3588,kî,for,Conj,H3588,Ezekiel,1,227,34
וּבְעָמְדָ֖ם,H5975,ū·ḇə·‘ā·mə·ḏām,and when those stood,"Conj‑w, Prep‑b | V‑Qal‑Inf | 3mp",H5975,Ezekiel,1,232,34
רָאשֵׁ֤י,H7218,rā·šê,the heads,N‑mpc,H7218,Ezekiel,1,245,34
רָקִ֔יעַ,H7549,"rā·qî·a‘,",of the firmament,N‑ms,H7549,Ezekiel,1,247,34
הַקֶּ֣רַח,H7140,haq·qe·raḥ,of crystal,Art | N‑ms,H7140,Ezekiel,1,249,34
הַנּוֹרָ֑א,H3372,han·nō·w·rā;,an awesome,Art | V‑Nifal‑Prtcpl‑ms,H3372,Ezekiel,1,250,34
נָט֥וּי,H5186,nā·ṭui,stretched out,V‑Qal‑QalPassPrtcpl‑ms,H5186,Ezekiel,1,251,34
ק֣וֹל,H6963,qō·wl,the noise,N‑msc,H6963,Ezekiel,1,272,34
מַ֨יִם,H4325,ma·yim,of waters,N‑mp,H4325,Ezekiel,1,275,34
רַבִּ֤ים,H7227,rab·bîm,many,Adj‑mp,H7227,Ezekiel,1,276,34
שַׁדַּי֙,H7706,šad·day,of the Almighty,N‑proper‑ms,H7706,Ezekiel,1,278,34
הֲמֻלָּ֖ה,H1999,hă·mul·lāh,a tumult,N‑fs,H1999,Ezekiel,1,281,34
מַחֲנֶ֑ה,H4264,ma·ḥă·neh;,of an army,N‑cs,H4264,Ezekiel,1,283,34
תְּרַפֶּ֥ינָה,H7503,tə·rap·pe·nāh,they let down,V‑Piel‑Imperf‑3fp,H7503,Ezekiel,1,285,34
אֶֽבֶן־,H68,’e·ḇen-,a stone,N‑fsc,H68,Ezekiel,1,301,34
סַפִּ֖יר,H5601,sap·pîr,sapphire,N‑ms,H5601,Ezekiel,1,302,34
כִּסֵּ֑א,H3678,kis·sê;,of a throne,N‑ms,H3678,Ezekiel,1,304,34
בֵּֽית־,H1004,bêṯ-,within,N‑msc,H1004,Ezekiel,1,317,34
מָתְנָ֖יו,H4975,mā·ṯə·nāw,of His waist,N‑mdc | 3ms,H4975,Ezekiel,1,320,34
וּלְמַ֔טָּה,H4295,"ū·lə·maṭ·ṭāh,",and downward,"Conj‑w, Prep‑l | Adv",H4295,Ezekiel,1,324,34
הַקֶּ֡שֶׁת,H7198,haq·qe·šeṯ,of a rainbow,Art | N‑fs,H7198,Ezekiel,1,330,34
בְּי֣וֹם,H3117,bə·yō·wm,on a day,Prep‑b | N‑msc,H3117,Ezekiel,1,334,34
הַגֶּ֗שֶׁם,H1653,"hag·ge·šem,",rainy,Art | N‑ms,H1653,Ezekiel,1,335,34
כֵּ֣ן,H3651,kên,so,Adv,H3651,Ezekiel,1,336,34
כְּבוֹד־,H3519,kə·ḇō·wḏ-,of the glory,N‑msc,H3519,Ezekiel,1,343,34
וָאֶפֹּ֣ל,H5307,wā·’ep·pōl,and I fell,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H5307,Ezekiel,1,346,34
וָאֶשְׁמַ֖ע,H8085,wā·’eš·ma‘,and I heard,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H8085,Ezekiel,1,349,34
מְדַבֵּֽר׃,H1696,mə·ḏab·bêr.,of one speaking,V‑Piel‑Prtcpl‑ms,H1696,Ezekiel,1,351,34
שׁוֹלֵ֨חַ,H7971,šō·w·lê·aḥ,am sending,V‑Qal‑Prtcpl‑ms,H7971,Ezekiel,2,374,34
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Ezekiel,2,379,34
גּוֹיִ֥ם,H1471,gō·w·yim,a nation,N‑mp,H1471,Ezekiel,2,381,34
הַמּוֹרְדִ֖ים,H4775,ham·mō·wr·ḏîm,rebellious,Art | V‑Qal‑Prtcpl‑mp,H4775,Ezekiel,2,382,34
וַאֲבוֹתָם֙,H1,wa·’ă·ḇō·w·ṯām,and their fathers,Conj‑w | N‑mpc | 3mp,H1,Ezekiel,2,386,34
פָּ֣שְׁעוּ,H6586,pā·šə·‘ū,have transgressed,V‑Qal‑Perf‑3cp,H6586,Ezekiel,2,387,34
עַד־,H5704,‘aḏ-,to,Prep,H5704,Ezekiel,2,388,34
עֶ֖צֶם,H6106,‘e·ṣem,very,N‑fsc,H6106,Ezekiel,2,389,34
קְשֵׁ֤י,H7186,qə·šê,stubborn,Adj‑mpc,H7186,Ezekiel,2,392,34
וְחִזְקֵי־,H2389,wə·ḥiz·qê-,and strong,Conj‑w | Adj‑mpc,H2389,Ezekiel,2,394,34
לֵ֔ב,H3820,"lêḇ,",of heart,N‑ms,H3820,Ezekiel,2,395,34
וְאָמַרְתָּ֣,H559,wə·’ā·mar·tā,and you shall say,Conj‑w | V‑Qal‑ConjPerf‑2ms,H559,Ezekiel,2,400,34
כֹּ֥ה,H3541,kōh,thus,Adv,H3541,Ezekiel,2,402,34
אֲדֹנָ֥י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Ezekiel,2,404,34
יְהֹוִֽה׃,H3069,Yah·weh.,GOD,N‑proper‑ms,H3069,Ezekiel,2,405,34
אִם־,H518,’im-,whether,Conj,H518,Ezekiel,2,406,34
יֶחְדָּ֔לוּ,H2308,"yeḥ·dā·lū,",they refuse,V‑Qal‑Imperf‑3mp,H2308,Ezekiel,2,409,34
מְרִ֖י,H4805,mə·rî,rebellious,N‑ms,H4805,Ezekiel,2,412,34
וְיָ֣דְע֔וּ,H3045,"wə·yā·ḏə·‘ū,",and yet they will know,Conj‑w | V‑Qal‑ConjPerf‑3cp,H3045,Ezekiel,2,414,34
נָבִ֖יא,H5030,nā·ḇî,a prophet,N‑ms,H5030,Ezekiel,2,416,34
אַל־,H408,’al-,not,Adv,H408,Ezekiel,2,421,34
סָרָבִ֤ים,H5621,sā·rā·ḇîm,briers,N‑mp,H5621,Ezekiel,2,428,34
וְסַלּוֹנִים֙,H5544,wə·sal·lō·w·nîm,and thorns [are],Conj‑w | N‑mp,H5544,Ezekiel,2,429,34
אוֹתָ֔ךְ,H854,"’ō·w·ṯāḵ,",with you,Prep | 2ms,H854,Ezekiel,2,430,34
עַקְרַבִּ֖ים,H6137,‘aq·rab·bîm,scorpions,N‑ms,H6137,Ezekiel,2,432,34
אַתָּ֣ה,H859,’at·tāh,you,Pro‑2ms,H859,Ezekiel,2,433,34
יוֹשֵׁ֑ב,H3427,yō·wō·šêḇ;,dwell,V‑Qal‑Prtcpl‑ms,H3427,Ezekiel,2,434,34
תֵּחָ֔ת,H2865,"tê·ḥāṯ,",dismayed,V‑Nifal‑Imperf‑2ms,H2865,Ezekiel,2,440,34
פְּצֵ֣ה,H6475,pə·ṣêh,open,V‑Qal‑Imp‑ms,H6475,Ezekiel,2,468,34
פִ֔יךָ,H6310,"p̄î·ḵā,",your mouth,N‑msc | 2ms,H6310,Ezekiel,2,469,34
וֶאֱכֹ֕ל,H398,we·’ĕ·ḵōl,and eat,Conj‑w | V‑Qal‑Imp‑ms,H398,Ezekiel,2,470,34
נֹתֵ֥ן,H5414,nō·ṯên,give,V‑Qal‑Prtcpl‑ms,H5414,Ezekiel,2,474,34
מְגִלַּת־,H4039,mə·ḡil·laṯ-,a scroll,N‑fsc,H4039,Ezekiel,2,481,34
סֵֽפֶר׃,H5612,sê·p̄er.,of a book,N‑ms,H5612,Ezekiel,2,482,34
כְתוּבָ֖ה,H3789,ḵə·ṯū·ḇāh,writing,V‑Qal‑QalPassPrtcpl‑fs,H3789,Ezekiel,2,486,34
וְאָח֑וֹר,H268,wə·’ā·ḥō·wr;,and on the outside,Conj‑w | N‑ms,H268,Ezekiel,2,488,34
קִנִ֥ים,H7015,qi·nîm,[were] lamentations,N‑fp,H7015,Ezekiel,2,491,34
וָהֶ֖גֶה,H1899,wā·he·ḡeh,and mourning,Conj‑w | N‑ms,H1899,Ezekiel,2,492,34
וָהִֽי׃,H1958,wā·hî.,and woe,Conj‑w | N‑ms,H1958,Ezekiel,2,493,34
תִּמְצָ֖א,H4672,tim·ṣā,you find,V‑Qal‑Imperf‑2ms,H4672,Ezekiel,3,499,34
