hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֱלִיצ֖וּר,H468,’ĕ·lî·ṣūr,Elizur,N‑proper‑ms,H468,Numbers,1,58,35
שְׁדֵיאֽוּר׃,H7707,šə·ḏê·’ūr.,of Shedeur,N‑proper‑ms,H7707,Numbers,1,60,35
שְׁלֻמִיאֵ֖ל,H8017,šə·lu·mî·’êl,Shelumiel,N‑proper‑ms,H8017,Numbers,1,61,35
צוּרִֽישַׁדָּֽי׃,H6701,ṣū·rî·šad·dāy.,of Zurishaddai,N‑proper‑ms,H6701,Numbers,1,63,35
צוּעָֽר׃,H6686,ṣū·‘ār.,of Zuar,N‑proper‑ms,H6686,Numbers,1,69,35
חֵלֹֽן׃,H2497,ḥê·lōn.,of Helon,N‑proper‑ms,H2497,Numbers,1,72,35
עַמִּיה֑וּד,H5989,‘am·mî·hūḏ;,of Ammihud,N‑proper‑ms,H5989,Numbers,1,77,35
גַּמְלִיאֵ֖ל,H1583,gam·lî·’êl,Gamaliel,N‑proper‑ms,H1583,Numbers,1,79,35
פְּדָהצֽוּר׃,H6301,pə·ḏā·h·ṣūr.,of Pedahzur,N‑proper‑ms,H6301,Numbers,1,81,35
אֲבִידָ֖ן,H27,’ă·ḇî·ḏān,Abidan,N‑proper‑ms,H27,Numbers,1,82,35
גִּדְעֹנִֽי׃,H1441,giḏ·‘ō·nî.,of Gideoni,N‑proper‑ms,H1441,Numbers,1,84,35
אֲחִיעֶ֖זֶר,H295,’ă·ḥî·‘e·zer,Ahiezer,N‑proper‑ms,H295,Numbers,1,85,35
עַמִּֽישַׁדָּֽי׃,H5996,‘am·mî·šad·dāy.,of Ammishaddai,N‑proper‑ms,H5996,Numbers,1,87,35
פַּגְעִיאֵ֖ל,H6295,paḡ·‘î·’êl,Pagiel,N‑proper‑ms,H6295,Numbers,1,88,35
עָכְרָֽן׃,H5918,‘ā·ḵə·rān.,of Ocran,N‑proper‑ms,H5918,Numbers,1,90,35
אֶלְיָסָ֖ף,H460,’el·yā·sāp̄,Eliasaph,N‑proper‑ms,H460,Numbers,1,91,35
דְּעוּאֵֽל׃,H1845,də·‘ū·’êl.,of Deuel,N‑proper‑ms,H1845,Numbers,1,93,35
אֲחִירַ֖ע,H299,’ă·ḥî·ra‘,Ahira,N‑proper‑ms,H299,Numbers,1,94,35
עֵינָֽן׃,H5881,‘ê·nān.,of Enan,N‑proper‑ms,H5881,Numbers,1,96,35
(קְרוּאֵ֣י),H7148,qə·rū·’ê,chosen from,V‑Qal‑QalPassPrtcpl‑mpc,H7148,Numbers,1,97,35
הַלִּבְנִ֔י,H3846,"hal·liḇ·nî,",of the Libnite,Art | N‑proper‑ms,H3846,Numbers,3,1041,35
לָאֵֽל׃,H3815,lā·’êl.,of Lael,N‑proper‑ms,H3815,Numbers,3,1069,35
הַֽעַמְרָמִי֙,H6020,ha·‘am·rā·mî,of the Amramite,Art | N‑proper‑ms,H6020,Numbers,3,1097,35
הַיִּצְהָרִ֔י,H3325,"hay·yiṣ·hā·rî,",of the Izharite,Art | N‑proper‑ms,H3325,Numbers,3,1099,35
הַֽחֶבְרֹנִ֔י,H2276,"ha·ḥeḇ·rō·nî,",of the Hebronite,Art | N‑proper‑ms,H2276,Numbers,3,1101,35
הָֽעָזִּיאֵלִ֑י,H5817,hā·‘āz·zî·’ê·lî;,of the Uzzielite,Art | N‑proper‑ms,H5817,Numbers,3,1103,35
הַמַּחְלִ֔י,H4250,"ham·maḥ·lî,",of the Mahlite,Art | N‑proper‑ms,H4250,Numbers,3,1156,35
הַמּוּשִׁ֑י,H4188,ham·mū·šî;,of the Mushite,Art | N‑proper‑ms,H4188,Numbers,3,1158,35
צוּרִיאֵ֖ל,H6700,ṣū·rî·’êl,[was] Zuriel,N‑proper‑ms,H6700,Numbers,3,1176,35
פְּדוּיֵ֣י,H6302,pə·ḏū·yê,for the redemption,N‑mpc,H6302,Numbers,3,1317,35
כְּסוּי֙,H3681,kə·sui,a covering,N‑msc,H3681,Numbers,4,1428,35
צָבָֽה׃,H6638,ṣā·ḇāh.,to swell,Adj‑fs,H6638,Numbers,5,2285,35
מִשְׁרַ֤ת,H4952,miš·raṯ,juice,N‑fsc,H4952,Numbers,6,2437,35
מֵחַרְצַנִּ֛ים,H2785,mê·ḥar·ṣan·nîm,from seed,Prep‑m | N‑mp,H2785,Numbers,6,2453,35
זָ֖ג,H2085,zāḡ,skin,N‑ms,H2085,Numbers,6,2455,35
הַמִּדְיָנִי֮,H4084,ham·miḏ·yā·nî,the Midianite,Art | N‑proper‑ms,H4084,Numbers,10,4617,35
תַּבְעֵרָ֑ה,H8404,taḇ·‘ê·rāh;,Taberah,N‑proper‑fs,H8404,Numbers,11,4736,35
הַקִּשֻּׁאִ֗ים,H7180,"haq·qiš·šu·’îm,",the cucumbers,Art | N‑mp,H7180,Numbers,11,4761,35
הָֽאֲבַטִּחִ֔ים,H20,"hā·’ă·ḇaṭ·ṭi·ḥîm,",the melons,Art | N‑mp,H20,Numbers,11,4763,35
