hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בָּרָ֣א,H1254,bā·rā,created,V‑Qal‑Perf‑3ms,H1254,Genesis,1,1,36
אֱלֹהִ֑ים,H430,’ĕ·lō·hîm;,God,N‑mp,H430,Genesis,1,2,36
אֵ֥ת,H853,’êṯ,-,DirObjM,H853,Genesis,1,3,36
הַשָּׁמַ֖יִם,H8064,haš·šā·ma·yim,the heavens,Art | N‑mp,H8064,Genesis,1,4,36
וְאֵ֥ת,H853,wə·’êṯ,and,Conj‑w | DirObjM,H853,Genesis,1,5,36
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,the earth,Art | N‑fs,H776,Genesis,1,6,36
הָיְתָ֥ה,H1961,hā·yə·ṯāh,was,V‑Qal‑Perf‑3fs,H1961,Genesis,1,7,36
תֹ֙הוּ֙,H8414,ṯō·hū,formless,N‑ms,H8414,Genesis,1,8,36
וָבֹ֔הוּ,H922,"wā·ḇō·hū,",and void,Conj‑w | N‑ms,H922,Genesis,1,9,36
וְחֹ֖שֶׁךְ,H2822,wə·ḥō·šeḵ,and darkness,Conj‑w | N‑ms,H2822,Genesis,1,10,36
עַל־,H5921,‘al-,[was] over,Prep,H5921,Genesis,1,11,36
פְּנֵ֣י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,12,36
תְה֑וֹם,H8415,ṯə·hō·wm;,of the deep,N‑cs,H8415,Genesis,1,13,36
וְר֣וּחַ,H7307,wə·rū·aḥ,And the Spirit,Conj‑w | N‑csc,H7307,Genesis,1,14,36
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",of God,N‑mp,H430,Genesis,1,15,36
מְרַחֶ֖פֶת,H7363,mə·ra·ḥe·p̄eṯ,was hovering,V‑Piel‑Prtcpl‑fs,H7363,Genesis,1,16,36
עַל־,H5921,‘al-,over,Prep,H5921,Genesis,1,17,36
פְּנֵ֥י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,18,36
הַמָּֽיִם׃,H4325,ham·mā·yim.,of the waters,Art | N‑mp,H4325,Genesis,1,19,36
אֱלֹהִ֖ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,20,36
יְהִ֣י,H1961,yə·hî,let there be,V‑Qal‑Imperf.Jus‑3ms,H1961,Genesis,1,21,36
א֑וֹר,H216,’ō·wr;,light,N‑cs,H216,Genesis,1,22,36
וַֽיְהִי־,H1961,way·hî-,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,23,36
אֽוֹר׃,H216,’ō·wr.,light,N‑cs,H216,Genesis,1,24,36
אֱלֹהִ֛ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,25,36
אֶת־,H853,’eṯ-,-,DirObjM,H853,Genesis,1,26,36
