hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
פִּישׁ֑וֹן,H6376,pî·šō·wn;,[is] Pishon,N‑proper‑fs,H6376,Genesis,2,523,36
חִדֶּ֔קֶל,H2313,"ḥid·de·qel,",[is] Tigris,N‑proper‑fs,H2313,Genesis,2,551,36
עִצְּבוֹנֵ֣ךְ,H6093,‘iṣ·ṣə·ḇō·w·nêḵ,your sorrow,N‑msc | 2fs,H6093,Genesis,3,893,36
חַוָּ֑ה,H2332,ḥaw·wāh;,Eve,N‑proper‑fs,H2332,Genesis,3,950,36
הָ֑בֶל,H1893,hā·ḇel;,Abel,N‑proper‑ms,H1893,Genesis,4,1029,36
נ֖וֹד,H5113,nō·wḏ,of Nod,N‑proper‑fs,H5113,Genesis,4,1190,36
עִירָ֔ד,H5897,"‘î·rāḏ,",Irad,N‑proper‑ms,H5897,Genesis,4,1211,36
מְחֽוּיָאֵ֑ל,H4232,mə·ḥū·yā·’êl;,Mehujael,N‑proper‑ms,H4232,Genesis,4,1215,36
מְת֣וּשָׁאֵ֔ל,H4967,"mə·ṯū·šā·’êl,",Methushael,N‑proper‑ms,H4967,Genesis,4,1219,36
לָֽמֶךְ׃,H3929,lā·meḵ.,Lamech,N‑proper‑ms,H3929,Genesis,4,1223,36
עָדָ֔ה,H5711,"‘ā·ḏāh,",Adah,N‑proper‑fs,H5711,Genesis,4,1229,36
צִלָּֽה׃,H6741,ṣil·lāh.,Zillah,N‑proper‑fs,H6741,Genesis,4,1232,36
יָבָ֑ל,H2989,yā·ḇāl;,Jabal,N‑proper‑ms,H2989,Genesis,4,1235,36
יוּבָ֑ל,H3106,yū·ḇāl;,[was] Jubal,N‑proper‑ms,H3106,Genesis,4,1243,36
קַ֔יִן,H8423,"qa·yin,",Tubal-cain,N‑proper‑ms,H8423,Genesis,4,1255,36
שֵׁ֑ת,H8352,šêṯ;,Seth,N‑proper‑ms,H8352,Genesis,4,1295,36
אֱנ֑וֹשׁ,H583,’ĕ·nō·wōš;,Enosh,N‑proper‑ms,H583,Genesis,4,1313,36
קֵינָֽן׃,H7018,qê·nān.,Cainan,N‑proper‑ms,H7018,Genesis,5,1410,36
יָֽרֶד׃,H3382,yā·reḏ.,Jared,N‑proper‑ms,H3382,Genesis,5,1469,36
מְתוּשָֽׁלַח׃,H4968,mə·ṯū·šā·laḥ.,Methuselah,N‑proper‑ms,H4968,Genesis,5,1529,36
שֵׁ֖ם,H8035,šêm,Shem,N‑proper‑ms,H8035,Genesis,5,1647,36
יָֽפֶת׃,H3315,yā·p̄eṯ.,Japheth,N‑proper‑ms,H3315,Genesis,5,1651,36
גֹ֔פֶר,H1613,"ḡō·p̄er,",gopher,N‑ms,H1613,Genesis,6,1815,36
טָרָ֣ף,H2965,ṭā·rāp̄,freshly plucked,Adj‑ms,H2965,Genesis,8,2362,36
וְקֹ֨ר,H7120,wə·qōr,and Cold,Conj‑w | N‑ms,H7120,Genesis,8,2511,36
וְתִירָֽס׃,H8494,wə·ṯî·rās.,and Tiras,Conj‑w | N‑proper‑ms,H8494,Genesis,10,2855,36
וְרִיפַ֖ת,H7384,wə·rî·p̄aṯ,and Riphath,Conj‑w | N‑proper‑ms,H7384,Genesis,10,2858,36
וְדֹדָנִֽים׃,H1721,wə·ḏō·ḏā·nîm.,and Dodanim,Conj‑w | N‑proper‑mp,H1721,Genesis,10,2864,36
וְסַבְתָּ֥ה,H5454,wə·saḇ·tāh,and Sabta,Conj‑w | N‑proper‑fs,H5454,Genesis,10,2881,36
וְסַבְתְּכָ֑א,H5455,wə·saḇ·tə·ḵā;,and Sabtecha,Conj‑w | N‑proper‑ms,H5455,Genesis,10,2883,36
וְאֶ֖רֶךְ,H751,wə·’e·reḵ,and Erech,Conj‑w | N‑proper‑fs,H751,Genesis,10,2912,36
וְאַכַּ֣ד,H390,wə·’ak·kaḏ,and Accad,Conj‑w | N‑proper‑fs,H390,Genesis,10,2913,36
רְחֹבֹ֥ת,H7344,rə·ḥō·ḇōṯ,Rehoboth Ir,N‑proper‑fs,H7344,Genesis,10,2925,36
כָּֽלַח׃,H3625,kā·laḥ.,Calah,N‑proper‑fs,H3625,Genesis,10,2928,36
רֶ֔סֶן,H7449,"re·sen,",Resen,N‑proper‑fs,H7449,Genesis,10,2929,36
עֲנָמִ֛ים,H6047,‘ă·nā·mîm,Anamim,N‑proper‑ms,H6047,Genesis,10,2941,36
לְהָבִ֖ים,H3853,lə·hā·ḇîm,Lehabim,N‑proper‑ms,H3853,Genesis,10,2943,36
נַפְתֻּחִֽים׃,H5320,nap̄·tu·ḥîm.,Naphtuhim,N‑proper‑ms,H5320,Genesis,10,2945,36
פַּתְרֻסִ֞ים,H6625,paṯ·ru·sîm,Pathrusim,N‑proper‑mp,H6625,Genesis,10,2946,36
כַּסְלֻחִ֗ים,H3695,"kas·lu·ḥîm,",the Casluhites,N‑proper‑mp,H3695,Genesis,10,2948,36
חֵֽת׃,H2845,ḥêṯ.,Heth,N‑proper‑ms,H2845,Genesis,10,2960,36
הַֽעַרְקִ֖י,H6208,ha·‘ar·qî,the Arkite,Art | N‑proper‑ms,H6208,Genesis,10,2968,36
הַסִּינִֽי׃,H5513,has·sî·nî.,the Sinite,Art | N‑proper‑ms,H5513,Genesis,10,2970,36
הָֽאַרְוָדִ֥י,H721,hā·’ar·wā·ḏî,the Arvadite,Art | N‑proper‑ms,H721,Genesis,10,2971,36
הַצְּמָרִ֖י,H6786,haṣ·ṣə·mā·rî,the Zemarite,Art | N‑proper‑ms,H6786,Genesis,10,2973,36
הַֽחֲמָתִ֑י,H2577,ha·ḥă·mā·ṯî;,the Hamathite,Art | N‑proper‑ms,H2577,Genesis,10,2975,36
לָֽשַׁע׃,H3962,lā·ša‘.,Lasha,N‑proper‑fs,H3962,Genesis,10,2993,36
