hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בָּרָ֣א,H1254,bā·rā,created,V‑Qal‑Perf‑3ms,H1254,Genesis,1,1,36
אֱלֹהִ֑ים,H430,’ĕ·lō·hîm;,God,N‑mp,H430,Genesis,1,2,36
אֵ֥ת,H853,’êṯ,-,DirObjM,H853,Genesis,1,3,36
הַשָּׁמַ֖יִם,H8064,haš·šā·ma·yim,the heavens,Art | N‑mp,H8064,Genesis,1,4,36
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,the earth,Art | N‑fs,H776,Genesis,1,6,36
הָיְתָ֥ה,H1961,hā·yə·ṯāh,was,V‑Qal‑Perf‑3fs,H1961,Genesis,1,7,36
תֹ֙הוּ֙,H8414,ṯō·hū,formless,N‑ms,H8414,Genesis,1,8,36
וָבֹ֔הוּ,H922,"wā·ḇō·hū,",and void,Conj‑w | N‑ms,H922,Genesis,1,9,36
וְחֹ֖שֶׁךְ,H2822,wə·ḥō·šeḵ,and darkness,Conj‑w | N‑ms,H2822,Genesis,1,10,36
עַל־,H5921,‘al-,[was] over,Prep,H5921,Genesis,1,11,36
פְּנֵ֣י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,12,36
תְה֑וֹם,H8415,ṯə·hō·wm;,of the deep,N‑cs,H8415,Genesis,1,13,36
וְר֣וּחַ,H7307,wə·rū·aḥ,And the Spirit,Conj‑w | N‑csc,H7307,Genesis,1,14,36
מְרַחֶ֖פֶת,H7363,mə·ra·ḥe·p̄eṯ,was hovering,V‑Piel‑Prtcpl‑fs,H7363,Genesis,1,16,36
הַמָּֽיִם׃,H4325,ham·mā·yim.,of the waters,Art | N‑mp,H4325,Genesis,1,19,36
א֑וֹר,H216,’ō·wr;,light,N‑cs,H216,Genesis,1,22,36
כִּי־,H3588,kî-,that,Conj,H3588,Genesis,1,28,36
ט֑וֹב,H2896,ṭō·wḇ;,[it was] good,Adj‑ms,H2896,Genesis,1,29,36
וַיַּבְדֵּ֣ל,H914,way·yaḇ·dêl,and divided,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H914,Genesis,1,30,36
בֵּ֥ין,H996,bên,between,Prep,H996,Genesis,1,32,36
י֔וֹם,H3117,"yō·wm,",day,N‑ms,H3117,Genesis,1,38,36
קָ֣רָא,H7121,qā·rā,He called,V‑Qal‑Perf‑3ms,H7121,Genesis,1,40,36
לָ֑יְלָה,H3915,lā·yə·lāh;,night,N‑ms,H3915,Genesis,1,41,36
עֶ֥רֶב,H6153,‘e·reḇ,evening,N‑ms,H6153,Genesis,1,43,36
בֹ֖קֶר,H1242,ḇō·qer,morning,N‑ms,H1242,Genesis,1,45,36
אֶחָֽד׃,H259,’e·ḥāḏ.,the first,Number‑ms,H259,Genesis,1,47,36
