hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מִתְרְדָ֣ת,H4990,miṯ·rə·ḏāṯ,of Mithredath,N‑proper‑ms,H4990,Ezra,1,131,37
הַגִּזְבָּ֑ר,H1489,hag·giz·bār;,the treasurer,Art | N‑ms,H1489,Ezra,1,132,37
לְשֵׁשְׁבַּצַּ֔ר,H8339,"lə·šê·šə·baṣ·ṣar,",to Sheshbazzar,Prep‑l | N‑proper‑ms,H8339,Ezra,1,134,37
אֲגַרְטְלֵ֨י,H105,’ă·ḡar·ṭə·lê,platters,N‑mpc,H105,Ezra,1,138,37
מַחֲלָפִ֖ים,H4252,ma·ḥă·lā·p̄îm,knives,N‑mp,H4252,Ezra,1,144,37
רְֽעֵלָיָ֜ה,H7480,rə·‘ê·lā·yāh,Reelaiah,N‑proper‑ms,H7480,Ezra,2,195,37
מִסְפָּ֥ר,H4558,mis·pār,Mispar,N‑proper‑ms,H4558,Ezra,2,198,37
יוֹרָ֔ה,H3139,"yō·w·rāh,",of Jorah,N‑proper‑ms,H3139,Ezra,2,282,37
גִבָּ֖ר,H1402,ḡib·bār,of Gibbar,N‑proper‑ms,H1402,Ezra,2,290,37
מַגְבִּ֔ישׁ,H4019,"maḡ·bîš,",of Magbish,N‑proper‑ms,H4019,Ezra,2,332,37
הוֹדַוְיָ֖ה,H1938,hō·w·ḏaw·yāh,of Hodaviah,N‑proper‑ms,H1938,Ezra,2,389,37
חָגָ֥ב,H2285,ḥā·ḡāḇ,of Hagab,N‑proper‑ms,H2285,Ezra,2,430,37
אַסְנָ֥ה,H619,’as·nāh,of Asnah,N‑proper‑ms,H619,Ezra,2,450,37
אָמִֽי׃,H532,’ā·mî.,Ami,N‑proper‑ms,H532,Ezra,2,492,37
אַדָּ֖ן,H135,’ad·dān,Addan,N‑proper‑fs,H135,Ezra,2,505,37
כְּרִשְׁי֛וֹן,H7558,kə·riš·yō·wn,according to the permission from,Prep‑k | N‑msc,H7558,Ezra,3,734,37
שִׂטְנָ֔ה,H7855,"śiṭ·nāh,",an accusation,N‑fs,H7855,Ezra,4,956,37
בִּשְׁלָ֜ם,H1312,biš·lām,Bishlam,N‑proper‑ms,H1312,Ezra,4,963,37
(כְּנָוֺתָ֔יו),H3674,"kə·nā·wō·ṯāw,",their companions,N‑mpc | 3ms,H3674,Ezra,4,967,37
הַֽנִּשְׁתְּוָ֔ן,H5406,"han·niš·tə·wān,",the letter,Art | N‑ms,H5406,Ezra,4,973,37
וּמְתֻרְגָּ֥ם,H8638,ū·mə·ṯur·gām,and translated,Conj‑w | V‑Pual‑Prtcpl‑ms,H8638,Ezra,4,976,37
בְּעֵל־,H1169,bə·‘êl-,the chancellor,N‑msc,H1169,Ezra,4,978,37
טְעֵ֗ם,H2942,"ṭə·‘êm,",the commander,N‑ms,H2942,Ezra,4,979,37
וְשִׁמְשַׁי֙,H8124,wə·šim·šay,and Shimshai,Conj‑w | N‑proper‑ms,H8124,Ezra,4,980,37
סָֽפְרָ֔א,H5613,"sā·p̄ə·rā,",scribe the,N‑msd,H5613,Ezra,4,981,37
