hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אַחַ֗ת,H259,"’a·ḥaṯ,",of first,Number‑fs,H259,Ezra,1,1,37
לְכ֙וֹרֶשׁ֙,H3566,lə·ḵō·w·reš,Cyrus,Prep‑l | N‑proper‑ms,H3566,Ezra,1,2,37
מֶ֣לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Ezra,1,3,37
פָּרַ֔ס,H6539,"pā·ras,",of Persia,N‑proper‑fs,H6539,Ezra,1,4,37
לִכְל֥וֹת,H3615,liḵ·lō·wṯ,that might be fulfilled,Prep‑l | V‑Qal‑Inf,H3615,Ezra,1,5,37
דְּבַר־,H1697,də·ḇar-,the word,N‑msc,H1697,Ezra,1,6,37
יְהוָ֖ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezra,1,7,37
מִפִּ֣י,H6310,mip·pî,by the mouth,Prep‑m | N‑msc,H6310,Ezra,1,8,37
יִרְמְיָ֑ה,H3414,yir·mə·yāh;,of Jeremiah,N‑proper‑ms,H3414,Ezra,1,9,37
הֵעִ֣יר,H5782,hê·‘îr,stirred up,V‑Hifil‑Perf‑3ms,H5782,Ezra,1,10,37
אֶת־,H853,’eṯ-,-,DirObjM,H853,Ezra,1,12,37
ר֙וּחַ֙,H7307,rū·aḥ,the spirit,N‑csc,H7307,Ezra,1,13,37
וַיַּֽעֲבֶר־,H5674,way·ya·‘ă·ḇer-,so that he made,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H5674,Ezra,1,17,37
קוֹל֙,H6963,qō·wl,a proclamation,N‑ms,H6963,Ezra,1,18,37
בְּכָל־,H3605,bə·ḵāl,throughout all,Prep‑b | N‑msc,H3605,Ezra,1,19,37
מַלְכוּת֔וֹ,H4438,"mal·ḵū·ṯōw,",his kingdom,N‑fsc | 3ms,H4438,Ezra,1,20,37
וְגַם־,H1571,wə·ḡam-,and [put it],Conj‑w | Conj,H1571,Ezra,1,21,37
בְּמִכְתָּ֖ב,H4385,bə·miḵ·tāḇ,in writing,Prep‑b | N‑ms,H4385,Ezra,1,22,37
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Ezra,1,23,37
מַמְלְכ֣וֹת,H4467,mam·lə·ḵō·wṯ,the kingdoms,N‑fpc,H4467,Ezra,1,29,37
הָאָ֔רֶץ,H776,"hā·’ā·reṣ,",of the earth,Art | N‑fs,H776,Ezra,1,30,37
נָ֣תַן,H5414,nā·ṯan,has given,V‑Qal‑Perf‑3ms,H5414,Ezra,1,31,37
אֱלֹהֵ֣י,H430,’ĕ·lō·hê,God,N‑mpc,H430,Ezra,1,33,37
הַשָּׁמָ֑יִם,H8064,haš·šā·mā·yim;,of heaven,Art | N‑mp,H8064,Ezra,1,34,37
וְהֽוּא־,H1931,wə·hū-,and He,Conj‑w | Pro‑3ms,H1931,Ezra,1,35,37
פָקַ֤ד,H6485,p̄ā·qaḏ,has commanded,V‑Qal‑Perf‑3ms,H6485,Ezra,1,36,37
עָלַי֙,H5921,‘ā·lay,me,Prep | 1cs,H5921,Ezra,1,37,37
לִבְנֽוֹת־,H1129,liḇ·nō·wṯ-,to build,Prep‑l | V‑Qal‑Inf,H1129,Ezra,1,38,37
בַ֔יִת,H1004,"ḇa·yiṯ,",a house,N‑ms,H1004,Ezra,1,39,37
בִּירוּשָׁלִַ֖ם,H3389,bî·rū·šā·lim,at Jerusalem,Prep‑b | N‑proper‑fs,H3389,Ezra,1,40,37
אֲשֶׁ֥ר,H834,’ă·šer,which [is],Pro‑r,H834,Ezra,1,41,37
בִּֽיהוּדָֽה׃,H3063,bî·hū·ḏāh.,in Judah,Prep‑b | N‑proper‑fs,H3063,Ezra,1,42,37
עַמּ֗וֹ,H5971,"‘am·mōw,",His people,N‑msc | 3ms,H5971,Ezra,1,44,37
יְהִ֤י,H1961,yə·hî,May be,V‑Qal‑Imperf.Jus‑3ms,H1961,Ezra,1,45,37
עִמּ֔וֹ,H5973,"‘im·mōw,",with him,Prep | 3ms,H5973,Ezra,1,47,37
וְיַ֕עַל,H5927,wə·ya·‘al,and let him go up,Conj‑w | V‑Qal‑ConjImperf.Jus‑3ms,H5927,Ezra,1,48,37
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑fs,H3478,Ezra,1,57,37
הַנִּשְׁאָ֗ר,H7604,"han·niš·’ār,",is left,Art | V‑Nifal‑Prtcpl‑ms,H7604,Ezra,1,62,37
הַמְּקֹמוֹת֮,H4725,ham·mə·qō·mō·wṯ,place,Art | N‑mp,H4725,Ezra,1,64,37
