hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
וּמִקְצָת֙,H7117,ū·miq·ṣāṯ,and with some,"Conj‑w, Prep‑m | N‑fsc",H7117,Daniel,1,19,39
לְאַשְׁפְּנַ֖ז,H828,lə·’aš·pə·naz,Ashpenaz,Prep‑l | N‑proper‑ms,H828,Daniel,1,35,39
בַּ֤ג,H6598,baḡ,delicacies,Prep | N‑msc,H6598,Daniel,1,71,39
בֵּ֣לְטְשַׁאצַּ֗ר,H1095,"bê·lə·ṭə·šaṣ·ṣar,",[the name] Belteshazzar,N‑proper‑ms,H1095,Daniel,1,94,39
שַׁדְרַ֔ךְ,H7714,"šaḏ·raḵ,",Shadrach,N‑proper‑ms,H7714,Daniel,1,96,39
מֵישַׁ֔ךְ,H4335,"mê·šaḵ,",Meshach,N‑proper‑ms,H4335,Daniel,1,98,39
נְגֽוֹ׃,H5664,nə·ḡōw.,Abed-nego,N‑proper‑ms,H5664,Daniel,1,100,39
וְחִיַּבְתֶּ֥ם,H2325,wə·ḥî·yaḇ·tem,and you would endanger,Conj‑w | V‑Piel‑ConjPerf‑2mp,H2325,Daniel,1,149,39
הַמֶּלְצַ֑ר,H4453,ham·mel·ṣar;,the steward,Art | N‑ms,H4453,Daniel,1,155,39
הַזֵּרֹעִ֛ים,H2235,haz·zê·rō·‘îm,vegetables,Art | N‑mp,H2235,Daniel,1,172,39
הָֽאַשָּׁפִ֔ים,H825,"hā·’aš·šā·p̄îm,",[and] astrologers,Art | N‑mp,H825,Daniel,1,265,39
חֱיִ֔י,H2418,"ḥĕ·yî,",live,V‑Qal‑Imp‑ms,H2418,Daniel,2,313,39
חֶלְמָ֛א,H2493,ḥel·mā,dream the,N‑msd,H2493,Daniel,2,315,39
וּפִשְׁרָ֥א,H6591,ū·p̄iš·rā,and interpretation the,Conj‑w | N‑msd,H6591,Daniel,2,317,39
נְחַוֵּֽא׃,H2324,nə·ḥaw·wê.,we will give,V‑Piel‑Imperf‑1cp,H2324,Daniel,2,318,39
(לְכַשְׂדָּאֵ֔י),H3779,"lə·ḵaś·dā·’ê,",to Chaldeans the,Prep‑l | N‑proper‑mp,H3779,Daniel,2,321,39
מִלְּתָ֖א,H4406,mil·lə·ṯā,decision,N‑fsd,H4406,Daniel,2,322,39
אַזְדָּ֑א,H230,’az·dā;,is firm,Adj‑fs,H230,Daniel,2,324,39
הַדָּמִין֙,H1917,had·dā·mîn,in pieces,N‑mp,H1917,Daniel,2,330,39
מַתְּנָ֤ן,H4978,mat·tə·nān,gifts,N‑fp,H4978,Daniel,2,338,39
וּנְבִזְבָּה֙,H5023,ū·nə·ḇiz·bāh,and rewards,Conj‑w | N‑fs,H5023,Daniel,2,339,39
וִיקָ֣ר,H3367,wî·qār,and honor,Conj‑w | N‑ms,H3367,Daniel,2,340,39
תְּקַבְּל֖וּן,H6902,tə·qab·bə·lūn,you shall receive,V‑Piel‑Imperf‑2mp,H6902,Daniel,2,342,39
תִנְיָנ֖וּת,H8579,ṯin·yā·nūṯ,again,Adv,H8579,Daniel,2,349,39
יַצִּיב֙,H3330,yaṣ·ṣîḇ,certain,Adj‑ms,H3330,Daniel,2,360,39
עִדָּנָ֖א,H5732,‘id·dā·nā,time,N‑msd,H5732,Daniel,2,364,39
אַנְתּ֣וּן,H608,’an·tūn,you,Pro‑2mp,H608,Daniel,2,365,39
זָבְנִ֑ין,H2084,zā·ḇə·nîn;,would gain,V‑Qal‑Prtcpl‑mp,H2084,Daniel,2,366,39
כִדְבָ֤ה,H3538,ḵiḏ·ḇāh,lying,N‑fs,H3538,Daniel,2,383,39
וּשְׁחִיתָה֙,H7844,ū·šə·ḥî·ṯāh,and corrupt,Conj‑w | V‑Qal‑QalPassPrtcpl‑fs,H7844,Daniel,2,384,39
(הִזְדְּמִנְתּוּן֙‪‬),H2164,hiz·də·min·tūn,you have agreed,V‑Hitpael‑Perf‑2mp,H2164,Daniel,2,385,39
יַבֶּשְׁתָּ֔א,H3007,"yab·beš·tā,",earth,N‑fsd,H3007,Daniel,2,407,39
יוּכַ֖ל,H3202,yū·ḵal,who can,V‑Qal‑Imperf‑3ms,H3202,Daniel,2,411,39
חַרְטֹּ֖ם,H2749,ḥarṭ·ṭōm,magician,N‑ms,H2749,Daniel,2,425,39
וְאָשַׁ֥ף,H826,wə·’ā·šap̄,and astrologer,Conj‑w | N‑ms,H826,Daniel,2,426,39
וְאָחֳרָן֙,H321,wə·’ā·ḥo·rān,and other,Conj‑w | Adj‑ms,H321,Daniel,2,432,39
מְדָ֣רְה֔וֹן,H4070,"mə·ḏā·rə·hō·wn,",dwelling,N‑msc | 3mp,H4070,Daniel,2,442,39
בִּשְׂרָ֖א,H1321,biś·rā,flesh,N‑msd,H1321,Daniel,2,444,39
בְּנַ֖ס,H1149,bə·nas,was angry,V‑Qal‑Perf‑3ms,H1149,Daniel,2,450,39
וּקְצַ֣ף,H7108,ū·qə·ṣap̄,and furious,Conj‑w | V‑Qal‑ConjPerf‑3ms,H7108,Daniel,2,451,39
חַכִּימֵ֥י,H2445,ḥak·kî·mê,the wise [men],N‑mpc,H2445,Daniel,2,456,39
מִֽתְקַטְּלִ֑ין,H6992,miṯ·qaṭ·ṭə·lîn;,they began killing,V‑Hitpael‑Prtcpl‑mp,H6992,Daniel,2,460,39
וּבְע֛וֹ,H1156,ū·ḇə·‘ōw,and they sought,Conj‑w | V‑Qal‑ConjPerf‑3mp,H1156,Daniel,2,461,39
דָּנִיֵּ֥אל,H1841,dā·nî·yêl,Daniel,N‑proper‑ms,H1841,Daniel,2,462,39
וְחַבְר֖וֹהִי,H2269,wə·ḥaḇ·rō·w·hî,and his companions,Conj‑w | N‑mpc | 3ms,H2269,Daniel,2,463,39
עֵטָ֣א,H5843,‘ê·ṭā,with counsel,N‑fs,H5843,Daniel,2,467,39
טַבָּחַיָּ֖א,H2877,ṭab·bā·ḥay·yā,of guard,N‑mpd,H2877,Daniel,2,471,39
מְהַחְצְפָ֖ה,H2685,mə·haḥ·ṣə·p̄āh,so urgent,V‑Hifil‑Prtcpl‑fs,H2685,Daniel,2,487,39
עַ֖ל,H5954,‘al,went in,V‑Qal‑Perf‑3ms,H5954,Daniel,2,496,39
מִֽישָׁאֵ֧ל,H4333,mî·šā·’êl,Mishael,N‑proper‑ms,H4333,Daniel,2,510,39
וַעֲזַרְיָ֛ה,H5839,wa·‘ă·zar·yāh,and Azariah,Conj‑w | N‑proper‑ms,H5839,Daniel,2,511,39
רָזָ֖ה,H7328,rā·zāh,secret,N‑msd,H7328,Daniel,2,521,39
בְּחֶזְוָ֥א,H2376,bə·ḥez·wā,in vision,Prep‑b | N‑msd,H2376,Daniel,2,533,39
לֵילְיָ֖א,H3916,lê·lə·yā,a night,N‑msd,H3916,Daniel,2,535,39
בָּרִ֖ךְ,H1289,bā·riḵ,blessed,V‑Piel‑Perf‑3ms,H1289,Daniel,2,540,39
וּגְבוּרְתָ֖א,H1370,ū·ḡə·ḇū·rə·ṯā,and might,Conj‑w | N‑fsd,H1370,Daniel,2,556,39
מְהַעְדֵּ֥ה,H5709,mə·ha‘·dêh,He removes,V‑Hifil‑Prtcpl‑ms,H5709,Daniel,2,562,39
וּמַנְדְּעָ֖א,H4486,ū·man·də·‘ā,and knowledge,Conj‑w | N‑msd,H4486,Daniel,2,569,39
בִינָֽה׃,H999,ḇî·nāh.,understanding,N‑fs,H999,Daniel,2,571,39
עַמִּיקָתָ֖א,H5994,‘am·mî·qā·ṯā,deep,Adj‑fpd,H5994,Daniel,2,573,39
