reading_order_position,book,total_tokens,unique_lemmas_in_book,new_lemmas_at_this_step,cumulative_vocabulary,percent_of_total_vocabulary,percent_of_book_already_known
1,Isaiah,15325,2391,2391,2391,28.47,0.0
2,Obadiah,264,155,20,2411,28.71,87.1
3,Haggai,555,192,26,2437,29.02,86.46
4,Malachi,802,295,29,2466,29.36,90.17
5,Jonah,622,232,31,2497,29.73,86.64
6,Zephaniah,711,349,50,2547,30.33,85.67
7,Joel,874,378,49,2596,30.91,87.04
8,Nahum,505,328,48,2644,31.48,85.37
9,Habakkuk,601,373,59,2703,32.18,84.18
10,Ruth,1148,305,64,2767,32.94,79.02
11,Micah,1265,549,81,2848,33.91,85.25
12,Amos,1864,617,88,2936,34.96,85.74
13,Lamentations,1352,541,83,3019,35.94,84.66
14,Zechariah,2868,697,99,3118,37.12,85.8
15,Hosea,2097,698,94,3212,38.24,86.53
16,Ecclesiastes,2721,541,100,3312,39.43,81.52
17,Song of Solomon,1090,467,114,3426,40.79,75.59
18,Esther,2828,454,109,3535,42.09,75.99
19,Proverbs,5928,1244,218,3753,44.68,82.48
20,Leviticus,10860,933,234,3987,47.47,74.92
21,Deuteronomy,12888,1399,222,4209,50.11,84.13
22,2 Kings,11361,1212,212,4421,52.64,82.51
23,1 Samuel,12128,1216,203,4624,55.05,83.31
24,1 Kings,12063,1249,187,4811,57.28,85.03
25,2 Chronicles,12284,1354,159,4970,59.17,88.26
26,Judges,8958,1167,175,5145,61.26,85.0
27,Exodus,15206,1377,172,5317,63.31,87.51
28,2 Samuel,10083,1254,169,5486,65.32,86.52
29,Jeremiah,20078,1847,208,5694,67.79,88.74
30,Joshua,9096,1111,220,5914,70.41,80.2
31,Nehemiah,4802,1040,217,6131,73.0,79.13
32,Job,7109,1583,223,6354,75.65,85.91
33,Psalms,16749,2083,205,6559,78.09,90.16
34,Ezekiel,17099,1656,213,6772,80.63,87.14
35,Numbers,14806,1397,217,6989,83.21,84.47
36,Genesis,18551,1736,272,7261,86.45,84.33
37,Ezra,3425,944,326,7587,90.33,65.47
38,1 Chronicles,9588,1883,404,7991,95.14,78.54
39,Daniel,5439,1084,408,8399,100.0,62.36
