hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מַלְאָכִֽי׃,H4401,mal·’ā·ḵî.,Malachi,N‑proper‑ms,H4401,Malachi,1,6,2
עֵשָׂ֤ו,H6215,‘ê·śāw,Esau,N‑proper‑ms,H6215,Malachi,1,15,2
לְתַנּ֥וֹת,H8568,lə·ṯan·nō·wṯ,for the jackals,Prep‑l | N‑cp,H8568,Malachi,1,30,2
רֻשַּׁ֗שְׁנוּ,H7567,"ruš·šaš·nū,",we have been impoverished,V‑Pual‑Perf‑1cp,H7567,Malachi,1,34,2
מְבוֹא֗וֹ,H3996,"mə·ḇō·w·’ōw,",its going down,N‑msc | 3ms,H3996,Malachi,1,154,2
אָכְלֽוֹ׃,H400,’ā·ḵə·lōw.,Its food,N‑msc | 3ms,H400,Malachi,1,181,2
מַתְּלָאָ֜ה,H4972,mat·tə·lā·’āh,what a weariness,N‑fs,H4972,Malachi,1,183,2
נוֹכֵ֗ל,H5230,"nō·w·ḵêl,",[be] the deceiver,V‑Qal‑Prtcpl‑ms,H5230,Malachi,1,203,2
הַמְּאֵרָ֔ה,H3994,"ham·mə·’ê·rāh,",a curse,Art | N‑fs,H3994,Malachi,2,240,2
וְאָרוֹתִ֖י,H779,wə·’ā·rō·w·ṯî,and I will curse,Conj‑w | V‑Qal‑ConjPerf‑1cs,H779,Malachi,2,241,2
פֶ֙רֶשׁ֙,H6569,p̄e·reš,refuse,N‑ms,H6569,Malachi,2,255,2
לֵוִ֔י,H3878,"lê·wî,",Levi,N‑proper‑ms,H3878,Malachi,2,272,2
וַֽאֲנָקָ֑ה,H603,wa·’ă·nā·qāh;,and groaning,Conj‑w | N‑fs,H603,Malachi,2,391,2
הֵעִ֨יד,H5749,hê·‘îḏ,has been witness,V‑Hifil‑Perf‑3ms,H5749,Malachi,2,405,2
חֲבֶרְתְּךָ֖,H2278,ḥă·ḇer·tə·ḵā,your companion,N‑fsc | 2ms,H2278,Malachi,2,414,2
חֲפֵצִים֙,H2655,ḥă·p̄ê·ṣîm,delight,Adj‑mp,H2655,Malachi,3,484,2
וּכְבֹרִ֖ית,H1287,ū·ḵə·ḇō·rîṯ,and like soap,"Conj‑w, Prep‑k | N‑fs",H1287,Malachi,3,501,2
בַּֽמְכַשְּׁפִים֙,H3784,bam·ḵaš·šə·p̄îm,Against sorcerers,"Prep‑b, Art | V‑Piel‑Prtcpl‑mp",H3784,Malachi,3,532,2
שָׁנִ֑יתִי,H8138,šā·nî·ṯî;,I do change,V‑Qal‑Perf‑1cs,H8138,Malachi,3,551,2
קֹבְעִ֣ים,H6906,qō·ḇə·‘îm,have robbed,V‑Qal‑Prtcpl‑mp,H6906,Malachi,3,576,2
הַֽמַּעֲשֵׂ֖ר,H4643,ham·ma·‘ă·śêr,in tithes,Art | N‑ms,H4643,Malachi,3,581,2
וּבְחָנ֤וּנִי,H974,ū·ḇə·ḥā·nū·nî,and try Me,Conj‑w | V‑Qal‑Imp‑mp | 1cs,H974,Malachi,3,599,2
קְדֹ֣רַנִּ֔ית,H6941,"qə·ḏō·ran·nîṯ,",as mourners,Adv,H6941,Malachi,3,658,2
סְגֻלָּ֑ה,H5459,sə·ḡul·lāh;,My jewels,N‑fs,H5459,Malachi,3,697,2
וְעָנָֽף׃,H6057,wə·‘ā·nāp̄.,nor branch,Conj‑w | N‑ms,H6057,Malachi,4,741,2
וּמַרְפֵּ֖א,H4832,ū·mar·pê,and with healing,Conj‑w | N‑ms,H4832,Malachi,4,746,2
וּפִשְׁתֶּ֖ם,H6335,ū·p̄iš·tem,and grow fat,Conj‑w | V‑Qal‑ConjPerf‑2mp,H6335,Malachi,4,749,2
מַרְבֵּֽק׃,H4770,mar·bêq.,stall-fed,N‑ms,H4770,Malachi,4,751,2
בְחֹרֵב֙,H2722,ḇə·ḥō·rêḇ,in Horeb,Prep‑b | N‑proper‑fs,H2722,Malachi,4,772,2
אֵלִיָּ֣ה,H452,’ê·lî·yāh,Elijah,N‑proper‑ms,H452,Malachi,4,781,2
