hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
עֹֽבַדְיָ֑ה,H5662,‘ō·ḇaḏ·yāh;,of Obadiah,N‑proper‑ms,H5662,Obadiah,1,1,3
בְחַגְוֵי־,H2288,ḇə·ḥaḡ·wê-,in the clefts,Prep‑b | N‑mpc,H2288,Obadiah,1,27,3
יִגְנְב֖וּ,H1589,yiḡ·nə·ḇū,they have stolen,V‑Qal‑Imperf‑3mp,H1589,Obadiah,1,55,3
נֶחְפְּשׂ֣וּ,H2664,neḥ·pə·śū,shall be searched out,V‑Nifal‑Perf‑3cp,H2664,Obadiah,1,63,3
מַצְפֻּנָֽיו׃,H4710,maṣ·pu·nāw.,his hidden treasures,N‑fpc | 3ms,H4710,Obadiah,1,66,3
מָזוֹר֙,H4204,mā·zō·wr,a trap,N‑ms,H4204,Obadiah,1,78,3
תֵּימָ֑ן,H8487,tê·mān;,Teman,N‑proper‑fs,H8487,Obadiah,1,93,3
מִקָּֽטֶל׃,H6993,miq·qā·ṭel.,by slaughter,Prep‑m | N‑ms,H6993,Obadiah,1,99,3
בוּשָׁ֑ה,H955,ḇū·šāh;,Shame,N‑fs,H955,Obadiah,1,103,3
יַדּ֣וּ,H3032,yad·dū,cast,V‑Qal‑Perf‑3cp,H3032,Obadiah,1,117,3
אֵידָ֔ם,H343,"’ê·ḏām,",of their calamity,N‑msc | 3mp,H343,Obadiah,1,143,3
הַפֶּ֔רֶק,H6563,"hap·pe·req,",the crossroads,Art | N‑ms,H6563,Obadiah,1,158,3
וְלָע֔וּ,H3886,"wə·lā·‘ū,",and swallow,Conj‑w | V‑Qal‑ConjPerf‑3cp,H3886,Obadiah,1,189,3
יוֹסֵ֣ף,H3130,yō·w·sêp̄,of Joseph,N‑proper‑ms,H3130,Obadiah,1,207,3
וְהַשְּׁפֵלָה֙,H8219,wə·haš·šə·p̄ê·lāh,and the Lowland [shall possess],"Conj‑w, Art | N‑fs",H8219,Obadiah,1,226,3
וּבִנְיָמִ֖ן,H1144,ū·ḇin·yā·min,and Benjamin [shall possess],Conj‑w | N‑proper‑ms,H1144,Obadiah,1,236,3
הַגִּלְעָֽד׃,H1568,hag·gil·‘āḏ.,Gilead,Art | N‑proper‑fs,H1568,Obadiah,1,238,3
צָ֣רְפַ֔ת,H6886,"ṣā·rə·p̄aṯ,",Zarephath,N‑proper‑fs,H6886,Obadiah,1,246,3
בִּסְפָרַ֑ד,H5614,bis·p̄ā·raḏ;,in Sepharad,Prep‑b | N‑proper‑fs,H5614,Obadiah,1,250,3
