hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
לְדָרְיָ֣וֶשׁ,H1867,lə·ḏā·rə·yā·weš,of Darius,Prep‑l | N‑proper‑ms,H1867,Haggai,1,2,4
הַשִּׁשִּׁ֔י,H8345,"haš·šiš·šî,",the sixth,Art | Number‑oms,H8345,Haggai,1,5,4
חַגַּ֣י,H2292,ḥag·gay,Haggai,N‑proper‑ms,H2292,Haggai,1,13,4
זְרֻבָּבֶ֤ל,H2216,zə·rub·bā·ḇel,Zerubbabel,N‑proper‑fs,H2216,Haggai,1,16,4
שְׁאַלְתִּיאֵל֙,H7597,šə·’al·tî·’êl,of Shealtiel,N‑proper‑ms,H7597,Haggai,1,18,4
יְהוֹשֻׁ֧עַ,H3091,yə·hō·wō·šu·a‘,Joshua,N‑proper‑ms,H3091,Haggai,1,22,4
יְהוֹצָדָ֛ק,H3087,yə·hō·w·ṣā·ḏāq,of Jehozadak,N‑proper‑ms,H3087,Haggai,1,24,4
סְפוּנִ֑ים,H5603,sə·p̄ū·nîm;,paneled,V‑Qal‑QalPassPrtcpl‑mp,H5603,Haggai,1,51,4
חָרֵֽב׃,H2720,ḥā·rêḇ.,[to lie] in ruins,Adj‑ms,H2720,Haggai,1,54,4
צְר֥וֹר,H6872,ṣə·rō·wr,a bag,N‑ms,H6872,Haggai,1,78,4
יְבוּלָֽהּ׃,H2981,yə·ḇū·lāh.,its fruit,N‑msc | 3fs,H2981,Haggai,1,124,4
הַיִּצְהָ֔ר,H3323,"hay·yiṣ·hār,",the oil,Art | N‑ms,H3323,Haggai,1,135,4
בְּמַלְאֲכ֥וּת,H4400,bə·mal·’ă·ḵūṯ,the message,Prep‑b | N‑fsc,H4400,Haggai,1,177,4
מְלָאכָ֔ה,H4399,"mə·lā·ḵāh,",worked,N‑fs,H4399,Haggai,1,207,4
עֶשְׂרִ֧ים,H6242,‘eś·rîm,twenty,Number‑cp,H6242,Haggai,1,212,4
הֶחָרָבָֽה׃,H2724,he·ḥā·rā·ḇāh.,dry land,Art | N‑fs,H2724,Haggai,2,315,4
לַתְּשִׁיעִ֔י,H8671,"lat·tə·šî·‘î,",of the ninth [month],"Prep‑l, Art | Number‑oms",H8671,Haggai,2,354,4
הַנָּזִ֜יד,H5138,han·nā·zîḏ,stew,Art | N‑ms,H5138,Haggai,2,385,4
הֲיִטְמָ֑א,H2930,hă·yiṭ·mā;,will it be unclean,V‑Qal‑Imperf‑3ms,H2930,Haggai,2,405,4
עֲרֵמַ֣ת,H6194,‘ă·rê·maṯ,a heap,N‑fsc,H6194,Haggai,2,446,4
פּוּרָ֔ה,H6333,"pū·rāh,",from the press,N‑fs,H6333,Haggai,2,455,4
בַּשִּׁדָּפ֤וֹן,H7711,baš·šid·dā·p̄ō·wn,with blight,"Prep‑b, Art | N‑ms",H7711,Haggai,2,459,4
וּבַיֵּֽרָקוֹן֙,H3420,ū·ḇay·yê·rā·qō·wn,and mildew,"Conj‑w, Prep‑b, Art | N‑ms",H3420,Haggai,2,460,4
וְהָרִמּ֛וֹן,H7416,wə·hā·rim·mō·wn,and the pomegranate,"Conj‑w, Art | N‑ms",H7416,Haggai,2,494,4
חֹ֖זֶק,H2392,ḥō·zeq,the strength,N‑msc,H2392,Haggai,2,526,4
כַּֽחוֹתָ֑ם,H2368,ka·ḥō·w·ṯām;,like a signet [ring],"Prep‑k, Art | N‑ms",H2368,Haggai,2,550,4
