hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
דְּבַר־,H1697,də·ḇar-,the word,N‑msc,H1697,Jonah,1,1,5
יְהוָ֔ה,H3068,"Yah·weh,",of Yahweh,N‑proper‑ms,H3068,Jonah,1,2,5
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,3,5
יוֹנָ֥ה,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,4,5
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Jonah,1,5,5
אֲמִתַּ֖י,H573,’ă·mit·tay,of Amittai,N‑proper‑ms,H573,Jonah,1,6,5
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Jonah,1,7,5
לֵ֧ךְ,H1980,lêḵ,go,V‑Qal‑Imp‑ms,H1980,Jonah,1,8,5
אֶל־,H413,’el-,to,Prep,H413,Jonah,1,9,5
נִֽינְוֵ֛ה,H5210,nî·nə·wêh,Nineveh,N‑proper‑fs,H5210,Jonah,1,10,5
הָעִ֥יר,H5892,hā·‘îr,the city,Art | N‑fs,H5892,Jonah,1,11,5
הַגְּדוֹלָ֖ה,H1419,hag·gə·ḏō·w·lāh,great,Art | Adj‑fs,H1419,Jonah,1,12,5
וּקְרָ֣א,H7121,ū·qə·rā,and cry out,Conj‑w | V‑Qal‑Imp‑ms,H7121,Jonah,1,13,5
עָלֶ֑יהָ,H5921,‘ā·le·hā;,against it,Prep | 3fs,H5921,Jonah,1,14,5
כִּֽי־,H3588,kî-,for,Conj,H3588,Jonah,1,15,5
עָלְתָ֥ה,H5927,‘ā·lə·ṯāh,has come up,V‑Qal‑Perf‑3fs,H5927,Jonah,1,16,5
רָעָתָ֖ם,H7451,rā·‘ā·ṯām,their wickedness,N‑fsc | 3mp,H7451,Jonah,1,17,5
לְפָנָֽי׃,H6440,lə·p̄ā·nāy.,before Me,Prep‑l | N‑mpc | 1cs,H6440,Jonah,1,18,5
יוֹנָה֙,H3124,yō·w·nāh,Jonah,N‑proper‑ms,H3124,Jonah,1,19,5
לִבְרֹ֣חַ,H1272,liḇ·rō·aḥ,to flee,Prep‑l | V‑Qal‑Inf,H1272,Jonah,1,20,5
תַּרְשִׁ֔ישָׁה,H8659,"tar·šî·šāh,",to Tarshish,N‑proper‑fs | 3fs,H8659,Jonah,1,21,5
מִלִּפְנֵ֖י,H6440,mil·lip̄·nê,from the presence,"Prep‑m, Prep‑l | N‑cpc",H6440,Jonah,1,22,5
יְהוָ֑ה,H3068,Yah·weh;,of Yahweh,N‑proper‑ms,H3068,Jonah,1,23,5
וַיֵּ֨רֶד,H3381,way·yê·reḏ,and He went down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3381,Jonah,1,24,5
יָפ֜וֹ,H3305,yā·p̄ōw,to Joppa,N‑proper‑fs,H3305,Jonah,1,25,5
וַיִּמְצָ֥א,H4672,way·yim·ṣā,and found,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H4672,Jonah,1,26,5
אָנִיָּ֣ה ׀‪‬,H591,’ā·nî·yāh,a ship,N‑fs,H591,Jonah,1,27,5
בָּאָ֣ה,H935,bā·’āh,going,V‑Qal‑Prtcpl‑fs,H935,Jonah,1,28,5
תַרְשִׁ֗ישׁ,H8659,"ṯar·šîš,",to Tarshish,N‑proper‑fs,H8659,Jonah,1,29,5
וַיִּתֵּ֨ן,H5414,way·yit·tên,so he paid,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5414,Jonah,1,30,5
שְׂכָרָ֜הּ,H7939,śə·ḵā·rāh,the fare,N‑msc | 3fs,H7939,Jonah,1,31,5
וַיֵּ֤רֶד,H3381,way·yê·reḏ,and went down,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3381,Jonah,1,32,5
לָב֤וֹא,H935,lā·ḇō·w,to go,Prep‑l | V‑Qal‑Inf,H935,Jonah,1,33,5
עִמָּהֶם֙,H5973,‘im·mā·hem,with them,Prep | 3mp,H5973,Jonah,1,34,5
תַּרְשִׁ֔ישָׁה,H8659,"tar·šî·šāh,",to Tarshish,N‑proper‑fs | 3fs,H8659,Jonah,1,35,5
מִלִּפְנֵ֖י,H6440,mil·lip̄·nê,from the presence,"Prep‑m, Prep‑l | N‑cpc",H6440,Jonah,1,36,5
יְהוָֽה׃,H3068,Yah·weh.,of Yahweh,N‑proper‑ms,H3068,Jonah,1,37,5
הֵטִ֤יל,H2904,hê·ṭîl,sent out,V‑Hifil‑Perf‑3ms,H2904,Jonah,1,38,5
רֽוּחַ־,H7307,rū·aḥ-,a wind,N‑cs,H7307,Jonah,1,39,5
גְּדוֹלָה֙,H1419,gə·ḏō·w·lāh,great,Adj‑fs,H1419,Jonah,1,40,5
אֶל־,H413,’el-,on,Prep,H413,Jonah,1,41,5
הַיָּ֔ם,H3220,"hay·yām,",the sea,Art | N‑ms,H3220,Jonah,1,42,5
וַיְהִ֥י,H1961,way·hî,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Jonah,1,43,5
סַֽעַר־,H5591,sa·‘ar-,a tempest,N‑ms,H5591,Jonah,1,44,5
גָּד֖וֹל,H1419,gā·ḏō·wl,mighty,Adj‑ms,H1419,Jonah,1,45,5
בַּיָּ֑ם,H3220,bay·yām;,on the sea,"Prep‑b, Art | N‑ms",H3220,Jonah,1,46,5
