hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
חֲבַקּ֖וּק,H2265,ḥă·ḇaq·qūq,Habakkuk,N‑proper‑ms,H2265,Habakkuk,1,3,9
וּמָד֖וֹן,H4066,ū·mā·ḏō·wn,and contention,Conj‑w | N‑ms,H4066,Habakkuk,1,24,9
תָּפ֣וּג,H6313,tā·p̄ūḡ,is powerless,V‑Qal‑Imperf‑3fs,H6313,Habakkuk,1,27,9
מַכְתִּ֣יר,H3803,maḵ·tîr,surround,V‑Hifil‑Prtcpl‑ms,H3803,Habakkuk,1,35,9
מְעֻקָּֽל׃,H6127,mə·‘uq·qāl.,perverse,V‑Pual‑Prtcpl‑ms,H6127,Habakkuk,1,42,9
לְמֶרְחֲבֵי־,H4800,lə·mer·ḥă·ḇê-,through the breadth,Prep‑l | N‑mpc,H4800,Habakkuk,1,63,9
וּשְׂאֵת֖וֹ,H7613,ū·śə·’ê·ṯōw,and his dignity,Conj‑w | N‑fsc | 3ms,H7613,Habakkuk,1,72,9
וְחַדּוּ֙,H2300,wə·ḥad·dū,and more fierce,Conj‑w | V‑Qal‑ConjPerf‑3cp,H2300,Habakkuk,1,76,9
מְגַמַּ֥ת,H4041,mə·ḡam·maṯ,are set,N‑fsc,H4041,Habakkuk,1,90,9
יִתְקַלָּ֔ס,H7046,"yiṯ·qal·lās,",scoffs,V‑Hitpael‑Imperf‑3ms,H7046,Habakkuk,1,97,9
מִשְׂחָ֣ק,H4890,miś·ḥāq,are scorned,N‑ms,H4890,Habakkuk,1,99,9
יִשְׂחָ֔ק,H7832,"yiś·ḥāq,",derides,V‑Qal‑Imperf‑3ms,H7832,Habakkuk,1,103,9
וַיִּצְבֹּ֥ר,H6651,way·yiṣ·bōr,for he heaps up,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6651,Habakkuk,1,104,9
כְּרֶ֖מֶשׂ,H7431,kə·re·meś,Like creeping things,Prep‑k | N‑ms,H7431,Habakkuk,1,146,9
יְגֹרֵ֣הוּ,H1641,yə·ḡō·rê·hū,they catch them,V‑Qal‑Imperf‑3ms | 3ms,H1641,Habakkuk,1,151,9
בְּרִאָֽה׃,H1277,bə·ri·’āh.,fat,Adj‑fs,H1277,Habakkuk,1,169,9
וְאֶֽתְיַצְּבָ֖ה,H3320,wə·’eṯ·yaṣ·ṣə·ḇāh,and set myself,Conj‑w | V‑Hitpael‑ConjImperf.Cohort‑1cs,H3320,Habakkuk,2,180,9
וּבָאֵ֖ר,H874,ū·ḇā·’êr,and make [it] plain,Conj‑w | V‑Piel‑Imp‑ms,H874,Habakkuk,2,195,9
וְיָפֵ֥חַ,H6315,wə·yā·p̄ê·aḥ,but it will speak,Conj‑w | V‑Hifil‑ConjImperf.Jus‑3ms,H6315,Habakkuk,2,204,9
יִתְמַהְמָהּ֙,H4102,yiṯ·mah·māh,it tarries,V‑Hitpael‑Imperf‑3ms,H4102,Habakkuk,2,209,9
עֻפְּלָ֔ה,H6075,"‘up·pə·lāh,",the proud,V‑Pual‑Perf‑3fs,H6075,Habakkuk,2,216,9
יָהִ֖יר,H3093,yā·hîr,proud,Adj‑ms,H3093,Habakkuk,2,227,9
יִנְוֶ֑ה,H5115,yin·weh;,he does stay at home,V‑Qal‑Imperf‑3ms,H5115,Habakkuk,2,229,9
וּמְלִיצָ֖ה,H4426,ū·mə·lî·ṣāh,and taunting,Conj‑w | N‑fs,H4426,Habakkuk,2,251,9
חִיד֣וֹת,H2420,ḥî·ḏō·wṯ,a riddle,N‑fp,H2420,Habakkuk,2,252,9
עַבְטִֽיט׃,H5671,‘aḇ·ṭîṭ.,with many pledges,N‑ms,H5671,Habakkuk,2,261,9
נֹשְׁכֶ֔יךָ,H5391,"nō·šə·ḵe·ḵā,",your creditors,V‑Qal‑Prtcpl‑mpc | 2ms,H5391,Habakkuk,2,264,9
מְזַעְזְעֶ֑יךָ,H2111,mə·za‘·zə·‘e·ḵā;,who oppress you,V‑Piel‑Prtcpl‑mpc | 2ms,H2111,Habakkuk,2,266,9
קְצוֹת־,H7096,qə·ṣō·wṯ-,Cutting off,V‑Qal‑Inf,H7096,Habakkuk,2,296,9
וְכָפִ֖יס,H3714,wə·ḵā·p̄îs,and the beam,Conj‑w | N‑ms,H3714,Habakkuk,2,304,9
חֲמָתְךָ֖,H2573,ḥă·mā·ṯə·ḵā,your bottle,N‑fsc | 2ms,H2573,Habakkuk,2,338,9
מְעוֹרֵיהֶֽם׃,H4589,mə·‘ō·w·rê·hem.,his nakedness,N‑mpc | 3mp,H4589,Habakkuk,2,344,9
וְהֵֽעָרֵ֑ל,H6188,wə·hê·‘ā·rêl;,and be exposed as uncircumcised,Conj‑w | V‑Nifal‑Imp‑ms,H6188,Habakkuk,2,350,9
וְקִיקָל֖וֹן,H7022,wə·qî·qā·lō·wn,and utter shame will be,Conj‑w | N‑ms,H7022,Habakkuk,2,356,9
פְסָלוֹ֙,H6458,p̄ə·sā·lōw,should carve it,V‑Qal‑Perf‑3ms | 3ms,H6458,Habakkuk,2,375,9
הַ֥ס,H2013,has,let keep silence,Interjection,H2013,Habakkuk,2,407,9
שִׁגְיֹנֽוֹת׃,H7692,šiḡ·yō·nō·wṯ.,Shigionoth,N‑mp,H7692,Habakkuk,3,414,9
פָּארָ֖ן,H6290,pā·rān,Paran,N‑proper‑fs,H6290,Habakkuk,3,433,9
סֶ֑לָה,H5542,se·lāh;,Selah,Interjection,H5542,Habakkuk,3,434,9
חֶבְי֥וֹן,H2253,ḥeḇ·yō·wn,hidden,N‑msc,H2253,Habakkuk,3,446,9
דָּ֑בֶר,H1698,dā·ḇer;,pestilence,N‑ms,H1698,Habakkuk,3,449,9
רֶ֖שֶׁף,H7565,re·šep̄,fever,N‑ms,H7565,Habakkuk,3,451,9
הַרְרֵי־,H2042,har·rê-,the mountains,N‑mpc,H2042,Habakkuk,3,459,9
כוּשָׁ֑ן,H3572,ḵū·šān;,of Cushan,N‑proper‑fs,H3572,Habakkuk,3,469,9
תֵעוֹר֙,H5783,ṯê·‘ō·wr,was made ready,V‑Nifal‑Imperf‑3fs,H5783,Habakkuk,3,488,9
אֹ֣מֶר,H562,’ō·mer,speech,N‑ms,H562,Habakkuk,3,492,9
ר֖וֹם,H7315,rō·wm,on high,N‑msc,H7315,Habakkuk,3,505,9
תִּצְעַד־,H6805,tiṣ·‘aḏ-,You marched through,V‑Qal‑Imperf‑2ms,H6805,Habakkuk,3,517,9
מָחַ֤צְתָּ,H4272,mā·ḥaṣ·tā,You struck,V‑Qal‑Perf‑2ms,H4272,Habakkuk,3,527,9
יְס֥וֹד,H3247,yə·sō·wḏ,from foundation,N‑ms,H3247,Habakkuk,3,532,9
(פְּרָזָ֔יו),H6518,"pə·rā·zāw,",his villages,N‑mpc | 3ms,H6518,Habakkuk,3,538,9
עֲלִ֣יצֻתָ֔ם,H5951,"‘ă·lî·ṣu·ṯām,",their rejoicing was,N‑fsc | 3mp,H5951,Habakkuk,3,541,9
צָלֲל֣וּ,H6750,ṣā·lă·lū,quivered,V‑Qal‑Perf‑3cp,H6750,Habakkuk,3,554,9
רָקָ֛ב,H7538,rā·qāḇ,Rottenness,N‑ms,H7538,Habakkuk,3,557,9
יְגוּדֶֽנּוּ׃,H1464,yə·ḡū·ḏen·nū.,He will invade them with his troops,V‑Qal‑Imperf‑3ms | 1cpe,H1464,Habakkuk,3,567,9
מִמִּכְלָה֙,H4356,mim·miḵ·lāh,from the fold,Prep‑m | N‑fs,H4356,Habakkuk,3,582,9
בָּרְפָתִֽים׃,H7517,bā·rə·p̄ā·ṯîm.,in the stalls,"Prep‑b, Art | N‑mp",H7517,Habakkuk,3,586,9
כָּֽאַיָּל֔וֹת,H355,"kā·’ay·yā·lō·wṯ,",like deer's [feet],"Prep‑k, Art | N‑fp",H355,Habakkuk,3,596,9
לַמְנַצֵּ֖חַ,H5329,lam·naṣ·ṣê·aḥ,to the Chief Musician,"Prep‑l, Art | V‑Piel‑Prtcpl‑ms",H5329,Habakkuk,3,600,9
