hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
עָמ֔וֹס,H5986,"‘ā·mō·ws,",of Amos,N‑proper‑ms,H5986,Amos,1,1,10
בַנֹּקְדִ֖ים,H5349,ḇan·nō·qə·ḏîm,among the sheepherders,"Prep‑b, Art | N‑mp",H5349,Amos,1,4,10
מִתְּק֑וֹעַ,H8620,mit·tə·qō·w·a‘;,of Tekoa,Prep‑m | N‑proper‑fs,H8620,Amos,1,5,10
יָרָבְעָ֤ם,H3379,yā·rā·ḇə·‘ām,of Jeroboam,N‑proper‑ms,H3379,Amos,1,15,10
יוֹאָשׁ֙,H3101,yō·w·’āš,of Joash,N‑proper‑ms,H3101,Amos,1,17,10
חֲזָאֵ֑ל,H2371,ḥă·zā·’êl;,of Hazael,N‑proper‑ms,H2371,Amos,1,53,10
הֲדָֽד׃,H1130,hă·ḏāḏ.,Ben-hadad,N‑proper‑ms,H1130,Amos,1,56,10
אָ֔וֶן,H206,"’ā·wen,",and the one who holds,Conj‑w | V‑Qal‑Prtcpl‑msc,H206,Amos,1,62,10
עֶ֑דֶן,H5730,‘e·ḏen;,Beth Eden,Prep | N‑proper‑fs,H5730,Amos,1,66,10
רַבָּ֔ה,H7237,"rab·bāh,",of Rabbah,N‑proper‑fs,H7237,Amos,1,181,10
הַקְּרִיּ֑וֹת,H7152,haq·qə·rî·yō·wṯ;,of Kerioth,Art | N‑proper‑fs,H7152,Amos,2,217,10
בַּעֲב֥וּר,H5668,ba·‘ă·ḇūr,for,Prep‑b | N‑ms,H5668,Amos,2,276,10
הַֽנַּעֲרָ֔ה,H5291,"han·na·‘ă·rāh,",the [same] girl,Art | N‑fs,H5291,Amos,2,290,10
עֲנוּשִׁים֙,H6064,‘ă·nū·šîm,of the condemned,V‑Qal‑QalPassPrtcpl‑mp,H6064,Amos,2,303,10
הָֽאֱמֹרִי֙,H567,hā·’ĕ·mō·rî,the Amorite,Art | N‑proper‑ms,H567,Amos,2,309,10
כְּגֹ֤בַהּ,H1363,kə·ḡō·ḇah,like height [was],Prep‑k | N‑msc,H1363,Amos,2,312,10
לִנְזִרִ֑ים,H5139,lin·zi·rîm;,as Nazirites,Prep‑l | N‑mp,H5139,Amos,2,339,10
מֵעִ֖יק,H5781,mê·‘îq,am weighed down,V‑Hifil‑Prtcpl‑ms,H5781,Amos,2,357,10
עָמִֽיר׃,H5995,‘ā·mîr.,sheaves,N‑ms,H5995,Amos,2,363,10
מָנוֹס֙,H4498,mā·nō·ws,flight,N‑ms,H4498,Amos,2,364,10
נוֹעָֽדוּ׃,H3259,nō·w·‘ā·ḏū.,they are agreed,V‑Nifal‑Perf‑3cp,H3259,Amos,3,427,10
צִפּוֹר֙,H6833,ṣip·pō·wr,a bird,N‑cs,H6833,Amos,3,439,10
סוֹד֔וֹ,H5475,"sō·w·ḏōw,",His secret,N‑msc | 3ms,H5475,Amos,3,473,10
וַעֲשׁוּקִ֖ים,H6217,wa·‘ă·šū·qîm,and the oppressed,Conj‑w | N‑mp,H6217,Amos,3,503,10
כְרָעַ֖יִם,H3767,ḵə·rā·‘a·yim,legs,N‑fd,H3767,Amos,3,534,10
בְדַל־,H915,ḇə·ḏal-,a piece,N‑msc,H915,Amos,3,536,10
