hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מִיכָה֙,H4318,mî·ḵāh,Micah,N‑proper‑ms,H4318,Micah,1,5,11
הַמֹּ֣רַשְׁתִּ֔י,H4183,"ham·mō·raš·tî,",the Moreshite,Art | N‑proper‑fs,H4183,Micah,1,6,11
כַּדּוֹנַג֙,H1749,kad·dō·w·naḡ,Like wax,"Prep‑k, Art | N‑ms",H1749,Micah,1,43,11
מֻגָּרִ֥ים,H5064,mug·gā·rîm,poured,V‑Hofal‑Prtcpl‑mp,H5064,Micah,1,47,11
בְּמוֹרָֽד׃,H4174,bə·mō·w·rāḏ.,down a steep place,Prep‑b | N‑ms,H4174,Micah,1,48,11
לְעִ֥י,H5856,lə·‘î,a heap of [ruins] in,Prep‑l | N‑msc,H5856,Micah,1,66,11
(שׁוֹלָ֖ל),H7758,šō·w·lāl,stripped,Adj‑ms,H7758,Micah,1,97,11
לְעַפְרָ֔ה,H1036,"lə·‘ap̄·rāh,",Beth Aphrah,Prep | N‑proper‑fs,H1036,Micah,1,122,11
(הִתְפַּלָּֽשִׁי׃),H6428,hiṯ·pal·lā·šî.,Roll yourself,V‑Hitpael‑Imp‑fs,H6428,Micah,1,124,11
שָׁפִ֖יר,H8208,šā·p̄îr,of Shaphir,N‑proper‑fs,H8208,Micah,1,126,11
עֶרְיָה־,H6181,‘er·yāh-,in naked,N‑fs,H6181,Micah,1,127,11
צַֽאֲנָ֔ן,H6630,"ṣa·’ă·nān,",of Zaanan,N‑proper‑fs,H6630,Micah,1,132,11
הָאֵ֔צֶל,H1018,"hā·’ê·ṣel,",Beth Ezel,N‑proper‑fs,H1018,Micah,1,134,11
עֶמְדָּתֽוֹ׃,H5979,‘em·dā·ṯōw.,Its place to stand,N‑fsc | 3ms,H5979,Micah,1,137,11
מָר֑וֹת,H4796,mā·rō·wṯ;,of Maroth,N‑proper‑fs,H4796,Micah,1,141,11
לָרֶ֖כֶשׁ,H7409,lā·re·ḵeš,to the swift steeds,"Prep‑l, Art | N‑ms",H7409,Micah,1,150,11
שִׁלּוּחִ֔ים,H7964,"šil·lū·ḥîm,",presents,N‑mp,H7964,Micah,1,163,11
גַּ֑ת,H4182,gaṯ;,Moresheth Gath,N‑proper‑fs,H4182,Micah,1,165,11
אַכְזִיב֙,H392,’aḵ·zîḇ,of Achzib,N‑proper‑fs,H392,Micah,1,167,11
לְאַכְזָ֔ב,H391,"lə·’aḵ·zāḇ,",[shall be] a lie,Prep‑l | N‑ms,H391,Micah,1,168,11
מָֽרֵשָׁ֑ה,H4762,mā·rê·šāh;,of Mareshah,N‑proper‑fs,H4762,Micah,1,174,11
עֲדֻּלָּ֥ם‪‬‪‬,H5725,‘ă·ḏul·lām,Adullam,N‑proper‑fs,H5725,Micah,1,176,11
תַּעֲנוּגָ֑יִךְ,H8588,ta·‘ă·nū·ḡā·yiḵ;,your precious,N‑mpc | 2fs,H8588,Micah,1,183,11
רוֹמָ֔ה,H7317,"rō·w·māh,",haughtily,Adv,H7317,Micah,2,228,11
וְנָהָ֨ה,H5091,wə·nā·hāh,and lament,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5091,Micah,2,237,11
יָמִ֑יר,H4171,yā·mîr;,He has changed,V‑Hifil‑Imperf‑3ms,H4171,Micah,2,245,11
לְשׁוֹבֵ֥ב,H7728,lə·šō·w·ḇêḇ,to a turncoat,Prep‑l | Adj‑ms,H7728,Micah,2,248,11
מִמּ֣וּל,H4136,mim·mūl,with,Prep‑m,H4136,Micah,2,283,11
שַׂלְמָ֔ה,H8008,"śal·māh,",the garment,N‑fs,H8008,Micah,2,284,11
אֶ֖דֶר,H145,’e·ḏer,the magnificence,N‑ms,H145,Micah,2,285,11
נִמְרָֽץ׃,H4834,nim·rāṣ.,utter,V‑Nifal‑Prtcpl‑ms,H4834,Micah,2,309,11
בָּצְרָ֑ה,H1223,bāṣ·rāh,of the fold,N‑fs,H1223,Micah,2,332,11
תְּהִימֶ֖נָה,H1949,tə·hî·me·nāh,they shall make a loud noise,V‑Hifil‑Imperf‑3fp,H1949,Micah,2,336,11
עוֹרָם֙,H5785,‘ō·w·rām,the skin,N‑msc | 3mp,H5785,Micah,3,364,11
וּשְׁאֵרָ֖ם,H7607,ū·šə·’ê·rām,and the flesh,Conj‑w | N‑msc | 3mp,H7607,Micah,3,366,11
קַלָּֽחַת׃,H7037,qal·lā·ḥaṯ.,the caldron,N‑fs,H7037,Micah,3,383,11
שָׂפָ֖ם,H8222,śā·p̄ām,lips,N‑msc,H8222,Micah,3,433,11
מַעֲנֵ֖ה,H4617,ma·‘ă·nêh,answer from,N‑msc,H4617,Micah,3,437,11
בִּגְלַלְכֶ֔ם,H1558,"biḡ·lal·ḵem,",because of you,Prep‑b | N‑msc | 2mp,H1558,Micah,3,489,11
וְהַנַּהֲלָאָ֖ה,H1972,wə·han·na·hă·lā·’āh,and the outcast,"Conj‑w, Art | V‑Nifal‑Prtcpl‑fs",H1972,Micah,4,598,11
רֵ֑עַ,H7452,rê·a‘;,aloud,N‑ms,H7452,Micah,4,624,11
חִ֖יל,H2427,ḥîl,pangs,N‑ms,H2427,Micah,4,632,11
וָגֹ֛חִי,H1518,wā·ḡō·ḥî,and labor to bring forth,Conj‑w | V‑Qal‑Imp‑fs,H1518,Micah,4,634,11
תִּתְגֹּדְדִ֣י,H1413,tiṯ·gō·ḏə·ḏî,gather yourself in troops,V‑Hitpael‑Imperf‑2fs,H1413,Micah,5,694,11
גְּד֔וּד,H1416,"gə·ḏūḏ,",of troops,N‑ms,H1416,Micah,5,696,11
לֶ֣חֶם,H1035,le·ḥem,Bethlehem,N‑proper‑fs,H1035,Micah,5,707,11
אֶפְרָ֗תָה,H672,"’ep̄·rā·ṯāh,",Ephrathah,N‑proper‑fs,H672,Micah,5,708,11
וּמוֹצָאֹתָ֥יו,H4163,ū·mō·w·ṣā·’ō·ṯāw,and Whose goings forth [are],Conj‑w | N‑fpc | 3ms,H4163,Micah,5,718,11
וּשְׁמֹנָ֖ה,H8083,ū·šə·mō·nāh,and eight,Conj‑w | Number‑ms,H8083,Micah,5,760,11
נְסִיכֵ֥י,H5257,nə·sî·ḵê,princely,N‑mpc,H5257,Micah,5,761,11
נִמְרֹ֖ד,H5248,nim·rōḏ,of Nimrod,N‑proper‑ms,H5248,Micah,5,769,11
כִּרְבִיבִ֖ים,H7241,kir·ḇî·ḇîm,Like showers,Prep‑k | N‑mp,H7241,Micah,5,787,11
אַהֲרֹ֥ן,H175,’a·hă·rōn,Aaron,N‑proper‑ms,H175,Micah,6,904,11
וּמִרְיָֽם׃,H4813,ū·mir·yām.,and Miriam,Conj‑w | N‑proper‑fs,H4813,Micah,6,905,11
בָּלָק֙,H1111,bā·lāq,Balak,N‑proper‑ms,H1111,Micah,6,910,11
