hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Micah,1,1,11
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Micah,1,2,11
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Micah,1,3,11
אֶל־,H413,’el-,to,Prep,H413,Micah,1,4,11
מִיכָה֙,H4318,mî·ḵāh,Micah,N‑proper‑ms,H4318,Micah,1,5,11
הַמֹּ֣רַשְׁתִּ֔י,H4183,"ham·mō·raš·tî,",the Moreshite,Art | N‑proper‑fs,H4183,Micah,1,6,11
בִּימֵ֥י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Micah,1,7,11
יוֹתָ֛ם,H3147,yō·w·ṯām,of Jotham,N‑proper‑ms,H3147,Micah,1,8,11
אָחָ֥ז,H271,’ā·ḥāz,Ahaz,N‑proper‑ms,H271,Micah,1,9,11
יְחִזְקִיָּ֖ה,H2396,yə·ḥiz·qî·yāh,[and] Hezekiah,N‑proper‑ms,H2396,Micah,1,10,11
מַלְכֵ֣י,H4428,mal·ḵê,kings,N‑mpc,H4428,Micah,1,11,11
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Micah,1,12,11
חָזָ֥ה,H2372,ḥā·zāh,he saw,V‑Qal‑Perf‑3ms,H2372,Micah,1,14,11
עַל־,H5921,‘al-,regarding,Prep,H5921,Micah,1,15,11
שֹׁמְר֖וֹן,H8111,šō·mə·rō·wn,Samaria,N‑proper‑fs,H8111,Micah,1,16,11
וִירֽוּשָׁלִָֽם׃,H3389,wî·rū·šā·lim.,and Jerusalem,Conj‑w | N‑proper‑fs,H3389,Micah,1,17,11
עַמִּ֣ים,H5971,‘am·mîm,peoples,N‑mp,H5971,Micah,1,18,11
כֻּלָּ֔ם,H3605,"kul·lām,",all you,N‑msc | 3mp,H3605,Micah,1,19,11
הַקְשִׁ֖יבִי,H7181,haq·šî·ḇî,Listen,V‑Hifil‑Imp‑fs,H7181,Micah,1,20,11
אֶ֣רֶץ,H776,’e·reṣ,earth,N‑fs,H776,Micah,1,21,11
וּמְלֹאָ֑הּ,H4393,ū·mə·lō·’āh;,and all that is in it,Conj‑w | N‑msc | 3fs,H4393,Micah,1,22,11
אֲדֹנָ֨י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Micah,1,24,11
