hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יְהוָ֣ה ׀,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Hosea,1,1,12
אֲשֶׁ֣ר,H834,’ă·šer,that,Pro‑r,H834,Hosea,1,2,12
הָיָ֗ה,H1961,"hā·yāh,",came,V‑Qal‑Perf‑3ms,H1961,Hosea,1,3,12
אֶל־,H413,’el-,to,Prep,H413,Hosea,1,4,12
הוֹשֵׁ֙עַ֙,H1954,hō·wō·šê·a‘,Hosea,N‑proper‑ms,H1954,Hosea,1,5,12
בֶּן־,H1121,ben-,son,N‑msc,H1121,Hosea,1,6,12
בְּאֵרִ֔י,H882,"bə·’ê·rî,",of Beeri,N‑proper‑ms,H882,Hosea,1,7,12
בִּימֵ֨י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Hosea,1,8,12
עֻזִּיָּ֥ה,H5818,‘uz·zî·yāh,of Uzziah,N‑proper‑ms,H5818,Hosea,1,9,12
יוֹתָ֛ם,H3147,yō·w·ṯām,Jotham,N‑proper‑ms,H3147,Hosea,1,10,12
אָחָ֥ז,H271,’ā·ḥāz,Ahaz,N‑proper‑ms,H271,Hosea,1,11,12
יְחִזְקִיָּ֖ה,H2396,yə·ḥiz·qî·yāh,[and] Hezekiah,N‑proper‑ms,H2396,Hosea,1,12,12
מַלְכֵ֣י,H4428,mal·ḵê,kings,N‑mpc,H4428,Hosea,1,13,12
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Hosea,1,14,12
וּבִימֵ֛י,H3117,ū·ḇî·mê,and in the days,"Conj‑w, Prep‑b | N‑mpc",H3117,Hosea,1,15,12
יָרָבְעָ֥ם,H3379,yā·rā·ḇə·‘ām,of Jeroboam,N‑proper‑ms,H3379,Hosea,1,16,12
בֶּן־,H1121,ben-,son,N‑msc,H1121,Hosea,1,17,12
יוֹאָ֖שׁ,H3101,yō·w·’āš,of Joash,N‑proper‑ms,H3101,Hosea,1,18,12
מֶ֥לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Hosea,1,19,12
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Hosea,1,20,12
דִּבֶּר־,H1696,dib·ber-,to speak,V‑Piel‑Perf‑3ms,H1696,Hosea,1,21,12
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,22,12
בְּהוֹשֵׁ֑עַ,H1954,bə·hō·wō·šê·a‘;,by Hosea,Prep‑b | N‑proper‑ms,H1954,Hosea,1,23,12
וַיֹּ֨אמֶר,H559,way·yō·mer,And said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,Hosea,1,24,12
יְהוָ֜ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,25,12
אֶל־,H413,’el-,to,Prep,H413,Hosea,1,26,12
הוֹשֵׁ֗עַ,H1954,"hō·wō·šê·a‘,",Hosea,N‑proper‑ms,H1954,Hosea,1,27,12
לֵ֣ךְ,H1980,lêḵ,go,V‑Qal‑Imp‑ms,H1980,Hosea,1,28,12
קַח־,H3947,qaḥ-,take,V‑Qal‑Imp‑ms,H3947,Hosea,1,29,12
אֵ֤שֶׁת,H802,’ê·šeṯ,a wife,N‑fsc,H802,Hosea,1,30,12
זְנוּנִים֙,H2183,zə·nū·nîm,of harlotry,N‑mp,H2183,Hosea,1,31,12
וְיַלְדֵ֣י,H3206,wə·yal·ḏê,and children,Conj‑w | N‑mpc,H3206,Hosea,1,32,12
זְנוּנִ֔ים,H2183,"zə·nū·nîm,",of harlotry,N‑mp,H2183,Hosea,1,33,12
כִּֽי־,H3588,kî-,for,Conj,H3588,Hosea,1,34,12
זָנֹ֤ה,H2181,zā·nōh,great,V‑Qal‑InfAbs,H2181,Hosea,1,35,12
תִזְנֶה֙,H2181,ṯiz·neh,has committed harlotry,V‑Qal‑Imperf‑3fs,H2181,Hosea,1,36,12
הָאָ֔רֶץ,H776,"hā·’ā·reṣ,",the land,Art | N‑fs,H776,Hosea,1,37,12
מֵֽאַחֲרֵ֖י,H310,mê·’a·ḥă·rê,[By departing] from,Prep‑m,H310,Hosea,1,38,12
יְהוָֽה׃,H3068,Yah·weh.,Yahweh,N‑proper‑ms,H3068,Hosea,1,39,12
וַיִּקַּ֔ח,H3947,"way·yiq·qaḥ,",and took,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3947,Hosea,1,40,12
אֶת־,H853,’eṯ-,-,DirObjM,H853,Hosea,1,41,12
גֹּ֖מֶר,H1586,gō·mer,Gomer,N‑proper‑fs,H1586,Hosea,1,42,12
בַּת־,H1323,baṯ-,the daughter,N‑fsc,H1323,Hosea,1,43,12
דִּבְלָ֑יִם,H1691,diḇ·lā·yim;,of Diblaim,N‑proper‑ms,H1691,Hosea,1,44,12
וַתַּ֥הַר,H2029,wat·ta·har,and she conceived,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H2029,Hosea,1,45,12
וַתֵּֽלֶד־,H3205,wat·tê·leḏ-,and bore,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H3205,Hosea,1,46,12
בֵּֽן׃,H1121,bên.,a son,N‑ms,H1121,Hosea,1,47,12
יְהוָה֙,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Hosea,1,48,12
אֵלָ֔יו,H413,"’ê·lāw,",to him,Prep | 3ms,H413,Hosea,1,49,12
קְרָ֥א,H7121,qə·rā,Call,V‑Qal‑Imp‑ms,H7121,Hosea,1,50,12
שְׁמ֖וֹ,H8034,šə·mōw,his name,N‑msc | 3ms,H8034,Hosea,1,51,12
יִזְרְעֶ֑אל,H3157,yiz·rə·‘el;,Jezreel,N‑proper‑ms,H3157,Hosea,1,52,12
כִּי־,H3588,kî-,for,Conj,H3588,Hosea,1,53,12
ע֣וֹד,H5750,‘ō·wḏ,yet,Adv,H5750,Hosea,1,54,12
מְעַ֗ט,H4592,"mə·‘aṭ,",in a little [while],Adj‑ms,H4592,Hosea,1,55,12
וּפָ֨קַדְתִּ֜י,H6485,ū·p̄ā·qaḏ·tî,and I will avenge,Conj‑w | V‑Qal‑ConjPerf‑1cs,H6485,Hosea,1,56,12
אֶת־,H853,’eṯ-,-,DirObjM,H853,Hosea,1,57,12
דְּמֵ֤י,H1818,də·mê,the bloodshed,N‑mpc,H1818,Hosea,1,58,12
יִזְרְעֶאל֙,H3157,yiz·rə·‘el,of Jezreel,N‑proper‑fs,H3157,Hosea,1,59,12
עַל־,H5921,‘al-,on,Prep,H5921,Hosea,1,60,12
