hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הוֹשֵׁ֙עַ֙,H1954,hō·wō·šê·a‘,Hosea,N‑proper‑ms,H1954,Hosea,1,5,12
בְּאֵרִ֔י,H882,"bə·’ê·rî,",of Beeri,N‑proper‑ms,H882,Hosea,1,7,12
גֹּ֖מֶר,H1586,gō·mer,Gomer,N‑proper‑fs,H1586,Hosea,1,42,12
דִּבְלָ֑יִם,H1691,diḇ·lā·yim;,of Diblaim,N‑proper‑ms,H1691,Hosea,1,44,12
יִזְרְעֶ֑אל,H3157,yiz·rə·‘el;,Jezreel,N‑proper‑ms,H3157,Hosea,1,52,12
יֵה֔וּא,H3058,"yê·hū,",of Jehu,N‑proper‑ms,H3058,Hosea,1,62,12
מַמְלְכ֖וּת,H4468,mam·lə·ḵūṯ,the kingdom,N‑fsc,H4468,Hosea,1,64,12
רֻחָ֑מָה,H3819,ru·ḥā·māh;,Lo-ruhamah,N‑proper‑fs,H3819,Hosea,1,81,12
עַמִּ֑י,H3818,‘am·mî;,for,Conj,H3818,Hosea,1,112,12
וְלַאֲחֽוֹתֵיכֶ֖ם,H269,wə·la·’ă·ḥō·w·ṯê·ḵem,and to your sisters,"Conj‑w, Prep‑l | N‑fpc | 2mp",H269,Hosea,2,160,12
וְנַאֲפוּפֶ֖יהָ,H5005,wə·na·’ă·p̄ū·p̄e·hā,and her adulteries,Conj‑w | N‑mpc | 3fs,H5005,Hosea,2,174,12
וְשִׁקּוּיָֽי׃,H8250,wə·šiq·qū·yāy.,and my drink,Conj‑w | N‑mpc | 1cs,H8250,Hosea,2,211,12
שָׂ֥ךְ,H7753,śāḵ,I will hedge up,V‑Qal‑Prtcpl‑ms,H7753,Hosea,2,213,12
נַבְלֻתָ֖הּ,H5040,naḇ·lu·ṯāh,her lewdness,N‑fsc | 3fs,H5040,Hosea,2,268,12
אֶתְנָ֥ה,H866,’eṯ·nāh,my wages,N‑fs,H866,Hosea,2,286,12
וְחֶלְיָתָ֔הּ,H2484,"wə·ḥel·yā·ṯāh,",and jewelry,Conj‑w | N‑fsc | 3fs,H2484,Hosea,2,305,12
מְפַתֶּ֔יהָ,H6601,"mə·p̄at·te·hā,",will allure her,V‑Piel‑Prtcpl‑msc | 3fs,H6601,Hosea,2,315,12
תִּקְוָ֑ה,H8615,tiq·wāh;,of hope,N‑fs,H8615,Hosea,2,328,12
בַּעְלִֽי׃,H1180,ba‘·lî.,Me My Master,N‑msc | 1cs,H1180,Hosea,2,346,12
וְאֵרַשְׂתִּ֥יךְ,H781,wə·’ê·raś·tîḵ,and Yes I will betroth you,Conj‑w | V‑Piel‑ConjPerf‑1cs | 2fs2,H781,Hosea,2,375,12
אֲשִׁישֵׁ֥י,H809,’ă·šî·šê,the cakes [of the pagans],N‑fpc,H809,Hosea,3,440,12
וְלֵ֥תֶךְ,H3963,wə·lê·ṯeḵ,and one-half homers,Conj‑w | N‑msc,H3963,Hosea,3,447,12
אֵפ֖וֹד,H646,’ê·p̄ō·wḏ,ephod,N‑ms,H646,Hosea,3,475,12
וּתְרָפִֽים׃,H8655,ū·ṯə·rā·p̄îm.,or teraphim,Conj‑w | N‑mp,H8655,Hosea,3,476,12
וּמַקְל֖וֹ,H4731,ū·maq·lōw,and their staff,Conj‑w | N‑msc | 3ms,H4731,Hosea,4,602,12
וְלִבְנֶ֛ה,H3839,wə·liḇ·neh,and poplars,Conj‑w | N‑ms,H3839,Hosea,4,619,12
יְפָרֵ֔דוּ,H6504,"yə·p̄ā·rê·ḏū,",[the men] go apart,V‑Piel‑Imperf‑3mp,H6504,Hosea,4,643,12
הַקְּדֵשׁ֖וֹת,H6948,haq·qə·ḏê·šō·wṯ,a ritual harlot,Art | Adj‑fp,H6948,Hosea,4,645,12
יִלָּבֵֽט׃,H3832,yil·lā·ḇêṭ.,will be trampled,V‑Nifal‑Imperf‑3ms,H3832,Hosea,4,650,12
אָ֔וֶן,H1007,"’ā·wen,",Beth Aven,N‑proper‑fs,H1007,Hosea,4,662,12
לְמִצְפָּ֔ה,H4709,"lə·miṣ·pāh,",to Mizpah,Prep‑l | N‑proper‑fs,H4709,Hosea,5,704,12
וְרֶ֖שֶׁת,H7568,wə·re·šeṯ,and a net,Conj‑w | N‑fsc,H7568,Hosea,5,705,12
תָּבֽוֹר׃,H8396,tā·ḇō·wr.,Tabor,N‑proper‑fs,H8396,Hosea,5,708,12
שֵׂטִ֖ים,H7846,śê·ṭîm,the revolters,N‑mp,H7846,Hosea,5,709,12
חֲצֹצְרָ֖ה,H2689,ḥă·ṣō·ṣə·rāh,the trumpet,N‑fs,H2689,Hosea,5,771,12
