hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשְּׁמִינִ֔י,H8066,"haš·šə·mî·nî,",the eighth,Art | Number‑oms,H8066,Zechariah,1,1,13
בִּשְׁנַ֥ת,H8141,biš·naṯ,in the year,Prep‑b | N‑fsc,H8141,Zechariah,1,2,13
שְׁתַּ֖יִם,H8147,šə·ta·yim,second,Number‑fd,H8147,Zechariah,1,3,13
לְדָרְיָ֑וֶשׁ,H1867,lə·ḏā·rə·yā·weš;,of Darius,Prep‑l | N‑proper‑ms,H1867,Zechariah,1,4,13
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Zechariah,1,5,13
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Zechariah,1,6,13
יְהוָ֗ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Zechariah,1,7,13
אֶל־,H413,’el-,to,Prep,H413,Zechariah,1,8,13
זְכַרְיָה֙,H2148,zə·ḵar·yāh,Zechariah,N‑proper‑ms,H2148,Zechariah,1,9,13
בֶּן־,H1121,ben-,son,N‑msc,H1121,Zechariah,1,10,13
בֶּ֣רֶכְיָ֔ה,H1296,"be·reḵ·yāh,",of Berechiah,N‑proper‑ms,H1296,Zechariah,1,11,13
בֶּן־,H1121,ben-,son,N‑msc,H1121,Zechariah,1,12,13
עִדּ֥וֹ,H5714,‘id·dōw,of Iddo,N‑proper‑ms,H5714,Zechariah,1,13,13
הַנָּבִ֖יא,H5030,han·nā·ḇî,the prophet,Art | N‑ms,H5030,Zechariah,1,14,13
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Zechariah,1,15,13
יְהוָ֛ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,16,13
עַל־,H5921,‘al-,with,Prep,H5921,Zechariah,1,17,13
אֲבֽוֹתֵיכֶ֖ם,H1,’ă·ḇō·w·ṯê·ḵem,your fathers,N‑mpc | 2mp,H1,Zechariah,1,18,13
קָֽצֶף׃,H7110,qā·ṣep̄.,very,N‑ms,H7110,Zechariah,1,19,13
אֲלֵהֶ֗ם,H413,"’ă·lê·hem,",to them,Prep | 3mp,H413,Zechariah,1,20,13
כֹּ֤ה,H3541,kōh,thus,Adv,H3541,Zechariah,1,21,13
אָמַר֙,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Zechariah,1,22,13
יְהוָ֣ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,23,13
צְבָא֔וֹת,H6635,"ṣə·ḇā·’ō·wṯ,",of hosts,N‑cp,H6635,Zechariah,1,24,13
שׁ֣וּבוּ,H7725,šū·ḇū,Return,V‑Qal‑Imp‑mp,H7725,Zechariah,1,25,13
אֵלַ֔י,H413,"’ê·lay,",to Me,Prep | 1cs,H413,Zechariah,1,26,13
נְאֻ֖ם,H5002,nə·’um,says,N‑msc,H5002,Zechariah,1,27,13
יְהוָ֣ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,28,13
צְבָא֑וֹת,H6635,ṣə·ḇā·’ō·wṯ;,of hosts,N‑cp,H6635,Zechariah,1,29,13
וְאָשׁ֣וּב,H7725,wə·’ā·šūḇ,and I will return,Conj‑w | V‑Qal‑ConjImperf‑1cs,H7725,Zechariah,1,30,13
אֲלֵיכֶ֔ם,H413,"’ă·lê·ḵem,",to you,Prep | 2mp,H413,Zechariah,1,31,13
אָמַ֖ר,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Zechariah,1,32,13
יְהוָ֥ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,33,13
צְבָאֽוֹת׃,H6635,ṣə·ḇā·’ō·wṯ.,of hosts,N‑cp,H6635,Zechariah,1,34,13
תִּהְי֣וּ,H1961,tih·yū,do be,V‑Qal‑Imperf‑2mp,H1961,Zechariah,1,35,13
כַאֲבֹֽתֵיכֶ֡ם,H1,ḵa·’ă·ḇō·ṯê·ḵem,like your fathers,Prep‑k | N‑mpc | 2mp,H1,Zechariah,1,36,13
אֲשֶׁ֣ר,H834,’ă·šer,whom,Pro‑r,H834,Zechariah,1,37,13
קָרְאֽוּ־,H7121,qā·rə·’ū-,preached,V‑Qal‑Perf‑3cp,H7121,Zechariah,1,38,13
אֲלֵיהֶם֩,H413,’ă·lê·hem,to whom,Prep | 3mp,H413,Zechariah,1,39,13
הַנְּבִיאִ֨ים,H5030,han·nə·ḇî·’îm,the prophets,Art | N‑mp,H5030,Zechariah,1,40,13
הָרִֽאשֹׁנִ֜ים,H7223,hā·ri·šō·nîm,former,Art | Adj‑mp,H7223,Zechariah,1,41,13
לֵאמֹ֗ר,H559,"lê·mōr,",saying,Prep‑l | V‑Qal‑Inf,H559,Zechariah,1,42,13
כֹּ֤ה,H3541,kōh,thus,Adv,H3541,Zechariah,1,43,13
אָמַר֙,H559,’ā·mar,says,V‑Qal‑Perf‑3ms,H559,Zechariah,1,44,13
יְהוָ֣ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,45,13
צְבָא֔וֹת,H6635,"ṣə·ḇā·’ō·wṯ,",of hosts,N‑cp,H6635,Zechariah,1,46,13
שׁ֤וּבוּ,H7725,šū·ḇū,Turn,V‑Qal‑Imp‑mp,H7725,Zechariah,1,47,13
נָא֙,H4994,nā,now,Interjection,H4994,Zechariah,1,48,13
מִדַּרְכֵיכֶ֣ם,H1870,mid·dar·ḵê·ḵem,from your ways,Prep‑m | N‑cpc | 2mp,H1870,Zechariah,1,49,13
הָרָעִ֔ים,H7451,"hā·rā·‘îm,",evil,Art | Adj‑mp,H7451,Zechariah,1,50,13
(וּמַֽעֲלְלֵיכֶ֖ם‪‬),H4611,ū·ma·‘al·lê·ḵem,and your deeds,Conj‑w | N‑mpc | 2mp,H4611,Zechariah,1,51,13
הָֽרָעִ֑ים,H7451,hā·rā·‘îm;,evil,Art | Adj‑mp,H7451,Zechariah,1,52,13
וְלֹ֥א,H3808,wə·lō,but not,Conj‑w | Adv‑NegPrt,H3808,Zechariah,1,53,13
שָׁמְע֛וּ,H8085,šā·mə·‘ū,they did hear,V‑Qal‑Perf‑3cp,H8085,Zechariah,1,54,13
וְלֹֽא־,H3808,wə·lō-,nor,Conj‑w | Adv‑NegPrt,H3808,Zechariah,1,55,13
הִקְשִׁ֥יבוּ,H7181,hiq·šî·ḇū,heed,V‑Hifil‑Perf‑3cp,H7181,Zechariah,1,56,13
אֵלַ֖י,H413,’ê·lay,Me,Prep | 1cs,H413,Zechariah,1,57,13
נְאֻם־,H5002,nə·’um-,says,N‑msc,H5002,Zechariah,1,58,13
יְהוָֽה׃,H3068,Yah·weh.,Yahweh,N‑proper‑ms,H3068,Zechariah,1,59,13
אַיֵּה־,H346,’ay·yêh-,where [are],Interrog,H346,Zechariah,1,60,13
הֵ֑ם,H1992,hêm;,they,Pro‑3mp,H1992,Zechariah,1,61,13
וְהַ֨נְּבִאִ֔ים,H5030,"wə·han·nə·ḇi·’îm,",and the prophets,"Conj‑w, Art | N‑mp",H5030,Zechariah,1,62,13
הַלְעוֹלָ֖ם,H5769,hal·‘ō·w·lām,forever,"Art, Prep‑l | N‑ms",H5769,Zechariah,1,63,13
יִֽחְיֽוּ׃,H2421,yiḥ·yū.,do they live,V‑Qal‑Imperf‑3mp,H2421,Zechariah,1,64,13
דְּבָרַ֣י,H1697,də·ḇā·ray,My words,N‑mpc | 1cs,H1697,Zechariah,1,65,13
וְחֻקַּ֗י,H2706,"wə·ḥuq·qay,",and My statutes,Conj‑w | N‑mpc | 1cs,H2706,Zechariah,1,66,13
אֲשֶׁ֤ר,H834,’ă·šer,which,Pro‑r,H834,Zechariah,1,67,13
צִוִּ֙יתִי֙,H6680,ṣiw·wî·ṯî,I commanded,V‑Piel‑Perf‑1cs,H6680,Zechariah,1,68,13
אֶת־,H853,’eṯ-,-,DirObjM,H853,Zechariah,1,69,13
עֲבָדַ֣י,H5650,‘ă·ḇā·ḏay,My servants,N‑mpc | 1cs,H5650,Zechariah,1,70,13
הַנְּבִיאִ֔ים,H5030,"han·nə·ḇî·’îm,",the prophets,Art | N‑mp,H5030,Zechariah,1,71,13
הֲל֥וֹא,H3808,hă·lō·w,did not,Adv‑NegPrt,H3808,Zechariah,1,72,13
הִשִּׂ֖יגוּ,H5381,hiś·śî·ḡū,they overtake,V‑Hifil‑Perf‑3cp,H5381,Zechariah,1,73,13
אֲבֹתֵיכֶ֑ם,H1,’ă·ḇō·ṯê·ḵem;,your fathers,N‑mpc | 2mp,H1,Zechariah,1,74,13
וַיָּשׁ֣וּבוּ,H7725,way·yā·šū·ḇū,so they returned,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H7725,Zechariah,1,75,13
וַיֹּאמְר֗וּ,H559,"way·yō·mə·rū,",and said,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H559,Zechariah,1,76,13
כַּאֲשֶׁ֨ר,H834,ka·’ă·šer,just as,Prep‑k | Pro‑r,H834,Zechariah,1,77,13
זָמַ֜ם,H2161,zā·mam,determined,V‑Qal‑Perf‑3ms,H2161,Zechariah,1,78,13
יְהוָ֤ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Zechariah,1,79,13
צְבָאוֹת֙,H6635,ṣə·ḇā·’ō·wṯ,of hosts,N‑cp,H6635,Zechariah,1,80,13
לַעֲשׂ֣וֹת,H6213,la·‘ă·śō·wṯ,to do,Prep‑l | V‑Qal‑Inf,H6213,Zechariah,1,81,13
כִּדְרָכֵ֙ינוּ֙,H1870,kiḏ·rā·ḵê·nū,According to our ways,Prep‑k | N‑cpc | 1cp,H1870,Zechariah,1,82,13
וּכְמַ֣עֲלָלֵ֔ינוּ,H4611,"ū·ḵə·ma·‘ă·lā·lê·nū,",and according to our deeds,"Conj‑w, Prep‑k | N‑mpc | 1cp",H4611,Zechariah,1,83,13
כֵּ֖ן,H3651,kên,so,Adv,H3651,Zechariah,1,84,13
עָשָׂ֥ה,H6213,‘ā·śāh,He has dealt,V‑Qal‑Perf‑3ms,H6213,Zechariah,1,85,13
אִתָּֽנוּ׃,H854,’it·tā·nū.,with us,Prep | 1cp,H854,Zechariah,1,86,13
עֶשְׂרִ֨ים,H6242,‘eś·rîm,twenty,Number‑cp,H6242,Zechariah,1,87,13
וְאַרְבָּעָ֜ה,H702,wə·’ar·bā·‘āh,and the four,Conj‑w | Number‑ms,H702,Zechariah,1,88,13
לְעַשְׁתֵּֽי־,H6249,lə·‘aš·tê-,of one,Prep‑l | Number‑csc,H6249,Zechariah,1,89,13
עָשָׂ֥ר,H6240,‘ā·śār,[and] ten,Number‑msc,H6240,Zechariah,1,90,13
חֹ֙דֶשׁ֙,H2320,ḥō·ḏeš,the month,N‑ms,H2320,Zechariah,1,91,13
הוּא־,H1931,hū-,that [is],Pro‑3ms,H1931,Zechariah,1,92,13
חֹ֣דֶשׁ,H2320,ḥō·ḏeš,the month,N‑msc,H2320,Zechariah,1,93,13
שְׁבָ֔ט,H7627,"šə·ḇāṭ,",Shebat,N‑proper‑fs,H7627,Zechariah,1,94,13
בִּשְׁנַ֥ת,H8141,biš·naṯ,in the year,Prep‑b | N‑fsc,H8141,Zechariah,1,95,13
שְׁתַּ֖יִם,H8147,šə·ta·yim,second,Number‑fd,H8147,Zechariah,1,96,13
לְדָרְיָ֑וֶשׁ,H1867,lə·ḏā·rə·yā·weš;,of Darius,Prep‑l | N‑proper‑ms,H1867,Zechariah,1,97,13
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Zechariah,1,98,13
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Zechariah,1,99,13
יְהוָ֗ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Zechariah,1,100,13
אֶל־,H413,’el-,to,Prep,H413,Zechariah,1,101,13
זְכַרְיָה֙,H2148,zə·ḵar·yāh,Zechariah,N‑proper‑ms,H2148,Zechariah,1,102,13
בֶּן־,H1121,ben-,son,N‑msc,H1121,Zechariah,1,103,13
בֶּ֣רֶכְיָ֔הוּ,H1296,"be·reḵ·yā·hū,",of Berechiah,N‑proper‑ms,H1296,Zechariah,1,104,13
בֶּן־,H1121,ben-,the son,N‑msc,H1121,Zechariah,1,105,13
עִדּ֥וֹא,H5714,‘id·dō·w,of Iddo,N‑proper‑ms,H5714,Zechariah,1,106,13
הַנָּבִ֖יא,H5030,han·nā·ḇî,the prophet,Art | N‑ms,H5030,Zechariah,1,107,13
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Zechariah,1,108,13
הַלַּ֗יְלָה,H3915,"hal·lay·lāh,",by night,Art | N‑ms,H3915,Zechariah,1,109,13
וְהִנֵּה־,H2009,wə·hin·nêh-,and behold,Conj‑w | Interjection,H2009,Zechariah,1,110,13
אִישׁ֙,H376,’îš,a man,N‑ms,H376,Zechariah,1,111,13
רֹכֵב֙,H7392,rō·ḵêḇ,riding,V‑Qal‑Prtcpl‑ms,H7392,Zechariah,1,112,13
עַל־,H5921,‘al-,on,Prep,H5921,Zechariah,1,113,13
ס֣וּס,H5483,sūs,a horse,N‑ms,H5483,Zechariah,1,114,13
אָדֹ֔ם,H122,"’ā·ḏōm,",red,Adj‑ms,H122,Zechariah,1,115,13
וְה֣וּא,H1931,wə·hū,and it,Conj‑w | Pro‑3ms,H1931,Zechariah,1,116,13
עֹמֵ֔ד,H5975,"‘ō·mêḏ,",stood,V‑Qal‑Prtcpl‑ms,H5975,Zechariah,1,117,13
בֵּ֥ין,H996,bên,among,Prep,H996,Zechariah,1,118,13
הַהֲדַסִּ֖ים,H1918,ha·hă·ḏas·sîm,the myrtle trees,Art | N‑mp,H1918,Zechariah,1,119,13
