hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשְּׁמִינִ֔י,H8066,"haš·šə·mî·nî,",the eighth,Art | Number‑oms,H8066,Zechariah,1,1,13
בֶּ֣רֶכְיָ֔ה,H1296,"be·reḵ·yāh,",of Berechiah,N‑proper‑ms,H1296,Zechariah,1,11,13
עִדּ֥וֹ,H5714,‘id·dōw,of Iddo,N‑proper‑ms,H5714,Zechariah,1,13,13
זָמַ֜ם,H2161,zā·mam,determined,V‑Qal‑Perf‑3ms,H2161,Zechariah,1,78,13
לְעַשְׁתֵּֽי־,H6249,lə·‘aš·tê-,of one,Prep‑l | Number‑csc,H6249,Zechariah,1,89,13
שְׁבָ֔ט,H7627,"šə·ḇāṭ,",Shebat,N‑proper‑fs,H7627,Zechariah,1,94,13
בַּמְּצֻלָ֑ה,H4699,bam·mə·ṣu·lāh;,in the hollow,"Prep‑b, Art | N‑fs",H4699,Zechariah,1,121,13
שְׂרֻקִּ֖ים,H8320,śə·ruq·qîm,sorrel,Adj‑mp,H8320,Zechariah,1,125,13
וּלְבָנִֽים׃,H3836,ū·lə·ḇā·nîm.,and white,Conj‑w | Adj‑mp,H3836,Zechariah,1,126,13
(וְקָ֥ו),H6961,wə·qāw,and a [surveyor's] line,Conj‑w | N‑ms,H6961,Zechariah,1,230,13
אָרְכָּֽהּ׃,H753,’ā·rə·kāh.,its length,N‑msc | 3fs,H753,Zechariah,2,327,13
הַלָּ֖ז,H1975,hal·lāz,this,Pro‑ms,H1975,Zechariah,2,340,13
פְּרָזוֹת֙,H6519,pə·rā·zō·wṯ,[as] unwalled towns,N‑fp,H6519,Zechariah,2,342,13
בְּבָבַ֥ת,H892,bə·ḇā·ḇaṯ,the apple,Prep‑b | N‑fsc,H892,Zechariah,2,391,13
וְהַשָּׂטָ֛ן,H7854,wə·haś·śā·ṭān,and Satan,"Conj‑w, Art | N‑ms",H7854,Zechariah,3,458,13
לְשִׂטְנֽוֹ׃,H7853,lə·śiṭ·nōw.,to oppose him,Prep‑l | V‑Qal‑Inf | 3ms,H7853,Zechariah,3,462,13
צוֹאִ֑ים,H6674,ṣō·w·’îm;,filthy,Adj‑mp,H6674,Zechariah,3,481,13
מַחֲלָצֽוֹת׃,H4254,ma·ḥă·lā·ṣō·wṯ.,with rich robes,N‑fp,H4254,Zechariah,3,502,13
מַהְלְכִ֔ים,H4108,"mah·lə·ḵîm,",places to walk,N‑mp,H4108,Zechariah,3,542,13
