hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יָשְׁבָ֣ה,H3427,yā·šə·ḇāh,sits,V‑Qal‑Perf‑3fs,H3427,Lamentations,1,1,14
בָדָ֗ד,H910,"ḇā·ḏāḏ,",lonely,N‑ms,H910,Lamentations,1,2,14
הָעִיר֙,H5892,hā·‘îr,the city,Art | N‑fs,H5892,Lamentations,1,3,14
רַבָּ֣תִי,H7227,rab·bā·ṯî,[once] full,Adj‑fsc,H7227,Lamentations,1,4,14
עָ֔ם,H5971,"‘ām,",of people,N‑ms,H5971,Lamentations,1,5,14
הָיְתָ֖ה,H1961,hā·yə·ṯāh,she has become,V‑Qal‑Perf‑3fs,H1961,Lamentations,1,6,14
כְּאַלְמָנָ֑ה,H490,kə·’al·mā·nāh;,like a widow,Prep‑k | N‑fs,H490,Lamentations,1,7,14
רַּבָּ֣תִי‪‬‪‬,H7227,rab·bā·ṯî,[once] great,Adj‑fsc,H7227,Lamentations,1,8,14
בַגּוֹיִ֗ם,H1471,"ḇag·gō·w·yim,",among the nations,"Prep‑b, Art | N‑mp",H1471,Lamentations,1,9,14
שָׂרָ֙תִי֙,H8282,śā·rā·ṯî,the princess,N‑fsc,H8282,Lamentations,1,10,14
בַּמְּדִינ֔וֹת,H4082,"bam·mə·ḏî·nō·wṯ,",among the provinces,"Prep‑b, Art | N‑fp",H4082,Lamentations,1,11,14
הָיְתָ֖ה,H1961,hā·yə·ṯāh,she has become,V‑Qal‑Perf‑3fs,H1961,Lamentations,1,12,14
לָמַֽס׃,H4522,lā·mas.,a slave,Prep‑l | N‑ms,H4522,Lamentations,1,13,14
תִבְכֶּ֜ה,H1058,ṯiḇ·keh,she weeps,V‑Qal‑Imperf‑3fs,H1058,Lamentations,1,14,14
בַּלַּ֗יְלָה,H3915,"bal·lay·lāh,",in the night,"Prep‑b, Art | N‑ms",H3915,Lamentations,1,15,14
וְדִמְעָתָהּ֙,H1832,wə·ḏim·‘ā·ṯāh,and Her tears [are],Conj‑w | N‑fsc | 3fs,H1832,Lamentations,1,16,14
עַ֣ל,H5921,‘al,on,Prep,H5921,Lamentations,1,17,14
לֶֽחֱיָ֔הּ,H3895,"le·ḥĕ·yāh,",her cheeks,N‑fsc | 3fs,H3895,Lamentations,1,18,14
אֵֽין־,H369,’ên-,she has none,Adv,H369,Lamentations,1,19,14
מְנַחֵ֖ם,H5162,mə·na·ḥêm,comfort [her],V‑Piel‑Prtcpl‑ms,H5162,Lamentations,1,20,14
מִכָּל־,H3605,mik·kāl,Among all,Prep‑m | N‑msc,H3605,Lamentations,1,21,14
אֹהֲבֶ֑יהָ,H157,’ō·hă·ḇe·hā;,her lovers,V‑Qal‑Prtcpl‑mpc | 3fs,H157,Lamentations,1,22,14
כָּל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,23,14
רֵעֶ֙יהָ֙,H7453,rê·‘e·hā,her friends,N‑mpc | 3fs,H7453,Lamentations,1,24,14
בָּ֣גְדוּ,H898,bā·ḡə·ḏū,have dealt treacherously,V‑Qal‑Perf‑3cp,H898,Lamentations,1,25,14
הָ֥יוּ,H1961,hā·yū,they have become,V‑Qal‑Perf‑3cp,H1961,Lamentations,1,26,14
לְאֹיְבִֽים׃,H341,lə·’ō·yə·ḇîm.,enemies,Prep‑l | V‑Qal‑Prtcpl‑mp,H341,Lamentations,1,27,14
יְהוּדָ֤ה,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Lamentations,1,28,14
מֵעֹ֙נִי֙,H6040,mê·‘ō·nî,Under affliction,Prep‑m | N‑ms,H6040,Lamentations,1,29,14
וּמֵרֹ֣ב,H7230,ū·mê·rōḇ,and hard,"Conj‑w, Prep‑m | N‑msc",H7230,Lamentations,1,30,14
עֲבֹדָ֔ה,H5656,"‘ă·ḇō·ḏāh,",servitude,N‑fs,H5656,Lamentations,1,31,14
הִ֚יא,H1931,hî,she,Pro‑3fs,H1931,Lamentations,1,32,14
יָשְׁבָ֣ה,H3427,yā·šə·ḇāh,dwells,V‑Qal‑Perf‑3fs,H3427,Lamentations,1,33,14
בַגּוֹיִ֔ם,H1471,"ḇag·gō·w·yim,",among the nations,"Prep‑b, Art | N‑mp",H1471,Lamentations,1,34,14
לֹ֥א,H3808,lō,no,Adv‑NegPrt,H3808,Lamentations,1,35,14
מָצְאָ֖ה,H4672,mā·ṣə·’āh,she finds,V‑Qal‑Perf‑3fs,H4672,Lamentations,1,36,14
מָנ֑וֹחַ,H4494,mā·nō·w·aḥ;,rest,N‑ms,H4494,Lamentations,1,37,14
כָּל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,38,14
רֹדְפֶ֥יהָ,H7291,rō·ḏə·p̄e·hā,her persecutors,V‑Qal‑Prtcpl‑mpc | 3fs,H7291,Lamentations,1,39,14
הִשִּׂיג֖וּהָ,H5381,hiś·śî·ḡū·hā,overtake her,V‑Hifil‑Perf‑3cp | 3fs,H5381,Lamentations,1,40,14
בֵּ֥ין,H996,bên,in,Prep,H996,Lamentations,1,41,14
הַמְּצָרִֽים׃,H4712,ham·mə·ṣā·rîm.,dire straits,Art | N‑mp,H4712,Lamentations,1,42,14
צִיּ֜וֹן,H6726,ṣî·yō·wn,Zion,N‑proper‑fs,H6726,Lamentations,1,43,14
אֲבֵל֗וֹת,H57,"’ă·ḇê·lō·wṯ,",[are] mourning,Adj‑fp,H57,Lamentations,1,44,14
מִבְּלִי֙,H1097,mib·bə·lî,because no one,Prep‑m | Adv,H1097,Lamentations,1,45,14
בָּאֵ֣י,H935,bā·’ê,comes to,V‑Qal‑Prtcpl‑mpc,H935,Lamentations,1,46,14
מוֹעֵ֔ד,H4150,"mō·w·‘êḏ,",the set feasts,N‑ms,H4150,Lamentations,1,47,14
כָּל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,48,14
שְׁעָרֶ֙יהָ֙,H8179,šə·‘ā·re·hā,her gates,N‑mpc | 3fs,H8179,Lamentations,1,49,14
שֽׁוֹמֵמִ֔ין,H8074,"šō·w·mê·mîn,",are desolate,V‑Qal‑Prtcpl‑mp,H8074,Lamentations,1,50,14
כֹּהֲנֶ֖יהָ,H3548,kō·hă·ne·hā,Her priests,N‑mpc | 3fs,H3548,Lamentations,1,51,14
נֶאֱנָחִ֑ים,H584,ne·’ĕ·nā·ḥîm;,sigh,V‑Nifal‑Prtcpl‑mp,H584,Lamentations,1,52,14
בְּתוּלֹתֶ֥יהָ,H1330,bə·ṯū·lō·ṯe·hā,Her virgins,N‑fpc | 3fs,H1330,Lamentations,1,53,14
נּוּג֖וֹת‪‬,H3013,nū·ḡō·wṯ,are afflicted,V‑Nifal‑Prtcpl‑fp,H3013,Lamentations,1,54,14
וְהִ֥יא,H1931,wə·hî,and she [is],Conj‑w | Pro‑3fs,H1931,Lamentations,1,55,14
מַר־,H4751,mar-,in bitterness,V‑Qal‑Perf‑3ms,H4751,Lamentations,1,56,14
צָרֶ֤יהָ,H6862,ṣā·re·hā,Her adversaries,N‑mpc | 3fs,H6862,Lamentations,1,57,14
לְרֹאשׁ֙,H7218,lə·rōš,the master,Prep‑l | N‑ms,H7218,Lamentations,1,58,14
אֹיְבֶ֣יהָ,H341,’ō·yə·ḇe·hā,Her enemies,V‑Qal‑Prtcpl‑mpc | 3fs,H341,Lamentations,1,59,14
שָׁל֔וּ,H7951,"šā·lū,",prosper,V‑Qal‑Perf‑3cp,H7951,Lamentations,1,60,14
כִּֽי־,H3588,kî-,for,Conj,H3588,Lamentations,1,61,14
יְהוָ֥ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Lamentations,1,62,14
הוֹגָ֖הּ,H3013,hō·w·ḡāh,has afflicted her,V‑Hifil‑Perf‑3ms | 3fs,H3013,Lamentations,1,63,14
עַ֣ל,H5921,‘al,because,Prep,H5921,Lamentations,1,64,14
רֹב־,H7230,rōḇ-,of the multitude,N‑msc,H7230,Lamentations,1,65,14
פְּשָׁעֶ֑יהָ,H6588,pə·šā·‘e·hā;,of her transgressions,N‑mpc | 3fs,H6588,Lamentations,1,66,14
עוֹלָלֶ֛יהָ,H5768,‘ō·w·lā·le·hā,Her children,N‑mpc | 3fs,H5768,Lamentations,1,67,14
הָלְכ֥וּ,H1980,hā·lə·ḵū,have gone,V‑Qal‑Perf‑3cp,H1980,Lamentations,1,68,14
שְׁבִ֖י,H7628,šə·ḇî,into captivity,N‑ms,H7628,Lamentations,1,69,14
לִפְנֵי־,H6440,lip̄·nê-,before,Prep‑l | N‑mpc,H6440,Lamentations,1,70,14
צָֽר׃,H6862,ṣār.,the enemy,N‑ms,H6862,Lamentations,1,71,14
[מן־],H4480,min-,from,Prep,H4480,Lamentations,1,72,14
(מִבַּת־),H1323,mib·baṯ-,from the daughter,Prep‑m | N‑fsc,H1323,Lamentations,1,73,14
צִיּ֖וֹן,H1323,ṣî·yō·wn,of Zion,N‑proper‑fs,H1323,Lamentations,1,74,14
כָּל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,75,14
הֲדָרָ֑הּ,H1926,hă·ḏā·rāh;,her splendor,N‑msc | 3fs,H1926,Lamentations,1,76,14
הָי֣וּ,H1961,hā·yū,have become,V‑Qal‑Perf‑3cp,H1961,Lamentations,1,77,14
שָׂרֶ֗יהָ,H8269,"śā·re·hā,",Her princes,N‑mpc | 3fs,H8269,Lamentations,1,78,14
כְּאַיָּלִים֙,H354,kə·’ay·yā·lîm,like deer,Prep‑k | N‑mp,H354,Lamentations,1,79,14
לֹא־,H3808,lō-,no,Adv‑NegPrt,H3808,Lamentations,1,80,14
מָצְא֣וּ,H4672,mā·ṣə·’ū,[That] find,V‑Qal‑Perf‑3cp,H4672,Lamentations,1,81,14
מִרְעֶ֔ה,H4829,"mir·‘eh,",pasture,N‑ms,H4829,Lamentations,1,82,14
וַיֵּלְכ֥וּ,H1980,way·yê·lə·ḵū,that flee,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H1980,Lamentations,1,83,14
בְלֹא־,H3808,ḇə·lō-,without,Prep‑b | Adv‑NegPrt,H3808,Lamentations,1,84,14
כֹ֖חַ,H3581,ḵō·aḥ,strength,N‑ms,H3581,Lamentations,1,85,14
לִפְנֵ֥י,H6440,lip̄·nê,Before,Prep‑l | N‑cpc,H6440,Lamentations,1,86,14
רוֹדֵֽף׃,H7291,rō·w·ḏêp̄.,the pursuer,V‑Qal‑Prtcpl‑ms,H7291,Lamentations,1,87,14
יְרוּשָׁלִַ֗ם,H3389,"yə·rū·šā·lim,",Jerusalem,N‑proper‑fs,H3389,Lamentations,1,88,14
יְמֵ֤י,H3117,yə·mê,in the days,N‑mpc,H3117,Lamentations,1,89,14
עָנְיָהּ֙,H6040,‘ā·nə·yāh,of her affliction,N‑msc | 3fs,H6040,Lamentations,1,90,14
וּמְרוּדֶ֔יהָ,H4788,"ū·mə·rū·ḏe·hā,",and roaming,Conj‑w | N‑mpc | 3fs,H4788,Lamentations,1,91,14
כֹּ֚ל,H3605,kōl,all,N‑msc,H3605,Lamentations,1,92,14
מַחֲמֻדֶ֔יהָ,H4262,"ma·ḥă·mu·ḏe·hā,",her pleasant things,N‑mpc | 3fs,H4262,Lamentations,1,93,14
אֲשֶׁ֥ר,H834,’ă·šer,that,Pro‑r,H834,Lamentations,1,94,14
הָי֖וּ,H1961,hā·yū,she had,V‑Qal‑Perf‑3cp,H1961,Lamentations,1,95,14
מִ֣ימֵי,H3117,mî·mê,in the days,Prep‑m | N‑mpc,H3117,Lamentations,1,96,14
קֶ֑דֶם,H6924,qe·ḏem;,of old,N‑ms,H6924,Lamentations,1,97,14
בִּנְפֹ֧ל,H5307,bin·p̄ōl,when fell,Prep‑b | V‑Qal‑Inf,H5307,Lamentations,1,98,14
עַמָּ֣הּ,H5971,‘am·māh,her people,N‑msc | 3fs,H5971,Lamentations,1,99,14
בְּיַד־,H3027,bə·yaḏ-,into the hand,Prep‑b | N‑fsc,H3027,Lamentations,1,100,14
צָ֗ר,H6862,"ṣār,",of the enemy,N‑ms,H6862,Lamentations,1,101,14
וְאֵ֤ין,H369,wə·’ên,and with no one,Conj‑w | Adv,H369,Lamentations,1,102,14
עוֹזֵר֙,H5826,‘ō·w·zêr,to help,V‑Qal‑Prtcpl‑ms,H5826,Lamentations,1,103,14
רָא֣וּהָ,H7200,rā·’ū·hā,saw her,V‑Qal‑Perf‑3cp | 3fs,H7200,Lamentations,1,104,14
צָרִ֔ים,H6862,"ṣā·rîm,",the adversaries,N‑mp,H6862,Lamentations,1,105,14
שָׂחֲק֖וּ,H7832,śā·ḥă·qū,[And] mocked,V‑Qal‑Perf‑3cp,H7832,Lamentations,1,106,14
עַ֥ל,H5921,‘al,at,Prep,H5921,Lamentations,1,107,14
מִשְׁבַּתֶּֽהָ׃,H4868,miš·bat·te·hā.,her downfall,N‑fpc | 2ms,H4868,Lamentations,1,108,14
חָֽטְאָה֙,H2398,ḥā·ṭə·’āh,has sinned,V‑Qal‑Perf‑3fs,H2398,Lamentations,1,109,14
יְר֣וּשָׁלִַ֔ם,H3389,"yə·rū·šā·lim,",Jerusalem,N‑proper‑fs,H3389,Lamentations,1,110,14
עַל־,H5921,‘al-,upon,Prep,H5921,Lamentations,1,111,14
כֵּ֖ן,H3651,kên,thus,Adv,H3651,Lamentations,1,112,14
לְנִידָ֣ה,H5206,lə·nî·ḏāh,vile,Prep‑l | N‑fs,H5206,Lamentations,1,113,14
הָיָ֑תָה,H1961,hā·yā·ṯāh;,she has become,V‑Qal‑Perf‑3fs,H1961,Lamentations,1,114,14
כָּֽל־,H3605,kāl-,all,N‑msc,H3605,Lamentations,1,115,14
מְכַבְּדֶ֤יהָ,H3513,mə·ḵab·bə·ḏe·hā,who honored her,V‑Piel‑Prtcpl‑mpc | 3fs,H3513,Lamentations,1,116,14
הִזִּיל֙וּהָ֙,H2107,hiz·zî·lū·hā,despise her,V‑Hifil‑Perf‑3cp | 3fs,H2107,Lamentations,1,117,14
כִּי־,H3588,kî-,because,Conj,H3588,Lamentations,1,118,14
רָא֣וּ,H7200,rā·’ū,they have seen,V‑Qal‑Perf‑3cp,H7200,Lamentations,1,119,14
עֶרְוָתָ֔הּ,H6172,"‘er·wā·ṯāh,",her nakedness,N‑fsc | 3fs,H6172,Lamentations,1,120,14
גַּם־,H1571,gam-,Yes,Conj,H1571,Lamentations,1,121,14
הִ֥יא,H1931,hî,she,Pro‑3fs,H1931,Lamentations,1,122,14
נֶאֶנְחָ֖ה,H584,ne·’en·ḥāh,sighs,V‑Nifal‑Perf‑3fs,H584,Lamentations,1,123,14
וַתָּ֥שָׁב,H7725,wat·tā·šāḇ,and turns,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H7725,Lamentations,1,124,14
אָחֽוֹר׃,H268,’ā·ḥō·wr.,away,N‑ms,H268,Lamentations,1,125,14
בְּשׁוּלֶ֗יהָ,H7757,"bə·šū·le·hā,",in her skirts,Prep‑b | N‑mpc | 3fs,H7757,Lamentations,1,126,14
לֹ֤א,H3808,lō,not,Adv‑NegPrt,H3808,Lamentations,1,127,14
זָֽכְרָה֙,H2142,zā·ḵə·rāh,she did consider,V‑Qal‑Perf‑3fs,H2142,Lamentations,1,128,14
אַחֲרִיתָ֔הּ,H319,"’a·ḥă·rî·ṯāh,",her destiny,N‑fsc | 3fs,H319,Lamentations,1,129,14
