hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֱ‍ֽלִימֶ֡לֶךְ,H458,’ĕlî·me·leḵ,[was] Elimelech,N‑proper‑ms,H458,Ruth,1,19,15
נָעֳמִ֜י,H5281,nā·‘o·mî,[was] Naomi,N‑proper‑fs,H5281,Ruth,1,22,15
מַחְל֤וֹן,H4248,maḥ·lō·wn,[were] Mahlon,N‑proper‑ms,H4248,Ruth,1,26,15
וְכִלְיוֹן֙,H3630,wə·ḵil·yō·wn,and Chilion,Conj‑w | N‑proper‑ms,H3630,Ruth,1,27,15
אֶפְרָתִ֔ים,H673,"’ep̄·rā·ṯîm,",Ephrathites,N‑proper‑mp,H673,Ruth,1,28,15
מֹֽאֲבִיּ֔וֹת,H4125,"mō·’ă·ḇî·yō·wṯ,",of the Moabitesses,N‑proper‑fp,H4125,Ruth,1,44,15
עָרְפָּ֔ה,H6204,"‘ā·rə·pāh,",[was] Orpah,N‑proper‑fs,H6204,Ruth,1,47,15
ר֑וּת,H7327,rūṯ;,Ruth,N‑proper‑fs,H7327,Ruth,1,50,15
זָקַ֖נְתִּי,H2204,zā·qan·tî,I am too old,V‑Qal‑Perf‑1cs,H2204,Ruth,1,139,15
הֲלָהֵן֙,H3860,hă·lā·hên,would,Conj,H3860,Ruth,1,157,15
תֵּֽעָגֵ֔נָה,H5702,"tê·‘ā·ḡê·nāh,",you restrain yourselves,V‑Nifal‑Imperf‑2fp,H5702,Ruth,1,158,15
דָּ֥בְקָה,H1692,dā·ḇə·qāh,clung,V‑Qal‑Perf‑3fs,H1692,Ruth,1,179,15
יְבִמְתֵּ֔ךְ,H2994,"yə·ḇim·têḵ,",your sister-in-law,N‑fsc | 2fs,H2994,Ruth,1,182,15
מָרָ֔א,H4755,"mā·rā,",Mara,Adj‑fs,H4755,Ruth,1,249,15
בֹּֽעַז׃,H1162,bō·‘az.,[was] Boaz,N‑proper‑ms,H1162,Ruth,2,288,15
מִקְרֶ֔הָ,H4745,"miq·re·hā,",to come,N‑fsc | 3fs,H4745,Ruth,2,312,15
בָֽעֳמָרִ֔ים,H6016,"ḇā·‘o·mā·rîm,",among the sheaves,Prep‑b | N‑mp,H6016,Ruth,2,353,15
מֽוֹלַדְתֵּ֔ךְ,H4138,"mō·w·laḏ·têḵ,",of your birth,N‑fsc | 2fs,H4138,Ruth,2,433,15
תְּמ֥וֹל,H8543,tə·mō·wl,heretofore,Adv,H8543,Ruth,2,440,15
שִׁלְשֽׁוֹם׃,H8032,šil·šō·wm.,before,Adv,H8032,Ruth,2,441,15
מַשְׂכֻּרְתֵּ֜ךְ,H4909,maś·kur·têḵ,a reward you,N‑fsc | 2fs,H4909,Ruth,2,445,15
הֲלֹם֙,H1988,hă·lōm,here,Adv,H1988,Ruth,2,476,15
וְטָבַ֥לְתְּ,H2881,wə·ṭā·ḇalt,and dip,Conj‑w | V‑Qal‑ConjPerf‑2fs,H2881,Ruth,2,480,15
פִּתֵּ֖ךְ,H6595,pit·têḵ,your piece of bread,N‑fsc | 2fs,H6595,Ruth,2,481,15
בַּחֹ֑מֶץ,H2558,ba·ḥō·meṣ;,in the vinegar,"Prep‑b, Art | N‑ms",H2558,Ruth,2,482,15
וַיִּצְבָּט־,H6642,way·yiṣ·bāṭ-,and he passed,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6642,Ruth,2,486,15
קָלִ֔י,H7039,"qā·lî,",parched [grain],N‑ms,H7039,Ruth,2,487,15
הַצְּבָתִ֑ים,H6653,haṣ·ṣə·ḇā·ṯîm;,the bundles,Art | N‑mp,H6653,Ruth,2,506,15
מִשָּׂבְעָֽהּ׃,H7648,miś·śā·ḇə·‘āh.,after she had been satisfied,Prep‑m | N‑msc | 3fs,H7648,Ruth,2,533,15
מֹֽדַעְתָּ֔נוּ,H4130,"mō·ḏa‘·tā·nū,",our relative,N‑fsc | 1cp,H4130,Ruth,3,629,15
מַרְגְּלֹתָ֖יו,H4772,mar·gə·lō·ṯāw,his feet,N‑fpc | 3ms,H4772,Ruth,3,663,15
בַלָּ֔ט,H3909,"ḇal·lāṭ,",softly,"Prep‑b, Art | N‑ms",H3909,Ruth,3,691,15
וַיִּלָּפֵ֑ת,H3943,way·yil·lā·p̄êṯ;,and turned himself,Conj‑w | V‑Nifal‑ConsecImperf‑3ms,H3943,Ruth,3,699,15
אָמְנָ֔ם,H551,"’ā·mə·nām,",it is true,Conj,H551,Ruth,3,751,15
(בְּטֶ֛רֶם),H2958,bə·ṭe·rem,before,Prep‑b | Adv,H2958,Ruth,3,783,15
פְּלֹנִ֣י,H6423,pə·lō·nî,Such [and],Adj‑msc,H6423,Ruth,4,863,15
אַלְמֹנִ֑י,H492,’al·mō·nî;,such,Adj‑ms,H492,Ruth,4,864,15
לִ֔י,H,,-,,H,Ruth,4,934,15
גְּאֻלָּתִ֔י,H1353,"gə·’ul·lā·ṯî,",my right of redemption,N‑fsc | 1cs,H1353,Ruth,4,942,15
הַתְּמוּרָה֙,H8545,hat·tə·mū·rāh,exchanging,Art | N‑fs,H8545,Ruth,4,952,15
שָׁלַ֥ף,H8025,šā·lap̄,took off,V‑Qal‑Perf‑3ms,H8025,Ruth,4,956,15
כְּרָחֵ֤ל ׀,H7354,kə·rā·ḥêl,like Rachel,Prep‑k | N‑proper‑fs,H7354,Ruth,4,1025,15
וּכְלֵאָה֙,H3812,ū·ḵə·lê·’āh,and Leah,"Conj‑w, Prep‑k | N‑proper‑fs",H3812,Ruth,4,1026,15
פֶּ֔רֶץ,H6557,"pe·reṣ,",of Perez,N‑proper‑fs,H6557,Ruth,4,1041,15
תָמָ֖ר,H8559,ṯā·mār,Tamar,N‑proper‑fs,H8559,Ruth,4,1044,15
עוֹבֵ֔ד,H5744,"‘ō·w·ḇêḏ,",Obed,N‑proper‑ms,H5744,Ruth,4,1109,15
תּוֹלְד֣וֹת,H8435,tō·wl·ḏō·wṯ,the generations,N‑fpc,H8435,Ruth,4,1115,15
חֶצְרֽוֹן׃,H2696,ḥeṣ·rō·wn.,Hezron,N‑proper‑ms,H2696,Ruth,4,1120,15
רָ֔ם,H7410,"rām,",Ram,N‑proper‑ms,H7410,Ruth,4,1123,15
עַמִּֽינָדָֽב׃,H5992,‘am·mî·nā·ḏāḇ.,Amminadab,N‑proper‑ms,H5992,Ruth,4,1127,15
נַחְשׁ֔וֹן,H5177,"naḥ·šō·wn,",Nahshon,N‑proper‑ms,H5177,Ruth,4,1130,15
שַׂלְמָֽה׃,H8009,śal·māh.,Salmon,N‑proper‑ms,H8009,Ruth,4,1134,15
