hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּימֵי֙,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Ruth,1,1,15
שְׁפֹ֣ט,H8199,šə·p̄ōṭ,when ruled,V‑Qal‑Inf,H8199,Ruth,1,2,15
וַיְהִ֥י,H1961,way·hî,that there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Ruth,1,4,15
רָעָ֖ב,H7458,rā·‘āḇ,a famine,N‑ms,H7458,Ruth,1,5,15
בָּאָ֑רֶץ,H776,bā·’ā·reṣ;,in the land,"Prep‑b, Art | N‑fs",H776,Ruth,1,6,15
וַיֵּ֨לֶךְ,H1980,way·yê·leḵ,And went,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1980,Ruth,1,7,15
אִ֜ישׁ,H376,’îš,a certain man,N‑ms,H376,Ruth,1,8,15
לֶ֣חֶם,H1035,le·ḥem,Bethlehem,Prep | N‑proper‑fs,H1035,Ruth,1,9,15
יְהוּדָ֗ה,H3063,"yə·hū·ḏāh,",Judah,N‑proper‑ms,H3063,Ruth,1,10,15
לָגוּר֙,H1481,lā·ḡūr,to dwell,Prep‑l | V‑Qal‑Inf,H1481,Ruth,1,11,15
בִּשְׂדֵ֣י,H7704,biś·ḏê,in the country,Prep‑b | N‑mpc,H7704,Ruth,1,12,15
מוֹאָ֔ב,H4124,"mō·w·’āḇ,",of Moab,N‑proper‑fs,H4124,Ruth,1,13,15
ה֥וּא,H1931,hū,he,Pro‑3ms,H1931,Ruth,1,14,15
וְאִשְׁתּ֖וֹ,H802,wə·’iš·tōw,and his wife,Conj‑w | N‑fsc | 3ms,H802,Ruth,1,15,15
וּשְׁנֵ֥י,H8147,ū·šə·nê,and two,Conj‑w | Number‑mdc,H8147,Ruth,1,16,15
בָנָֽיו׃,H1121,ḇā·nāw.,his sons,N‑mpc | 3ms,H1121,Ruth,1,17,15
אֱ‍ֽלִימֶ֡לֶךְ,H458,’ĕlî·me·leḵ,[was] Elimelech,N‑proper‑ms,H458,Ruth,1,19,15
וְשֵׁם֩,H8034,wə·šêm,and the name,Conj‑w | N‑msc,H8034,Ruth,1,20,15
נָעֳמִ֜י,H5281,nā·‘o·mî,[was] Naomi,N‑proper‑fs,H5281,Ruth,1,22,15
מַחְל֤וֹן,H4248,maḥ·lō·wn,[were] Mahlon,N‑proper‑ms,H4248,Ruth,1,26,15
וְכִלְיוֹן֙,H3630,wə·ḵil·yō·wn,and Chilion,Conj‑w | N‑proper‑ms,H3630,Ruth,1,27,15
אֶפְרָתִ֔ים,H673,"’ep̄·rā·ṯîm,",Ephrathites,N‑proper‑mp,H673,Ruth,1,28,15
וַיָּבֹ֥אוּ,H935,way·yā·ḇō·’ū,and they went,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H935,Ruth,1,31,15
שָֽׁם׃,H8033,šām.,there,Adv,H8033,Ruth,1,35,15
וַתִּשָּׁאֵ֥ר,H7604,wat·tiš·šā·’êr,and was left,Conj‑w | V‑Nifal‑ConsecImperf‑3fs,H7604,Ruth,1,39,15
מֹֽאֲבִיּ֔וֹת,H4125,"mō·’ă·ḇî·yō·wṯ,",of the Moabitesses,N‑proper‑fp,H4125,Ruth,1,44,15
הָֽאַחַת֙,H259,hā·’a·ḥaṯ,of the one,Art | Number‑fs,H259,Ruth,1,46,15
עָרְפָּ֔ה,H6204,"‘ā·rə·pāh,",[was] Orpah,N‑proper‑fs,H6204,Ruth,1,47,15
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,Ruth,1,49,15
ר֑וּת,H7327,rūṯ;,Ruth,N‑proper‑fs,H7327,Ruth,1,50,15
וַיֵּ֥שְׁבוּ,H3427,way·yê·šə·ḇū,And they dwelt,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H3427,Ruth,1,51,15
כְּעֶ֥שֶׂר,H6235,kə·‘e·śer,about ten,Prep‑k | Number‑fsc,H6235,Ruth,1,53,15
