hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שְׁלֹמֹ֣ה,H8010,šə·lō·mōh,of Solomon,N‑proper‑ms,H8010,Proverbs,1,1,17
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Proverbs,1,2,17
דָּוִ֑ד,H1732,dā·wiḏ;,of David,N‑proper‑ms,H1732,Proverbs,1,3,17
מֶ֝֗לֶךְ,H4428,"me·leḵ,",king,N‑msc,H4428,Proverbs,1,4,17
יִשְׂרָאֵֽל׃,H3478,yiś·rā·’êl.,of Israel,N‑proper‑ms,H3478,Proverbs,1,5,17
חָכְמָ֣ה,H2451,ḥāḵ·māh,wisdom,N‑fs,H2451,Proverbs,1,6,17
וּמוּסָ֑ר,H4148,ū·mū·sār;,and instruction,Conj‑w | N‑ms,H4148,Proverbs,1,7,17
לְ֝הָבִ֗ין,H995,"lə·hā·ḇîn,",to perceive,Prep‑l | V‑Hifil‑Inf,H995,Proverbs,1,8,17
אִמְרֵ֥י,H561,’im·rê,the words,N‑mpc,H561,Proverbs,1,9,17
בִינָֽה׃,H998,ḇî·nāh.,of understanding,N‑fs,H998,Proverbs,1,10,17
מוּסַ֣ר,H4148,mū·sar,the instruction,N‑msc,H4148,Proverbs,1,11,17
הַשְׂכֵּ֑ל,H7919,haś·kêl;,of wisdom,V‑Hifil‑InfAbs,H7919,Proverbs,1,12,17
צֶ֥דֶק,H6664,ṣe·ḏeq,Justice,N‑ms,H6664,Proverbs,1,13,17
וּ֝מִשְׁפָּ֗ט,H4941,"ū·miš·pāṭ,",and judgment,Conj‑w | N‑ms,H4941,Proverbs,1,14,17
וּמֵישָׁרִֽים׃,H4339,ū·mê·šā·rîm.,and equity,Conj‑w | N‑mp,H4339,Proverbs,1,15,17
לִפְתָאיִ֣ם,H6612,lip̄·ṯā·yim,to the simple,Prep‑l | N‑mp,H6612,Proverbs,1,16,17
עָרְמָ֑ה,H6195,‘ā·rə·māh;,prudence,N‑fs,H6195,Proverbs,1,17,17
לְ֝נַ֗עַר,H5288,"lə·na·‘ar,",to the young man,Prep‑l | N‑ms,H5288,Proverbs,1,18,17
דַּ֣עַת,H1847,da·‘aṯ,knowledge,N‑fs,H1847,Proverbs,1,19,17
וּמְזִמָּֽה׃,H4209,ū·mə·zim·māh.,and discretion,Conj‑w | N‑fs,H4209,Proverbs,1,20,17
חָ֭כָם,H2450,ḥā·ḵām,a wise [man],Adj‑ms,H2450,Proverbs,1,21,17
וְי֣וֹסֶף,H3254,wə·yō·w·sep̄,and increase,Conj‑w | V‑Hifil‑ConjImperf.Jus‑3ms,H3254,Proverbs,1,22,17
לֶ֑קַח,H3948,le·qaḥ;,learning,N‑ms,H3948,Proverbs,1,23,17
וְ֝נָב֗וֹן,H995,"wə·nā·ḇō·wn,",and a man of understanding,Conj‑w | V‑Nifal‑Prtcpl‑ms,H995,Proverbs,1,24,17
תַּחְבֻּל֥וֹת,H8458,taḥ·bu·lō·wṯ,wise counsel,N‑fp,H8458,Proverbs,1,25,17
יִקְנֶֽה׃,H7069,yiq·neh.,will attain,V‑Qal‑Imperf‑3ms,H7069,Proverbs,1,26,17
מָ֭שָׁל,H4912,mā·šāl,a proverb,N‑ms,H4912,Proverbs,1,27,17
וּמְלִיצָ֑ה,H4426,ū·mə·lî·ṣāh;,and an enigma,Conj‑w | N‑fs,H4426,Proverbs,1,28,17
דִּבְרֵ֥י,H1697,diḇ·rê,the words,N‑mpc,H1697,Proverbs,1,29,17
חֲ֝כָמִ֗ים,H2450,"ḥă·ḵā·mîm,",of the wise,Adj‑mp,H2450,Proverbs,1,30,17
וְחִידֹתָֽם׃,H2420,wə·ḥî·ḏō·ṯām.,and their riddles,Conj‑w | N‑fpc | 3mp,H2420,Proverbs,1,31,17
יְ֭הוָה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Proverbs,1,32,17
רֵאשִׁ֣ית,H7225,rê·šîṯ,[is] the beginning,N‑fsc,H7225,Proverbs,1,33,17
דָּ֑עַת,H1847,dā·‘aṯ;,of knowledge,N‑fs,H1847,Proverbs,1,34,17
חָכְמָ֥ה,H2451,ḥāḵ·māh,wisdom,N‑fs,H2451,Proverbs,1,35,17
וּ֝מוּסָ֗ר,H4148,"ū·mū·sār,",and instruction,Conj‑w | N‑ms,H4148,Proverbs,1,36,17
אֱוִילִ֥ים,H191,’ĕ·wî·lîm,Fools,N‑mp,H191,Proverbs,1,37,17
בָּֽזוּ׃,H936,bā·zū.,[But] despise,V‑Qal‑Perf‑3cp,H936,Proverbs,1,38,17
בְּ֭נִי,H1121,bə·nî,My son,N‑msc | 1cs,H1121,Proverbs,1,39,17
מוּסַ֣ר,H4148,mū·sar,the instruction,N‑msc,H4148,Proverbs,1,40,17
אָבִ֑יךָ,H1,’ā·ḇî·ḵā;,of your father,N‑msc | 2ms,H1,Proverbs,1,41,17
וְאַל־,H408,wə·’al-,and not,Conj‑w | Adv,H408,Proverbs,1,42,17
תִּ֝טֹּ֗שׁ,H5203,"tiṭ·ṭōš,",do forsake,V‑Qal‑Imperf‑2ms,H5203,Proverbs,1,43,17
תּוֹרַ֥ת,H8451,tō·w·raṯ,the law,N‑fsc,H8451,Proverbs,1,44,17
אִמֶּֽךָ׃,H517,’im·me·ḵā.,of your mother,N‑fsc | 2ms,H517,Proverbs,1,45,17
לִוְיַ֤ת,H3880,liw·yaṯ,a ornament,N‑fsc,H3880,Proverbs,1,46,17
חֵ֓ן,H2580,ḥên,graceful,N‑ms,H2580,Proverbs,1,47,17
