hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שְׁלֹמֹ֣ה,H8010,šə·lō·mōh,of Solomon,N‑proper‑ms,H8010,Proverbs,1,1,17
לִפְתָאיִ֣ם,H6612,lip̄·ṯā·yim,to the simple,Prep‑l | N‑mp,H6612,Proverbs,1,16,17
עָרְמָ֑ה,H6195,‘ā·rə·māh;,prudence,N‑fs,H6195,Proverbs,1,17,17
וּמְזִמָּֽה׃,H4209,ū·mə·zim·māh.,and discretion,Conj‑w | N‑fs,H4209,Proverbs,1,20,17
תַּחְבֻּל֥וֹת,H8458,taḥ·bu·lō·wṯ,wise counsel,N‑fp,H8458,Proverbs,1,25,17
בָּֽזוּ׃,H936,bā·zū.,[But] despise,V‑Qal‑Perf‑3cp,H936,Proverbs,1,38,17
לִוְיַ֤ת,H3880,liw·yaṯ,a ornament,N‑fsc,H3880,Proverbs,1,46,17
וַ֝עֲנָקִ֗ים,H6060,"wa·‘ă·nā·qîm,",and chains,Conj‑w | N‑mp,H6060,Proverbs,1,50,17
לְגַרְגְּרֹתֶֽיךָ׃,H1621,lə·ḡar·gə·rō·ṯe·ḵā.,about your neck,Prep‑l | N‑fpc | 2ms,H1621,Proverbs,1,51,17
ה֣וֹן,H1952,hō·wn,[kinds] of possessions,N‑ms,H1952,Proverbs,1,70,17
(כְשׁוֹאָ֨ה ׀),H7584,ḵə·šō·w·’āh,like a storm,Prep‑k | N‑fs,H7584,Proverbs,1,161,17
וְשַׁלְוַ֖ת,H7962,wə·šal·waṯ,and the complacency,Conj‑w | N‑fsc,H7962,Proverbs,1,195,17
וְ֝שַׁאֲנַ֗ן,H7599,"wə·ša·’ă·nan,",and will be secure,Conj‑w | V‑Piel‑ConjPerf‑3ms,H7599,Proverbs,1,200,17
יִנְעָֽם׃,H5276,yin·‘ām.,is pleasant,V‑Qal‑Imperf‑3ms,H5276,Proverbs,2,259,17
תַּהְפֻּכֽוֹת׃,H8419,tah·pu·ḵō·wṯ.,perverse things,N‑fp,H8419,Proverbs,2,268,17
עִקְּשִׁ֑ים,H6141,‘iq·qə·šîm;,crooked,Adj‑mp,H6141,Proverbs,2,280,17
יִסְּח֥וּ,H5255,yis·sə·ḥū,will be uprooted,V‑Qal‑Imperf‑3mp,H5255,Proverbs,2,322,17
