hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הָאִ֗ישׁ,H376,"hā·’îš,",the man,Art | N‑ms,H376,Psalms,1,1,18
אֲשֶׁ֤ר ׀,H834,’ă·šer,who,Pro‑r,H834,Psalms,1,2,18
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,Psalms,1,3,18
הָלַךְ֮,H1980,hā·laḵ,does walk,V‑Qal‑Perf‑3ms,H1980,Psalms,1,4,18
בַּעֲצַ֪ת,H6098,ba·‘ă·ṣaṯ,in the counsel,Prep‑b | N‑fsc,H6098,Psalms,1,5,18
רְשָׁ֫עִ֥ים,H7563,rə·šā·‘îm,of the ungodly,Adj‑mp,H7563,Psalms,1,6,18
וּבְדֶ֣רֶךְ,H1870,ū·ḇə·ḏe·reḵ,and in the path,"Conj‑w, Prep‑b | N‑csc",H1870,Psalms,1,7,18
חַ֭טָּאִים,H2400,ḥaṭ·ṭā·’îm,of the sinful,Adj‑mp,H2400,Psalms,1,8,18
לֹ֥א,H3808,lō,nor,Adv‑NegPrt,H3808,Psalms,1,9,18
עָמָ֑ד,H5975,‘ā·māḏ;,stands,V‑Qal‑Perf‑3ms,H5975,Psalms,1,10,18
וּבְמוֹשַׁ֥ב,H4186,ū·ḇə·mō·wō·šaḇ,and in the seat,"Conj‑w, Prep‑b | N‑msc",H4186,Psalms,1,11,18
לֵ֝צִ֗ים,H3887,"lê·ṣîm,",of the scornful,V‑Qal‑Prtcpl‑mp,H3887,Psalms,1,12,18
לֹ֣א,H3808,lō,nor,Adv‑NegPrt,H3808,Psalms,1,13,18
יָשָֽׁב׃,H3427,yā·šāḇ.,sits,V‑Qal‑Perf‑3ms,H3427,Psalms,1,14,18
אִ֥ם,H518,’im,but,Conj,H518,Psalms,1,15,18
בְּתוֹרַ֥ת,H8451,bə·ṯō·w·raṯ,in the law,Prep‑b | N‑fsc,H8451,Psalms,1,16,18
יְהוָ֗ה,H3069,Yah·weh,of Yahweh,N‑proper‑ms,H3069,Psalms,1,17,18
חֶ֫פְצ֥וֹ,H2656,ḥep̄·ṣōw,his delight [is],N‑msc | 3ms,H2656,Psalms,1,18,18
וּֽבְתוֹרָת֥וֹ,H8451,ū·ḇə·ṯō·w·rā·ṯōw,and in His law,"Conj‑w, Prep‑b | N‑fsc | 3ms",H8451,Psalms,1,19,18
יֶהְגֶּ֗ה,H1897,"yeh·geh,",he meditates,V‑Qal‑Imperf‑3ms,H1897,Psalms,1,20,18
יוֹמָ֥ם,H3119,yō·w·mām,day,Adv,H3119,Psalms,1,21,18
וָלָֽיְלָה׃,H3915,wā·lā·yə·lāh.,and night,Conj‑w | N‑ms,H3915,Psalms,1,22,18
כְּעֵץ֮,H6086,kə·‘êṣ,like a tree,Prep‑k | N‑ms,H6086,Psalms,1,23,18
שָׁת֪וּל,H8362,šā·ṯūl,Planted,V‑Qal‑QalPassPrtcpl‑ms,H8362,Psalms,1,24,18
עַֽל־,H5921,‘al-,by,Prep,H5921,Psalms,1,25,18
פַּלְגֵ֫י,H6388,pal·ḡê,the rivers,N‑mpc,H6388,Psalms,1,26,18
מָ֥יִם,H4325,mā·yim,of water,N‑mp,H4325,Psalms,1,27,18
אֲשֶׁ֤ר,H834,’ă·šer,that,Pro‑r,H834,Psalms,1,28,18
פִּרְי֨וֹ ׀,H6529,pir·yōw,its fruit,N‑msc | 3ms,H6529,Psalms,1,29,18
יִתֵּ֬ן,H5414,yit·tên,brings forth,V‑Qal‑Imperf‑3ms,H5414,Psalms,1,30,18
בְּעִתּ֗וֹ,H6256,"bə·‘it·tōw,",in its season,Prep‑b | N‑csc | 3ms,H6256,Psalms,1,31,18
וְעָלֵ֥הוּ,H5929,wə·‘ā·lê·hū,and Whose leaf,Conj‑w | N‑msc | 3ms,H5929,Psalms,1,32,18
לֹֽא־,H3808,lō-,not,Adv‑NegPrt,H3808,Psalms,1,33,18
יִבּ֑וֹל,H5034,yib·bō·wl;,shall wither,V‑Qal‑Imperf‑3ms,H5034,Psalms,1,34,18
וְכֹ֖ל,H3605,wə·ḵōl,and,Conj‑w | N‑ms,H3605,Psalms,1,35,18
אֲשֶׁר־,H834,’ă·šer-,whatever,Pro‑r,H834,Psalms,1,36,18
יַעֲשֶׂ֣ה,H6213,ya·‘ă·śeh,he does,V‑Qal‑Imperf‑3ms,H6213,Psalms,1,37,18
יַצְלִֽיחַ׃,H6743,yaṣ·lî·aḥ.,shall prosper,V‑Hifil‑Imperf‑3ms,H6743,Psalms,1,38,18
כֵ֥ן,H3651,ḵên,so,Adv,H3651,Psalms,1,39,18
הָרְשָׁעִ֑ים,H7563,hā·rə·šā·‘îm;,the ungodly [are],Art | Adj‑mp,H7563,Psalms,1,40,18
כִּ֥י,H3588,kî,for,Conj,H3588,Psalms,1,41,18
אִם־,H518,’im-,but,Conj,H518,Psalms,1,42,18
כַּ֝מֹּ֗ץ,H4671,"kam·mōṣ,",[are] like the chaff,"Prep‑k, Art | N‑ms",H4671,Psalms,1,43,18
אֲ‍ֽשֶׁר־,H834,’ăšer-,which,Pro‑r,H834,Psalms,1,44,18
תִּדְּפֶ֥נּוּ,H5086,tid·də·p̄en·nū,drives away,V‑Qal‑Imperf‑3fs | 3mse,H5086,Psalms,1,45,18
רֽוּחַ׃,H7307,rū·aḥ.,the wind,N‑cs,H7307,Psalms,1,46,18
כֵּ֤ן ׀,H3651,kên,thus,Adv,H3651,Psalms,1,47,18
לֹא־,H3808,lō-,not,Adv‑NegPrt,H3808,Psalms,1,48,18
יָקֻ֣מוּ,H6965,yā·qu·mū,shall stand,V‑Qal‑Imperf‑3mp,H6965,Psalms,1,49,18
רְ֭שָׁעִים,H7563,rə·šā·‘îm,the ungodly,Adj‑mp,H7563,Psalms,1,50,18
בַּמִּשְׁפָּ֑ט,H4941,bam·miš·pāṭ;,in the judgment,"Prep‑b, Art | N‑ms",H4941,Psalms,1,51,18
וְ֝חַטָּאִ֗ים,H2400,"wə·ḥaṭ·ṭā·’îm,",nor the sinful,Conj‑w | Adj‑mp,H2400,Psalms,1,52,18
בַּעֲדַ֥ת,H5712,ba·‘ă·ḏaṯ,in the congregation,Prep‑b | N‑fsc,H5712,Psalms,1,53,18
צַדִּיקִֽים׃,H6662,ṣad·dî·qîm.,of the righteous,Adj‑mp,H6662,Psalms,1,54,18
יוֹדֵ֣עַ,H3045,yō·w·ḏê·a‘,knows,V‑Qal‑Prtcpl‑ms,H3045,Psalms,1,55,18
יְ֭הוָה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Psalms,1,56,18
דֶּ֣רֶךְ,H1870,de·reḵ,the way,N‑csc,H1870,Psalms,1,57,18
צַדִּיקִ֑ים,H6662,ṣad·dî·qîm;,of the righteous,Adj‑mp,H6662,Psalms,1,58,18
וְדֶ֖רֶךְ,H1870,wə·ḏe·reḵ,but the way,Conj‑w | N‑csc,H1870,Psalms,1,59,18
רְשָׁעִ֣ים,H7563,rə·šā·‘îm,of the ungodly,Adj‑mp,H7563,Psalms,1,60,18
תֹּאבֵֽד׃,H6,tō·ḇêḏ.,shall perish,V‑Qal‑Imperf‑3fs,H6,Psalms,1,61,18
רָגְשׁ֣וּ,H7283,rā·ḡə·šū,do rage,V‑Qal‑Perf‑3cp,H7283,Psalms,2,62,18
גוֹיִ֑ם,H1471,ḡō·w·yim;,the nations,N‑mp,H1471,Psalms,2,63,18
וּ֝לְאֻמִּ֗ים,H3816,"ū·lə·’um·mîm,",and the people,Conj‑w | N‑mp,H3816,Psalms,2,64,18
יֶהְגּוּ־,H1897,yeh·gū-,plot,V‑Qal‑Imperf‑3mp,H1897,Psalms,2,65,18
רִֽיק׃,H7385,rîq.,a vain thing,N‑ms,H7385,Psalms,2,66,18
מַלְכֵי־,H4428,mal·ḵê-,the kings,N‑mpc,H4428,Psalms,2,67,18
אֶ֗רֶץ,H776,"’e·reṣ,",of the earth,N‑fs,H776,Psalms,2,68,18
וְרוֹזְנִ֥ים,H7336,wə·rō·wz·nîm,and the rulers,Conj‑w | V‑Qal‑Prtcpl‑mp,H7336,Psalms,2,69,18
נֽוֹסְדוּ־,H3245,nō·ws·ḏū-,take counsel,V‑Nifal‑Perf‑3cp,H3245,Psalms,2,70,18
יָ֑חַד,H3162,yā·ḥaḏ;,together,Adv,H3162,Psalms,2,71,18
עַל־,H5921,‘al-,Against,Prep,H5921,Psalms,2,72,18
יְ֝הוָה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Psalms,2,73,18
וְעַל־,H5921,wə·‘al-,and against,Conj‑w | Prep,H5921,Psalms,2,74,18
מְשִׁיחֽוֹ׃,H4899,mə·šî·ḥōw.,His Anointed [saying],Adj‑msc | 3ms,H4899,Psalms,2,75,18
אֶת־,H853,’eṯ-,-,DirObjM,H853,Psalms,2,76,18
מֽוֹסְרוֹתֵ֑ימוֹ,H4147,mō·ws·rō·w·ṯê·mōw;,their bonds,N‑fpc | 3mp,H4147,Psalms,2,77,18
וְנַשְׁלִ֖יכָה,H7993,wə·naš·lî·ḵāh,and cast away,Conj‑w | V‑Hifil‑ConjImperf.Cohort‑1cp,H7993,Psalms,2,78,18
