hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אִיּ֣וֹב,H347,’î·yō·wḇ,Job,N‑proper‑ms,H347,Job,1,4,19
וַעֲבֻדָּ֖ה,H5657,wa·‘ă·ḇud·dāh,and a household,Conj‑w | N‑fs,H5657,Job,1,33,19
תִּפְלָ֖ה,H8604,tip̄·lāh,with wrong,N‑fs,H8604,Job,1,313,19
בְּתֻמָּת֔וֹ,H8538,"bə·ṯum·mā·ṯōw,",to his integrity,Prep‑b | N‑fsc | 3ms,H8538,Job,2,364,19
לְהִתְגָּרֵ֖ד,H1623,lə·hiṯ·gā·rêḏ,to scrape himself,Prep‑l | V‑Hitpael‑Inf,H1623,Job,2,417,19
אֱלִיפַ֤ז,H464,’ĕ·lî·p̄az,Eliphaz,N‑proper‑ms,H464,Job,2,462,19
הַתֵּימָנִי֙,H8489,hat·tê·mā·nî,the Temanite,Art | N‑proper‑ms,H8489,Job,2,463,19
וּבִלְדַּ֣ד,H1085,ū·ḇil·daḏ,and Bildad,Conj‑w | N‑proper‑ms,H1085,Job,2,464,19
הַשּׁוּחִ֔י,H7747,"haš·šū·ḥî,",the Shuhite,Art | N‑proper‑ms,H7747,Job,2,465,19
וְצוֹפַ֖ר,H6691,wə·ṣō·w·p̄ar,and Zophar,Conj‑w | N‑proper‑ms,H6691,Job,2,466,19
הַנַּֽעֲמָתִ֑י,H5284,han·na·‘ă·mā·ṯî;,the Naamathite,Art | N‑proper‑ms,H5284,Job,2,467,19
נְהָרָֽה׃,H5105,nə·hā·rāh.,the light,N‑fs,H5105,Job,3,531,19
עֲנָנָ֑ה,H6053,‘ă·nā·nāh;,a cloud,N‑fs,H6053,Job,3,536,19
כִּֽמְרִ֥ירֵי,H3650,kim·rî·rê,the blackness,N‑mpc,H3650,Job,3,538,19
יְגִ֣יעֵי,H3019,yə·ḡî·‘ê,the weary,Adj‑mpc,H3019,Job,3,622,19
נִתָּֽעוּ׃,H5421,nit·tā·‘ū.,are broken,V‑Nifal‑Perf‑3cp,H5421,Job,4,734,19
שֵׁ֣מֶץ,H8102,šê·meṣ,a whisper,N‑ms,H8102,Job,4,745,19
תְּ֝סַמֵּ֗ר,H5568,"tə·sam·mêr,",stood up,V‑Piel‑Imperf‑3fs,H5568,Job,4,761,19
תָּהֳלָֽה׃,H8417,tā·ho·lāh.,with error,N‑fs,H8417,Job,4,784,19
מִצִּנִּ֥ים,H6791,miṣ·ṣin·nîm,from the thorns,Prep‑m | N‑mp,H6791,Job,5,834,19
צַמִּ֣ים,H6782,ṣam·mîm,a snare,N‑ms,H6782,Job,5,837,19
בְּעָרְמָ֑ם,H6193,bə·‘ā·rə·mām;,in their own craftiness,Prep‑b | V‑Qal‑Inf | 3mp,H6193,Job,5,890,19
יְֽמַשְׁשׁ֥וּ,H4959,yə·maš·šū,grope,V‑Piel‑Imperf‑3mp,H4959,Job,5,897,19
וּלְכָפָ֣ן,H3720,ū·lə·ḵā·p̄ān,and famine,"Conj‑w, Prep‑l | N‑ms",H3720,Job,5,941,19
בְכֶ֣לַח,H3624,ḇə·ḵe·laḥ,at a full age,Prep‑b | N‑ms,H3624,Job,5,967,19
גָּדִ֣ישׁ,H1430,gā·ḏîš,a sheaf of grain,N‑ms,H1430,Job,5,971,19
(וְ֝הַוָּתִ֗י),H1962,"wə·haw·wā·ṯî,",my calamity,Conj‑w | N‑fsc | 1cs,H1962,Job,6,985,19
יִגְעֶה־,H1600,"yiḡ·‘e·hō·šō,-",does low,V‑Qal‑Imperf‑3ms,H1600,Job,6,1011,19
בְּרִ֣יר,H7388,bə·rîr,in the white,Prep‑b | N‑msc,H7388,Job,6,1021,19
חַלָּמֽוּת׃,H2495,ḥal·lā·mūṯ.,of an egg,N‑fs,H2495,Job,6,1022,19
וַאֲסַלְּדָ֣ה,H5539,wa·’ă·sal·lə·ḏāh,and Though I would exult,Conj‑w | V‑Piel‑ConjImperf.Cohort‑1cs,H5539,Job,6,1041,19
נָחֽוּשׁ׃,H5153,nā·ḥūš.,bronze,Adj‑ms,H5153,Job,6,1063,19
יְזֹרְב֣וּ,H2215,yə·zō·rə·ḇū,it is warm,V‑Pual‑Imperf‑3mp,H2215,Job,6,1085,19
חֲ֝תַ֗ת,H2866,"ḥă·ṯaṯ,",terror,N‑ms,H2866,Job,6,1109,19
שִׁחֲד֥וּ,H7809,ši·ḥă·ḏū,Offer a bribe,V‑Qal‑Imp‑mp,H7809,Job,6,1114,19
וּמִדַּד־,H4059,ū·mid·daḏ-,and be ended,Conj‑w | V‑Piel‑ConjPerf‑3ms,H4059,Job,7,1186,19
נְדֻדִ֣ים,H5076,nə·ḏu·ḏîm,of tossing,N‑mp,H5076,Job,7,1189,19
(וְג֣וּשׁ),H1487,wə·ḡūš,and,Conj‑w | N‑msc,H1487,Job,7,1194,19
אָ֑רֶג,H708,’ā·reḡ;,a weaver's shuttle,N‑ms,H708,Job,7,1201,19
מַחֲנָ֣ק,H4267,ma·ḥă·nāq,strangling,N‑ms,H4267,Job,7,1258,19
לְמִפְגָּ֣ע,H4645,lə·mip̄·gā‘,as target,Prep‑l | N‑ms,H4645,Job,7,1294,19
מִצְעָ֑ר,H4705,miṣ·‘ār;,small,N‑ms,H4705,Job,8,1349,19
בִצָּ֑ה,H1207,ḇiṣ·ṣāh;,a marsh,N‑fs,H1207,Job,8,1377,19
אָ֥חוּ,H260,’ā·ḥū,the rushes,N‑ms,H260,Job,8,1379,19
בְ֭אִבּוֹ,H3,ḇə·’ib·bōw,green,Prep‑b | N‑msc | 3ms,H3,Job,8,1382,19
יִקָּטֵ֑ף,H6998,yiq·qā·ṭêp̄;,cut down,V‑Nifal‑Imperf‑3ms,H6998,Job,8,1384,19
יָק֥וֹט,H6990,yā·qō·wṭ,shall be cut off,V‑Qal‑Imperf‑3ms,H6990,Job,8,1396,19
יִתְפַלָּצֽוּן׃‪‬,H6426,yiṯ·p̄al·lā·ṣūn,tremble,V‑Hitpael‑Imperf‑3mp | Pn,H6426,Job,9,1484,19
לַ֭חֶרֶס,H2775,la·ḥe·res,the sun,"Prep‑l, Art | N‑ms",H2775,Job,9,1485,19
עָ֭שׁ,H5906,‘āš,the Bear,N‑fs,H5906,Job,9,1497,19
יַ֭חְתֹּף,H2862,yaḥ·tōp̄,He takes away,V‑Qal‑Imperf‑3ms,H2862,Job,9,1517,19
מַמְּרֹרִֽים׃,H4472,mam·mə·rō·rîm.,with bitterness,N‑mp,H4472,Job,9,1561,19
אֵבֶ֑ה,H16,’ê·ḇeh;,papyrus,N‑ms,H16,Job,9,1615,19
יָט֥וּשׂ,H2907,yā·ṭūś,swooping,V‑Qal‑Imperf‑3ms,H2907,Job,9,1617,19
וַ֝הֲזִכּ֗וֹתִי,H2141,"wa·hă·zik·kō·w·ṯî,",and cleanse,Conj‑w | V‑Hifil‑ConjPerf‑1cs,H2141,Job,9,1639,19
בְּבֹ֣ר,H1253,bə·ḇōr,with soap,Prep‑b | N‑ms,H1253,Job,9,1640,19
וְ֝כַגְּבִנָּ֗ה,H1385,"wə·ḵag·gə·ḇin·nāh,",and like cheese,"Conj‑w, Prep‑k, Art | N‑fs",H1385,Job,10,1734,19
אַלְלַ֬י,H480,’al·lay,woe,Interjection,H480,Job,10,1759,19
סְדָרִ֗ים,H5468,"sə·ḏā·rîm,",any order,N‑mp,H5468,Job,10,1811,19
תַּכְלִ֖ית,H8503,taḵ·lîṯ,the limits,N‑fsc,H8503,Job,11,1856,19
וְ֝יַקְהִ֗יל,H6950,"wə·yaq·hîl,",and gathers [to judgment],Conj‑w | V‑Hifil‑ConjImperf‑3ms,H6950,Job,11,1873,19
נָ֭בוּב,H5014,nā·ḇūḇ,empty-headed,Adj‑ms,H5014,Job,11,1884,19
יִלָּבֵ֑ב,H3823,yil·lā·ḇêḇ;,will be wise,V‑Nifal‑Imperf‑3ms,H3823,Job,11,1885,19
מַֽפַּח־,H4646,map·paḥ-,loss,N‑msc,H4646,Job,11,1939,19
