hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשִּׁירִ֖ים,H7892,haš·šî·rîm,of songs,Art | N‑mp,H7892,Song of Songs,1,1,20
אֲשֶׁ֥ר,H834,’ă·šer,that,Pro‑r,H834,Song of Songs,1,2,20
לִשְׁלֹמֹֽה׃,H8010,liš·lō·mōh.,[is] of Solomon,Prep‑l | N‑proper‑ms,H8010,Song of Songs,1,3,20
מִנְּשִׁיק֣וֹת,H5390,min·nə·šî·qō·wṯ,with the kisses,Prep‑m | N‑fpc,H5390,Song of Songs,1,4,20
פִּ֔יהוּ,H6310,"pî·hū,",of his mouth,N‑msc | 3ms,H6310,Song of Songs,1,5,20
כִּֽי־,H3588,kî-,for,Conj,H3588,Song of Songs,1,6,20
טוֹבִ֥ים,H2896,ṭō·w·ḇîm,[is] better,Adj‑mp,H2896,Song of Songs,1,7,20
דֹּדֶ֖יךָ,H1730,dō·ḏe·ḵā,your love,N‑mpc | 2ms,H1730,Song of Songs,1,8,20
מִיָּֽיִן׃,H3196,mî·yā·yin.,than wine,Prep‑m | N‑ms,H3196,Song of Songs,1,9,20
שְׁמָנֶ֣יךָ,H8081,šə·mā·ne·ḵā,of your ointments,N‑mpc | 2ms,H8081,Song of Songs,1,10,20
טוֹבִ֔ים,H2896,"ṭō·w·ḇîm,",good,Adj‑mp,H2896,Song of Songs,1,11,20
שֶׁ֖מֶן,H8081,še·men,ointment,N‑ms,H8081,Song of Songs,1,12,20
תּוּרַ֣ק,H7324,tū·raq,poured forth,V‑Hofal‑Imperf‑3fs,H7324,Song of Songs,1,13,20
שְׁמֶ֑ךָ,H8034,šə·me·ḵā;,Your name [is],N‑msc | 2ms,H8034,Song of Songs,1,14,20
עַל־,H5921,‘al-,upon,Prep,H5921,Song of Songs,1,15,20
כֵּ֖ן,H3651,kên,thus,Adv,H3651,Song of Songs,1,16,20
עֲלָמ֥וֹת,H5959,‘ă·lā·mō·wṯ,the virgins,N‑fp,H5959,Song of Songs,1,17,20
אֲהֵבֽוּךָ׃,H157,’ă·hê·ḇū·ḵā.,love you,V‑Qal‑Perf‑3cp | 2ms,H157,Song of Songs,1,18,20
אַחֲרֶ֣יךָ,H310,’a·ḥă·re·ḵā,after you,Prep | 2ms,H310,Song of Songs,1,19,20
נָּר֑וּצָה,H7323,nā·rū·ṣāh;,we will run,V‑Qal‑Imperf.Cohort‑1cp,H7323,Song of Songs,1,20,20
הֱבִיאַ֨נִי,H935,hĕ·ḇî·’a·nî,has brought me,V‑Hifil‑Perf‑3ms | 1cs,H935,Song of Songs,1,21,20
הַמֶּ֜לֶךְ,H4428,ham·me·leḵ,the king,Art | N‑ms,H4428,Song of Songs,1,22,20
חֲדָרָ֗יו,H2315,"ḥă·ḏā·rāw,",into his chambers,N‑mpc | 3ms,H2315,Song of Songs,1,23,20
נָגִ֤ילָה,H1523,nā·ḡî·lāh,We will be glad,V‑Qal‑Imperf.Cohort‑1cp,H1523,Song of Songs,1,24,20
וְנִשְׂמְחָה֙,H8055,wə·niś·mə·ḥāh,and rejoice,Conj‑w | V‑Qal‑ConjImperf.Cohort‑1cp,H8055,Song of Songs,1,25,20
נַזְכִּ֤ירָה,H2142,naz·kî·rāh,we will remember,V‑Hifil‑Imperf.Cohort‑1cp,H2142,Song of Songs,1,26,20
דֹדֶ֙יךָ֙,H1730,ḏō·ḏe·ḵā,your love,N‑mpc | 2ms,H1730,Song of Songs,1,27,20
מִיַּ֔יִן,H3196,"mî·ya·yin,",more than wine,Prep‑m | N‑ms,H3196,Song of Songs,1,28,20
מֵישָׁרִ֖ים,H4339,mê·šā·rîm,Rightly,N‑mp,H4339,Song of Songs,1,29,20
אֲהֵבֽוּךָ׃,H157,’ă·hê·ḇū·ḵā.,do they love you,V‑Qal‑Perf‑3cp | 2ms,H157,Song of Songs,1,30,20
אֲנִי֙,H589,’ă·nî,I,Pro‑1cs,H589,Song of Songs,1,31,20
וְֽנָאוָ֔ה,H5000,"wə·nā·wāh,",but lovely,Conj‑w | Adj‑fs,H5000,Song of Songs,1,32,20
בְּנ֖וֹת,H1323,bə·nō·wṯ,daughters,N‑fpc,H1323,Song of Songs,1,33,20
יְרוּשָׁלִָ֑ם,H3389,yə·rū·šā·lim;,of Jerusalem,N‑proper‑fs,H3389,Song of Songs,1,34,20
כְּאָהֳלֵ֣י,H168,kə·’ā·ho·lê,Like the tents,Prep‑k | N‑mpc,H168,Song of Songs,1,35,20
קֵדָ֔ר,H6938,"qê·ḏār,",of Kedar,N‑proper‑fs,H6938,Song of Songs,1,36,20
כִּירִיע֖וֹת,H3407,kî·rî·‘ō·wṯ,Like the curtains,Prep‑k | N‑fpc,H3407,Song of Songs,1,37,20
שְׁלֹמֹֽה׃,H8010,šə·lō·mōh.,of Solomon,N‑proper‑ms,H8010,Song of Songs,1,38,20
תִּרְא֙וּנִי֙,H7200,tir·’ū·nî,do look upon me,V‑Qal‑Imperf‑2mp | 1cs,H7200,Song of Songs,1,39,20
שֶׁאֲנִ֣י,H589,še·’ă·nî,because I,Pro‑r | Pro‑1cs,H589,Song of Songs,1,40,20
שְׁחַרְחֹ֔רֶת,H7840,"šə·ḥar·ḥō·reṯ,",[am] dark,Adj‑fs,H7840,Song of Songs,1,41,20
