hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַדְּבָרִ֗ים,H1697,"had·də·ḇā·rîm,",the words,Art | N‑mp,H1697,Dueteronomy,1,1,21
אֲשֶׁ֨ר,H834,’ă·šer,which,Pro‑r,H834,Dueteronomy,1,2,21
דִּבֶּ֤ר,H1696,dib·ber,spoke,V‑Piel‑Perf‑3ms,H1696,Dueteronomy,1,3,21
מֹשֶׁה֙,H4872,mō·šeh,Moses,N‑proper‑ms,H4872,Dueteronomy,1,4,21
אֶל־,H413,’el-,to,Prep,H413,Dueteronomy,1,5,21
כָּל־,H3605,kāl-,all,N‑msc,H3605,Dueteronomy,1,6,21
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",Israel,N‑proper‑ms,H3478,Dueteronomy,1,7,21
בְּעֵ֖בֶר,H5676,bə·‘ê·ḇer,on this side,Prep‑b | N‑msc,H5676,Dueteronomy,1,8,21
הַיַּרְדֵּ֑ן,H3383,hay·yar·dên;,of the Jordan,Art | N‑proper‑fs,H3383,Dueteronomy,1,9,21
בַּמִּדְבָּ֡ר,H4057,bam·miḏ·bār,in the wilderness,"Prep‑b, Art | N‑ms",H4057,Dueteronomy,1,10,21
בָּֽעֲרָבָה֩,H6160,bā·‘ă·rā·ḇāh,in plain,"Prep‑b, Art | N‑fs",H6160,Dueteronomy,1,11,21
מ֨וֹל,H4136,mō·wl,opposite,Prep,H4136,Dueteronomy,1,12,21
ס֜וּף,H5489,sūp̄,Suph,N‑proper‑fs,H5489,Dueteronomy,1,13,21
בֵּֽין־,H996,bên-,between,Prep,H996,Dueteronomy,1,14,21
פָּארָ֧ן,H6290,pā·rān,Paran,N‑proper‑fs,H6290,Dueteronomy,1,15,21
תֹּ֛פֶל,H8603,tō·p̄el,Tophel,N‑proper‑fs,H8603,Dueteronomy,1,17,21
וְלָבָ֥ן,H3837,wə·lā·ḇān,and Laban,Conj‑w | N‑proper‑fs,H3837,Dueteronomy,1,18,21
וַחֲצֵרֹ֖ת,H2698,wa·ḥă·ṣê·rōṯ,and Hazeroth,Conj‑w | N‑proper‑fs,H2698,Dueteronomy,1,19,21
זָהָֽב׃,H1774,zā·hāḇ.,Dizahab,Conj‑w | N‑proper‑fs,H1774,Dueteronomy,1,20,21
עָשָׂ֥ר,H6240,‘ā·śār,[it is] [and] ten,Number‑ms,H6240,Dueteronomy,1,21,21
יוֹם֙,H3117,yō·wm,days' [journey],N‑ms,H3117,Dueteronomy,1,22,21
מֵֽחֹרֵ֔ב,H2722,"mê·ḥō·rêḇ,",from Horeb,Prep‑m | N‑proper‑fs,H2722,Dueteronomy,1,23,21
דֶּ֖רֶךְ,H1870,de·reḵ,by way,N‑csc,H1870,Dueteronomy,1,24,21
הַר־,H2022,har-,of Mount,N‑msc,H2022,Dueteronomy,1,25,21
שֵׂעִ֑יר,H8165,śê·‘îr;,Seir,N‑proper‑fs,H8165,Dueteronomy,1,26,21
עַ֖ד,H5704,‘aḏ,to,Prep,H5704,Dueteronomy,1,27,21
בַּרְנֵֽעַ׃,H6947,bar·nê·a‘.,Kadesh Barnea,N‑proper‑fs,H6947,Dueteronomy,1,28,21
בְּאַרְבָּעִ֣ים,H705,bə·’ar·bā·‘îm,in forty,Prep‑b | Number‑cp,H705,Dueteronomy,1,29,21
שָׁנָ֔ה,H8141,"šā·nāh,",the year,N‑fs,H8141,Dueteronomy,1,30,21
בְּעַשְׁתֵּֽי־,H6249,bə·‘aš·tê-,in one,Prep‑b | Number‑csc,H6249,Dueteronomy,1,31,21
חֹ֖דֶשׁ,H2320,ḥō·ḏeš,the month,N‑ms,H2320,Dueteronomy,1,33,21
בְּאֶחָ֣ד,H259,bə·’e·ḥāḏ,on the first [day],Prep‑b | Number‑ms,H259,Dueteronomy,1,34,21
בְּנֵ֣י,H1121,bə·nê,the sons,N‑mpc,H1121,Dueteronomy,1,39,21
צִוָּ֧ה,H6680,ṣiw·wāh,had given as commandments,V‑Piel‑Perf‑3ms,H6680,Dueteronomy,1,43,21
יְהוָ֛ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Dueteronomy,1,44,21
אֹת֖וֹ,H853,’ō·ṯōw,him,DirObjM | 3ms,H853,Dueteronomy,1,45,21
הַכֹּת֗וֹ,H5221,"hak·kō·ṯōw,",he had killed,V‑Hifil‑Inf | 3ms,H5221,Dueteronomy,1,47,21
סִיחֹן֙,H5511,sî·ḥōn,Sihon,N‑proper‑ms,H5511,Dueteronomy,1,49,21
מֶ֣לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Dueteronomy,1,50,21
הָֽאֱמֹרִ֔י,H567,"hā·’ĕ·mō·rî,",of the Amorites,Art | N‑proper‑ms,H567,Dueteronomy,1,51,21
יוֹשֵׁ֖ב,H3427,yō·wō·šêḇ,dwelt,V‑Qal‑Prtcpl‑ms,H3427,Dueteronomy,1,53,21
בְּחֶשְׁבּ֑וֹן,H2809,bə·ḥeš·bō·wn;,in Heshbon,Prep‑b | N‑proper‑fs,H2809,Dueteronomy,1,54,21
ע֚וֹג,H5747,‘ō·wḡ,Og,N‑proper‑ms,H5747,Dueteronomy,1,56,21
הַבָּשָׁ֔ן,H1316,"hab·bā·šān,",of Bashan,Art | N‑proper‑fs,H1316,Dueteronomy,1,58,21
בְּעַשְׁתָּרֹ֖ת,H6252,bə·‘aš·tā·rōṯ,at Ashtaroth,Prep‑b | N‑proper‑fs,H6252,Dueteronomy,1,61,21
בְּאֶדְרֶֽעִי׃,H154,bə·’eḏ·re·‘î.,in Edrei,Prep‑b | N‑proper‑fs,H154,Dueteronomy,1,62,21
בְּאֶ֣רֶץ,H776,bə·’e·reṣ,in the land,Prep‑b | N‑fsc,H776,Dueteronomy,1,64,21
מוֹאָ֑ב,H4124,mō·w·’āḇ;,of Moab,N‑proper‑fs,H4124,Dueteronomy,1,65,21
הוֹאִ֣יל,H2974,hō·w·’îl,began,V‑Hifil‑Perf‑3ms,H2974,Dueteronomy,1,66,21
בֵּאֵ֛ר,H874,bê·’êr,to explain,V‑Piel‑Perf‑3ms,H874,Dueteronomy,1,68,21
הַתּוֹרָ֥ה,H8451,hat·tō·w·rāh,law,Art | N‑fs,H8451,Dueteronomy,1,70,21
הַזֹּ֖את,H2063,haz·zōṯ,this,Art | Pro‑fs,H2063,Dueteronomy,1,71,21
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Dueteronomy,1,72,21
אֱלֹהֵ֛ינוּ,H430,’ĕ·lō·hê·nū,our God,N‑mpc | 1cp,H430,Dueteronomy,1,73,21
רַב־,H7227,raḇ-,long enough,Adv,H7227,Dueteronomy,1,78,21
הַזֶּֽה׃,H2088,haz·zeh.,this,Art | Pro‑ms,H2088,Dueteronomy,1,81,21
וּסְע֣וּ,H5265,ū·sə·‘ū,and take your journey,Conj‑w | V‑Qal‑Imp‑mp,H5265,Dueteronomy,1,82,21
וּבֹ֨אוּ,H935,ū·ḇō·’ū,and go,Conj‑w | V‑Qal‑Imp‑mp,H935,Dueteronomy,1,83,21
