hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יִרְמְיָ֖הוּ,H3414,yir·mə·yā·hū,of Jeremiah,N‑proper‑ms,H3414,Jeremiah,1,1,22
בֶּן־,H1121,ben-,son,N‑msc,H1121,Jeremiah,1,2,22
חִלְקִיָּ֑הוּ,H2518,ḥil·qî·yā·hū;,of Hilkiah,N‑proper‑ms,H2518,Jeremiah,1,3,22
מִן־,H4480,min-,of,Prep,H4480,Jeremiah,1,4,22
הַכֹּֽהֲנִים֙,H3548,hak·kō·hă·nîm,the priests,Art | N‑mp,H3548,Jeremiah,1,5,22
אֲשֶׁ֣ר,H834,’ă·šer,who [were],Pro‑r,H834,Jeremiah,1,6,22
בַּעֲנָת֔וֹת,H6068,"ba·‘ă·nā·ṯō·wṯ,",in Anathoth,Prep‑b | N‑proper‑fs,H6068,Jeremiah,1,7,22
בְּאֶ֖רֶץ,H776,bə·’e·reṣ,in the land,Prep‑b | N‑fsc,H776,Jeremiah,1,8,22
בִּנְיָמִֽן׃,H1144,bin·yā·min.,of Benjamin,N‑proper‑ms,H1144,Jeremiah,1,9,22
הָיָ֤ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Jeremiah,1,10,22
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Jeremiah,1,11,22
יְהוָה֙,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Jeremiah,1,12,22
אֵלָ֔יו,H413,"’ê·lāw,",in,Prep | 3ms,H413,Jeremiah,1,13,22
בִּימֵ֛י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Jeremiah,1,14,22
יֹאשִׁיָּ֥הוּ,H2977,yō·šî·yā·hū,of Josiah,N‑proper‑ms,H2977,Jeremiah,1,15,22
בֶן־,H1121,ḇen-,son,N‑msc,H1121,Jeremiah,1,16,22
אָמ֖וֹן,H526,’ā·mō·wn,of Amon,N‑proper‑ms,H526,Jeremiah,1,17,22
מֶ֣לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Jeremiah,1,18,22
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Jeremiah,1,19,22
בִּשְׁלֹשׁ־,H7969,biš·lōš-,in three,Prep‑b | Number‑fsc,H7969,Jeremiah,1,20,22
עֶשְׂרֵ֥ה,H6240,‘eś·rêh,[and] ten,Number‑fs,H6240,Jeremiah,1,21,22
שָׁנָ֖ה,H8141,šā·nāh,the year,N‑fs,H8141,Jeremiah,1,22,22
לְמָלְכֽוֹ׃,H4427,lə·mā·lə·ḵōw.,of his reign,Prep‑l | V‑Qal‑Inf | 3ms,H4427,Jeremiah,1,23,22
בִּימֵ֨י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Jeremiah,1,24,22
יְהוֹיָקִ֤ים,H3079,yə·hō·w·yā·qîm,of Jehoiakim,N‑proper‑ms,H3079,Jeremiah,1,25,22
בֶּן־,H1121,ben-,son,N‑msc,H1121,Jeremiah,1,26,22
