hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
יִרְמְיָ֖הוּ,H3414,yir·mə·yā·hū,of Jeremiah,N‑proper‑ms,H3414,Jeremiah,1,1,22
יְהוֹיָקִ֤ים,H3079,yə·hō·w·yā·qîm,of Jehoiakim,N‑proper‑ms,H3079,Jeremiah,1,25,22
לְצִדְקִיָּ֥הוּ,H6667,lə·ṣiḏ·qî·yā·hū,of Zedekiah,Prep‑l | N‑proper‑ms,H6667,Jeremiah,1,35,22
אֲהָהּ֙,H162,’ă·hāh,Ah,Interjection,H162,Jeremiah,1,59,22
כְּלוּלֹתָ֑יִךְ,H3623,kə·lū·lō·ṯā·yiḵ;,of your betrothal,N‑fpc | 2fs,H3623,Jeremiah,2,262,22
בְּל֥וֹא,H1094,bə·lō·w,for not,Prep‑b | Adv‑NegPrt,H1094,Jeremiah,2,386,22
בֹּאר֔וֹת,H877,"bō·rō·wṯ,",cisterns,N‑mp,H877,Jeremiah,2,406,22
יְלִ֥יד,H3211,yə·lîḏ,born,N‑msc,H3211,Jeremiah,2,415,22
(וְתַחְפַּנְחֵ֑ס),H8471,wə·ṯaḥ·pan·ḥês;,and Tahpanhes,Conj‑w | N‑proper‑fs,H8471,Jeremiah,2,434,22
פַחְדָּתִי֙,H6345,p̄aḥ·dā·ṯî,the fear of Me,N‑fsc | 1cs,H6345,Jeremiah,2,471,22
סוּרֵ֖י,H5494,sū·rê,Into the degenerate plant,Adj‑mpc,H5494,Jeremiah,2,504,22
נִכְתָּ֤ם,H3799,niḵ·tām,[Yet] is marked,V‑Nifal‑Prtcpl‑ms,H3799,Jeremiah,2,512,22
בִּכְרָ֥ה,H1072,biḵ·rāh,[You are] a dromedary,N‑fs,H1072,Jeremiah,2,531,22
מְשָׂרֶ֥כֶת,H8308,mə·śā·re·ḵeṯ,breaking loose,V‑Piel‑Prtcpl‑fs,H8308,Jeremiah,2,533,22
תַּאֲנָתָ֖הּ,H8385,ta·’ă·nā·ṯāh,in her desire,N‑fsc | 3fs,H8385,Jeremiah,2,541,22
מִצִּמְאָ֑ה,H6773,miṣ·ṣim·’āh;,from thirst,Prep‑m | N‑fs,H6773,Jeremiah,2,553,22
מַאְפֵּ֖לְיָ֑ה,H3991,ma’·pê·lə·yāh;,of darkness,N‑fs,H3991,Jeremiah,2,631,22
בַמַּחְתֶּ֥רֶת,H4290,ḇam·maḥ·te·reṯ,by secret search,"Prep‑b, Art | N‑fs",H4290,Jeremiah,2,667,22
אֹדוֹת֙,H182,’ō·ḏō·wṯ,the causes,N‑fp,H182,Jeremiah,3,815,22
מִֽסֻּבְּכ֔וֹ,H5441,"mis·sub·bə·ḵōw,",from his thicket,Prep‑m | N‑msc | 3ms,H5441,Jeremiah,4,1162,22
בָּהֵ֖ן,H2004,bā·hên,in it,Prep‑b | Pro‑3fp,H2004,Jeremiah,4,1426,22
עֹגְבִ֖ים,H5689,‘ō·ḡə·ḇîm,[Your] lovers,V‑Qal‑Prtcpl‑mp,H5689,Jeremiah,4,1446,22
כְּמַבְכִּירָ֔ה,H1069,"kə·maḇ·kî·rāh,",as of her who brings forth her first child,Prep‑k | V‑Hifil‑Prtcpl‑fs,H1069,Jeremiah,4,1453,22
תִּתְיַפֵּ֖חַ,H3306,tiṯ·yap·pê·aḥ,bewailing herself,V‑Hitpael‑Imperf‑3fs,H3306,Jeremiah,4,1457,22
עָיְפָ֥ה,H5888,‘ā·yə·p̄āh,is weary,V‑Qal‑Perf‑3fs,H5888,Jeremiah,4,1463,22
נוֹאֲל֕וּ,H2973,nō·w·’ă·lū,they are foolish,V‑Nifal‑Perf‑3cp,H2973,Jeremiah,5,1509,22
מְיֻזָּנִ֖ים,H2109,mə·yuz·zā·nîm,lusty,V‑Pual‑Prtcpl‑mp,H2109,Jeremiah,5,1569,22
מַשְׁכִּ֣ים,H7904,maš·kîm,well-fed,V‑Hifil‑Prtcpl‑mp,H7904,Jeremiah,5,1570,22
בְשָׁרוֹתֶ֙יהָ֙,H8284,ḇə·šā·rō·w·ṯe·hā,on her walls,Prep‑b | N‑fpc | 3fs,H8284,Jeremiah,5,1589,22
כְּשַׁ֣ךְ,H7918,kə·šaḵ,as one who sets,Prep‑k | V‑Qal‑Inf,H7918,Jeremiah,5,1797,22
מַשְׁחִ֖ית,H4889,maš·ḥîṯ,a trap,V‑Hifil‑Prtcpl‑ms,H4889,Jeremiah,5,1800,22
הַכֶּ֖רֶם,H1021,hak·ke·rem,Beth Haccerem,N‑proper‑fs,H1021,Jeremiah,6,1863,22
עֵצָ֔ה,H6097,"‘ê·ṣāh,",trees,N‑fs,H6097,Jeremiah,6,1909,22
תֵּקַ֥ע,H3363,tê·qa‘,depart,V‑Qal‑Imperf‑3fs,H3363,Jeremiah,6,1935,22
סַלְסִלּֽוֹת׃,H5552,sal·sil·lō·wṯ.,the branches,N‑fp,H5552,Jeremiah,6,1956,22
מַרְגּ֖וֹעַ,H4771,mar·gō·w·a‘,rest,N‑ms,H4771,Jeremiah,6,2067,22
