hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מוֹאָב֙,H4124,mō·w·’āḇ,Moab,N‑proper‑fs,H4124,2 Kings,1,1,23
בְּיִשְׂרָאֵ֔ל,H3478,"bə·yiś·rā·’êl,",against Israel,Prep‑b | N‑proper‑ms,H3478,2 Kings,1,2,23
אַחֲרֵ֖י,H310,’a·ḥă·rê,after,Prep,H310,2 Kings,1,3,23
מ֥וֹת,H4194,mō·wṯ,the death,N‑msc,H4194,2 Kings,1,4,23
אַחְאָֽב׃,H256,’aḥ·’āḇ.,of Ahab,N‑proper‑ms,H256,2 Kings,1,5,23
אֲחַזְיָ֜ה,H274,’ă·ḥaz·yāh,Ahaziah,N‑proper‑ms,H274,2 Kings,1,6,23
בְּעַ֣ד,H1157,bə·‘aḏ,through,Prep,H1157,2 Kings,1,7,23
הַשְּׂבָכָ֗ה,H7639,"haś·śə·ḇā·ḵāh,",the lattice,Art | N‑fs,H7639,2 Kings,1,8,23
בַּעֲלִיָּת֛וֹ,H5944,ba·‘ă·lî·yā·ṯōw,of his upper room,Prep‑b | N‑fsc | 3ms,H5944,2 Kings,1,9,23
אֲשֶׁ֥ר,H834,’ă·šer,that [was],Pro‑r,H834,2 Kings,1,10,23
בְּשֹׁמְר֖וֹן,H8111,bə·šō·mə·rō·wn,in Samaria,Prep‑b | N‑proper‑fs,H8111,2 Kings,1,11,23
וַיָּ֑חַל,H2470,way·yā·ḥal;,and was injured,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H2470,2 Kings,1,12,23
וַיִּשְׁלַ֣ח,H7971,way·yiš·laḥ,so he sent,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H7971,2 Kings,1,13,23
מַלְאָכִ֔ים,H4397,"mal·’ā·ḵîm,",messengers,N‑mp,H4397,2 Kings,1,14,23
וַיֹּ֤אמֶר,H559,way·yō·mer,and said,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H559,2 Kings,1,15,23
אֲלֵהֶם֙,H413,’ă·lê·hem,to them,Prep | 3mp,H413,2 Kings,1,16,23
לְכ֣וּ,H1980,lə·ḵū,go,V‑Qal‑Imp‑mp,H1980,2 Kings,1,17,23
דִרְשׁ֗וּ,H1875,"ḏir·šū,",inquire,V‑Qal‑Imp‑mp,H1875,2 Kings,1,18,23
זְבוּב֙,H1176,zə·ḇūḇ,Baal-Zebub,Prep | N‑proper‑ms,H1176,2 Kings,1,19,23
אֱלֹהֵ֣י,H430,’ĕ·lō·hê,the god,N‑mpc,H430,2 Kings,1,20,23
עֶקְר֔וֹן,H6138,"‘eq·rō·wn,",of Ekron,N‑proper‑fs,H6138,2 Kings,1,21,23
אִם־,H518,’im-,whether,Conj,H518,2 Kings,1,22,23
אֶחְיֶ֖ה,H2421,’eḥ·yeh,I shall recover,V‑Qal‑Imperf‑1cs,H2421,2 Kings,1,23,23
מֵחֳלִ֥י,H2483,mê·ḥo·lî,from injury,Prep‑m | N‑ms,H2483,2 Kings,1,24,23
זֶֽה׃,H2088,zeh.,this,Pro‑ms,H2088,2 Kings,1,25,23
יְהוָ֗ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,2 Kings,1,26,23
דִּבֶּר֙,H1696,dib·ber,said,V‑Piel‑Perf‑3ms,H1696,2 Kings,1,27,23
אֵלִיָּ֣ה,H452,’ê·lî·yāh,Elijah,N‑proper‑ms,H452,2 Kings,1,29,23
הַתִּשְׁבִּ֔י,H8664,"hat·tiš·bî,",the Tishbite,Art | N‑proper‑ms,H8664,2 Kings,1,30,23
ק֣וּם,H6965,qūm,Arise,V‑Qal‑Imp‑ms,H6965,2 Kings,1,31,23
עֲלֵ֔ה,H5927,"‘ă·lêh,",go up,V‑Qal‑Imp‑ms,H5927,2 Kings,1,32,23
לִקְרַ֖את,H7125,liq·raṯ,to meet,Prep‑l | V‑Qal‑Inf,H7125,2 Kings,1,33,23
מֶֽלֶךְ־,H4428,me·leḵ-,of the king,N‑msc,H4428,2 Kings,1,35,23
הַֽמִבְּלִ֤י,H1097,ha·mib·bə·lî,[is it] because,Prep | Adv,H1097,2 Kings,1,39,23
אֵין־,H369,’ên-,[there is] no,Adv,H369,2 Kings,1,40,23
אַתֶּם֙,H859,’at·tem,[that] you,Pro‑2mp,H859,2 Kings,1,43,23
כֹּֽה־,H3541,kōh-,thus,Adv,H3541,2 Kings,1,49,23
הַמִּטָּ֞ה,H4296,ham·miṭ·ṭāh,the bed,Art | N‑fs,H4296,2 Kings,1,52,23
שָּׁ֛ם,H8033,šām,on that,Adv,H8033,2 Kings,1,55,23
לֹֽא־,H3808,lō-,not,Adv‑NegPrt,H3808,2 Kings,1,56,23
תֵרֵ֥ד,H3381,ṯê·rêḏ,You shall come down,V‑Qal‑Imperf‑2ms,H3381,2 Kings,1,57,23
מִמֶּ֖נָּה,H4480,mim·men·nāh,from,Prep | 3fs,H4480,2 Kings,1,58,23
כִּ֣י,H3588,kî,but,Conj,H3588,2 Kings,1,59,23
מ֣וֹת,H4191,mō·wṯ,surely,V‑Qal‑InfAbs,H4191,2 Kings,1,60,23
מַה־,H4100,mah-,what,Interrog,H4100,2 Kings,1,68,23
שַׁבְתֶּֽם׃,H7725,šaḇ·tem.,you have come back,V‑Qal‑Perf‑2mp,H7725,2 Kings,1,70,23
אִ֣ישׁ ׀,H376,’îš,a man,N‑ms,H376,2 Kings,1,72,23
אֶתְכֶם֒,H853,’eṯ·ḵem,you,DirObjM | 2mp,H853,2 Kings,1,83,23
לָ֠כֵן,H3651,lā·ḵên,therefore,Adv,H3651,2 Kings,1,99,23
מִשְׁפַּ֣ט,H4941,miš·paṭ,kind,N‑msc,H4941,2 Kings,1,112,23
הַדְּבָרִ֖ים,H1697,had·də·ḇā·rîm,words,Art | N‑mp,H1697,2 Kings,1,120,23
הָאֵֽלֶּה׃,H428,hā·’êl·leh.,these,Art | Pro‑cp,H428,2 Kings,1,121,23
בַּ֣עַל,H1167,ba·‘al,owner,N‑msc,H1167,2 Kings,1,124,23
שֵׂעָ֔ר,H8181,"śê·‘ār,",hairy,N‑ms,H8181,2 Kings,1,125,23
וְאֵז֥וֹר,H232,wə·’ê·zō·wr,and a belt,Conj‑w | N‑msc,H232,2 Kings,1,126,23
ע֖וֹר,H5785,‘ō·wr,leather,N‑ms,H5785,2 Kings,1,127,23
אָז֣וּר,H247,’ā·zūr,wearing,V‑Qal‑QalPassPrtcpl‑ms,H247,2 Kings,1,128,23
בְּמָתְנָ֑יו,H4975,bə·mā·ṯə·nāw;,around his waist,Prep‑b | N‑mdc | 3ms,H4975,2 Kings,1,129,23
הֽוּא׃,H1931,hū.,it [is],Pro‑3ms,H1931,2 Kings,1,133,23
שַׂר־,H8269,śar-,a captain,N‑msc,H8269,2 Kings,1,135,23
חֲמִשִּׁ֖ים,H2572,ḥă·miš·šîm,of fifty,Number‑cp,H2572,2 Kings,1,136,23
וְהִנֵּה֙,H2009,wə·hin·nêh,and there,Conj‑w | Interjection,H2009,2 Kings,1,140,23
יֹשֵׁב֙,H3427,yō·šêḇ,he was sitting,V‑Qal‑Prtcpl‑ms,H3427,2 Kings,1,141,23
עַל־,H5921,‘al-,on,Prep,H5921,2 Kings,1,142,23
רֹ֣אשׁ,H7218,rōš,the top,N‑msc,H7218,2 Kings,1,143,23
הָהָ֔ר,H2022,"hā·hār,",of a hill,Art | N‑ms,H2022,2 Kings,1,144,23
אָ֔נִי,H589,"’ā·nî,",I [am],Pro‑1cs,H589,2 Kings,1,160,23
אֵשׁ֙,H784,’êš,fire,N‑cs,H784,2 Kings,1,162,23
הַשָּׁמַ֔יִם,H8064,"haš·šā·ma·yim,",heaven,Art | N‑mp,H8064,2 Kings,1,164,23
וְתֹאכַ֥ל,H398,wə·ṯō·ḵal,and consume,Conj‑w | V‑Qal‑ConjImperf‑3fs,H398,2 Kings,1,165,23
אַחֵ֖ר,H312,’a·ḥêr,another,Adj‑ms,H312,2 Kings,1,181,23
וַיַּ֙עַן֙,H6030,way·ya·‘an,And he answered,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6030,2 Kings,1,183,23
מְהֵרָ֥ה,H4120,mə·hê·rāh,quickly,Adv,H4120,2 Kings,1,191,23
שְׁלִשִׁ֖ים,H7992,šə·li·šîm,third,Number‑omp,H7992,2 Kings,1,220,23
וַיָּבֹא֩,H935,way·yā·ḇō,and came,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H935,2 Kings,1,223,23
וַיִּכְרַ֥ע,H3766,way·yiḵ·ra‘,and fell,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H3766,2 Kings,1,227,23
בִּרְכָּ֣יו ׀,H1290,bir·kāw,his knees,N‑fdc | 3ms,H1290,2 Kings,1,229,23
לְנֶ֣גֶד,H5048,lə·ne·ḡeḏ,before,Prep‑l,H5048,2 Kings,1,230,23
וַיִּתְחַנֵּ֤ן,H2603,way·yiṯ·ḥan·nên,and pleaded,Conj‑w | V‑Hitpael‑ConsecImperf‑3ms,H2603,2 Kings,1,232,23
תִּֽיקַר־,H3365,tî·qar-,let be precious,V‑Qal‑Imperf‑3fs,H3365,2 Kings,1,238,23
נָ֣א,H4994,nā,please,Interjection,H4994,2 Kings,1,239,23
נַפְשִׁ֗י,H5315,"nap̄·šî,",my life,N‑fsc | 1cs,H5315,2 Kings,1,240,23
עֲבָדֶ֥יךָֽ,H5650,‘ă·ḇā·ḏe·ḵā,of servants of yours,N‑mpc | 2ms,H5650,2 Kings,1,242,23
בְּעֵינֶֽיךָ׃,H5869,bə·‘ê·ne·ḵā.,in your sight,Prep‑b | N‑cdc | 2ms,H5869,2 Kings,1,245,23
שְׁנֵ֞י,H8147,šə·nê,two,Number‑mdc,H8147,2 Kings,1,252,23
הָרִאשֹׁנִ֖ים,H7223,hā·ri·šō·nîm,first,Art | Adj‑mp,H7223,2 Kings,1,255,23
וְעַתָּ֕ה,H6258,wə·‘at·tāh,but now,Conj‑w | Adv,H6258,2 Kings,1,258,23
יְהוָה֙,H3069,Yah·weh,Yahweh,N‑proper‑ms,H3069,2 Kings,1,263,23
אוֹת֔וֹ,H854,"’ō·w·ṯōw,",with him,Prep | 3ms,H854,2 Kings,1,267,23
אַל־,H408,’al-,not,Adv,H408,2 Kings,1,268,23
תִּירָ֖א,H3372,tî·rā,do be afraid,V‑Qal‑Imperf‑2ms,H3372,2 Kings,1,269,23
מִפָּנָ֑יו,H6440,mip·pā·nāw;,of him,Prep‑m | N‑cpc | 3ms,H6440,2 Kings,1,270,23
יַ֜עַן,H3282,ya·‘an,because,Adv,H3282,2 Kings,1,280,23
וַיִּמְלֹ֤ךְ,H4427,way·yim·lōḵ,and became king,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H4427,2 Kings,1,310,23
יְהוֹרָם֙,H3088,yə·hō·w·rām,Jehoram,N‑proper‑ms,H3088,2 Kings,1,311,23
תַּחְתָּ֔יו,H8478,"taḥ·tāw,",in his place,Prep | 3ms,H8478,2 Kings,1,312,23
בִּשְׁנַ֣ת,H8141,biš·naṯ,in the year,Prep‑b | N‑fsc,H8141,2 Kings,1,313,23
בֶּן־,H1121,ben-,son,N‑msc,H1121,2 Kings,1,316,23
יְהוֹשָׁפָ֖ט,H3092,yə·hō·wō·šā·p̄āṭ,of Jehoshaphat,N‑proper‑ms,H3092,2 Kings,1,317,23
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,2 Kings,1,319,23
הָ֥יָה,H1961,hā·yāh,had,V‑Qal‑Perf‑3ms,H1961,2 Kings,1,322,23
עָשָׂ֑ה,H6213,‘ā·śāh;,he did,V‑Qal‑Perf‑3ms,H6213,2 Kings,1,327,23
הֵ֣מָּה,H1992,hêm·māh,they,Pro‑3mp,H1992,2 Kings,1,329,23
כְתוּבִ֗ים,H3789,"ḵə·ṯū·ḇîm,",written,V‑Qal‑QalPassPrtcpl‑mp,H3789,2 Kings,1,330,23
סֵ֛פֶר,H5612,sê·p̄er,the book,N‑msc,H5612,2 Kings,1,332,23
הַיָּמִ֖ים,H3117,hay·yā·mîm,the chronicles,Art | N‑mp,H3117,2 Kings,1,334,23
בַּֽסְעָרָ֖ה,H5591,bas·‘ā·rāh,by a whirlwind,"Prep‑b, Art | N‑fs",H5591,2 Kings,2,341,23
וֶאֱלִישָׁ֖ע,H477,we·’ĕ·lî·šā‘,and with Elisha,Conj‑w | N‑proper‑ms,H477,2 Kings,2,345,23
הַגִּלְגָּֽל׃,H1537,hag·gil·gāl.,Gilgal,Art | N‑proper‑fs,H1537,2 Kings,2,347,23
פֹ֗ה,H6311,"p̄ōh,",here,Adv,H6311,2 Kings,2,353,23
עַד־,H5704,‘aḏ-,on to,Prep,H5704,2 Kings,2,357,23
אֵ֔ל,H1008,"’êl,",Bethel,N‑proper‑fs,H1008,2 Kings,2,358,23
חַי־,H2416,ḥay-,[As] lives,N‑ms,H2416,2 Kings,2,361,23
אֶעֶזְבֶ֑ךָּ,H5800,’e·‘ez·ḇe·kā;,I will leave you,V‑Qal‑Imperf‑1cs | 2mse,H5800,2 Kings,2,366,23
הַנְּבִיאִ֥ים,H5030,han·nə·ḇî·’îm,of the prophets,Art | N‑mp,H5030,2 Kings,2,370,23
הֲיָדַ֕עְתָּ,H3045,hă·yā·ḏa‘·tā,do you know,V‑Qal‑Perf‑2ms,H3045,2 Kings,2,377,23
