hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אִ֨ישׁ,H376,’îš,man,N‑ms,H376,1 Samuel,1,1,24
אֶחָ֜ד,H259,’e·ḥāḏ,a,Number‑ms,H259,1 Samuel,1,2,24
מִן־,H4480,min-,of,Prep,H4480,1 Samuel,1,3,24
צוֹפִ֖ים,H7436,ṣō·w·p̄îm,Zophim,N‑proper‑fs,H7436,1 Samuel,1,4,24
מֵהַ֣ר,H2022,mê·har,of the mountains,Prep‑m | N‑msc,H2022,1 Samuel,1,5,24
אֶפְרָ֑יִם,H669,’ep̄·rā·yim;,of Ephraim,N‑proper‑ms,H669,1 Samuel,1,6,24
וּשְׁמ֡וֹ,H8034,ū·šə·mōw,and his name [was],Conj‑w | N‑msc | 3ms,H8034,1 Samuel,1,7,24
אֶ֠לְקָנָה,H511,’el·qā·nāh,Elkanah,N‑proper‑ms,H511,1 Samuel,1,8,24
בֶּן־,H1121,ben-,the son,N‑msc,H1121,1 Samuel,1,9,24
יְרֹחָ֧ם,H3395,yə·rō·ḥām,of Jeroham,N‑proper‑ms,H3395,1 Samuel,1,10,24
בֶּן־,H1121,ben-,the son,N‑msc,H1121,1 Samuel,1,11,24
אֱלִיה֛וּא,H453,’ĕ·lî·hū,of Elihu,N‑proper‑ms,H453,1 Samuel,1,12,24
בֶּן־,H1121,ben-,the son,N‑msc,H1121,1 Samuel,1,13,24
תֹּ֥חוּ,H8459,tō·ḥū,of Tohu,N‑proper‑ms,H8459,1 Samuel,1,14,24
בֶן־,H1121,ḇen-,the son,N‑msc,H1121,1 Samuel,1,15,24
צ֖וּף,H6689,ṣūp̄,of Zuph,N‑proper‑ms,H6689,1 Samuel,1,16,24
אֶפְרָתִֽי׃,H673,’ep̄·rā·ṯî.,an Ephraimite,N‑proper‑ms,H673,1 Samuel,1,17,24
שְׁתֵּ֣י,H8147,šə·tê,two,Number‑fdc,H8147,1 Samuel,1,18,24
נָשִׁ֔ים,H802,"nā·šîm,",wives,N‑fp,H802,1 Samuel,1,19,24
שֵׁ֤ם,H8034,šêm,the name,N‑msc,H8034,1 Samuel,1,20,24
אַחַת֙,H259,’a·ḥaṯ,of the one,Number‑fs,H259,1 Samuel,1,21,24
חַנָּ֔ה,H2584,"ḥan·nāh,",[was] Hannah,N‑proper‑fs,H2584,1 Samuel,1,22,24
וְשֵׁ֥ם,H8034,wə·šêm,and the name,Conj‑w | N‑msc,H8034,1 Samuel,1,23,24
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,1 Samuel,1,24,24
פְּנִנָּ֑ה,H6444,pə·nin·nāh;,Peninnah,N‑proper‑fs,H6444,1 Samuel,1,25,24
וַיְהִ֤י,H1961,way·hî,and had,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,1 Samuel,1,26,24
לִפְנִנָּה֙,H6444,lip̄·nin·nāh,Peninnah,Prep‑l | N‑proper‑fs,H6444,1 Samuel,1,27,24
יְלָדִ֔ים,H3206,"yə·lā·ḏîm,",children,N‑mp,H3206,1 Samuel,1,28,24
וּלְחַנָּ֖ה,H2584,ū·lə·ḥan·nāh,but Hannah,"Conj‑w, Prep‑l | N‑proper‑fs",H2584,1 Samuel,1,29,24
אֵ֥ין,H369,’ên,had no,Adv,H369,1 Samuel,1,30,24
יְלָדִֽים׃,H3206,yə·lā·ḏîm.,children,N‑mp,H3206,1 Samuel,1,31,24
הָאִ֨ישׁ,H376,hā·’îš,man,Art | N‑ms,H376,1 Samuel,1,32,24
הַה֤וּא,H1931,ha·hū,that,Art | Pro‑3ms,H1931,1 Samuel,1,33,24
מֵֽעִירוֹ֙,H5892,mê·‘î·rōw,from his city,Prep‑m | N‑fsc | 3ms,H5892,1 Samuel,1,34,24
מִיָּמִ֣ים ׀,H3117,mî·yā·mîm,yearly,Prep‑m | N‑mp,H3117,1 Samuel,1,35,24
יָמִ֔ימָה,H3117,"yā·mî·māh,",yearly,N‑mp | 3fs,H3117,1 Samuel,1,36,24
לְהִֽשְׁתַּחֲוֺ֧ת,H7812,lə·hiš·ta·ḥă·wōṯ,to worship,Prep‑l | V‑Hitpael‑Inf,H7812,1 Samuel,1,37,24
וְלִזְבֹּ֛חַ,H2076,wə·liz·bō·aḥ,and sacrifice,"Conj‑w, Prep‑l | V‑Qal‑Inf",H2076,1 Samuel,1,38,24
לַיהוָ֥ה,H3068,Yah·weh,to Yahweh,Prep‑l | N‑proper‑ms,H3068,1 Samuel,1,39,24
צְבָא֖וֹת,H6635,ṣə·ḇā·’ō·wṯ,of hosts,N‑cp,H6635,1 Samuel,1,40,24
בְּשִׁלֹ֑ה,H7887,bə·ši·lōh;,in Shiloh,Prep‑b | N‑proper‑fs,H7887,1 Samuel,1,41,24
וְשָׁ֞ם,H8033,wə·šām,And [were] there,Conj‑w | Adv,H8033,1 Samuel,1,42,24
שְׁנֵ֣י,H8147,šə·nê,The two,Number‑mdc,H8147,1 Samuel,1,43,24
בְנֵֽי־,H1121,ḇə·nê-,sons,N‑mpc,H1121,1 Samuel,1,44,24
