hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אִ֨ישׁ,H376,’îš,man,N‑ms,H376,1 Samuel,1,1,24
אֶחָ֜ד,H259,’e·ḥāḏ,a,Number‑ms,H259,1 Samuel,1,2,24
מִן־,H4480,min-,of,Prep,H4480,1 Samuel,1,3,24
צוֹפִ֖ים,H7436,ṣō·w·p̄îm,Zophim,N‑proper‑fs,H7436,1 Samuel,1,4,24
מֵהַ֣ר,H2022,mê·har,of the mountains,Prep‑m | N‑msc,H2022,1 Samuel,1,5,24
אֶפְרָ֑יִם,H669,’ep̄·rā·yim;,of Ephraim,N‑proper‑ms,H669,1 Samuel,1,6,24
וּשְׁמ֡וֹ,H8034,ū·šə·mōw,and his name [was],Conj‑w | N‑msc | 3ms,H8034,1 Samuel,1,7,24
אֶ֠לְקָנָה,H511,’el·qā·nāh,Elkanah,N‑proper‑ms,H511,1 Samuel,1,8,24
בֶּן־,H1121,ben-,the son,N‑msc,H1121,1 Samuel,1,9,24
יְרֹחָ֧ם,H3395,yə·rō·ḥām,of Jeroham,N‑proper‑ms,H3395,1 Samuel,1,10,24
אֱלִיה֛וּא,H453,’ĕ·lî·hū,of Elihu,N‑proper‑ms,H453,1 Samuel,1,12,24
תֹּ֥חוּ,H8459,tō·ḥū,of Tohu,N‑proper‑ms,H8459,1 Samuel,1,14,24
צ֖וּף,H6689,ṣūp̄,of Zuph,N‑proper‑ms,H6689,1 Samuel,1,16,24
אֶפְרָתִֽי׃,H673,’ep̄·rā·ṯî.,an Ephraimite,N‑proper‑ms,H673,1 Samuel,1,17,24
שְׁתֵּ֣י,H8147,šə·tê,two,Number‑fdc,H8147,1 Samuel,1,18,24
נָשִׁ֔ים,H802,"nā·šîm,",wives,N‑fp,H802,1 Samuel,1,19,24
חַנָּ֔ה,H2584,"ḥan·nāh,",[was] Hannah,N‑proper‑fs,H2584,1 Samuel,1,22,24
הַשֵּׁנִ֖ית,H8145,haš·šê·nîṯ,of the second,Art | Number‑ofs,H8145,1 Samuel,1,24,24
פְּנִנָּ֑ה,H6444,pə·nin·nāh;,Peninnah,N‑proper‑fs,H6444,1 Samuel,1,25,24
וַיְהִ֤י,H1961,way·hî,and had,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,1 Samuel,1,26,24
יְלָדִ֔ים,H3206,"yə·lā·ḏîm,",children,N‑mp,H3206,1 Samuel,1,28,24
אֵ֥ין,H369,’ên,had no,Adv,H369,1 Samuel,1,30,24
הַה֤וּא,H1931,ha·hū,that,Art | Pro‑3ms,H1931,1 Samuel,1,33,24
מֵֽעִירוֹ֙,H5892,mê·‘î·rōw,from his city,Prep‑m | N‑fsc | 3ms,H5892,1 Samuel,1,34,24
מִיָּמִ֣ים ׀,H3117,mî·yā·mîm,yearly,Prep‑m | N‑mp,H3117,1 Samuel,1,35,24
לְהִֽשְׁתַּחֲוֺ֧ת,H7812,lə·hiš·ta·ḥă·wōṯ,to worship,Prep‑l | V‑Hitpael‑Inf,H7812,1 Samuel,1,37,24
וְלִזְבֹּ֛חַ,H2076,wə·liz·bō·aḥ,and sacrifice,"Conj‑w, Prep‑l | V‑Qal‑Inf",H2076,1 Samuel,1,38,24
לַיהוָ֥ה,H3068,Yah·weh,to Yahweh,Prep‑l | N‑proper‑ms,H3068,1 Samuel,1,39,24
צְבָא֖וֹת,H6635,ṣə·ḇā·’ō·wṯ,of hosts,N‑cp,H6635,1 Samuel,1,40,24
בְּשִׁלֹ֑ה,H7887,bə·ši·lōh;,in Shiloh,Prep‑b | N‑proper‑fs,H7887,1 Samuel,1,41,24
וְשָׁ֞ם,H8033,wə·šām,And [were] there,Conj‑w | Adv,H8033,1 Samuel,1,42,24
עֵלִ֗י,H5941,"‘ê·lî,",of Eli,N‑proper‑ms,H5941,1 Samuel,1,45,24
חָפְנִי֙,H2652,ḥā·p̄ə·nî,Hophni,N‑proper‑ms,H2652,1 Samuel,1,46,24
וּפִ֣נְחָ֔ס,H6372,"ū·p̄in·ḥās,",and Phinehas,Conj‑w | N‑proper‑ms,H6372,1 Samuel,1,47,24
כֹּהֲנִ֖ים,H3548,kō·hă·nîm,the priests,N‑mp,H3548,1 Samuel,1,48,24
וְנָתַ֞ן,H5414,wə·nā·ṯan,and he would give,Conj‑w | V‑Qal‑ConjPerf‑3ms,H5414,1 Samuel,1,53,24
וּֽלְכָל־,H3605,ū·lə·ḵāl-,and to all,"Conj‑w, Prep‑l | N‑msc",H3605,1 Samuel,1,56,24
וּבְנוֹתֶ֖יהָ,H1323,ū·ḇə·nō·w·ṯe·hā,and daughters,Conj‑w | N‑fpc | 3fs,H1323,1 Samuel,1,58,24
מָנֽוֹת׃,H4490,mā·nō·wṯ.,portions,N‑fp,H4490,1 Samuel,1,59,24
אַפָּ֑יִם,H639,’ap·pā·yim;,double,N‑md,H639,1 Samuel,1,63,24
כִּ֤י,H3588,kî,for,Conj,H3588,1 Samuel,1,64,24
אֶת־,H853,’eṯ-,-,DirObjM,H853,1 Samuel,1,65,24
