hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
דָּוִד֙,H1732,dā·wiḏ,David,N‑proper‑ms,H1732,1 Kings,1,1,25
זָקֵ֔ן,H2204,"zā·qên,",was old,V‑Qal‑Perf‑3ms,H2204,1 Kings,1,2,25
בָּ֖א,H935,bā,advanced,V‑Qal‑Perf‑3ms,H935,1 Kings,1,3,25
בַּיָּמִ֑ים,H3117,bay·yā·mîm;,in years,"Prep‑b, Art | N‑mp",H3117,1 Kings,1,4,25
וַיְכַסֻּ֙הוּ֙,H3680,way·ḵas·su·hū,and they put him,Conj‑w | V‑Piel‑ConsecImperf‑3mp | 3ms,H3680,1 Kings,1,5,25
בַּבְּגָדִ֔ים,H899,"bab·bə·ḡā·ḏîm,",on covers,"Prep‑b, Art | N‑mp",H899,1 Kings,1,6,25
וְלֹ֥א,H3808,wə·lō,but not,Conj‑w | Adv‑NegPrt,H3808,1 Kings,1,7,25
יִחַ֖ם,H3179,yi·ḥam,could get warm,V‑Qal‑Imperf‑3ms,H3179,1 Kings,1,8,25
עֲבָדָ֗יו,H5650,"‘ă·ḇā·ḏāw,",his servants,N‑mpc | 3ms,H5650,1 Kings,1,9,25
יְבַקְשׁ֞וּ,H1245,yə·ḇaq·šū,let be sought,V‑Piel‑Imperf‑3mp,H1245,1 Kings,1,10,25
לַאדֹנִ֤י,H113,la·ḏō·nî,for our lord,Prep‑l | N‑msc | 1cs,H113,1 Kings,1,11,25
הַמֶּ֙לֶךְ֙,H4428,ham·me·leḵ,the king,Art | N‑ms,H4428,1 Kings,1,12,25
נַעֲרָ֣ה,H5291,na·‘ă·rāh,a young woman,N‑fs,H5291,1 Kings,1,13,25
בְתוּלָ֔ה,H1330,"ḇə·ṯū·lāh,",a virgin,N‑fs,H1330,1 Kings,1,14,25
וְעָֽמְדָה֙,H5975,wə·‘ā·mə·ḏāh,and let her stand,Conj‑w | V‑Qal‑ConjPerf‑3fs,H5975,1 Kings,1,15,25
לִפְנֵ֣י,H6440,lip̄·nê,before,Prep‑l | N‑cpc,H6440,1 Kings,1,16,25
הַמֶּ֔לֶךְ,H4428,"ham·me·leḵ,",the king,Art | N‑ms,H4428,1 Kings,1,17,25
וּתְהִי־,H1961,ū·ṯə·hî-,and let her,Conj‑w | V‑Qal‑ConjImperf.Jus‑3fs,H1961,1 Kings,1,18,25
סֹכֶ֑נֶת,H5532,sō·ḵe·neṯ;,care,V‑Qal‑Prtcpl‑fs,H5532,1 Kings,1,19,25
וְשָׁכְבָ֣ה,H7901,wə·šā·ḵə·ḇāh,and let her lie,Conj‑w | V‑Qal‑ConjPerf‑3fs,H7901,1 Kings,1,20,25
בְחֵיקֶ֔ךָ,H2436,"ḇə·ḥê·qe·ḵā,",in your bosom,Prep‑b | N‑msc | 2ms,H2436,1 Kings,1,21,25
וְחַ֖ם,H2552,wə·ḥam,that may be warm,Conj‑w | V‑Qal‑ConjPerf‑3ms,H2552,1 Kings,1,22,25
לַאדֹנִ֥י,H113,la·ḏō·nî,our lord,Prep‑l | N‑msc | 1cs,H113,1 Kings,1,23,25
הַמֶּֽלֶךְ׃,H4428,ham·me·leḵ.,the king,Art | N‑ms,H4428,1 Kings,1,24,25
נַעֲרָ֣ה,H5291,na·‘ă·rāh,a young woman,N‑fs,H5291,1 Kings,1,25,25
יָפָ֔ה,H3303,"yā·p̄āh,",lovely,Adj‑fs,H3303,1 Kings,1,26,25
בְּכֹ֖ל,H3605,bə·ḵōl,throughout all,Prep‑b | N‑msc,H3605,1 Kings,1,27,25
גְּב֣וּל,H1366,gə·ḇūl,the territory,N‑msc,H1366,1 Kings,1,28,25
יִשְׂרָאֵ֑ל,H3478,yiś·rā·’êl;,of Israel,N‑proper‑ms,H3478,1 Kings,1,29,25
וַֽיִּמְצְא֗וּ,H4672,"way·yim·ṣə·’ū,",and found,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H4672,1 Kings,1,30,25
אֶת־,H853,’eṯ-,-,DirObjM,H853,1 Kings,1,31,25
אֲבִישַׁג֙,H49,’ă·ḇî·šaḡ,Abishag,N‑proper‑fs,H49,1 Kings,1,32,25
הַשּׁ֣וּנַמִּ֔ית,H7767,"haš·šū·nam·mîṯ,",the Shunammitess,Art | N‑proper‑fs,H7767,1 Kings,1,33,25
וַיָּבִ֥אוּ,H935,way·yā·ḇi·’ū,and brought,Conj‑w | V‑Hifil‑ConsecImperf‑3mp,H935,1 Kings,1,34,25
אֹתָ֖הּ,H853,’ō·ṯāh,her,DirObjM | 3fs,H853,1 Kings,1,35,25
לַמֶּֽלֶךְ׃,H4428,lam·me·leḵ.,to the king,"Prep‑l, Art | N‑ms",H4428,1 Kings,1,36,25
יָפָ֣ה,H3303,yā·p̄āh,lovely,Adj‑fs,H3303,1 Kings,1,37,25
עַד־,H5704,‘aḏ-,very,Prep,H5704,1 Kings,1,38,25
מְאֹ֑ד,H3966,mə·’ōḏ;,very,Adv,H3966,1 Kings,1,39,25
וַתְּהִ֨י,H1961,wat·tə·hî,and she,Conj‑w | V‑Qal‑ConsecImperf‑3fs,H1961,1 Kings,1,40,25
לַמֶּ֤לֶךְ,H4428,lam·me·leḵ,for the king,"Prep‑l, Art | N‑ms",H4428,1 Kings,1,41,25
סֹכֶ֙נֶת֙,H5532,sō·ḵe·neṯ,cared,V‑Qal‑Prtcpl‑fs,H5532,1 Kings,1,42,25
וַתְּשָׁ֣רְתֵ֔הוּ,H8334,"wat·tə·šā·rə·ṯê·hū,",and served him,Conj‑w | V‑Piel‑ConsecImperf‑3fs | 3ms,H8334,1 Kings,1,43,25
וְהַמֶּ֖לֶךְ,H4428,wə·ham·me·leḵ,but the king,"Conj‑w, Art | N‑ms",H4428,1 Kings,1,44,25
לֹ֥א,H3808,lō,not,Adv‑NegPrt,H3808,1 Kings,1,45,25
יְדָעָֽהּ׃,H3045,yə·ḏā·‘āh.,did know her,V‑Qal‑Perf‑3ms | 3fs,H3045,1 Kings,1,46,25
בֶן־,H1121,ḇen-,the son,N‑msc,H1121,1 Kings,1,47,25
חַגִּ֛ית,H2294,ḥag·gîṯ,of Haggith,N‑proper‑fs,H2294,1 Kings,1,48,25
מִתְנַשֵּׂ֥א,H5375,miṯ·naś·śê,exalted himself,V‑Hitpael‑Prtcpl‑ms,H5375,1 Kings,1,49,25
לֵאמֹ֖ר,H559,lê·mōr,saying,Prep‑l | V‑Qal‑Inf,H559,1 Kings,1,50,25
אֲנִ֣י,H589,’ă·nî,I,Pro‑1cs,H589,1 Kings,1,51,25
אֶמְלֹ֑ךְ,H4427,’em·lōḵ;,will be king,V‑Qal‑Imperf‑1cs,H4427,1 Kings,1,52,25
וַיַּ֣עַשׂ,H6213,way·ya·‘aś,And he prepared,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6213,1 Kings,1,53,25
